start_time,end_time,note_value,velocity,instrument_program_number
2.059732,2.826554,79,52,0
2.059732,2.826554,75,52,0
2.826554,3.0887,74,50,0
2.826554,3.0887,77,50,0
3.0887,3.603677,77,52,0
3.0887,3.603677,80,52,0
3.603677,3.8534064,74,52,0
3.603677,3.8534064,77,52,0
3.8534064,4.103136,79,50,0
3.8534064,4.103136,75,50,0
4.103136,4.611352,75,52,0
4.103136,4.611352,72,52,0
4.611352,5.130922,68,49,0
4.611352,5.130922,72,49,0
5.130922,6.165469,70,47,0
5.130922,6.165469,67,47,0
6.165469,6.664928,72,51,0
6.664928,6.909367,74,56,0
6.909367,7.1590967,77,55,0
6.165469,7.1590967,68,51,0
7.1590967,7.6673126,74,55,0
7.6673126,8.175529,70,51,0
7.1590967,8.175529,68,55,0
8.175529,8.424161,72,51,0
8.424161,8.672793,74,49,0
8.672793,8.9172325,79,52,0
8.9172325,9.177017,72,50,0
8.175529,9.177017,67,51,0
9.177017,10.216158,70,47,0
9.177017,10.216158,67,47,0
10.216158,10.977372,70,64,0
10.216158,10.977372,74,64,0
10.977372,11.232583,67,55,0
10.977372,11.232583,70,55,0
11.232583,11.734171,72,51,0
11.734171,11.977578,78,65,0
11.977578,12.220986,81,60,0
11.232583,12.220986,69,60,0
12.220986,12.466465,79,64,0
12.466465,12.711944,74,56,0
12.220986,12.711944,70,57,0
12.711944,12.956383,72,58,0
12.956383,13.212728,74,53,0
12.711944,13.212728,69,51,0
13.212728,14.238106,70,47,0
13.212728,14.238106,67,47,0
14.238106,14.993887,77,60,0
14.238106,14.993887,70,51,0
14.993887,15.24288,79,58,0
15.24288,15.489926,75,57,0
15.489926,15.7392845,77,60,0
15.7392845,15.99099,79,64,0
15.99099,16.245275,81,61,0
14.993887,16.245275,69,49,0
16.245275,16.498247,77,69,0
16.245275,16.498247,70,58,0
16.498247,16.754593,74,57,0
16.498247,16.754593,68,48,0
16.754593,17.008701,69,52,0
16.754593,17.008701,75,61,0
17.008701,17.26619,73,54,0
17.26619,17.523678,74,59,0
17.523678,17.78702,72,52,0
17.78702,18.050362,71,46,0
17.523678,18.050362,68,38,0
18.050362,18.326097,70,43,0
17.008701,18.326097,65,46,0
18.326097,19.086288,79,52,0
18.326097,19.086288,75,52,0
19.086288,19.344933,77,50,0
19.086288,19.344933,74,50,0
19.344933,19.855352,77,52,0
19.344933,19.855352,80,52,0
19.855352,20.105082,74,52,0
19.855352,20.105082,77,52,0
20.105082,20.354813,79,50,0
20.105082,20.354813,75,50,0
