start_time,end_time,note_value,velocity,instrument_program_number
1.3023556,1.7464712,84,36,0
1.1330553,1.7464712,72,29,0
1.1894888,1.7464712,77,29,0
1.2459222,1.7464712,81,29,0
1.7464712,2.2025366,72,27,0
1.7464712,2.2025366,81,27,0
1.7464712,2.2025366,84,34,0
1.7464712,2.2025366,77,27,0
2.2025366,2.5445857,77,27,0
2.2025366,2.5445857,84,34,0
2.2025366,2.5445857,72,27,0
2.2025366,2.5445857,81,27,0
2.6586022,3.1162775,84,36,0
2.5445857,3.1162775,72,29,0
2.5825913,3.1162775,77,29,0
2.6205966,3.1162775,81,29,0
3.1162775,3.5757248,81,27,0
3.1162775,3.5757248,77,27,0
3.1162775,3.5757248,72,27,0
3.1162775,3.5757248,84,34,0
3.5757248,3.9052525,72,27,0
3.5757248,3.9052525,77,27,0
3.5757248,3.9052525,84,34,0
3.5757248,3.9052525,81,27,0
4.0228257,4.4567904,84,36,0
3.9052525,4.4567904,72,29,0
3.9444435,4.4567904,77,29,0
3.9836345,4.4567904,81,29,0
4.4567904,4.912856,77,27,0
4.4567904,4.912856,81,27,0
4.4567904,4.912856,84,34,0
4.4567904,4.912856,72,27,0
4.912856,5.25949,72,27,0
4.912856,5.25949,81,27,0
4.912856,5.25949,77,27,0
4.912856,5.25949,84,34,0
5.375035,5.825147,84,36,0
5.25949,5.825147,72,29,0
5.298005,5.825147,77,29,0
5.3365197,5.825147,81,29,0
5.825147,6.2752595,72,27,0
5.825147,6.2752595,81,27,0
5.825147,6.2752595,84,34,0
5.825147,6.2752595,77,27,0
6.2752595,6.6725926,77,27,0
6.2752595,6.6725926,84,34,0
6.2752595,6.6725926,72,27,0
6.2752595,6.6725926,81,27,0
6.8418927,7.2860084,84,36,0
6.6725926,7.2860084,72,29,0
6.729026,7.2860084,77,29,0
6.7854595,7.2860084,81,29,0
7.2860084,7.742074,81,27,0
7.2860084,7.742074,77,27,0
7.2860084,7.742074,72,27,0
7.2860084,7.742074,84,34,0
7.742074,8.084123,72,27,0
7.742074,8.084123,77,27,0
7.742074,8.084123,84,34,0
7.742074,8.084123,81,27,0
8.198139,8.648769,84,36,0
8.084123,8.648769,72,29,0
8.1221285,8.648769,77,29,0
8.160134,8.648769,81,29,0
8.648769,9.088948,77,27,0
8.648769,9.088948,84,34,0
8.648769,9.088948,72,27,0
8.648769,9.088948,81,27,0
9.088948,9.419296,81,27,0
9.088948,9.419296,77,27,0
9.088948,9.419296,72,27,0
9.088948,9.419296,84,34,0
9.529412,9.960199,84,36,0
9.419296,9.960199,72,29,0
9.456001,9.960199,77,29,0
9.492707,9.960199,81,29,0
9.960199,10.416265,72,27,0
9.960199,10.416265,81,27,0
9.960199,10.416265,77,27,0
9.960199,10.416265,84,34,0
10.416265,10.762898,77,27,0
10.416265,10.762898,81,27,0
10.416265,10.762898,84,34,0
10.416265,10.762898,72,27,0
10.878443,11.328556,84,36,0
10.762898,11.328556,72,29,0
10.801414,11.328556,77,29,0
10.839929,11.328556,81,29,0
11.328556,11.778668,81,27,0
11.328556,11.778668,84,34,0
11.328556,11.778668,72,27,0
11.328556,11.778668,77,27,0
11.778668,12.14025,72,27,0
11.778668,12.14025,81,27,0
11.778668,12.14025,84,34,0
11.778668,12.14025,77,27,0
12.14025,12.692539,76,29,0
12.14025,12.731317,72,29,0
12.265985,12.731317,84,36,0
12.265985,12.770094,82,29,0
12.731317,12.770094,82,27,0
12.731317,13.211835,84,34,0
12.731317,13.211835,72,27,0
12.731317,13.211835,76,27,0
13.211835,13.553884,82,27,0
13.211835,13.553884,76,27,0
13.211835,13.553884,72,27,0
13.211835,13.553884,84,34,0
13.553884,14.08596,76,29,0
13.553884,14.123966,72,29,0
13.6679,14.123966,84,36,0
13.6679,14.16254,82,29,0
14.123966,14.16254,82,27,0
14.123966,14.580637,84,34,0
14.123966,14.580637,76,27,0
14.123966,14.580637,72,27,0
14.580637,14.914341,76,27,0
14.580637,14.914341,82,27,0
14.580637,14.914341,84,34,0
14.580637,14.914341,72,27,0
14.914341,15.439508,76,29,0
14.914341,15.476767,72,29,0
15.029672,15.476767,84,36,0
15.029672,15.514771,82,29,0
15.476767,15.514771,82,27,0
15.476767,15.932832,84,34,0
15.476767,15.932832,72,27,0
15.476767,15.932832,76,27,0
15.932832,16.274881,82,27,0
15.932832,16.274881,76,27,0
15.932832,16.274881,72,27,0
15.932832,16.274881,84,34,0
16.274881,16.8015,76,29,0
16.274881,16.83901,72,29,0
16.388897,16.83901,84,36,0
16.388897,16.876518,82,29,0
16.83901,16.876518,82,27,0
16.83901,17.289122,84,34,0
16.83901,17.289122,76,27,0
16.83901,17.289122,72,27,0
17.289122,17.654053,76,27,0
17.289122,17.654053,82,27,0
17.289122,17.654053,84,34,0
17.289122,17.654053,72,27,0
17.654053,18.20634,76,29,0
17.654053,18.245117,72,29,0
17.779785,18.245117,84,36,0
17.779785,18.283895,82,29,0
18.245117,18.283895,82,27,0
18.245117,18.715313,76,27,0
18.245117,18.715313,84,34,0
18.245117,18.715313,72,27,0
18.715313,19.057364,72,28,0
18.715313,19.057364,82,28,0
18.715313,19.057364,84,36,0
18.715313,19.057364,76,28,0
19.057364,19.593653,76,31,0
19.057364,19.633036,72,31,0
19.17138,19.633036,84,39,0
19.17138,19.669708,82,31,0
19.633036,19.669708,82,29,0
19.633036,20.08007,84,37,0
19.633036,20.08007,72,29,0
19.633036,20.08007,76,29,0
20.08007,20.438154,82,29,0
20.08007,20.438154,76,29,0
20.08007,20.438154,72,29,0
20.08007,20.438154,84,37,0
