start_time,end_time,note_value,velocity,instrument_program_number
0.25,0.3806817,88,100,40
0.3863635,0.5170452,87,100,40
0.522727,0.76751864,88,100,40
0.772727,1.0175186,83,100,40
1.022727,1.2675186,80,100,40
1.272727,1.5175186,83,100,40
1.522727,1.6425186,76,100,40
1.647727,1.7675186,78,100,40
1.772727,1.8925186,76,100,40
1.897727,2.0175188,75,100,40
2.022727,2.2675188,76,100,40
2.272727,2.5175188,71,100,40
2.522727,2.7897723,68,100,40
2.795454,3.089204,71,100,40
3.095454,3.239204,64,100,40
3.245454,3.389204,71,100,40
3.395454,3.5152457,66,100,40
3.520454,3.6402457,71,100,40
3.645454,3.7652457,68,100,40
3.770454,3.8902457,71,100,40
3.895454,4.0152454,69,100,40
4.020454,4.1402454,71,100,40
4.145454,4.2652454,68,100,40
4.270454,4.3902454,71,100,40
4.395454,4.5152454,66,100,40
4.520454,4.6402454,71,100,40
4.645454,4.7652454,64,100,40
4.770454,4.8902454,76,100,40
4.895454,5.0152454,75,100,40
5.020454,5.1402454,73,100,40
5.145454,5.2652454,71,100,40
5.270454,5.3902454,76,100,40
5.395454,5.5152454,75,100,40
5.520454,5.6402454,73,100,40
5.645454,5.7652454,71,100,40
5.770454,5.8902454,69,100,40
5.895454,6.0152454,68,100,40
6.020454,6.1402454,66,100,40
6.145454,6.2652454,64,90,40
6.270454,6.3902454,71,90,40
6.395454,6.5152454,66,90,40
6.520454,6.6402454,71,90,40
6.645454,6.7652454,68,90,40
6.770454,6.8902454,71,90,40
6.895454,7.0152454,69,90,40
7.020454,7.1402454,71,90,40
7.145454,7.2652454,68,90,40
7.270454,7.3902454,71,90,40
7.395454,7.5152454,66,90,40
7.520454,7.6402454,71,90,40
7.645454,7.7652454,64,90,40
7.770454,7.8902454,76,90,40
7.895454,8.015245,75,90,40
8.020454,8.140245,73,90,40
8.145454,8.265245,71,90,40
8.270454,8.390245,76,90,40
8.395454,8.515245,75,90,40
8.520454,8.640245,73,90,40
8.645454,8.776135,71,90,40
8.781817,8.912499,69,90,40
8.918181,9.061931,68,90,40
9.068181,9.211931,66,90,40
9.218181,9.348863,64,105,40
9.354545,9.485227,66,105,40
9.490908,9.6107,68,105,40
9.615908,9.7357,69,105,40
9.740908,9.8607,71,105,40
9.865908,9.9857,73,105,40
9.990908,10.1107,75,105,40
10.115908,10.2357,76,105,40
10.240908,10.3607,78,105,40
10.365908,10.4857,80,105,40
10.490908,10.6107,81,105,40
10.615908,10.7357,78,105,40
10.740908,10.8607,80,105,40
10.865908,10.9857,83,105,40
10.990908,11.1107,76,105,40
11.115908,11.2357,78,105,40
11.240908,11.3607,80,105,40
11.365908,11.4857,81,105,40
11.490908,11.6107,83,105,40
11.615908,11.7357,85,105,40
11.740908,11.8607,87,105,40
11.865908,11.9857,88,105,40
11.990908,12.1107,85,105,40
12.115908,12.2357,87,105,40
12.240908,12.3607,88,105,40
12.365908,12.4857,83,100,40
12.490908,12.6107,81,100,40
12.615908,12.7357,83,100,40
12.740908,12.8607,80,100,40
12.865908,12.9857,83,100,40
12.990908,13.1107,81,100,40
13.115908,13.2357,83,100,40
13.240908,13.3607,80,100,40
13.365908,13.4857,83,100,40
13.490908,13.6107,78,100,40
13.615908,13.7357,83,100,40
13.740908,13.8607,76,100,40
13.865908,13.9857,88,100,40
13.990908,14.1107,87,100,40
14.115908,14.2357,85,100,40
14.240908,14.3607,83,100,40
14.365908,14.4857,76,100,40
14.490908,14.6107,85,100,40
14.615908,14.7357,76,100,40
14.740908,14.8607,83,100,40
14.865908,14.9857,76,100,40
14.990908,15.1107,81,100,40
15.115908,15.2357,76,100,40
15.240908,15.3607,80,90,40
15.365908,15.4857,83,90,40
15.490908,15.6107,78,90,40
15.615908,15.7357,83,90,40
15.740908,15.8607,80,90,40
15.865908,15.9857,83,90,40
15.990908,16.1107,81,90,40
16.115908,16.2357,83,90,40
16.240908,16.3607,80,90,40
16.365908,16.4857,83,90,40
16.490908,16.6107,78,90,40
16.615908,16.7357,83,90,40
16.740908,16.8607,76,90,40
16.865908,16.9857,88,90,40
16.990908,17.1107,87,90,40
17.115908,17.2357,85,90,40
17.240908,17.3607,83,90,40
17.365908,17.4857,76,90,40
17.490908,17.6107,85,90,40
17.615908,17.7357,76,90,40
17.740908,17.87159,83,90,40
17.877272,18.007954,76,90,40
18.013636,18.157385,81,90,40
18.163635,18.307384,76,90,40
18.313635,18.457384,80,100,40
18.463634,18.607386,76,100,40
18.613634,18.744316,76,100,40
18.749998,19.006153,76,100,40
19.011362,19.256153,76,100,40
19.261362,19.506153,76,100,40
19.511362,19.756153,76,100,40
19.761362,20.006153,76,100,40
20.011362,20.256153,76,100,40
20.261362,20.506153,76,100,40
20.511362,20.756153,76,100,40
20.761362,21.006153,76,100,40
21.011362,21.256153,76,100,40
21.261362,21.506153,76,100,40
21.511362,21.756153,76,90,40
21.761362,22.006153,76,90,40
22.011362,22.256153,76,90,40
22.261362,22.506153,76,90,40
22.511362,22.756153,76,90,40
22.761362,23.006153,76,90,40
23.011362,23.256153,76,90,40
23.261362,23.506153,76,90,40
23.511362,23.756153,76,90,40
23.761362,24.006153,76,90,40
24.011362,24.256153,76,90,40
24.261362,24.506153,76,100,40
24.511362,24.756153,76,100,40
25.011362,25.256153,76,100,40
25.511362,25.756153,76,100,40
26.011362,26.256153,76,100,40
26.511362,26.756153,76,100,40
27.011362,27.256153,76,100,40
27.511362,27.756153,76,100,40
28.011362,28.256153,76,100,40
28.511362,28.756153,76,100,40
29.011362,29.256153,76,100,40
29.511362,29.756153,76,100,40
30.011362,30.256153,76,100,40
30.511362,30.756153,76,100,40
31.011362,31.256153,76,100,40
31.511362,31.756153,76,100,40
32.01136,32.256153,76,100,40
32.51136,32.756153,76,100,40
33.01136,33.256153,76,100,40
33.51136,33.756153,76,100,40
34.01136,34.256153,76,100,40
34.51136,34.756153,76,100,40
35.01136,35.256153,76,100,40
35.51136,35.756153,76,100,40
36.01136,36.256153,76,100,40
36.51136,36.756153,76,100,40
37.01136,37.256153,76,100,40
37.51136,37.756153,76,100,40
38.01136,38.256153,76,100,40
38.51136,38.756153,76,100,40
39.01136,39.256153,76,100,40
39.51136,39.756153,76,100,40
40.01136,40.256153,76,100,40
40.51136,40.756153,76,100,40
41.016796,41.272232,76,100,40
41.544464,41.81151,76,100,40
42.096413,42.38302,76,100,40
42.53927,42.669952,64,100,40
42.675632,42.806313,66,100,40
42.811996,42.93179,64,100,40
42.936996,43.05679,66,100,40
43.061996,43.18179,68,100,40
43.186996,43.30679,71,100,40
43.311996,43.43179,64,100,40
43.436996,43.55679,66,100,40
43.561996,43.68179,68,100,40
43.686996,43.80679,71,100,40
43.811996,43.93179,64,100,40
43.936996,44.05679,66,100,40
44.061996,44.18179,68,100,40
44.186996,44.30679,69,100,40
44.311996,44.43179,68,100,40
44.436996,44.55679,69,100,40
44.561996,44.68179,71,100,40
44.686996,44.80679,76,100,40
44.811996,44.93179,68,100,40
44.936996,45.05679,69,100,40
45.061996,45.18179,71,100,40
45.186996,45.30679,76,100,40
45.311996,45.43179,68,100,40
45.436996,45.55679,69,100,40
45.561996,45.68179,71,100,40
45.686996,45.80679,73,100,40
45.811996,45.93179,71,100,40
45.936996,46.05679,73,100,40
46.061996,46.18179,74,100,40
46.186996,46.30679,80,100,40
46.311996,46.43179,71,100,40
46.436996,46.55679,73,100,40
46.561996,46.68179,74,100,40
46.686996,46.80679,80,100,40
46.811996,46.93179,71,100,40
46.936996,47.05679,73,100,40
47.061996,47.18179,74,100,40
