start_time,end_time,note_value,velocity,instrument_program_number
0.15,0.3,76,100,73
0.3,0.45,81,100,73
0.45,0.6,80,100,73
0.6,0.75,81,100,73
0.75,0.9,84,100,73
0.9,1.05,81,100,73
1.05,1.2,76,100,73
1.2,1.35,69,100,73
1.35,1.5,76,100,73
1.5,1.65,81,100,73
1.65,1.8,80,100,73
1.8,1.95,81,100,73
1.95,2.1,84,100,73
2.1,2.25,81,100,73
2.25,2.4,76,100,73
2.4,2.55,69,100,73
2.55,2.7,72,100,73
2.7,2.85,76,100,73
2.85,3.0,77,100,73
3.0,3.15,68,100,73
3.15,3.3,77,100,73
3.3,3.45,76,100,73
3.45,3.6,74,100,73
3.6,3.75,72,100,73
3.75,3.9,76,100,73
3.9,4.05,80,100,73
4.05,4.2,81,100,73
4.2,4.35,64,100,73
4.35,4.5,74,100,73
4.5,4.65,72,100,73
4.65,4.8,71,100,73
4.8,4.95,69,100,73
4.95,5.1,72,100,73
5.1,5.25,76,100,73
5.25,5.4,77,100,73
5.4,5.55,68,100,73
5.55,5.7,77,100,73
5.7,5.85,76,100,73
5.85,6.0,74,100,73
6.0,6.15,72,100,73
6.15,6.3,76,100,73
6.3,6.45,80,100,73
6.45,6.6,81,100,73
6.6,6.75,64,100,73
6.75,6.9,74,100,73
6.9,7.05,72,100,73
7.05,7.2,71,100,73
7.2,7.35,69,100,73
7.35,7.5,72,100,73
7.5,7.65,68,100,73
7.65,7.8,69,100,73
7.8,7.95,65,100,73
7.95,8.1,74,100,73
8.1,8.25,68,100,73
8.25,8.4,69,100,73
8.4,8.55,64,100,73
8.55,8.7,72,100,73
8.7,8.85,68,100,73
8.85,9.0,69,100,73
9.0,9.15,62,100,73
9.15,9.3,72,100,73
9.3,9.45,71,100,73
9.45,9.6,69,100,73
9.6,9.75,68,100,73
9.75,9.9,64,100,73
9.9,10.05,68,100,73
10.05,10.2,71,100,73
10.2,10.35,76,100,73
10.35,10.5,80,100,73
10.5,10.65,83,100,73
10.65,10.8,86,100,73
10.8,10.95,89,100,73
10.95,11.1,86,100,73
11.1,11.25,83,100,73
11.25,11.4,80,100,73
11.4,11.55,76,100,73
11.55,11.7,74,100,73
11.7,11.85,72,100,73
11.85,12.0,71,100,73
12.0,12.15,72,100,73
12.15,12.3,69,100,73
12.3,12.45,72,100,73
12.45,12.6,76,100,73
12.6,12.75,81,100,73
12.75,12.9,84,100,73
12.9,13.05,88,100,73
13.05,13.2,77,100,73
13.2,13.35,79,100,73
13.35,13.5,82,100,73
13.5,13.65,79,100,73
13.65,13.8,76,100,73
13.8,13.95,72,100,73
13.95,14.1,70,100,73
14.1,14.25,69,100,73
14.25,14.4,67,100,73
14.4,14.55,69,100,73
14.55,14.7,65,100,73
14.7,14.85,69,100,73
14.85,15.0,72,100,73
15.0,15.15,74,100,73
15.15,15.3,77,100,73
