start_time,end_time,note_value,velocity,instrument_program_number
0.6,0.9,76,100,73
0.9,1.05,69,100,73
1.05,1.2,71,100,73
1.2,1.35,72,100,73
1.35,1.5,74,100,73
1.5,1.8,76,100,73
1.8,1.95,78,100,73
1.95,2.1,80,100,73
2.1,2.4,81,100,73
2.4,2.7,83,100,73
2.7,3.0,84,100,73
3.0,3.3,69,100,73
3.3,3.9,67,100,73
3.9,4.5,83,100,73
4.5,4.8,65,100,73
4.8,4.95,81,100,73
4.95,5.1,80,100,73
5.1,5.4,81,100,73
5.4,5.7,64,100,73
5.7,6.0,62,100,73
6.0,6.3,83,100,73
6.3,7.2,80,100,73
7.2,7.35,83,100,73
7.35,7.5,81,100,73
7.5,7.65,80,100,73
7.65,7.8,77,100,73
7.8,7.95,76,100,73
7.95,8.1,74,100,73
8.1,8.25,72,100,73
8.25,8.4,74,100,73
8.4,8.55,76,100,73
8.55,8.7,72,100,73
8.7,9.0,69,100,73
9.0,9.15,84,100,73
9.15,9.3,83,100,73
9.3,9.45,81,100,73
9.45,9.6,79,100,73
9.6,9.75,77,100,73
9.75,9.9,76,100,73
9.9,10.05,74,100,73
10.05,10.2,76,100,73
10.2,10.35,77,100,73
10.35,10.5,74,100,73
10.5,10.8,71,100,73
10.8,10.95,86,100,73
10.95,11.1,84,100,73
11.1,11.25,83,100,73
11.25,11.4,81,100,73
11.4,11.55,79,100,73
11.55,11.7,77,100,73
11.7,11.85,76,100,73
11.85,12.0,77,100,73
12.0,12.15,79,100,73
12.15,12.3,76,100,73
12.3,12.45,72,100,73
12.45,12.6,74,100,73
12.6,12.75,76,100,73
12.75,12.9,72,100,73
12.9,13.05,77,100,73
13.05,13.2,79,100,73
13.2,13.35,81,100,73
13.35,13.5,77,100,73
13.5,13.65,74,100,73
13.65,13.8,76,100,73
13.8,13.95,77,100,73
13.95,14.1,74,100,73
14.1,14.25,71,100,73
14.25,14.4,72,100,73
14.4,14.55,74,100,73
14.55,14.7,71,100,73
14.7,14.85,76,100,73
14.85,15.0,77,100,73
15.0,15.15,79,100,73
15.15,15.3,76,100,73
15.3,15.45,72,100,73
15.45,15.6,74,100,73
15.6,15.75,76,100,73
15.75,15.9,72,100,73
15.9,16.05,69,100,73
16.05,16.2,71,100,73
16.2,16.35,72,100,73
16.35,16.5,69,100,73
16.5,16.65,74,100,73
16.65,16.8,76,100,73
16.8,16.95,77,100,73
16.95,17.1,74,100,73
17.1,17.625,71,100,73
17.625,17.7,69,100,73
17.7,17.85,71,100,73
18.0,18.15,67,100,73
18.15,18.3,69,100,73
18.3,18.45,71,100,73
18.45,18.6,72,100,73
18.6,18.75,74,100,73
18.75,18.9,76,100,73
18.9,19.2,77,100,73
19.2,19.35,68,100,73
19.35,19.5,69,100,73
19.5,19.8,71,100,73
19.8,20.1,74,100,73
20.1,20.25,76,100,73
20.25,20.4,74,100,73
20.4,20.55,72,100,73
20.55,20.7,71,100,73
20.7,20.85,72,100,73
20.85,21.0,71,100,73
21.0,21.15,69,100,73
21.15,21.3,76,100,73
21.3,21.45,72,100,73
21.45,21.6,71,100,73
21.6,21.75,69,100,73
21.75,21.9,76,100,73
21.9,22.05,81,100,73
22.05,22.2,80,100,73
22.2,22.35,81,100,73
22.35,22.5,72,100,73
22.5,22.65,63,100,73
22.65,22.8,72,100,73
22.8,22.95,81,100,73
22.95,23.1,81,100,73
23.1,23.25,63,100,73
23.25,23.4,72,100,73
23.4,23.55,81,100,73
23.55,23.7,81,100,73
23.7,23.85,71,100,73
23.85,24.0,81,100,73
24.0,24.15,79,100,73
24.15,24.3,78,100,73
24.3,24.45,79,100,73
24.45,24.6,78,100,73
24.6,24.75,76,100,73
24.75,24.9,83,100,73
24.9,25.05,79,100,73
25.05,25.2,78,100,73
25.2,25.35,76,100,73
25.35,25.5,83,100,73
25.5,25.65,84,100,73
25.65,25.8,83,100,73
25.8,25.95,84,100,73
25.95,26.1,76,100,73
26.1,26.25,66,100,73
26.25,26.4,74,100,73
26.4,26.55,84,100,73
26.55,26.7,84,100,73
26.7,26.85,68,100,73
26.85,27.0,74,100,73
27.0,27.15,83,100,73
27.15,27.3,74,100,73
27.3,27.45,68,100,73
27.45,27.6,74,100,73
27.6,27.75,72,100,73
27.75,27.9,71,100,73
27.9,28.05,69,100,73
28.05,28.2,71,100,73
28.2,28.35,72,100,73
28.35,28.5,76,100,73
28.5,28.65,69,100,73
28.65,28.8,71,100,73
28.8,28.95,72,100,73
28.95,29.1,76,100,73
29.1,29.25,81,100,73
29.25,29.4,83,100,73
29.4,29.55,84,100,73
29.55,29.7,81,100,73
29.7,30.6,87,100,73
30.6,30.75,69,100,73
30.75,30.9,72,100,73
30.9,31.05,71,100,73
31.05,31.2,69,100,73
31.2,31.35,67,100,73
31.35,31.5,66,100,73
31.5,31.65,67,100,73
31.65,31.8,71,100,73
31.8,31.95,76,100,73
31.95,32.1,83,100,73
32.1,32.25,81,100,73
32.25,32.4,79,100,73
32.4,32.55,78,100,73
32.55,32.7,76,100,73
32.7,32.85,79,100,73
32.85,33.0,78,100,73
33.0,33.15,76,100,73
33.15,33.3,75,100,73
33.3,33.6,76,100,73
33.6,33.75,70,100,73
33.75,33.9,71,100,73
33.9,34.2,73,100,73
34.2,34.5,76,100,73
34.5,34.65,78,100,73
34.65,34.8,76,100,73
34.8,34.95,74,100,73
34.95,35.1,73,100,73
35.1,35.4,75,100,73
35.4,35.55,78,100,73
35.55,35.7,79,100,73
35.7,36.0,81,100,73
36.0,36.3,78,100,73
36.3,36.45,76,100,73
36.45,36.6,75,100,73
36.6,36.75,73,100,73
36.75,36.9,71,100,73
36.9,37.05,69,100,73
37.05,37.2,66,100,73
37.2,37.35,67,100,73
37.35,37.5,71,100,73
37.5,37.65,76,100,73
37.65,37.8,79,100,73
37.8,37.95,83,100,73
37.95,38.1,76,100,73
38.1,38.4,71,100,73
38.4,38.7,75,100,73
38.7,38.85,76,100,73
38.85,39.0,71,100,73
39.0,39.15,72,100,73
39.15,39.3,69,100,73
39.3,39.45,67,100,73
39.45,39.6,76,100,73
39.6,39.75,66,100,73
39.75,39.9,75,100,73
39.9,40.2,64,100,73
40.2,40.5,76,100,73
40.5,40.65,69,100,73
40.65,40.8,71,100,73
40.8,40.95,72,100,73
40.95,41.1,74,100,73
41.1,41.4,76,100,73
41.4,41.55,78,100,73
41.55,41.7,80,100,73
41.7,42.0,81,100,73
42.0,42.3,83,100,73
42.3,42.6,84,100,73
42.6,42.9,69,100,73
42.9,43.5,67,100,73
43.5,44.1,83,100,73
44.1,44.4,65,100,73
44.4,44.55,81,100,73
44.55,44.7,80,100,73
44.7,45.0,81,100,73
45.0,45.3,64,100,73
45.3,45.6,62,100,73
45.6,45.9,83,100,73
45.9,46.8,80,100,73
46.8,46.95,83,100,73
46.95,47.1,81,100,73
47.1,47.25,80,100,73
47.25,47.4,77,100,73
47.4,47.55,76,100,73
47.55,47.7,74,100,73
47.7,47.85,72,100,73
47.85,48.0,74,100,73
48.0,48.15,76,100,73
48.15,48.3,72,100,73
48.3,48.6,69,100,73
48.6,48.75,84,100,73
48.75,48.9,83,100,73
48.9,49.05,81,100,73
49.05,49.2,79,100,73
49.2,49.35,77,100,73
49.35,49.5,76,100,73
49.5,49.65,74,100,73
49.65,49.8,76,100,73
49.8,49.95,77,100,73
49.95,50.1,74,100,73
50.1,50.4,71,100,73
50.4,50.55,86,100,73
50.55,50.7,84,100,73
50.7,50.85,83,100,73
50.85,51.0,81,100,73
51.0,51.15,79,100,73
51.15,51.3,77,100,73
51.3,51.45,76,100,73
51.45,51.6,77,100,73
51.6,51.75,79,100,73
51.75,51.9,76,100,73
51.9,52.05,72,100,73
52.05,52.2,74,100,73
52.2,52.35,76,100,73
52.35,52.5,72,100,73
52.5,52.65,77,100,73
52.65,52.8,79,100,73
52.8,52.95,81,100,73
52.95,53.1,77,100,73
53.1,53.25,74,100,73
53.25,53.4,76,100,73
53.4,53.55,77,100,73
53.55,53.7,74,100,73
53.7,53.85,71,100,73
53.85,54.0,72,100,73
54.0,54.15,74,100,73
54.15,54.3,71,100,73
54.3,54.45,76,100,73
54.45,54.6,77,100,73
54.6,54.75,79,100,73
54.75,54.9,76,100,73
54.9,55.05,72,100,73
55.05,55.2,74,100,73
55.2,55.35,76,100,73
55.35,55.5,72,100,73
55.5,55.65,69,100,73
55.65,55.8,71,100,73
55.8,55.95,72,100,73
55.95,56.1,69,100,73
56.1,56.25,74,100,73
56.25,56.4,76,100,73
56.4,56.55,77,100,73
56.55,56.7,74,100,73
56.7,57.225,71,100,73
57.225,57.3,69,100,73
57.3,57.45,71,100,73
57.6,57.75,67,100,73
57.75,57.9,69,100,73
57.9,58.05,71,100,73
58.05,58.2,72,100,73
58.2,58.35,74,100,73
58.35,58.5,76,100,73
58.5,58.8,77,100,73
58.8,58.95,68,100,73
58.95,59.1,69,100,73
59.1,59.4,71,100,73
59.4,59.7,74,100,73
59.7,59.85,76,100,73
59.85,60.0,74,100,73
60.0,60.15,72,100,73
60.15,60.3,71,100,73
60.3,60.45,72,100,73
60.45,60.6,71,100,73
