start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.4285715,69,100,73
0.4285715,0.857143,71,100,73
0.857143,1.2857145,72,100,73
1.2857145,1.714286,76,100,73
1.714286,2.1428576,68,100,73
2.1428576,2.571429,69,100,73
2.571429,4.285715,65,100,73
4.285715,4.7142863,64,100,73
4.7142863,5.142858,66,100,73
5.142858,5.5714297,68,100,73
5.5714297,6.000001,69,100,73
6.000001,6.4285727,71,100,73
6.4285727,6.857144,74,100,73
6.857144,7.2857156,77,100,73
7.2857156,7.714287,76,100,73
7.714287,8.1428585,74,100,73
8.1428585,8.57143,71,100,73
8.57143,9.000002,72,100,73
9.000002,9.428573,69,100,73
9.428573,10.285716,71,100,73
10.285716,10.714288,69,100,73
10.714288,11.142859,71,100,73
11.142859,11.57143,72,100,73
11.57143,12.000002,76,100,73
12.000002,12.428574,68,100,73
12.428574,12.857145,69,100,73
12.857145,13.714288,77,100,73
13.714288,14.571431,76,100,73
14.571431,15.428574,74,100,73
15.428574,15.857145,67,100,73
15.857145,16.285717,69,100,73
16.285717,16.714289,71,100,73
16.714289,17.14286,74,100,73
17.14286,17.571432,66,100,73
17.571432,18.000004,67,100,73
18.000004,18.857145,76,100,73
18.857145,19.714289,74,85,73
19.714289,20.14286,72,100,73
20.14286,20.571432,76,100,73
20.571432,21.000004,79,100,73
21.000004,21.428576,76,100,73
21.428576,21.857147,74,100,73
21.857147,22.285719,72,100,73
22.285719,22.714289,71,100,73
22.714289,23.14286,72,100,73
23.14286,24.428576,67,100,73
24.428576,24.64286,69,100,73
24.64286,24.857147,71,100,73
24.857147,25.071432,72,100,73
25.071432,25.285719,74,100,73
25.285719,25.500004,76,100,73
25.500004,25.71429,77,100,73
25.71429,25.928576,79,100,73
25.928576,26.142862,77,100,73
26.142862,26.357147,76,100,73
26.357147,26.571432,79,100,73
26.571432,26.785719,77,100,73
26.785719,27.000004,76,100,73
27.000004,27.21429,74,100,73
27.21429,27.428576,77,100,73
27.428576,27.642862,76,100,73
27.642862,27.857147,74,100,73
27.857147,28.071434,72,100,73
28.071434,28.285719,76,100,73
28.285719,29.571434,69,100,73
29.571434,29.785719,71,100,73
29.785719,30.000006,72,100,73
30.000006,30.21429,74,100,73
30.21429,30.428577,76,100,73
30.428577,30.642862,77,100,73
30.642862,30.857147,79,100,73
30.857147,31.071434,81,100,73
31.071434,31.285719,79,100,73
31.285719,31.500006,77,100,73
31.500006,31.71429,81,100,73
31.71429,31.928577,79,100,73
31.928577,32.142864,77,100,73
32.142864,32.357147,76,100,73
32.357147,32.571434,79,100,73
32.571434,32.78572,77,100,73
32.78572,33.000004,76,100,73
33.000004,33.21429,74,100,73
33.21429,33.428577,77,100,73
33.428577,33.857147,83,100,73
33.857147,34.071434,84,100,73
34.071434,34.28572,86,100,73
34.28572,34.500008,84,100,73
34.500008,34.71429,83,100,73
34.71429,34.928577,81,100,73
34.928577,35.142864,79,100,73
35.142864,35.357147,77,100,73
35.357147,35.571434,76,100,73
35.571434,35.78572,77,100,73
35.78572,36.000008,71,100,73
36.000008,36.428577,76,100,73
36.428577,36.642864,74,100,73
36.642864,36.857147,72,100,73
36.857147,37.28572,79,100,73
37.28572,37.71429,81,100,73
37.71429,38.142864,76,100,73
38.142864,38.35715,74,100,73
38.35715,38.571434,72,100,73
38.571434,40.28572,72,100,73
41.142864,41.571434,76,100,73
41.571434,42.000008,72,100,73
42.000008,42.428577,71,100,73
42.428577,42.85715,72,100,73
42.85715,43.28572,81,100,73
43.28572,43.714294,79,100,73
43.714294,45.428577,76,100,73
45.428577,45.85715,74,100,73
45.85715,46.28572,76,100,73
46.28572,46.714294,77,100,73
46.714294,47.142864,74,100,73
47.142864,47.571438,68,100,73
47.571438,48.000008,76,100,73
48.000008,48.42858,83,100,73
48.42858,48.85715,74,100,73
48.85715,49.714294,72,100,73
49.714294,50.142864,71,100,73
50.142864,50.571438,72,100,73
50.571438,51.42858,69,100,73
51.42858,51.85715,81,100,73
51.85715,52.071438,79,100,73
52.071438,52.285725,77,100,73
52.285725,52.714294,76,100,73
52.714294,53.142864,74,100,73
53.142864,53.571438,73,100,73
53.571438,54.000008,74,100,73
54.000008,54.42858,82,100,73
54.42858,54.642868,81,100,73
54.642868,54.85715,79,100,73
54.85715,55.285725,77,100,73
55.285725,55.714294,76,100,73
55.714294,56.142868,81,100,73
56.142868,56.571438,69,100,73
56.571438,56.785725,65,100,73
56.785725,57.000008,81,100,73
57.000008,57.214294,79,100,73
57.214294,57.42858,77,100,73
57.42858,57.85715,76,100,73
57.85715,58.285725,74,100,73
58.285725,58.714294,73,100,73
58.714294,59.142868,74,100,73
59.142868,59.571438,67,100,73
59.571438,59.785725,82,100,73
59.785725,60.00001,81,100,73
60.00001,60.42858,79,100,73
60.42858,60.642868,77,100,73
60.642868,60.857155,76,100,73
60.857155,61.285725,85,100,73
61.285725,61.50001,83,100,73
61.50001,61.714294,85,100,73
61.714294,62.142868,86,100,73
62.142868,62.357155,74,100,73
62.357155,62.571438,76,100,73
62.571438,63.00001,77,100,73
63.00001,63.42858,81,100,73
63.42858,63.642868,79,100,73
63.642868,63.857155,77,100,73
63.857155,64.07144,76,100,73
64.07144,64.28573,77,100,73
64.28573,64.714294,74,100,73
