start_time,end_time,note_value,velocity,instrument_program_number
1.02,1.32,55,100,42
1.32,1.62,57,100,42
1.62,1.92,59,100,42
1.92,2.22,60,100,42
2.22,2.37,59,100,42
2.37,2.52,57,100,42
2.52,2.82,55,100,42
2.82,3.12,53,100,42
3.12,3.42,52,100,42
3.42,3.57,55,100,42
3.57,3.72,53,100,42
3.72,4.02,52,100,42
4.02,4.32,50,100,42
4.32,4.62,48,100,42
4.62,4.77,43,100,42
4.77,4.92,41,100,42
4.92,5.22,40,100,42
5.22,5.52,38,100,42
5.52,5.82,36,100,42
5.82,6.12,48,100,42
6.12,6.42,50,100,42
6.42,6.72,52,100,42
6.72,7.02,53,100,42
7.02,7.17,52,100,42
7.17,7.32,50,100,42
7.32,7.62,52,100,42
7.62,7.92,55,100,42
7.92,8.22,50,100,42
8.22,8.37,48,100,42
8.37,8.52,47,100,42
8.52,8.82,48,100,42
8.82,9.12,55,100,42
9.12,9.72,47,100,42
9.72,10.02,45,100,42
10.02,10.32,43,100,42
10.32,10.47,55,100,42
10.47,10.62,53,100,42
10.62,10.77,52,100,42
10.77,10.92,53,100,42
10.92,11.22,55,100,42
11.22,11.52,52,100,42
11.52,11.82,45,100,42
11.82,12.12,55,100,42
12.12,12.42,60,100,42
12.42,12.72,52,100,42
12.72,12.87,53,100,42
12.87,13.02,52,100,42
13.02,13.17,50,100,42
13.17,13.32,52,100,42
13.32,13.62,53,100,42
13.62,13.92,50,100,42
13.92,14.22,43,100,42
14.22,14.52,53,100,42
14.52,14.82,59,100,42
14.82,15.12,50,100,42
15.12,15.27,52,100,42
15.27,15.42,50,100,42
15.42,15.57,48,100,42
15.57,15.72,50,100,42
15.72,16.02,52,100,42
16.02,16.32,48,100,42
16.32,16.47,41,100,42
16.47,16.62,45,100,42
16.62,16.77,47,100,42
16.77,16.92,48,100,42
16.92,17.22,50,100,42
17.22,17.52,53,100,42
17.52,17.82,52,100,42
17.82,18.12,48,100,42
18.12,18.42,43,100,42
18.42,18.72,47,100,42
18.72,19.32,48,100,42
19.32,19.92,36,100,42
19.92,20.07,52,100,42
20.07,20.22,50,100,42
20.22,20.37,48,100,42
20.37,20.52,47,100,42
20.52,20.82,48,100,42
20.82,21.12,52,100,42
21.12,21.42,54,100,42
21.42,21.72,57,100,42
21.72,22.02,62,100,42
22.02,22.32,54,100,42
22.32,22.62,55,100,42
22.62,22.92,47,100,42
22.92,23.22,45,100,42
23.22,23.52,43,100,42
23.52,24.42,42,100,42
24.42,24.57,50,100,42
24.57,24.72,52,100,42
24.72,24.87,54,100,42
24.87,25.02,55,100,42
25.02,25.17,57,100,42
25.17,25.32,59,100,42
25.32,25.62,60,100,42
25.62,25.92,57,100,42
25.92,26.22,59,100,42
26.22,26.37,50,100,42
26.37,26.52,48,100,42
26.52,26.82,50,100,42
26.82,27.12,52,100,42
27.12,27.42,53,100,42
27.42,27.72,45,100,42
27.72,28.02,47,100,42
28.02,28.32,53,100,42
28.32,28.62,52,100,42
28.92,29.22,54,100,42
29.52,29.82,55,100,42
30.12,30.42,57,100,42
30.72,31.02,59,100,42
31.32,31.62,60,100,42
31.92,32.22,62,100,42
32.52,32.82,64,100,42
33.12,33.27,66,100,42
33.27,33.42,60,100,42
33.42,33.57,50,100,42
33.57,33.72,60,100,42
33.72,34.02,66,100,42
34.02,34.32,60,100,42
