start_time,end_time,note_value,velocity,instrument_program_number
0.6,0.7935485,60,100,42
0.7935485,0.987097,60,100,42
0.987097,1.1806455,55,100,42
1.1806455,1.374194,52,100,42
1.374194,1.5677425,48,100,42
1.5677425,1.761291,43,100,42
1.761291,1.9548395,40,100,42
1.9548395,2.148388,36,100,42
2.148388,2.3419366,60,100,42
2.3419366,2.535485,62,100,42
2.535485,2.7290335,60,100,42
2.7290335,2.922582,59,100,42
2.922582,3.1161306,60,100,42
3.1161306,3.309679,62,100,42
3.309679,3.5032275,59,100,42
3.5032275,3.696776,55,100,42
3.696776,3.8903246,50,100,42
3.8903246,4.083873,47,100,42
4.083873,4.2774215,43,100,42
4.2774215,4.47097,41,100,42
4.47097,4.6645184,62,100,42
4.6645184,4.858067,60,100,42
4.858067,5.0516157,59,100,42
5.0516157,5.245164,57,100,42
5.245164,5.4387126,55,100,42
5.4387126,5.632261,60,100,42
5.632261,5.8258095,59,100,42
5.8258095,6.019358,57,100,42
6.019358,6.2129064,55,100,42
6.2129064,6.406455,53,100,42
6.406455,6.6000037,52,100,42
6.6000037,6.793552,53,100,42
6.793552,6.9871006,50,100,42
6.9871006,7.180649,43,100,42
7.180649,7.3741975,57,100,42
7.3741975,7.567746,55,100,42
7.567746,7.7612944,53,100,42
7.7612944,7.954843,52,100,42
7.954843,8.148392,50,100,42
8.148392,8.34194,48,100,42
8.34194,8.535488,47,100,42
8.535488,8.729037,48,100,42
8.729037,8.9225855,43,100,42
8.9225855,9.503231,36,100,42
9.503231,9.600005,48,100,42
9.600005,9.696779,50,100,42
9.696779,9.890328,52,100,42
9.890328,10.083877,54,100,42
10.083877,10.277425,47,100,42
10.277425,10.470974,50,100,42
10.470974,10.664522,55,100,42
10.664522,10.85807,57,100,42
10.85807,11.051619,59,100,42
11.051619,11.245168,60,100,42
11.245168,11.438716,56,100,42
11.438716,11.632264,62,100,42
11.632264,11.825813,52,100,42
11.825813,12.0193615,62,100,42
12.0193615,12.21291,60,100,42
12.21291,12.406459,59,100,42
12.406459,12.600007,60,100,42
12.600007,12.793555,59,100,42
12.793555,12.987104,57,100,42
12.987104,13.180653,56,100,42
13.180653,13.374201,57,100,42
13.374201,13.567749,52,100,42
13.567749,13.761298,48,100,42
13.761298,13.954846,50,100,42
13.954846,14.148395,52,100,42
14.148395,14.341944,48,100,42
14.341944,14.535492,45,100,42
14.535492,14.72904,43,100,42
14.72904,14.922589,42,100,42
14.922589,15.1161375,45,100,42
15.1161375,15.309686,50,100,42
15.309686,15.503235,52,100,42
15.503235,15.696783,54,100,42
15.696783,15.890331,55,100,42
15.890331,16.08388,57,100,42
16.08388,16.277428,54,100,42
16.277428,16.470978,50,100,42
16.470978,16.664526,60,100,42
16.664526,16.858074,59,100,42
16.858074,17.051622,57,100,42
17.051622,17.24517,59,100,42
17.24517,17.438719,57,100,42
17.438719,17.632269,55,100,42
17.632269,17.825817,54,100,42
17.825817,18.019365,55,100,42
18.019365,18.212914,50,100,42
18.212914,18.406462,47,100,42
18.406462,18.60001,48,100,42
18.60001,18.793558,50,100,42
18.793558,18.987108,47,100,42
18.987108,19.180656,43,100,42
19.180656,19.374205,41,100,42
19.374205,19.567753,40,100,42
19.567753,19.761301,55,100,42
19.761301,19.95485,57,100,42
19.95485,20.1484,55,100,42
20.1484,20.341948,54,100,42
20.341948,20.535496,55,100,42
20.535496,20.729044,48,100,42
20.729044,20.922592,50,100,42
20.922592,21.11614,48,100,42
21.11614,21.309689,47,100,42
21.309689,21.503239,45,100,42
21.503239,21.696787,43,100,42
21.696787,21.890335,42,100,42
21.890335,22.083883,57,100,42
22.083883,22.277431,59,100,42
22.277431,22.47098,57,100,42
22.47098,22.66453,55,100,42
22.66453,22.858078,57,100,42
22.858078,23.051626,48,100,42
23.051626,23.245174,52,100,42
23.245174,23.438723,50,100,42
23.438723,23.63227,48,100,42
23.63227,23.82582,47,100,42
23.82582,24.01937,45,100,42
24.01937,24.212917,43,100,42
24.212917,24.406466,59,100,42
24.406466,24.600014,60,100,42
24.600014,24.793562,59,100,42
24.793562,24.98711,52,100,42
24.98711,25.18066,59,100,42
25.18066,25.374208,45,100,42
25.374208,25.567757,60,100,42
25.567757,25.761305,62,100,42
25.761305,25.954853,60,100,42
25.954853,26.148401,54,100,42
26.148401,26.341951,60,100,42
26.341951,26.5355,47,100,42
26.5355,26.729048,62,100,42
26.729048,26.922596,64,100,42
26.922596,27.116144,62,100,42
27.116144,27.309692,60,100,42
27.309692,27.50324,59,100,42
27.50324,27.69679,57,100,42
27.69679,27.890339,55,100,42
27.890339,28.083887,53,100,42
28.083887,28.277435,52,100,42
28.277435,28.470984,53,100,42
28.470984,28.664532,50,100,42
28.664532,28.858082,36,100,42
28.858082,29.05163,53,100,42
29.05163,29.245178,52,100,42
29.245178,29.438726,50,100,42
29.438726,29.632275,52,100,42
29.632275,29.825823,48,100,42
29.825823,30.019373,47,100,42
30.019373,30.212921,48,100,42
30.212921,30.40647,50,100,42
30.40647,30.600018,52,100,42
30.600018,30.793566,54,100,42
30.793566,30.987114,55,100,42
30.987114,31.180662,45,100,42
31.180662,31.374212,50,100,42
31.374212,31.56776,52,100,42
31.56776,31.761309,54,100,42
31.761309,31.954857,55,100,42
31.954857,32.148407,57,100,42
32.148407,32.341953,43,100,42
32.341953,32.535503,52,100,42
32.535503,32.72905,54,100,42
32.72905,32.9226,55,100,42
32.9226,33.11615,57,100,42
33.11615,33.309696,59,100,42
33.309696,33.503246,38,100,42
33.503246,33.696793,60,100,42
33.696793,33.890343,57,100,42
33.890343,34.08389,60,100,42
34.08389,34.27744,54,100,42
34.27744,34.47099,60,100,42
34.47099,34.664536,50,100,42
34.664536,34.858086,60,100,42
34.858086,35.051632,57,100,42
35.051632,35.245182,60,100,42
35.245182,35.43873,54,100,42
35.43873,35.63228,60,100,42
35.63228,35.82583,50,100,42
35.82583,36.019375,58,100,42
36.019375,36.212925,55,100,42
36.212925,36.40647,58,100,42
36.40647,36.60002,54,100,42
36.60002,36.793568,58,100,42
36.793568,36.987118,50,100,42
36.987118,37.180668,58,100,42
37.180668,37.374214,55,100,42
37.374214,37.567764,58,100,42
37.567764,37.76131,54,100,42
37.76131,37.95486,58,100,42
37.95486,38.14841,51,100,42
38.14841,38.341957,57,100,42
38.341957,38.535507,55,100,42
38.535507,38.729053,57,100,42
38.729053,38.922604,54,100,42
38.922604,39.11615,57,100,42
39.11615,39.3097,51,100,42
39.3097,39.50325,57,100,42
39.50325,39.696796,55,100,42
39.696796,39.890347,57,100,42
39.890347,40.083893,54,100,42
40.083893,40.277443,57,100,42
40.277443,40.47099,60,100,42
40.47099,40.66454,57,100,42
40.66454,40.85809,54,100,42
40.85809,41.051636,50,100,42
41.051636,41.245186,45,100,42
41.245186,41.438732,42,100,42
41.438732,42.01938,38,100,42
42.01938,42.21293,50,100,42
42.21293,42.406475,54,100,42
42.406475,42.600025,57,100,42
42.600025,42.79357,59,100,42
42.79357,42.98712,60,100,42
42.98712,43.18067,62,100,42
43.18067,43.374218,57,100,42
43.374218,43.56777,59,100,42
43.56777,43.761314,55,100,42
43.761314,43.954865,57,100,42
43.954865,44.14841,59,100,42
44.14841,44.34196,60,100,42
44.34196,44.53551,55,100,42
44.53551,44.729057,57,100,42
44.729057,44.922607,54,100,42
44.922607,45.116154,55,100,42
45.116154,45.309704,50,100,42
45.309704,45.50325,52,100,42
45.50325,45.6968,48,100,42
45.6968,45.89035,45,100,42
45.89035,46.083897,54,100,42
