start_time,end_time,note_value,velocity,instrument_program_number
0.0,1.5,60,100,42
1.5,2.625,60,100,42
2.625,3.0,57,100,42
3.0,4.5,59,100,42
4.5,6.0,58,100,42
6.0,7.125,58,100,42
7.125,7.5,55,100,42
7.5,9.0,57,100,42
9.0,9.75,50,100,42
9.75,10.125,52,100,42
10.125,10.5,53,100,42
10.5,11.625,53,100,42
11.625,12.0,50,100,42
12.0,12.75,52,100,42
12.75,13.5,53,100,42
13.5,13.875,48,100,42
13.875,14.25,47,100,42
14.25,14.625,48,100,42
14.625,15.0,45,100,42
15.0,15.75,47,100,42
15.75,16.5,50,100,42
16.5,17.25,43,100,42
17.25,18.0,41,100,42
18.0,19.5,40,100,42
19.5,21.0,45,100,42
22.5,24.0,38,100,42
24.0,25.5,43,100,42
27.0,27.75,49,100,42
28.5,29.25,50,100,42
33.0,36.0,55,100,42
36.0,37.5,60,100,42
37.5,38.625,60,100,42
38.625,39.0,57,100,42
39.0,40.5,59,100,42
40.5,42.0,58,100,42
42.0,43.125,58,100,42
43.125,43.5,55,100,42
43.5,45.0,57,100,42
45.0,45.75,50,100,42
45.75,46.125,52,100,42
46.125,46.5,53,100,42
46.5,47.625,53,100,42
47.625,48.0,50,100,42
48.0,48.75,52,100,42
48.75,49.5,53,100,42
49.5,49.875,48,100,42
49.875,50.25,47,100,42
50.25,50.625,48,100,42
50.625,51.0,45,100,42
51.0,51.75,47,100,42
51.75,52.5,50,100,42
52.5,53.25,43,100,42
53.25,54.0,41,100,42
54.0,55.5,40,100,42
55.5,57.0,45,100,42
58.5,60.0,38,100,42
60.0,61.5,43,100,42
63.0,63.75,49,100,42
64.5,65.25,50,100,42
69.0,72.0,55,100,42
72.0,73.5,59,100,42
73.5,75.0,59,100,42
76.5,78.0,59,100,42
78.0,79.5,59,100,42
105.0,108.0,53,100,42
108.0,109.125,54,100,42
109.125,109.3125,55,100,42
109.3125,109.5,57,100,42
109.5,109.875,55,100,42
109.875,110.25,54,100,42
110.25,110.625,52,100,42
110.625,111.0,54,100,42
111.0,111.375,55,100,42
111.375,111.75,52,100,42
111.75,112.125,54,100,42
112.125,112.5,57,100,42
112.5,113.625,60,100,42
113.625,113.8125,62,100,42
113.8125,114.0,64,100,42
114.0,114.375,62,100,42
114.375,114.75,60,100,42
114.75,115.125,59,100,42
115.125,115.5,60,100,42
115.5,115.875,62,100,42
115.875,116.25,59,100,42
116.25,116.625,60,100,42
116.625,117.0,64,100,42
117.0,117.75,62,100,42
117.75,118.5,47,100,42
118.5,119.25,48,100,42
119.25,120.0,57,100,42
120.0,120.75,59,100,42
120.75,121.5,60,100,42
121.5,122.25,60,100,42
122.25,123.0,59,100,42
123.0,123.75,57,100,42
123.75,124.5,59,100,42
124.5,125.25,55,100,42
125.25,126.0,45,100,42
126.0,126.75,46,100,42
126.75,127.125,52,100,42
127.125,127.5,53,100,42
127.5,127.875,55,100,42
127.875,128.25,53,100,42
128.25,128.625,52,100,42
128.625,129.0,55,100,42
129.0,129.75,53,100,42
129.75,130.5,47,100,42
130.5,131.25,48,100,42
131.25,131.625,54,100,42
131.625,132.0,55,100,42
132.0,132.375,57,100,42
132.375,132.75,55,100,42
132.75,133.125,54,100,42
133.125,133.5,57,100,42
133.5,133.875,55,100,42
133.875,134.25,62,100,42
134.25,134.625,55,100,42
134.625,135.0,53,100,42
135.0,135.75,52,100,42
135.75,136.5,48,100,42
136.5,137.25,41,100,42
137.25,138.0,50,100,42
138.0,138.75,43,100,42
138.75,139.125,48,100,42
139.125,139.5,47,100,42
139.5,141.0,48,100,42
141.0,144.0,36,100,42
144.0,145.5,59,100,42
145.5,147.0,59,100,42
148.5,150.0,59,100,42
150.0,151.5,59,100,42
177.0,180.0,53,100,42
180.0,181.125,54,100,42
181.125,181.3125,55,100,42
181.3125,181.5,57,100,42
181.5,181.875,55,100,42
181.875,182.25,54,100,42
182.25,182.625,52,100,42
182.625,183.0,54,100,42
183.0,183.375,55,100,42
183.375,183.75,52,100,42
183.75,184.125,54,100,42
184.125,184.5,57,100,42
184.5,185.625,60,100,42
185.625,185.8125,62,100,42
185.8125,186.0,64,100,42
186.0,186.375,62,100,42
186.375,186.75,60,100,42
186.75,187.125,59,100,42
187.125,187.5,60,100,42
187.5,187.875,62,100,42
