start_time,end_time,note_value,velocity,instrument_program_number
0.72,0.92,52,100,42
0.92,1.12,53,100,42
1.12,1.52,55,100,42
1.52,1.72,48,100,42
1.72,1.92,47,100,42
1.92,2.32,48,100,42
2.32,2.72,60,100,42
2.72,3.12,59,100,42
3.12,3.32,57,100,42
3.32,3.52,59,100,42
3.52,3.92,55,100,42
3.92,4.12,50,100,42
4.12,4.32,52,100,42
4.32,4.72,53,100,42
4.72,4.92,47,100,42
4.92,5.12,45,100,42
5.12,5.52,47,100,42
5.52,5.92,55,100,42
5.92,6.12,53,100,42
6.12,6.32,52,100,42
6.32,6.52,50,100,42
6.52,6.72,52,100,42
6.72,7.12,48,100,42
7.12,7.32,60,100,42
7.32,7.52,59,100,42
7.52,7.72,57,100,42
7.72,7.92,59,100,42
7.92,8.12,60,100,42
8.12,8.32,55,100,42
8.32,8.52,54,100,42
8.52,8.72,59,100,42
8.72,8.92,60,100,42
8.92,9.12,52,100,42
9.12,9.32,50,100,42
9.32,9.52,59,100,42
9.52,9.72,60,100,42
9.72,9.92,48,100,42
9.92,10.12,47,100,42
10.12,10.32,50,100,42
10.32,10.52,54,100,42
10.52,10.72,57,100,42
10.72,11.12,62,100,42
11.12,11.32,59,100,42
11.32,11.52,55,100,42
11.52,11.92,50,100,42
11.92,12.32,54,100,42
12.32,12.72,55,100,42
12.72,13.12,50,100,42
13.12,13.52,43,100,42
13.52,13.72,52,100,42
13.72,13.92,53,100,42
13.92,14.32,55,100,42
14.32,14.52,48,100,42
14.52,14.72,47,100,42
14.72,15.12,48,100,42
15.12,15.52,60,100,42
15.52,15.92,59,100,42
15.92,16.12,57,100,42
16.12,16.32,59,100,42
16.32,16.72,55,100,42
16.72,16.92,50,100,42
16.92,17.12,52,100,42
17.12,17.52,53,100,42
17.52,17.72,47,100,42
17.72,17.92,45,100,42
17.92,18.32,47,100,42
18.32,18.72,55,100,42
18.72,18.92,53,100,42
18.92,19.12,52,100,42
19.12,19.32,50,100,42
19.32,19.52,52,100,42
19.52,19.92,48,100,42
19.92,20.12,60,100,42
20.12,20.32,59,100,42
20.32,20.52,57,100,42
20.52,20.72,59,100,42
20.72,20.92,60,100,42
20.92,21.12,55,100,42
21.12,21.32,54,100,42
21.32,21.52,59,100,42
21.52,21.72,60,100,42
21.72,21.92,52,100,42
21.92,22.12,50,100,42
22.12,22.32,59,100,42
22.32,22.52,60,100,42
22.52,22.72,48,100,42
22.72,22.92,47,100,42
22.92,23.12,50,100,42
23.12,23.32,54,100,42
23.32,23.52,57,100,42
23.52,23.92,62,100,42
23.92,24.12,59,100,42
24.12,24.32,55,100,42
24.32,24.72,50,100,42
24.72,25.12,54,100,42
25.12,25.52,55,100,42
25.52,25.92,50,100,42
25.92,26.32,43,100,42
26.32,26.52,59,100,42
26.52,26.72,60,100,42
26.72,27.12,62,100,42
27.12,27.32,59,100,42
27.32,27.52,55,100,42
27.52,27.92,53,100,42
27.92,28.32,59,100,42
28.32,28.52,52,100,42
28.52,28.72,55,100,42
28.72,28.92,60,100,42
28.92,29.12,62,100,42
29.12,29.52,64,100,42
29.52,29.72,60,100,42
29.72,29.92,56,100,42
29.92,30.32,57,100,42
30.32,30.52,53,100,42
30.52,30.72,57,100,42
30.72,30.92,50,100,42
30.92,31.12,60,100,42
31.12,31.32,59,100,42
31.32,31.52,57,100,42
31.52,31.72,52,100,42
31.72,31.92,57,100,42
31.92,32.12,56,100,42
32.12,32.32,54,100,42
32.32,32.72,52,100,42
32.72,32.92,59,100,42
32.92,33.12,52,100,42
33.12,33.32,60,100,42
33.32,33.52,57,100,42
33.52,33.72,56,100,42
33.72,33.92,57,100,42
33.92,34.12,59,100,42
34.12,34.32,52,100,42
34.32,34.52,60,100,42
34.52,34.72,52,100,42
34.72,34.92,62,100,42
34.92,35.12,59,100,42
35.12,35.32,57,100,42
35.32,35.52,59,100,42
35.52,35.72,60,100,42
35.72,35.92,52,100,42
35.92,36.12,62,100,42
36.12,36.32,50,100,42
36.32,36.52,48,100,42
36.52,36.72,64,100,42
36.72,36.92,59,100,42
36.92,37.12,60,100,42
37.12,37.52,52,100,42
37.52,37.72,57,100,42
37.72,37.92,56,100,42
37.92,38.32,57,100,42
38.32,38.72,52,100,42
38.72,39.12,45,100,42
39.12,39.32,57,100,42
39.32,39.52,59,100,42
39.52,39.92,60,100,42
39.92,40.12,54,100,42
40.12,40.32,52,100,42
40.32,40.72,54,100,42
40.72,41.12,50,100,42
41.12,41.32,43,100,42
41.32,41.52,50,100,42
41.52,41.72,60,100,42
41.72,41.92,57,100,42
41.92,42.32,59,100,42
42.32,42.52,55,100,42
42.52,42.72,53,100,42
42.72,42.92,52,100,42
42.92,43.12,55,100,42
43.12,43.32,60,100,42
43.32,43.52,52,100,42
43.52,43.72,50,100,42
43.72,43.92,65,100,42
43.92,44.12,64,100,42
44.12,44.32,60,100,42
44.32,44.52,62,100,42
44.52,44.72,60,100,42
44.72,44.92,59,100,42
44.92,45.12,57,100,42
45.12,45.52,55,100,42
45.52,45.72,59,100,42
45.72,45.92,60,100,42
45.92,46.12,62,100,42
46.12,46.32,59,100,42
46.32,46.52,55,100,42
46.52,46.72,57,100,42
46.72,46.92,59,100,42
46.92,47.12,55,100,42
47.12,47.32,50,100,42
47.32,47.52,52,100,42
47.52,47.72,53,100,42
47.72,47.92,50,100,42
47.92,48.12,47,100,42
48.12,48.32,48,100,42
48.32,48.52,50,100,42
48.52,48.72,47,100,42
48.72,48.92,43,100,42
48.92,49.12,53,100,42
49.12,49.32,52,100,42
49.32,49.52,48,100,42
49.52,49.72,43,100,42
49.72,49.92,55,100,42
49.92,50.12,52,100,42
50.12,50.32,48,100,42
50.32,50.52,43,100,42
50.52,50.72,60,100,42
50.72,50.92,55,100,42
50.92,51.12,52,100,42
51.12,51.32,53,100,42
51.32,51.52,50,100,42
51.52,51.72,52,100,42
51.72,51.92,48,100,42
51.92,52.12,43,100,42
52.12,52.32,52,100,42
52.32,52.52,50,100,42
52.52,52.72,52,100,42
52.72,52.92,53,100,42
52.92,53.12,48,100,42
53.12,53.32,47,100,42
53.32,53.52,52,100,42
53.52,53.72,53,100,42
53.72,53.92,45,100,42
53.92,54.12,43,100,42
54.12,54.32,52,100,42
54.32,54.52,53,100,42
54.52,54.72,41,100,42
54.72,54.92,40,100,42
54.92,55.12,43,100,42
55.12,55.32,47,100,42
55.32,55.52,50,100,42
55.52,55.92,55,100,42
55.92,56.12,52,100,42
56.12,56.32,48,100,42
56.32,56.72,43,100,42
56.72,57.12,47,100,42
57.12,58.32,48,100,42
58.32,58.52,59,100,42
58.52,58.72,60,100,42
58.72,59.12,62,100,42
59.12,59.32,59,100,42
59.32,59.52,55,100,42
59.52,59.92,53,100,42
59.92,60.32,59,100,42
60.32,60.52,52,100,42
60.52,60.72,55,100,42
60.72,60.92,60,100,42
60.92,61.12,62,100,42
61.12,61.52,64,100,42
61.52,61.72,60,100,42
61.72,61.92,56,100,42
61.92,62.32,57,100,42
62.32,62.52,53,100,42
62.52,62.72,57,100,42
62.72,62.92,50,100,42
62.92,63.12,60,100,42
63.12,63.32,59,100,42
63.32,63.52,57,100,42
63.52,63.72,52,100,42
63.72,63.92,57,100,42
63.92,64.12,56,100,42
64.12,64.32,54,100,42
64.32,64.72,52,100,42
64.72,64.92,59,100,42
64.92,65.12,52,100,42
65.12,65.32,60,100,42
65.32,65.52,57,100,42
65.52,65.72,56,100,42
65.72,65.92,57,100,42
65.92,66.12,59,100,42
66.12,66.32,52,100,42
66.32,66.52,60,100,42
66.52,66.72,52,100,42
66.72,66.92,62,100,42
66.92,67.12,59,100,42
67.12,67.32,57,100,42
67.32,67.52,59,100,42
67.52,67.72,60,100,42
67.72,67.92,52,100,42
67.92,68.12,62,100,42
68.12,68.32,50,100,42
68.32,68.52,48,100,42
68.52,68.72,64,100,42
68.72,68.92,59,100,42
68.92,69.12,60,100,42
69.12,69.52,52,100,42
69.52,69.72,57,100,42
69.72,69.92,56,100,42
69.92,70.32,57,100,42
70.32,70.72,52,100,42
70.72,71.12,45,100,42
71.12,71.32,57,100,42
71.32,71.52,59,100,42
71.52,71.92,60,100,42
71.92,72.12,54,100,42
72.12,72.32,52,100,42
72.32,72.72,54,100,42
72.72,73.12,50,100,42
73.12,73.32,43,100,42
73.32,73.52,50,100,42
73.52,73.72,60,100,42
73.72,73.92,57,100,42
73.92,74.32,59,100,42
74.32,74.52,55,100,42
74.52,74.72,53,100,42
74.72,74.92,52,100,42
74.92,75.12,55,100,42
75.12,75.32,60,100,42
75.32,75.52,52,100,42
75.52,75.72,50,100,42
75.72,75.92,65,100,42
75.92,76.12,64,100,42
76.12,76.32,60,100,42
76.32,76.52,62,100,42
76.52,76.72,60,100,42
76.72,76.92,59,100,42
76.92,77.12,57,100,42
77.12,77.52,55,100,42
77.52,77.72,59,100,42
77.72,77.92,60,100,42
77.92,78.12,62,100,42
78.12,78.32,59,100,42
78.32,78.52,55,100,42
78.52,78.72,57,100,42
78.72,78.92,59,100,42
78.92,79.12,55,100,42
79.12,79.32,50,100,42
79.32,79.52,52,100,42
79.52,79.72,53,100,42
79.72,79.92,50,100,42
79.92,80.12,47,100,42
80.12,80.32,48,100,42
80.32,80.52,50,100,42
80.52,80.72,47,100,42
80.72,80.92,43,100,42
80.92,81.12,53,100,42
81.12,81.32,52,100,42
81.32,81.52,48,100,42
81.52,81.72,43,100,42
81.72,81.92,55,100,42
81.92,82.12,52,100,42
82.12,82.32,48,100,42
82.32,82.52,43,100,42
82.52,82.72,60,100,42
82.72,82.92,55,100,42
82.92,83.12,52,100,42
83.12,83.32,53,100,42
83.32,83.52,50,100,42
83.52,83.72,52,100,42
83.72,83.92,48,100,42
83.92,84.12,43,100,42
84.12,84.32,52,100,42
84.32,84.52,50,100,42
84.52,84.72,52,100,42
84.72,84.92,53,100,42
84.92,85.12,48,100,42
85.12,85.32,47,100,42
85.32,85.52,52,100,42
85.52,85.72,53,100,42
85.72,85.92,45,100,42
85.92,86.12,43,100,42
86.12,86.32,52,100,42
86.32,86.52,53,100,42
86.52,86.72,41,100,42
86.72,86.92,40,100,42
86.92,87.12,43,100,42
87.12,87.32,47,100,42
87.32,87.52,50,100,42
87.52,87.92,55,100,42
87.92,88.12,52,100,42
88.12,88.32,48,100,42
88.32,88.72,43,100,42
88.72,89.12,47,100,42
89.12,90.32,48,100,42
90.32,90.52,60,100,42
90.52,90.72,62,100,42
90.72,91.12,63,100,42
91.12,91.32,62,100,42
91.32,91.52,60,100,42
91.52,91.92,59,100,42
91.92,92.32,60,100,42
92.32,92.52,62,100,42
92.52,92.72,60,100,42
92.72,92.92,59,100,42
92.92,93.12,57,100,42
93.12,93.32,55,100,42
93.32,93.52,53,100,42
93.52,93.72,51,100,42
93.72,93.92,50,100,42
93.92,94.12,51,100,42
94.12,94.32,55,100,42
94.32,94.52,53,100,42
94.52,94.72,51,100,42
94.72,94.92,50,100,42
94.92,95.12,53,100,42
95.12,95.32,51,100,42
95.32,95.52,50,100,42
95.52,95.72,48,100,42
95.72,95.92,47,100,42
95.92,96.12,48,100,42
96.12,96.32,50,100,42
96.32,96.52,51,100,42
96.52,96.72,53,100,42
96.72,96.92,55,100,42
96.92,97.12,57,100,42
97.12,97.52,58,100,42
97.52,97.72,56,100,42
97.72,97.92,55,100,42
97.92,98.32,53,100,42
98.32,98.72,51,100,42
98.72,98.92,50,100,42
98.92,99.12,51,100,42
99.12,99.32,53,100,42
99.32,99.52,55,100,42
99.52,99.72,56,100,42
99.72,99.92,58,100,42
99.92,100.12,60,100,42
100.12,100.32,62,100,42
100.32,100.72,63,100,42
100.72,100.92,62,100,42
100.92,101.12,60,100,42
101.12,101.32,58,100,42
101.32,101.52,56,100,42
101.52,101.72,55,100,42
101.72,101.92,53,100,42
101.92,103.12,51,100,42
103.12,103.32,60,100,42
103.32,103.52,62,100,42
103.52,103.92,63,100,42
103.92,104.12,62,100,42
104.12,104.32,60,100,42
104.32,104.72,59,100,42
104.72,105.12,60,100,42
105.12,105.32,62,100,42
105.32,105.52,60,100,42
105.52,105.72,59,100,42
105.72,105.92,57,100,42
105.92,106.12,55,100,42
106.12,106.32,53,100,42
106.32,106.52,51,100,42
106.52,106.72,50,100,42
106.72,106.92,51,100,42
106.92,107.12,55,100,42
107.12,107.32,53,100,42
107.32,107.52,51,100,42
107.52,107.72,50,100,42
107.72,107.92,53,100,42
107.92,108.12,51,100,42
108.12,108.32,50,100,42
108.32,108.52,48,100,42
108.52,108.72,47,100,42
108.72,108.92,48,100,42
108.92,109.12,50,100,42
109.12,109.32,51,100,42
109.32,109.52,53,100,42
109.52,109.72,55,100,42
109.72,109.92,57,100,42
109.92,110.32,58,100,42
110.32,110.52,56,100,42
110.52,110.72,55,100,42
110.72,111.12,53,100,42
111.12,111.52,51,100,42
111.52,111.72,50,100,42
111.72,111.92,51,100,42
111.92,112.12,53,100,42
112.12,112.32,55,100,42
112.32,112.52,56,100,42
112.52,112.72,58,100,42
112.72,112.92,60,100,42
112.92,113.12,62,100,42
113.12,113.52,63,100,42
113.52,113.72,62,100,42
113.72,113.92,60,100,42
113.92,114.12,58,100,42
114.12,114.32,56,100,42
114.32,114.52,55,100,42
114.52,114.72,53,100,42
114.72,115.92,51,100,42
115.92,116.12,51,100,42
116.12,116.32,53,100,42
116.32,116.72,55,100,42
116.72,116.92,55,100,42
116.92,117.12,53,100,42
117.12,117.52,55,100,42
117.52,117.92,57,100,42
117.92,118.12,58,100,42
118.12,118.32,57,100,42
118.32,118.52,58,100,42
118.52,118.72,60,100,42
118.72,118.92,58,100,42
118.92,119.12,60,100,42
119.12,119.32,62,100,42
119.32,119.52,58,100,42
119.52,119.72,55,100,42
119.72,119.92,58,100,42
119.92,120.12,57,100,42
120.12,120.32,58,100,42
120.32,120.52,60,100,42
120.52,120.72,58,100,42
120.72,120.92,57,100,42
120.92,121.12,55,100,42
121.12,121.52,54,100,42
121.52,121.72,52,100,42
121.72,121.92,54,100,42
121.92,122.32,50,100,42
122.32,122.52,62,100,42
122.52,122.72,60,100,42
122.72,123.12,62,100,42
123.12,123.32,51,100,42
123.32,123.52,50,100,42
123.52,123.92,51,100,42
123.92,124.32,55,100,42
124.32,124.52,60,100,42
124.52,124.72,59,100,42
124.72,124.92,60,100,42
124.92,125.12,62,100,42
125.12,125.52,63,100,42
125.52,125.92,62,100,42
125.92,126.12,60,100,42
126.12,126.32,58,100,42
126.32,126.52,57,100,42
126.52,126.72,55,100,42
126.72,126.92,58,100,42
126.92,127.12,57,100,42
127.12,127.32,55,100,42
127.32,127.52,54,100,42
127.52,127.92,55,100,42
127.92,128.32,50,100,42
128.32,128.72,43,100,42
128.72,128.92,55,100,42
128.92,129.12,56,100,42
129.12,129.52,58,100,42
129.52,129.72,56,100,42
129.72,129.92,55,100,42
129.92,130.12,53,100,42
130.12,130.32,52,100,42
130.32,130.52,53,100,42
130.52,130.72,55,100,42
130.72,130.92,58,100,42
130.92,131.12,56,100,42
131.12,131.32,55,100,42
131.32,131.52,53,100,42
131.52,132.52,62,100,42
132.52,132.72,59,100,42
132.72,132.92,60,100,42
132.92,133.12,62,100,42
133.12,133.32,63,100,42
133.32,133.52,62,100,42
133.52,133.72,60,100,42
133.72,133.92,63,100,42
133.92,134.12,62,100,42
134.12,134.32,60,100,42
134.32,134.52,59,100,42
134.52,134.72,57,100,42
134.72,134.92,55,100,42
134.92,135.12,53,100,42
135.12,135.32,51,100,42
135.32,135.52,50,100,42
135.52,135.72,51,100,42
135.72,135.92,50,100,42
135.92,136.12,53,100,42
136.12,136.32,51,100,42
136.32,136.52,55,100,42
136.52,136.72,53,100,42
136.72,136.92,56,100,42
136.92,137.12,55,100,42
137.12,137.32,43,100,42
137.32,137.52,45,100,42
137.52,137.72,47,100,42
137.72,137.92,48,100,42
137.92,138.12,50,100,42
