start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.296875,78,100,40
0.3,0.446875,79,100,40
0.45,0.596875,78,100,40
0.6,0.746875,76,100,40
0.75,0.896875,78,100,40
0.9,1.196875,79,100,40
1.2,1.25,79,100,40
1.25,1.3,81,100,40
1.3,1.35,79,100,40
1.35,1.4,81,100,40
1.4,1.5,79,100,40
1.5,1.796875,78,100,40
2.1,2.396875,76,100,40
2.4,2.546875,74,100,40
2.55,2.696875,76,100,40
2.7,2.846875,78,100,40
2.85,2.996875,71,100,40
3.0,3.296875,74,100,40
3.3,3.35,73,100,40
3.35,3.4,74,100,40
3.4,3.45,73,100,40
3.45,3.5,74,100,40
3.5,3.6,73,100,40
3.6,3.746875,71,100,40
3.75,3.896875,74,100,40
3.9,4.046875,73,100,40
4.05,4.196875,71,100,40
4.2,4.346875,78,100,40
4.35,4.496875,71,100,40
4.5,4.646875,80,100,40
4.65,4.796875,71,100,40
4.8,4.946875,81,100,40
4.95,5.096875,80,100,40
5.1,5.246875,83,100,40
5.25,5.396875,81,100,40
5.4,5.546875,80,100,40
5.55,5.696875,78,100,40
5.7,5.846875,77,100,40
5.85,5.996875,78,100,40
6.0,6.146875,80,100,40
6.15,6.296875,78,100,40
6.3,6.446875,77,100,40
6.45,6.596875,75,100,40
6.6,6.746875,73,100,40
6.75,6.896875,71,100,40
6.9,7.046875,69,100,40
7.05,7.196875,68,100,40
7.2,7.496875,66,100,40
7.5,8.096875,78,100,40
8.1,8.396875,77,100,40
8.4,9.596875,81,100,40
9.6,10.796875,79,100,40
10.8,10.946875,78,100,40
10.95,11.096875,74,100,40
11.1,11.246875,76,100,40
11.25,11.396875,78,100,40
11.4,11.546875,71,100,40
11.55,11.696875,78,100,40
11.7,11.846875,68,100,40
11.85,11.996875,78,100,40
12.0,12.146875,76,100,40
12.15,12.296875,73,100,40
12.3,12.446875,74,100,40
12.45,12.596875,76,100,40
12.6,12.746875,70,100,40
12.75,12.896875,76,100,40
12.9,13.046875,66,100,40
13.05,13.196875,76,100,40
13.2,13.496875,74,100,40
13.5,13.796875,71,100,40
13.8,14.096875,79,100,40
14.1,14.396875,76,100,40
14.4,14.696875,82,100,40
14.7,14.996875,85,100,40
15.0,15.296875,82,100,40
15.3,15.746875,78,100,40
15.75,15.896875,73,100,40
15.9,16.046875,74,100,40
16.05,16.196875,76,100,40
16.2,16.346874,68,100,40
16.35,16.496876,76,100,40
16.5,16.646875,70,100,40
16.65,16.796875,76,100,40
16.8,17.396875,74,100,40
17.7,17.996876,83,100,40
18.0,18.146875,76,100,40
18.15,18.296875,73,100,40
18.3,18.446875,71,100,40
18.45,18.596874,69,100,40
18.6,18.746876,76,100,40
18.75,18.896875,69,100,40
18.9,19.046875,78,100,40
19.05,19.196875,69,100,40
19.2,19.496876,79,100,40
19.5,19.796875,71,100,40
19.8,20.396875,79,100,40
20.4,20.546875,78,100,40
20.55,20.696875,74,100,40
20.7,20.846874,73,100,40
20.85,20.996876,71,100,40
21.0,21.146875,78,100,40
21.15,21.296875,71,100,40
21.3,21.446875,80,100,40
21.45,21.596874,71,100,40
21.6,22.946875,81,100,40
22.95,23.096874,83,100,40
23.1,23.246876,85,100,40
23.25,23.396875,86,100,40
23.4,24.146875,80,100,40
24.15,24.296875,78,100,40
24.3,24.446875,83,100,40
24.45,24.596874,81,100,40
24.6,24.746876,80,100,40
24.75,24.896875,78,100,40
24.9,25.046875,77,100,40
25.05,25.196875,78,100,40
25.2,25.346874,80,100,40
25.35,25.496876,78,100,40
25.5,25.646875,77,100,40
25.65,25.796875,75,100,40
25.8,25.946875,73,100,40
25.95,26.096874,71,100,40
26.1,26.246876,69,100,40
26.25,26.396875,68,100,40
26.4,26.696875,66,100,40
26.7,27.296875,78,100,40
27.3,27.596874,77,100,40
27.6,27.896875,78,100,40
27.9,28.196875,73,100,40
28.2,29.096874,78,100,40
29.1,29.396875,71,100,40
29.4,30.146875,76,100,40
30.15,30.296875,78,100,40
30.3,30.446875,79,100,40
30.45,30.596874,81,100,40
30.6,31.346874,74,100,40
31.35,31.496876,76,100,40
31.5,31.646875,78,100,40
31.65,31.796875,79,100,40
31.8,32.096874,73,100,40
32.4,32.696877,78,100,40
32.7,32.846874,79,100,40
32.85,32.996876,78,100,40
33.0,33.146873,76,100,40
33.15,33.296875,78,100,40
33.3,33.596874,79,100,40
33.6,33.65,79,100,40
33.65,33.7,81,100,40
33.7,33.75,79,100,40
33.75,33.8,81,100,40
33.8,33.9,79,100,40
33.9,34.196877,78,100,40
34.5,34.796875,76,100,40
34.8,34.946877,74,100,40
34.95,35.096874,76,100,40
35.1,35.246876,78,100,40
35.25,35.396873,71,100,40
35.4,35.696877,74,100,40
35.7,35.75,73,100,40
35.75,35.8,74,100,40
35.8,35.85,73,100,40
35.85,35.9,74,100,40
35.9,36.0,73,100,40
36.0,36.146873,71,100,40
36.15,36.296875,74,100,40
36.3,36.446877,73,100,40
36.45,36.596874,71,100,40
36.6,36.746876,76,100,40
36.75,36.896873,71,100,40
36.9,37.046875,78,100,40
37.05,37.196877,71,100,40
37.2,37.346874,79,100,40
37.35,37.496876,71,100,40
37.5,37.646873,78,100,40
37.65,37.796875,71,100,40
37.8,37.946877,76,100,40
37.95,38.096874,71,100,40
38.1,38.246876,79,100,40
38.25,38.396873,71,100,40
38.4,38.546875,78,100,40
38.55,38.696877,71,100,40
38.7,38.846874,76,100,40
38.85,38.996876,71,100,40
39.0,39.146873,74,100,40
39.15,39.296875,71,100,40
39.3,39.446877,78,100,40
39.45,39.596874,71,100,40
39.6,39.746876,76,100,40
39.75,39.896873,79,100,40
39.9,40.046875,78,100,40
40.05,40.196877,76,100,40
40.2,40.346874,82,100,40
40.35,40.496876,76,100,40
40.5,40.646873,83,100,40
40.65,40.796875,76,100,40
40.8,42.296875,85,100,40
42.3,42.596874,78,100,40
42.6,42.896873,83,100,40
42.9,43.196877,81,100,40
43.2,43.496876,79,100,40
43.5,43.796875,78,100,40
43.8,44.546875,76,100,40
44.55,44.696877,79,100,40
44.7,44.846874,78,100,40
44.85,44.996876,76,100,40
45.0,45.146873,74,100,40
45.15,45.296875,71,100,40
45.3,45.446877,76,100,40
45.45,45.596874,71,100,40
45.6,45.746876,78,100,40
45.75,45.896873,71,100,40
45.9,46.196877,79,100,40
46.2,46.25,74,100,40
46.25,46.3,76,100,40
46.3,46.35,74,100,40
46.35,46.4,76,100,40
46.4,46.5,74,100,40
46.5,46.646873,73,100,40
46.65,46.796875,71,100,40
46.8,47.396873,71,100,40
48.0,48.296875,69,100,40
48.3,48.446877,71,100,40
48.45,48.596874,69,100,40
48.6,48.746876,67,100,40
48.75,48.896873,69,100,40
48.9,49.196877,71,100,40
49.2,49.25,71,100,40
49.25,49.3,73,100,40
49.3,49.35,71,100,40
49.35,49.4,73,100,40
49.4,49.5,71,100,40
49.5,49.796875,69,100,40
50.1,50.396873,67,100,40
50.4,50.546875,66,100,40
50.55,50.696877,67,100,40
50.7,50.846874,69,100,40
50.85,50.996876,62,100,40
51.0,51.296875,67,100,40
51.3,51.35,66,100,40
51.35,51.4,67,100,40
51.4,51.45,66,100,40
51.45,51.5,67,100,40
51.5,51.6,66,100,40
51.6,51.746876,64,100,40
51.75,51.896873,62,100,40
51.9,52.046875,64,100,40
52.05,52.196877,66,100,40
52.2,52.346874,64,100,40
52.35,52.496876,66,100,40
52.5,52.646873,67,100,40
52.65,52.796875,69,100,40
52.8,53.096874,71,100,40
53.1,53.246876,72,100,40
53.25,53.396873,71,100,40
53.4,53.546875,69,100,40
53.55,53.696877,71,100,40
53.7,53.996876,72,100,40
54.0,54.05,72,100,40
54.05,54.1,74,100,40
54.1,54.15,72,100,40
54.15,54.2,74,100,40
54.2,54.3,72,100,40
54.3,54.596874,71,100,40
54.9,55.196877,69,100,40
55.2,55.346874,67,100,40
55.35,55.496876,69,100,40
55.5,55.646873,71,100,40
55.65,55.796875,64,100,40
55.8,56.096874,69,100,40
56.1,56.15,67,100,40
56.15,56.2,69,100,40
56.2,56.25,67,100,40
56.25,56.3,69,100,40
56.3,56.4,67,100,40
56.4,56.546875,66,100,40
56.55,56.696877,64,100,40
56.7,56.846874,66,100,40
56.85,56.996876,67,100,40
57.0,57.146873,66,100,40
57.15,57.296875,67,100,40
57.3,57.446877,69,100,40
57.45,57.596874,71,100,40
57.6,57.896873,72,100,40
57.9,58.046875,74,100,40
58.05,58.196877,72,100,40
58.2,58.346874,71,100,40
58.35,58.496876,72,100,40
58.5,58.796875,74,100,40
58.8,59.096874,71,100,40
59.1,59.246876,76,100,40
59.25,59.396873,74,100,40
59.4,59.546875,73,100,40
59.55,59.696877,74,100,40
59.7,59.996876,76,100,40
60.0,60.446877,69,100,40
60.45,60.596874,71,100,40
60.6,60.896873,66,100,40
60.9,61.046875,64,100,40
61.05,61.196877,62,100,40
61.2,61.496876,62,100,40
61.5,61.796875,69,100,40
61.8,62.096874,74,100,40
62.1,62.396873,71,100,40
62.4,62.696877,68,100,40
62.7,62.996876,71,100,40
63.0,63.296875,68,100,40
63.3,63.746876,64,100,40
63.75,63.896873,71,100,40
63.9,64.046875,73,100,40
64.05,64.19688,74,100,40
64.2,64.34688,66,100,40
64.35,64.49687,74,100,40
64.5,64.64687,68,100,40
64.65,64.796875,74,100,40
64.8,64.94688,73,100,40
64.95,65.09688,76,100,40
65.1,65.24687,81,100,40
65.25,65.39687,79,100,40
65.4,65.546875,78,100,40
65.55,65.69688,76,100,40
65.7,65.84688,75,100,40
65.85,65.99687,76,100,40
66.0,66.14687,78,100,40
66.15,66.296875,76,100,40
66.3,66.44688,75,100,40
66.45,66.59688,73,100,40
66.6,66.74687,71,100,40
66.75,66.89687,69,100,40
66.9,67.046875,67,100,40
67.05,67.19688,66,100,40
67.2,67.49687,64,100,40
67.5,68.09688,76,100,40
68.1,68.39687,75,100,40
68.4,68.69688,76,100,40
68.7,68.84688,79,100,40
68.85,68.99687,78,100,40
69.0,69.14687,76,100,40
69.15,69.296875,78,100,40
69.3,69.59688,79,100,40
69.6,69.65,79,100,40
69.65,69.7,81,100,40
69.7,69.75,79,100,40
69.75,69.8,81,100,40
69.8,69.9,79,100,40
69.9,70.19688,78,100,40
70.5,70.796875,76,100,40
70.8,70.94688,74,100,40
70.95,71.09688,76,100,40
71.1,71.24687,78,100,40
71.25,71.39687,71,100,40
71.4,71.69688,74,100,40
71.7,71.75,73,100,40
71.75,71.8,74,100,40
71.8,71.85,73,100,40
71.85,71.9,74,100,40
71.9,72.0,73,100,40
72.0,72.14687,71,100,40
72.15,72.296875,78,100,40
72.3,72.44688,80,100,40
72.45,72.59688,81,100,40
72.6,72.74687,83,100,40
72.75,72.89687,81,100,40
72.9,73.046875,80,100,40
73.05,73.19688,78,100,40
73.2,73.34688,76,100,40
73.35,73.49687,74,100,40
73.5,73.64687,76,100,40
73.65,73.796875,78,100,40
73.8,73.94688,80,100,40
73.95,74.09688,81,100,40
74.1,74.24687,78,100,40
74.25,74.39687,80,100,40
74.4,74.546875,81,100,40
74.55,74.69688,80,100,40
74.7,74.84688,81,100,40
74.85,74.99687,83,100,40
75.0,75.14687,85,100,40
75.15,75.296875,83,100,40
75.3,75.44688,82,100,40
75.45,75.59688,80,100,40
75.6,75.74687,78,100,40
75.75,75.89687,76,100,40
75.9,76.046875,78,100,40
76.05,76.19688,80,100,40
76.2,76.34688,82,100,40
76.35,76.49687,83,100,40
76.5,76.64687,80,100,40
76.65,76.796875,82,100,40
76.8,76.94688,83,100,40
76.95,77.09688,82,100,40
77.1,77.24687,83,100,40
77.25,77.39687,85,100,40
77.4,77.546875,86,100,40
77.55,77.69688,85,100,40
77.7,77.84688,83,100,40
77.85,77.99687,81,100,40
78.0,78.14687,80,100,40
78.15,78.296875,78,100,40
78.3,78.44688,80,100,40
78.45,78.59688,81,100,40
78.6,78.89687,83,100,40
78.9,79.34688,74,100,40
79.35,79.49687,73,100,40
79.5,79.64687,71,100,40
79.65,79.796875,73,100,40
79.8,80.546875,74,100,40
80.55,80.69688,73,100,40
80.7,80.84688,71,100,40
80.85,80.99687,73,100,40
81.0,81.14687,74,100,40
81.15,81.296875,78,100,40
81.3,81.44688,76,100,40
81.45,81.59688,74,100,40
81.6,81.89687,73,100,40
81.9,82.046875,74,100,40
82.05,82.19688,73,100,40
82.2,82.34688,71,100,40
82.35,82.49687,73,100,40
82.5,82.796875,74,100,40
82.8,83.09688,74,100,40
83.1,83.24687,76,100,40
83.25,83.39687,74,100,40
83.4,83.546875,73,100,40
83.55,83.69688,74,100,40
83.7,83.99687,76,100,40
84.0,84.296875,76,100,40
84.3,84.59688,81,100,40
84.6,84.89687,80,100,40
84.9,85.49687,81,100,40
85.5,85.64687,80,100,40
85.65,85.796875,78,100,40
85.8,85.94688,80,100,40
85.95,86.09688,83,100,40
86.1,86.24687,71,100,40
86.25,86.39687,73,100,40
86.4,86.69688,74,100,40
86.7,86.84688,76,100,40
86.85,86.99687,74,100,40
87.0,87.14687,73,100,40
87.15,87.296875,74,100,40
87.3,87.59688,76,100,40
87.6,87.89687,76,100,40
87.9,88.046875,78,100,40
88.05,88.19688,76,100,40
88.2,88.34688,74,100,40
88.35,88.49687,76,100,40
88.5,88.796875,78,100,40
88.8,89.09688,78,100,40
89.1,89.39687,83,100,40
89.4,89.69688,82,100,40
89.7,90.296875,83,100,40
90.3,90.44688,81,100,40
90.45,90.59688,80,100,40
90.6,90.74687,81,100,40
90.75,90.89687,85,100,40
90.9,91.046875,73,100,40
91.05,91.19688,74,100,40
91.2,91.49687,76,100,40
91.5,91.64687,73,100,40
91.65,91.796875,69,100,40
91.8,92.69688,81,100,40
92.7,92.84688,78,100,40
92.85,92.99687,74,100,40
93.0,93.74687,86,100,40
93.75,93.89687,83,100,40
93.9,94.046875,85,100,40
94.05,94.19688,86,100,40
94.2,94.64687,80,100,40
94.65,94.796875,81,100,40
94.8,98.69688,81,100,40
98.7,98.99687,69,100,40
99.0,99.74687,74,100,40
99.75,99.89687,71,100,40
99.9,100.046875,73,100,40
100.05,100.19688,74,100,40
100.2,100.34688,68,100,40
100.35,100.49687,74,100,40
100.5,100.64687,64,100,40
100.65,100.796875,74,100,40
100.8,101.546875,73,100,40
101.55,101.69688,78,100,40
101.7,101.84688,80,100,40
101.85,101.99687,81,100,40
102.0,102.74687,83,100,40
102.75,102.89687,77,100,40
102.9,103.046875,78,100,40
103.05,103.19688,80,100,40
103.2,104.09688,81,100,40
104.1,104.69688,86,100,40
104.7,104.99687,80,100,40
105.0,105.296875,85,100,40
105.3,105.59688,83,100,40
105.6,105.74687,81,100,40
105.75,105.89687,80,100,40
105.9,106.046875,83,100,40
106.05,106.19688,81,100,40
106.2,106.34688,80,100,40
106.35,106.49687,78,100,40
106.5,106.64687,77,100,40
106.65,106.796875,78,100,40
106.8,106.94688,80,100,40
106.95,107.09688,78,100,40
107.1,107.24687,77,100,40
107.25,107.39687,75,100,40
107.4,107.69688,73,100,40
109.2,109.49687,73,100,40
109.5,109.64687,74,100,40
109.65,109.796875,73,100,40
109.8,109.94688,71,100,40
109.95,110.09688,73,100,40
110.1,110.39687,74,100,40
110.4,110.45,74,100,40
110.45,110.5,76,100,40
110.5,110.55,74,100,40
110.55,110.6,76,100,40
110.6,110.7,74,100,40
110.7,110.99687,73,100,40
111.3,111.59688,71,100,40
111.6,111.74687,69,100,40
111.75,111.89687,71,100,40
111.9,112.046875,73,100,40
112.05,112.19688,66,100,40
112.2,112.49687,69,100,40
112.5,112.55,68,100,40
112.55,112.6,69,100,40
112.6,112.65,68,100,40
112.65,112.7,69,100,40
112.7,112.8,68,100,40
112.8,113.09688,66,100,40
113.1,113.39687,73,100,40
113.4,113.546875,74,100,40
113.55,113.69688,73,100,40
113.7,113.84688,71,100,40
113.85,113.99687,70,100,40
114.0,114.44688,71,100,40
114.45,114.59688,78,100,40
114.6,114.74687,78,100,40
114.75,114.89687,77,100,40
114.9,115.046875,78,100,40
115.05,115.19688,80,100,40
115.2,115.34688,71,100,40
115.35,115.64687,69,100,40
115.65,115.796875,78,100,40
115.8,115.94688,78,100,40
115.95,116.09688,77,100,40
116.1,116.24687,78,100,40
116.25,116.39687,80,100,40
116.4,116.546875,69,100,40
116.55,116.84688,68,100,40
116.85,116.99687,69,100,40
117.0,117.14687,71,100,40
117.15,117.296875,74,100,40
117.3,117.44688,73,100,40
117.45,117.59688,71,100,40
117.6,118.19688,77,100,40
118.5,118.796875,77,100,40
118.8,119.24687,78,100,40
119.25,119.39687,80,100,40
119.4,119.44688,77,100,40
119.45,119.49687,78,100,40
119.5,119.546875,77,100,40
119.55,119.59688,78,100,40
119.6,119.64687,77,100,40
119.65,119.69688,78,100,40
119.7,119.84688,77,100,40
119.85,119.99687,78,100,40
120.0,120.59688,78,100,40
121.2,121.49687,78,100,40
121.5,121.64687,79,100,40
121.65,121.796875,78,100,40
121.8,121.94688,76,100,40
121.95,122.09688,78,100,40
122.1,122.39687,79,100,40
122.4,122.45,79,100,40
122.45,122.5,81,100,40
122.5,122.55,79,100,40
122.55,122.6,81,100,40
122.6,122.7,79,100,40
122.7,122.99687,78,100,40
123.3,123.59688,76,100,40
123.6,123.74687,74,100,40
123.75,123.89687,76,100,40
123.9,124.046875,78,100,40
124.05,124.19688,71,100,40
124.2,124.49687,74,100,40
124.5,124.55,73,100,40
124.55,124.6,74,100,40
124.6,124.65,73,100,40
124.65,124.7,74,100,40
124.7,124.8,73,100,40
124.8,124.94688,71,100,40
124.95,125.09688,74,100,40
125.1,125.24687,73,100,40
125.25,125.39687,71,100,40
125.4,125.546875,78,100,40
125.55,125.69688,71,100,40
125.7,125.84688,80,100,40
125.85,125.99687,71,100,40
126.0,126.14687,81,100,40
126.15,126.296875,80,100,40
126.3,126.44688,83,100,40
126.45,126.59688,81,100,40
126.6,126.74687,80,100,40
126.75,126.89687,78,100,40
126.9,127.046875,77,100,40
127.05,127.19688,78,100,40
127.2,127.34688,80,100,40
127.35,127.49687,78,100,40
127.5,127.64687,77,100,40
127.65,127.796875,75,100,40
127.8,127.94688,73,100,40
127.95,128.09688,71,100,40
128.1,128.24687,69,100,40
128.25,128.39688,68,100,40
128.4,128.69687,66,100,40
128.7,129.29688,78,100,40
129.3,129.59688,77,100,40
129.6,130.79688,81,100,40
130.8,131.99687,79,100,40
132.0,132.14688,78,100,40
132.15,132.29688,74,100,40
132.3,132.44687,76,100,40
132.45,132.59688,78,100,40
132.6,132.74687,71,100,40
132.75,132.89688,78,100,40
132.9,133.04688,68,100,40
133.05,133.19687,78,100,40
133.2,133.34688,76,100,40
133.35,133.49687,73,100,40
133.5,133.64688,74,100,40
133.65,133.79688,76,100,40
133.8,133.94687,70,100,40
133.95,134.09688,76,100,40
134.1,134.24687,66,100,40
134.25,134.39688,76,100,40
134.4,134.69687,74,100,40
134.7,134.99687,71,100,40
135.0,135.29688,79,100,40
135.3,135.59688,76,100,40
135.6,135.89688,82,100,40
135.9,136.19687,85,100,40
136.2,136.49687,82,100,40
136.5,136.94687,78,100,40
136.95,137.09688,73,100,40
137.1,137.24687,74,100,40
137.25,137.39688,76,100,40
137.4,137.54688,68,100,40
137.55,137.69687,76,100,40
137.7,137.84688,70,100,40
137.85,137.99687,76,100,40
138.0,138.59688,74,100,40
138.9,139.19687,83,100,40
139.2,139.34688,76,100,40
139.35,139.49687,73,100,40
139.5,139.64688,71,100,40
139.65,139.79688,69,100,40
139.8,139.94687,76,100,40
139.95,140.09688,69,100,40
140.1,140.24687,78,100,40
140.25,140.39688,69,100,40
140.4,140.69687,79,100,40
140.7,140.99687,71,100,40
141.0,141.59688,79,100,40
141.6,141.74687,78,100,40
141.75,141.89688,74,100,40
