start_time,end_time,note_value,velocity,instrument_program_number
7.742599,7.9703226,79,64,0
7.9703226,8.198046,78,64,0
8.198046,8.653493,79,64,0
8.653493,9.10894,72,64,0
9.10894,9.564387,75,64,0
9.564387,9.79211,79,64,0
9.79211,10.019834,78,64,0
10.019834,10.475281,79,64,0
10.475281,10.930728,81,64,0
10.930728,11.386175,74,64,0
11.386175,11.613898,79,64,0
11.613898,11.784691,78,64,0
11.841622,12.297069,79,64,0
12.297069,12.752516,81,64,0
12.752516,12.98024,72,64,0
12.98024,13.207963,74,64,0
13.207963,14.118857,75,64,0
14.118857,14.3465805,74,64,0
14.3465805,14.574304,72,64,0
14.574304,15.029751,70,64,0
15.029751,15.257475,75,64,0
15.257475,15.485198,74,64,0
15.485198,15.940645,75,64,0
15.940645,16.396091,67,64,0
16.396091,16.85154,68,64,0
16.85154,17.079262,77,64,0
17.079262,17.25385,75,64,0
17.306986,17.762432,77,64,0
17.762432,18.21788,69,64,0
18.21788,18.673326,70,64,0
18.673326,18.90105,79,64,0
18.90105,19.128775,77,64,0
19.128775,19.493132,79,64,0
19.58422,20.024487,71,64,0
20.039667,20.453365,72,64,0
20.495115,20.72284,74,64,0
20.72284,20.950562,75,64,0
20.950562,22.316902,77,64,0
22.316902,22.544626,75,64,0
22.544626,22.77235,74,64,0
22.77235,23.000074,72,64,0
23.000074,23.227797,70,64,0
23.227797,23.45552,68,64,0
23.45552,23.683245,67,64,0
23.683245,24.18803,65,64,0
24.13869,24.537207,80,64,0
24.594137,24.950905,79,64,0
25.049585,25.413942,77,64,0
25.505032,25.892162,75,64,0
25.96048,26.328632,74,64,0
26.415926,26.776487,75,64,0
26.871372,27.296457,77,64,0
27.32682,27.717745,71,64,0
27.782267,28.161806,72,64,0
28.237715,28.609663,74,64,0
28.693161,29.110655,71,64,0
29.159994,29.585077,72,64,0
29.61544,29.843164,79,64,0
29.843164,30.070889,78,64,0
30.070889,30.408678,79,64,0
30.526335,30.90967,74,64,0
30.981783,31.91545,75,64,0
32.34812,32.72766,76,64,0
32.80357,33.148952,77,64,0
33.259018,33.48674,77,64,0
33.48674,33.638557,76,64,0
33.714462,34.078823,77,64,0
34.16991,34.545654,72,64,0
34.62536,35.58559,74,64,0
35.9917,36.37124,74,64,0
36.447147,36.79632,75,64,0
36.90259,37.130318,75,64,0
37.130318,37.293518,74,64,0
37.35804,37.75276,75,64,0
37.813488,38.212,70,64,0
38.268932,38.656063,72,64,0
38.72438,38.952106,75,64,0
38.952106,39.17983,74,64,0
39.17983,39.551777,75,64,0
39.635277,40.037586,77,64,0
40.09072,40.47785,70,64,0
40.54617,40.77389,75,64,0
40.77389,41.001617,74,64,0
