start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.3125,39,100,42
0.3125,0.625,63,100,42
0.625,0.9375,58,100,42
0.9375,1.25,55,100,42
1.25,1.5625,58,100,42
1.5625,1.875,51,100,42
1.875,2.1875,55,100,42
2.1875,2.5,46,100,42
2.5,2.8125,39,100,42
2.8125,3.125,63,100,42
3.125,3.4375,58,100,42
3.4375,3.75,55,100,42
3.75,4.0625,58,100,42
4.0625,4.375,51,100,42
4.375,4.6875,55,100,42
4.6875,5.0,46,100,42
5.0,5.3125,39,100,42
5.3125,5.625,61,100,42
5.625,5.9375,58,100,42
5.9375,6.25,55,100,42
6.25,6.5625,58,100,42
6.5625,6.875,51,100,42
6.875,7.1875,55,100,42
7.1875,7.5,46,100,42
7.5,7.8125,39,100,42
7.8125,8.125,61,100,42
8.125,8.4375,58,100,42
8.4375,8.75,55,100,42
8.75,9.0625,58,100,42
9.0625,9.375,51,100,42
9.375,9.6875,55,100,42
9.6875,10.0,46,100,42
10.0,10.3125,39,100,42
10.3125,10.625,60,100,42
10.625,10.9375,56,100,42
10.9375,11.25,51,100,42
11.25,11.5625,56,100,42
11.5625,11.875,48,100,42
11.875,12.1875,51,100,42
12.1875,12.5,44,100,42
12.5,12.8125,39,100,42
12.8125,13.125,60,100,42
13.125,13.4375,56,100,42
13.4375,13.75,51,100,42
13.75,14.0625,56,100,42
14.0625,14.375,48,100,42
14.375,14.6875,51,100,42
14.6875,15.0,44,100,42
15.0,15.3125,39,100,42
15.3125,15.625,56,100,42
15.625,15.9375,53,100,42
15.9375,16.25,50,100,42
16.25,16.5625,53,100,42
16.5625,16.875,46,100,42
16.875,17.1875,50,100,42
17.1875,17.5,44,100,42
17.5,17.8125,39,100,42
17.8125,18.125,56,100,42
18.125,18.4375,53,100,42
18.4375,18.75,50,100,42
18.75,19.0625,53,100,42
19.0625,19.375,46,100,42
19.375,19.6875,50,100,42
19.6875,20.0,44,100,42
20.0,20.3125,39,100,42
20.3125,20.625,55,100,42
20.625,20.9375,51,100,42
20.9375,21.25,46,100,42
21.25,21.5625,51,100,42
21.5625,21.875,43,100,42
21.875,22.1875,46,100,42
22.1875,22.5,39,100,42
22.5,22.8125,38,100,42
22.8125,23.125,55,100,42
23.125,23.4375,51,100,42
23.4375,23.75,46,100,42
23.75,24.0625,51,100,42
24.0625,24.375,43,100,42
24.375,24.6875,46,100,42
24.6875,25.0,38,100,42
25.0,25.3125,36,100,42
25.3125,25.625,63,100,42
25.625,25.9375,60,100,42
25.9375,26.25,55,100,42
26.25,26.5625,60,100,42
26.5625,26.875,51,100,42
26.875,27.1875,55,100,42
27.1875,27.5,48,100,42
27.5,27.8125,46,100,42
27.8125,28.125,63,100,42
28.125,28.4375,60,100,42
28.4375,28.75,55,100,42
28.75,29.0625,60,100,42
29.0625,29.375,51,100,42
29.375,29.6875,55,100,42
29.6875,30.0,46,100,42
30.0,30.3125,45,100,42
30.3125,30.625,63,100,42
30.625,30.9375,60,100,42
30.9375,31.25,53,100,42
31.25,31.5625,57,100,42
31.5625,31.875,48,100,42
31.875,32.1875,51,100,42
32.1875,32.5,45,100,42
32.5,32.8125,41,100,42
32.8125,33.125,63,100,42
33.125,33.4375,60,100,42
33.4375,33.75,57,100,42
33.75,34.0625,60,100,42
34.0625,34.375,53,100,42
34.375,34.6875,57,100,42
34.6875,35.0,51,100,42
35.0,35.3125,46,100,42
35.3125,35.625,62,100,42
35.625,35.9375,58,100,42
35.9375,36.25,53,100,42
36.25,36.5625,58,100,42
36.5625,36.875,50,100,42
36.875,37.1875,53,100,42
37.1875,37.5,46,100,42
37.5,37.8125,44,100,42
37.8125,38.125,61,100,42
38.125,38.4375,58,100,42
38.4375,38.75,53,100,42
38.75,39.0625,58,100,42
39.0625,39.375,49,100,42
39.375,39.6875,53,100,42
39.6875,40.0,44,100,42
40.0,40.3125,43,100,42
40.3125,40.625,61,100,42
40.625,40.9375,58,100,42
40.9375,41.25,51,100,42
41.25,41.5625,55,100,42
41.5625,41.875,46,100,42
41.875,42.1875,51,100,42
42.1875,42.5,43,100,42
42.5,42.8125,39,100,42
42.8125,43.125,61,100,42
43.125,43.4375,58,100,42
43.4375,43.75,55,100,42
