start_time,end_time,note_value,velocity,instrument_program_number
1.32,1.4778945,51,100,42
1.4778945,1.635789,51,100,42
1.635789,1.7936835,50,100,42
1.7936835,1.951578,51,100,42
1.951578,2.1094725,46,100,42
2.1094725,2.267367,48,100,42
2.267367,2.4252615,50,100,42
2.4252615,2.583156,51,100,42
2.583156,2.7410505,50,100,42
2.7410505,2.898945,51,100,42
2.898945,3.0568395,55,100,42
3.0568395,3.214734,53,100,42
3.214734,3.3726285,55,100,42
3.3726285,3.530523,51,100,42
3.530523,3.6884174,50,100,42
3.6884174,3.846312,51,100,42
3.846312,4.0042067,46,100,42
4.0042067,4.162101,48,100,42
4.162101,4.3199954,50,100,42
4.3199954,5.109468,39,100,42
5.109468,5.2673626,55,100,42
5.2673626,5.425257,53,100,42
5.425257,5.5831513,51,100,42
5.5831513,5.741046,53,100,42
5.741046,5.8989406,58,100,42
5.8989406,6.056835,55,100,42
6.056835,6.2147293,56,100,42
6.2147293,6.372624,55,100,42
6.372624,6.5305185,53,100,42
6.5305185,6.688413,55,100,42
6.688413,6.8463073,51,100,42
6.8463073,7.004202,53,100,42
7.004202,7.1620965,55,100,42
7.1620965,7.319991,53,100,42
7.319991,7.4778857,51,100,42
7.4778857,7.63578,53,100,42
7.63578,7.7936745,58,100,42
7.7936745,7.951569,55,100,42
7.951569,8.109464,56,100,42
8.109464,8.267358,55,100,42
8.267358,8.425253,53,100,42
8.425253,8.583147,55,100,42
8.583147,8.741041,51,100,42
8.741041,8.898936,55,100,42
8.898936,9.05683,53,100,42
9.05683,9.214725,51,100,42
9.214725,9.37262,50,100,42
9.37262,9.530514,51,100,42
9.530514,9.688409,60,100,42
9.688409,9.846303,57,100,42
9.846303,10.004197,58,100,42
10.004197,10.162092,57,100,42
10.162092,10.319986,55,100,42
10.319986,10.477881,57,100,42
10.477881,10.635776,53,100,42
10.635776,10.79367,57,100,42
10.79367,10.951565,53,100,42
10.951565,11.109459,51,100,42
11.109459,11.267353,50,100,42
11.267353,11.425248,51,100,42
11.425248,11.583142,60,100,42
11.583142,11.741037,57,100,42
11.741037,11.8989315,58,100,42
11.8989315,12.056826,57,100,42
12.056826,12.214721,55,100,42
12.214721,12.372615,57,100,42
12.372615,12.53051,53,100,42
12.53051,12.688404,57,100,42
12.688404,12.846298,51,100,42
12.846298,13.004193,50,100,42
13.004193,13.162087,48,100,42
13.162087,13.319982,50,100,42
13.319982,13.477877,62,100,42
13.477877,13.635771,57,100,42
13.635771,13.793666,58,100,42
13.793666,13.95156,51,100,42
13.95156,14.109454,50,100,42
14.109454,14.267349,51,100,42
14.267349,14.425243,62,100,42
14.425243,14.583138,57,100,42
14.583138,14.741033,58,100,42
14.741033,14.898927,53,100,42
14.898927,15.056822,51,100,42
15.056822,15.214716,53,100,42
15.214716,15.37261,62,100,42
15.37261,15.530505,57,100,42
15.530505,15.688399,58,100,42
15.688399,15.846294,55,100,42
15.846294,16.004189,53,100,42
16.004189,16.162083,55,100,42
16.162083,16.319977,62,100,42
16.319977,16.477873,57,100,42
16.477873,16.635767,58,100,42
16.635767,16.793661,51,100,42
16.793661,16.951555,50,100,42
16.951555,17.10945,51,100,42
17.10945,17.267345,48,100,42
17.267345,17.42524,51,100,42
17.42524,17.583134,46,100,42
17.583134,17.741028,45,100,42
17.741028,17.898922,51,100,42
17.898922,18.056816,43,100,42
18.056816,18.214712,45,100,42
18.214712,18.372606,51,100,42
18.372606,18.5305,41,100,42
18.5305,18.688395,46,100,42
18.688395,18.846289,50,100,42
18.846289,19.004185,53,100,42
19.004185,19.162079,58,100,42
19.162079,19.319973,50,100,42
19.319973,19.477867,53,100,42
19.477867,20.26734,46,100,42
20.26734,20.425234,51,100,42
20.425234,20.58313,51,100,42
20.58313,20.741024,50,100,42
20.741024,20.898918,51,100,42
20.898918,21.056812,46,100,42
21.056812,21.214706,48,100,42
21.214706,21.3726,50,100,42
21.3726,21.530497,51,100,42
21.530497,21.68839,50,100,42
21.68839,21.846285,51,100,42
21.846285,22.004179,55,100,42
22.004179,22.162073,53,100,42
22.162073,22.31997,55,100,42
22.31997,22.477863,51,100,42
22.477863,22.635757,50,100,42
22.635757,22.793652,51,100,42
22.793652,22.951546,46,100,42
22.951546,23.109442,48,100,42
23.109442,23.267336,50,100,42
23.267336,24.056808,39,100,42
24.056808,24.214703,55,100,42
24.214703,24.372597,53,100,42
24.372597,24.53049,51,100,42
24.53049,24.688387,53,100,42
24.688387,24.846281,58,100,42
24.846281,25.004175,55,100,42
25.004175,25.16207,56,100,42
25.16207,25.319963,55,100,42
25.319963,25.477858,53,100,42
25.477858,25.635754,55,100,42
25.635754,25.793648,51,100,42
25.793648,25.951542,53,100,42
25.951542,26.109436,55,100,42
26.109436,26.26733,53,100,42
26.26733,26.425226,51,100,42
26.425226,26.58312,53,100,42
26.58312,26.741014,58,100,42
26.741014,26.898909,55,100,42
26.898909,27.056803,56,100,42
27.056803,27.214699,55,100,42
27.214699,27.372593,53,100,42
27.372593,27.530487,55,100,42
27.530487,27.688381,51,100,42
27.688381,27.846275,55,100,42
27.846275,28.004171,53,100,42
28.004171,28.162066,51,100,42
28.162066,28.31996,50,100,42
28.31996,28.477854,51,100,42
28.477854,28.635748,60,100,42
28.635748,28.793644,57,100,42
28.793644,28.951538,58,100,42
28.951538,29.109432,57,100,42
29.109432,29.267326,55,100,42
29.267326,29.42522,57,100,42
29.42522,29.583115,53,100,42
29.583115,29.74101,57,100,42
29.74101,29.898905,53,100,42
29.898905,30.056799,51,100,42
30.056799,30.214693,50,100,42
30.214693,30.372587,51,100,42
30.372587,30.530483,60,100,42
30.530483,30.688377,57,100,42
30.688377,30.846272,58,100,42
30.846272,31.004166,57,100,42
31.004166,31.16206,55,100,42
31.16206,31.319956,57,100,42
31.319956,31.47785,53,100,42
31.47785,31.635744,57,100,42
31.635744,31.793638,51,100,42
31.793638,31.951532,50,100,42
31.951532,32.10943,48,100,42
32.10943,32.267323,50,100,42
32.267323,32.425217,62,100,42
32.425217,32.58311,57,100,42
32.58311,32.741005,58,100,42
32.741005,32.8989,51,100,42
32.8989,33.056793,50,100,42
33.056793,33.214687,51,100,42
33.214687,33.372585,62,100,42
33.372585,33.53048,57,100,42
33.53048,33.688374,58,100,42
33.688374,33.846268,53,100,42
33.846268,34.00416,51,100,42
34.00416,34.162056,53,100,42
34.162056,34.31995,62,100,42
34.31995,34.477844,57,100,42
34.477844,34.63574,58,100,42
34.63574,34.793633,55,100,42
34.793633,34.951527,53,100,42
34.951527,35.109425,55,100,42
35.109425,35.26732,62,100,42
35.26732,35.425213,57,100,42
35.425213,35.583107,58,100,42
35.583107,35.741,51,100,42
35.741,35.898895,50,100,42
35.898895,36.05679,51,100,42
36.05679,36.214684,48,100,42
36.214684,36.372578,51,100,42
36.372578,36.53047,46,100,42
36.53047,36.68837,45,100,42
36.68837,36.846264,51,100,42
36.846264,37.004158,43,100,42
