start_time,end_time,note_value,velocity,instrument_program_number
11.931819,12.045456,64,42,0
12.045456,12.159092,66,45,0
12.159092,12.272729,67,48,0
12.272729,12.386365,66,50,0
12.386365,12.500001,64,53,0
12.500001,12.613638,66,56,0
12.613638,12.727274,62,59,0
12.727274,13.371214,71,64,0
13.420456,13.647729,71,64,0
13.647729,14.329547,69,64,0
14.329547,14.55682,67,64,0
14.55682,15.238638,66,64,0
15.238638,15.465911,68,64,0
15.579547,15.693183,71,41,0
15.693183,15.80682,73,44,0
15.80682,15.920456,74,47,0
15.920456,16.034092,73,50,0
16.034092,16.147728,71,53,0
16.147728,16.261366,73,56,0
16.261366,16.375002,69,59,0
16.375002,17.018942,78,64,0
17.068184,17.295456,78,64,0
17.295456,17.977274,76,64,0
17.977274,18.204548,74,64,0
18.204548,18.77273,73,64,0
18.77273,18.886366,76,64,0
18.886366,19.000002,78,64,0
19.000002,19.113638,79,64,0
19.113638,19.757578,81,64,0
19.80682,19.996214,81,64,0
20.045456,20.613638,81,64,0
20.613638,20.727274,74,64,0
20.727274,20.840912,76,64,0
20.840912,20.954548,78,64,0
20.954548,21.598488,79,64,0
21.64773,21.837124,79,64,0
21.886366,22.795456,79,64,0
22.795456,23.477276,78,64,0
23.477276,23.704548,76,64,0
23.704548,24.386366,74,64,0
24.386366,24.613638,76,64,0
24.613638,25.257578,73,64,0
25.30682,25.496214,73,64,0
25.545458,26.41667,73,64,0
26.568184,26.68182,73,42,0
26.68182,26.795458,74,44,0
26.795458,26.909094,76,47,0
26.909094,27.02273,74,50,0
27.02273,27.136366,73,53,0
27.136366,27.250002,74,56,0
27.250002,27.36364,71,58,0
27.36364,28.007578,79,64,0
28.056822,28.284094,79,64,0
28.284094,28.965912,78,64,0
28.965912,29.193184,76,64,0
29.193184,30.102276,74,64,0
30.102276,30.329548,83,64,0
30.329548,30.556822,81,64,0
30.556822,30.784094,83,64,0
30.784094,30.973488,80,64,0
31.02273,31.250004,80,64,0
31.250004,31.477276,78,64,0
31.477276,31.704548,80,64,0
31.704548,31.893942,76,64,0
31.943186,32.170456,76,64,0
32.170456,32.39773,74,64,0
32.39773,32.625004,76,64,0
32.625004,32.814396,73,64,0
32.86364,32.939396,74,64,0
32.939396,33.77273,73,64,0
33.77273,34.000004,81,64,0
34.000004,34.227276,79,64,0
34.227276,34.454548,81,64,0
34.454548,34.643944,78,64,0
34.693184,34.92046,78,64,0
34.92046,35.14773,76,64,0
35.14773,35.375004,78,64,0
35.375004,35.564396,74,64,0
35.61364,35.84091,74,64,0
35.84091,36.068184,72,64,0
36.068184,36.29546,74,64,0
36.29546,36.48485,71,64,0
36.534096,37.371216,71,64,0
37.443184,37.556824,69,72,0
37.556824,37.67046,71,41,0
37.67046,37.784096,72,44,0
37.784096,37.89773,74,47,0
37.89773,38.011368,72,50,0
38.011368,38.125004,71,53,0
38.125004,38.23864,72,56,0
38.23864,38.352276,69,59,0
38.352276,38.996216,76,64,0
39.04546,39.27273,76,64,0
39.27273,39.954548,74,64,0
39.954548,40.181824,72,64,0
40.181824,40.86364,71,64,0
40.86364,41.09091,73,64,0
41.09091,42.909096,74,64,0
42.909096,43.818188,73,64,0
43.818188,44.6894,74,64,0
44.84091,44.95455,76,41,0
44.95455,45.068188,78,44,0
45.068188,45.181824,79,47,0
45.181824,45.29546,78,50,0
45.29546,45.409096,76,53,0
45.409096,45.52273,78,56,0
45.52273,45.636368,74,59,0
45.636368,46.280308,83,64,0
46.32955,46.556824,83,64,0
46.556824,47.23864,81,64,0
47.23864,47.465916,79,64,0
47.465916,48.034096,78,64,0
48.034096,48.14773,74,64,0
48.14773,48.261368,76,64,0
48.261368,48.375004,78,64,0
48.375004,49.018944,79,64,0
49.068188,49.25758,79,64,0
49.306824,49.98864,79,64,0
49.98864,50.215916,81,64,0
50.215916,50.85985,78,64,0
50.909096,51.09849,78,64,0
51.14773,51.23485,78,72,0
51.22349,51.31061,76,56,0
51.299248,51.82955,78,64,0
51.82955,51.943188,76,64,0
51.943188,52.056824,75,64,0
52.056824,53.64773,76,64,0
53.64773,53.875004,74,64,0
53.875004,54.556824,76,64,0
54.556824,54.784096,78,64,0
54.784096,55.465916,71,64,0
55.465916,55.57955,72,64,0
55.57955,55.693188,69,64,0
55.693188,56.375004,71,64,0
56.375004,56.60228,72,64,0
56.60228,57.47349,67,64,0
57.52273,57.609856,67,72,0
57.59849,57.68561,66,41,0
57.674248,57.761368,67,42,0
57.750008,57.837128,66,44,0
57.825764,57.912884,67,46,0
57.90152,57.988644,66,48,0
57.97728,58.0644,67,50,0
58.053036,58.140156,66,52,0
58.12879,58.215916,67,53,0
58.20455,58.29167,66,55,0
58.280308,58.36743,64,64,0
58.356068,58.431824,66,59,0
58.54546,58.659096,66,64,0
58.659096,58.77273,67,42,0
58.77273,58.886368,69,45,0
58.886368,59.000008,67,49,0
59.000008,59.113644,66,52,0
59.113644,59.22728,67,55,0
59.22728,59.340916,64,59,0
59.340916,59.79546,79,64,0
62.068188,62.181824,69,72,0
62.181824,62.29546,71,41,0
62.29546,62.409096,73,44,0
62.409096,62.52273,74,47,0
62.52273,62.63637,73,50,0
62.63637,62.750008,71,53,0
62.750008,62.863644,73,56,0
62.863644,62.97728,69,59,0
62.97728,63.431824,78,64,0
65.70455,65.81819,67,72,0
65.81819,65.93182,69,42,0
65.93182,66.04546,71,44,0
66.04546,66.159096,72,47,0
66.159096,66.272736,71,50,0
66.272736,66.38637,69,53,0
66.38637,66.50001,71,56,0
66.50001,66.61364,67,59,0
66.61364,67.06819,76,64,0
69.34092,69.45455,66,72,0
69.45455,69.56819,67,41,0
69.56819,69.68182,69,44,0
69.68182,69.79546,71,47,0
69.79546,69.909096,69,50,0
69.909096,70.022736,67,53,0
70.022736,70.13637,69,56,0
70.13637,70.25001,66,59,0
70.25001,70.89394,74,64,0
70.94319,71.13258,74,64,0
71.18182,71.86364,74,64,0
71.86364,72.09092,76,64,0
72.09092,72.17804,74,72,0
72.16667,72.25379,73,43,0
72.24243,72.32955,74,48,0
72.31819,72.40531,73,53,0
72.39394,72.48107,74,58,0
72.4697,72.772736,73,64,0
72.772736,72.88637,74,64,0
72.88637,73.00001,76,64,0
73.00001,73.909096,78,64,0
73.909096,74.13637,83,64,0
74.13637,74.36365,81,64,0
74.36365,74.59092,83,64,0
74.59092,74.78031,79,64,0
74.82955,75.05682,79,64,0
75.05682,75.284096,78,64,0
75.284096,75.51137,79,64,0
75.51137,75.70077,76,64,0
75.75001,75.97728,76,64,0
75.97728,76.20455,74,64,0
76.20455,76.43182,76,64,0
76.43182,76.62122,73,64,0
76.67046,77.57955,73,64,0
77.57955,78.223495,74,64,0
78.272736,78.46213,74,64,0
78.51137,79.19319,74,64,0
79.19319,79.42046,76,64,0
79.42046,79.50758,71,72,0
