start_time,end_time,note_value,velocity,instrument_program_number
0.10791375,0.22944163,74,57,0
0.2120805,0.3336084,76,57,0
0.31624725,0.43777514,78,57,0
0.420414,0.5245808,69,60,0
0.5245808,0.6461086,78,57,0
0.6287475,0.7502754,76,57,0
0.73291427,0.8544421,74,57,0
0.837081,0.94124776,81,62,0
0.94124776,1.0627756,74,58,0
1.0454144,1.1669424,76,58,0
1.1495812,1.2711091,78,58,0
1.253748,1.3579148,69,61,0
1.3579148,1.4794426,78,57,0
1.4620816,1.5836093,76,57,0
1.5662483,1.6877761,74,57,0
1.670415,1.7745818,79,60,0
1.7745818,1.8961096,76,58,0
1.8787485,2.0002763,78,58,0
1.9829153,2.104443,79,58,0
2.087082,2.1912487,71,60,0
2.1912487,2.3130789,74,58,0
2.2956574,2.4177911,73,58,0
2.4003086,2.5229955,71,58,0
2.505265,2.611648,73,61,0
2.611648,2.733176,76,58,0
2.7158148,2.8373427,78,58,0
2.8199816,2.9415095,79,58,0
2.9241483,3.028315,69,60,0
3.028315,3.148178,79,58,0
3.1310549,3.251525,78,58,0
3.2337945,3.3575387,76,58,0
3.3401775,3.4443443,78,62,0
3.4443443,3.5658722,74,57,0
3.548511,3.670039,76,56,0
3.6526778,3.7742057,78,56,0
3.7568445,3.8610113,69,61,0
3.8610113,3.982781,73,56,0
3.9654198,4.0865874,71,56,0
4.0693464,4.189858,69,56,0
4.172676,4.2755337,71,62,0
4.2755337,4.394987,74,56,0
4.3779225,4.4973764,76,56,0
4.4803114,4.600122,78,56,0
4.5827003,4.68723,71,61,0
4.68723,4.806684,81,56,0
4.789619,4.909073,80,56,0
4.892008,5.012065,78,56,0
4.994397,5.100404,80,61,0
5.100404,5.220094,76,56,0
5.203029,5.322483,78,56,0
5.305418,5.4250474,80,56,0
5.407924,5.510664,71,60,0
5.510664,5.6305857,74,56,0
5.613404,5.7336783,73,56,0
5.7164965,5.836771,71,56,0
5.819589,5.922919,69,60,0
5.922919,6.0465937,73,56,0
6.028926,6.152601,74,56,0
6.134933,6.258608,76,56,0
6.2409396,6.3469467,66,60,0
6.3469467,6.4676366,76,56,0
6.450395,6.5715737,74,56,0
6.5538435,6.6775875,73,56,0
6.6602263,6.764393,74,60,0
6.764393,6.885921,71,56,0
6.86856,6.9900875,73,56,0
6.9727263,7.0942545,74,56,0
7.0768933,7.1810603,66,60,0
7.1810603,7.3028903,69,55,0
7.2854686,7.4076023,68,55,0
7.39012,7.512559,66,54,0
7.495015,7.6002784,68,59,0
7.6002784,7.7230854,71,54,0
7.7055416,7.8283486,73,54,0
7.810805,7.933612,74,54,0
7.916068,8.021331,64,59,0
8.021331,8.142021,74,53,0
8.12478,8.245469,73,53,0
8.228228,8.349533,71,53,0
8.331676,8.438819,73,57,0
8.438819,8.559926,69,54,0
8.542625,8.663733,71,54,0
8.646431,8.767538,73,54,0
8.750237,8.854044,64,56,0
8.854044,8.976421,67,53,0
8.958939,9.081316,66,53,0
9.063834,9.185911,64,53,0
9.168729,9.271822,66,55,0
9.271822,9.3920965,69,53,0
9.374914,9.495189,71,52,0
9.478007,9.598282,73,52,0
9.5810995,9.684193,66,55,0
9.684193,9.807432,76,51,0
9.789826,9.913066,75,51,0
9.89546,10.0187,73,51,0
10.001094,10.106728,75,54,0
10.106728,10.227835,71,51,0
10.210534,10.331641,73,51,0
10.31434,10.435448,75,51,0
10.418146,10.521953,66,54,0
10.521953,10.64306,69,52,0
10.625759,10.746866,67,52,0
10.729565,10.850613,66,52,0
10.833371,10.93676,64,55,0
10.93676,11.056859,67,53,0
11.039736,11.159365,69,53,0
11.1423,11.261406,71,53,0
11.244456,11.346151,61,57,0
11.346151,11.465606,74,54,0
11.448541,11.567994,73,54,0
11.550929,11.670383,71,54,0
11.653318,11.755708,70,57,0
11.755708,11.877235,64,55,0
11.859875,11.981402,66,55,0
11.964041,12.085569,67,55,0
12.068208,12.172375,61,59,0
12.172375,12.293482,67,55,0
12.276181,12.39693,66,56,0
12.379688,12.500082,64,56,0
12.4829,12.585757,62,61,0
12.585757,12.705212,71,57,0
12.688147,12.8076,73,57,0
12.790535,12.909989,74,57,0
12.892924,12.995314,66,62,0
12.995314,13.114767,69,58,0
13.097702,13.217156,68,58,0
13.200091,13.319545,66,58,0
13.302481,13.404869,65,63,0
13.404869,13.526398,68,58,0
13.509036,13.630564,69,59,0
13.613203,13.734731,71,59,0
13.71737,13.821536,65,63,0
13.821536,13.943065,74,59,0
13.925703,14.047231,73,59,0
14.02987,14.151398,71,60,0
14.134037,14.238203,80,63,0
14.238203,14.357251,77,60,0
14.340244,14.459291,78,60,0
14.442285,14.561994,80,60,0
14.544326,14.650332,73,65,0
14.650332,14.77314,83,61,0
14.755596,14.878403,81,62,0
14.860859,14.983666,80,62,0
14.966123,15.071385,81,67,0
15.071385,15.1904335,78,62,0
15.173427,15.292474,80,62,0
15.275467,15.394515,81,62,0
15.377508,15.479548,73,67,0
15.479548,15.598538,76,62,0
15.58159,15.700233,75,62,0
15.683285,15.801871,73,62,0
15.78498,15.886331,75,67,0
15.886331,16.004517,78,62,0
15.987682,16.105526,79,62,0
16.088692,16.207314,81,62,0
16.189646,16.295652,71,67,0
16.295652,16.414875,81,62,0
16.39781,16.51779,79,62,0
16.500608,16.621418,78,62,0
16.604116,16.708223,79,67,0
16.708223,16.82933,76,62,0
16.812029,16.933136,78,62,0
16.915836,17.036943,79,62,0
17.019642,17.123447,71,66,0
17.123447,17.244856,74,62,0
17.227495,17.349203,72,62,0
17.331783,17.453856,71,62,0
17.436373,17.541267,72,66,0
17.541267,17.661543,75,62,0
17.644361,17.764635,76,62,0
17.747454,17.86773,78,62,0
17.850546,17.953638,69,66,0
17.953638,18.07559,72,62,0
18.058168,18.180119,71,62,0
18.162699,18.284834,69,62,0
18.267227,18.372862,67,66,0
18.372862,18.496101,76,62,0
18.478495,18.601734,78,62,0
18.58413,18.707369,79,61,0
18.689762,18.795397,71,66,0
18.795397,18.916504,74,62,0
18.899202,19.02031,73,62,0
19.003008,19.124115,71,62,0
19.106815,19.21062,73,66,0
19.21062,19.332573,76,62,0
19.315151,19.437101,78,62,0
19.41968,19.541632,79,62,0
19.52421,19.628738,69,64,0
19.628738,19.748602,79,62,0
19.73148,19.851341,78,62,0
19.834219,19.954023,76,62,0
19.936958,20.039347,78,67,0
20.039347,20.159094,74,62,0
20.14197,20.26201,76,62,0
20.244827,20.365221,78,62,0
20.34798,20.451427,69,65,0
20.451427,20.572535,72,61,0
20.555235,20.676342,71,60,0
20.65904,20.780148,69,60,0
20.762846,20.866653,71,65,0
20.866653,20.986515,67,59,0
20.969393,21.089256,69,59,0
21.072132,21.192354,71,59,0
21.174871,21.279768,61,64,0
21.279768,21.400042,71,58,0
21.38286,21.503136,69,58,0
21.485952,21.606228,67,58,0
21.589045,21.692139,66,63,0
21.692139,21.813665,62,57,0
21.796305,21.917833,64,57,0
21.90047,22.022,66,57,0
22.004639,22.108805,57,62,0
22.108805,22.228258,60,57,0
22.211195,22.330648,59,56,0
22.313583,22.433037,57,56,0
22.415972,22.518362,59,61,0
22.518362,22.637815,62,56,0
22.62075,22.740204,64,56,0
22.723139,22.842592,66,55,0
22.825527,22.927917,59,60,0
22.927917,23.050295,69,54,0
23.032812,23.15519,68,54,0
23.137707,23.260084,66,54,0
23.242601,23.347498,68,58,0
23.347498,23.469025,64,54,0
23.451664,23.573193,66,53,0
23.55583,23.677238,68,53,0
23.659937,23.763744,59,57,0
23.763744,23.884851,62,53,0
23.86755,23.98836,60,53,0
23.971117,24.091806,59,52,0
24.074566,24.177954,57,56,0
24.177954,24.29823,60,52,0
24.281048,24.401321,62,52,0
24.38414,24.504416,64,52,0
24.487232,24.590326,57,55,0
24.590326,24.712704,67,51,0
24.69522,24.817598,66,50,0
24.800116,24.922493,64,50,0
24.90501,25.009905,63,54,0
25.009905,25.13018,57,50,0
25.112999,25.233273,59,50,0
25.216091,25.336367,60,50,0
25.319183,25.422277,57,54,0
25.422277,25.542551,60,50,0
25.52537,25.645645,59,50,0
25.628462,25.748737,57,50,0
25.731554,25.834648,55,54,0
25.834648,25.957455,64,50,0
25.93991,26.062717,66,50,0
26.045174,26.167982,67,50,0
26.150438,26.255701,59,54,0
26.255701,26.376036,62,50,0
26.358793,26.479542,61,50,0
26.462242,26.583408,59,50,0
26.566048,26.670275,58,54,0
26.670275,26.790138,61,50,0
26.773014,26.892878,62,50,0
26.875755,26.995617,64,50,0
26.978495,27.081234,58,54,0
27.081234,27.201097,67,50,0
27.183973,27.303837,66,50,0
27.286713,27.406576,64,51,0
27.389454,27.492193,73,55,0
27.492193,27.612057,70,51,0
27.594933,27.714796,71,52,0
27.697672,27.817535,73,52,0
27.800413,27.903152,66,55,0
27.903152,28.02553,76,52,0
28.008047,28.130424,74,52,0
28.112942,28.23532,73,52,0
28.217836,28.322733,74,57,0
28.322733,28.443007,71,53,0
28.425825,28.5461,73,53,0
28.528917,28.649193,74,53,0
28.63201,28.735104,66,58,0
28.735104,28.855377,69,53,0
28.838196,28.958471,68,53,0
28.941288,29.061563,66,54,0
29.044382,29.147474,68,59,0
29.147474,29.267397,71,54,0
29.250332,29.369612,72,54,0
29.352604,29.471716,74,54,0
29.454414,29.558222,64,59,0
29.558222,29.680172,74,55,0
29.66275,29.784702,72,55,0
29.76728,29.88923,71,55,0
29.871809,29.97634,72,61,0
29.97634,30.096613,69,55,0
30.079432,30.199707,71,54,0
30.182524,30.3028,72,53,0
30.285618,30.38865,64,59,0
30.38865,30.508398,67,52,0
30.491333,30.61067,66,52,0
30.593664,30.712595,64,51,0
30.695646,30.797514,66,56,0
30.797514,30.917143,69,50,0
30.90002,31.020355,71,50,0
31.003113,31.124222,72,49,0
31.106861,31.211027,62,54,0
31.211027,31.332556,72,48,0
31.315193,31.436722,71,47,0
31.419361,31.540888,69,47,0
31.523527,31.627695,71,51,0
31.627695,31.747557,67,46,0
31.730434,31.850296,69,46,0
31.833174,31.953457,71,46,0
31.935913,32.041176,62,51,0
32.041176,32.16529,71,46,0
32.14756,32.27167,69,46,0
32.253944,32.376385,67,46,0
32.358902,32.4638,74,51,0
32.4638,32.584488,67,46,0
32.567245,32.688057,69,46,0
32.670753,32.79198,71,46,0
32.77462,32.87885,62,51,0
32.87885,33.002087,71,46,0
32.98448,33.10772,69,46,0
33.090115,33.213356,67,46,0
33.195747,33.301136,72,51,0
33.301136,33.422665,69,48,0
33.405304,33.52683,71,48,0
33.509468,33.630997,72,48,0
33.613636,33.717804,64,51,0
33.717804,33.83933,67,48,0
33.821968,33.943497,66,48,0
33.926136,34.047665,64,48,0
34.030304,34.134468,66,51,0
34.134468,34.254745,69,48,0
34.237564,34.357838,71,48,0
34.340656,34.46093,72,48,0
34.44375,34.54684,62,51,0
34.54684,34.66922,72,48,0
34.651737,34.774113,71,48,0
34.75663,34.87901,69,48,0
34.861526,34.96642,71,51,0
34.96642,35.08753,67,48,0
35.07023,35.191334,69,48,0
35.174034,35.29514,71,48,0
35.27784,35.381645,62,51,0
35.381645,35.502754,66,48,0
35.48545,35.60656,64,48,0
35.589256,35.710304,62,48,0
35.693066,35.796513,64,51,0
35.796513,35.916965,67,48,0
35.899784,36.01994,69,48,0
36.002815,36.12268,71,48,0
36.105556,36.208004,64,51,0
36.208004,36.327457,74,48,0
36.310394,36.429848,73,48,0
36.41278,36.532234,71,48,0
36.51517,36.61756,73,51,0
36.61756,36.737015,69,48,0
36.719948,36.8394,71,48,0
36.82234,36.94179,73,48,0
36.92473,37.027115,64,51,0
37.027115,37.14657,67,49,0
37.129505,37.24896,66,49,0
37.231895,37.35129,64,49,0
37.334282,37.436325,62,52,0
37.436325,37.55566,66,49,0
37.538597,37.658226,67,49,0
37.6411,37.761024,69,49,0
37.743843,37.846935,59,53,0
37.846935,37.969315,69,49,0
37.95183,38.074207,67,49,0
38.056725,38.179104,66,49,0
38.16162,38.266514,67,53,0
38.266514,38.388893,64,49,0
38.37141,38.49379,66,49,0
38.476307,38.598682,67,49,0
38.5812,38.686096,59,54,0
38.686096,38.8072,62,49,0
38.7899,38.91101,61,50,0
38.893707,39.014816,59,50,0
38.997513,39.101322,61,54,0
39.101322,39.222427,64,50,0
39.205128,39.326233,66,50,0
39.308933,39.43004,67,50,0
39.41274,39.516544,57,55,0
39.516544,39.638924,67,50,0
39.62144,39.743816,66,51,0
39.726334,39.848713,64,51,0
39.83123,39.936127,66,55,0
39.936127,40.05723,62,51,0
40.039932,40.161037,64,51,0
40.143738,40.264786,66,52,0
40.247543,40.350994,57,56,0
40.350994,40.471443,66,52,0
40.45426,40.57448,64,52,0
40.557354,40.67722,62,52,0
40.660095,40.7626,69,57,0
40.7626,40.882053,66,52,0
40.86499,40.984444,67,52,0
40.96738,41.086834,69,53,0
41.069767,41.172157,62,57,0
41.172157,41.294537,72,53,0
41.277054,41.39943,71,53,0
41.381947,41.504326,69,53,0
41.486843,41.591736,71,58,0
41.591736,41.712425,67,53,0
41.695187,41.815876,69,53,0
41.798634,41.919323,71,53,0
41.90208,42.00553,62,58,0
42.00553,42.125393,71,54,0
42.10827,42.228134,69,54,0
42.21101,42.33087,67,54,0
42.31375,42.41649,74,59,0
42.41649,42.536354,71,54,0
42.51923,42.63909,73,54,0
42.621967,42.741714,74,54,0
42.72471,42.826748,68,60,0
42.826748,42.9487,77,55,0
42.93128,43.05323,76,55,0
43.03581,43.15776,74,55,0
43.14034,43.244865,73,60,0
43.244865,43.366817,69,56,0
43.349396,43.471348,71,56,0
43.453926,43.57588,73,56,0
43.558456,43.662987,64,60,0
43.662987,43.783676,67,56,0
43.766434,43.887123,66,56,0
43.86988,43.99057,64,56,0
43.97333,44.07678,69,60,0
44.07678,44.199585,74,56,0
44.18204,44.304848,76,56,0
44.287304,44.41011,78,56,0
44.392567,44.49783,71,61,0
44.49783,44.618107,81,56,0
