start_time,end_time,note_value,velocity,instrument_program_number
0.1164235,0.20374112,58,81,0
0.232847,0.32016462,58,77,0
0.465694,0.5530116,57,77,0
0.5821175,0.66943514,58,73,0
0.8149645,0.9022821,54,84,0
0.931388,1.0285383,57,77,0
1.1773453,1.2646629,61,87,0
1.2937688,1.3810863,60,87,0
1.5274805,1.6154467,56,75,0
1.6447687,1.7327349,56,73,0
1.8793453,1.9673114,53,74,0
1.9966335,2.0845997,54,71,0
2.236416,2.3299673,58,72,0
2.3614774,2.457087,56,67,0
3.0221539,3.1094713,58,49,0
3.1385772,3.225895,58,47,0
3.3714242,3.458742,57,45,0
3.4878478,3.5751655,58,45,0
3.7206948,3.8080125,54,46,0
3.8371184,3.9323685,57,45,0
4.080542,4.1678596,61,47,0
4.1969657,4.284283,60,47,0
4.4319096,4.5208,56,46,0
4.5504303,4.639321,56,45,0
4.7874722,4.876363,53,45,0
4.905993,4.9948835,54,45,0
5.148298,5.242792,58,43,0
5.274611,5.371014,56,43,0
5.940677,6.0279946,54,72,0
6.0571003,6.1444182,57,71,0
6.2899475,6.377265,58,80,0
6.406371,6.4936886,60,80,0
6.639218,6.726536,63,85,0
6.7556415,6.852792,61,80,0
7.001599,7.0889163,60,77,0
7.1180224,7.20534,58,71,0
7.350869,7.4381866,56,81,0
7.467293,7.5546103,56,79,0
7.7001395,7.7874575,61,79,0
7.816563,7.9038806,60,84,0
8.054668,8.147043,56,79,0
8.178089,8.271842,58,79,0
8.837214,8.924532,54,43,0
8.953638,9.040956,57,43,0
9.186485,9.273803,58,45,0
9.302909,9.390226,60,45,0
9.535756,9.623074,63,47,0
9.652179,9.74933,61,47,0
9.898136,9.985455,60,45,0
10.01456,10.101877,58,45,0
10.247407,10.334724,56,49,0
10.363831,10.451148,56,49,0
10.596678,10.683995,61,46,0
10.713101,10.800419,60,46,0
10.950258,11.042439,56,46,0
11.073485,11.167673,58,46,0
11.629138,11.727443,70,70,0
11.629138,11.727443,66,62,0
11.760211,11.858516,70,62,0
