start_time,end_time,note_value,velocity,instrument_program_number
9.545448,10.545447,70,60,71
10.636356,11.113628,69,60,71
11.113628,11.176128,70,64,71
11.18181,12.181809,70,64,71
12.272718,12.74999,69,76,71
12.74999,12.81249,70,80,71
12.818172,13.635616,70,80,71
13.641403,13.913394,62,92,71
14.2022,14.4793215,62,75,71
14.77368,15.056131,62,75,71
15.062141,15.552337,63,60,71
22.795824,23.795822,70,60,71
23.886732,24.364004,69,60,71
24.364004,24.426504,70,64,71
24.432186,25.432184,70,64,71
25.523094,26.000366,69,76,71
26.000366,26.062866,70,80,71
26.068548,26.885992,70,80,71
26.891779,27.16377,62,92,71
27.452576,27.729698,62,75,71
28.024055,28.306507,62,75,71
28.312517,28.802713,63,60,71
33.864384,34.40984,67,75,71
34.40984,34.864384,65,60,71
34.95529,35.409836,63,45,71
36.591656,37.137108,72,60,71
37.137108,37.409836,69,60,71
37.409836,37.682564,70,68,71
37.682564,37.955288,71,76,71
37.955288,38.222336,72,84,71
38.228016,38.68256,74,92,71
40.409832,40.955284,65,75,71
40.955284,41.409832,63,60,71
41.50074,41.955284,62,45,71
42.59165,43.1371,68,92,71
43.1371,43.59165,67,60,71
44.22801,44.682556,63,60,71
44.773464,44.864372,70,60,71
45.046192,45.1371,72,68,71
45.318916,45.40983,74,76,71
45.591644,45.682552,75,84,71
45.864372,46.682552,77,92,71
46.682552,46.949596,75,92,71
46.95528,47.04619,72,86,71
47.22801,47.318916,70,80,71
47.500732,47.591644,69,74,71
47.77346,47.86437,65,67,71
48.04619,49.68255,70,60,71
49.68255,52.273457,70,45,71
52.40982,52.887093,67,60,71
52.887093,52.949593,63,60,71
52.955273,53.091637,58,60,71
53.50073,53.637093,58,60,71
54.04618,54.182545,58,60,71
54.591637,55.04618,58,60,71
55.682545,56.682545,82,60,71
56.773453,57.250725,81,68,71
57.250725,57.313225,82,71,71
57.318905,58.318905,82,71,71
58.409813,58.887085,81,79,71
58.887085,58.949585,82,82,71
58.95527,59.963684,82,82,71
60.05628,60.197784,68,92,71
60.622314,60.766544,68,75,71
61.199238,61.689434,67,60,71
66.75111,67.296555,67,75,71
67.296555,67.75111,65,60,71
67.84201,68.296555,63,45,71
69.47837,70.02383,72,60,71
70.02383,70.296555,69,60,71
70.296555,70.56928,70,68,71
70.56928,70.84201,71,76,71
70.84201,71.109055,72,84,71
71.11474,71.56928,74,92,71
73.296555,73.842,65,75,71
73.842,74.296555,63,60,71
74.38746,74.842,62,45,71
75.47837,76.02382,68,92,71
76.02382,76.47837,67,60,71
77.11473,77.569275,63,60,71
77.66019,77.75109,70,60,71
77.932915,78.02382,72,68,71
78.205635,78.29655,74,76,71
78.47836,78.569275,75,84,71
78.75109,79.569275,77,92,71
79.569275,79.83632,75,92,71
79.842,79.93291,72,86,71
80.11472,80.205635,70,80,71
80.38745,80.47836,69,74,71
80.66018,80.75109,65,67,71
80.93291,82.56927,70,60,71
82.56927,85.16018,70,45,71
85.29654,85.77381,67,60,71
85.77381,85.83631,63,60,71
85.841995,85.978355,58,60,71
86.38745,86.52381,58,60,71
86.9329,87.06927,58,60,71
87.478355,87.9329,58,60,71
88.56927,89.56926,82,60,71
89.66017,90.13744,81,68,71
90.13744,90.19994,82,71,71
90.20563,91.20563,82,71,71
91.29653,91.7738,81,79,71
91.7738,91.8363,82,82,71
91.84199,92.8504,82,82,71
92.943,93.0845,68,92,71
93.50903,93.65327,68,75,71
94.08596,94.57616,67,60,71
100.72873,100.90487,58,45,71
100.91055,101.086685,63,45,71
101.09237,101.2685,67,46,71
101.274185,101.450325,70,48,71
101.456,101.63214,75,50,71
101.637825,101.81396,79,52,71
101.81964,101.99577,82,54,71
102.00146,102.1776,82,56,71
102.18327,102.35941,82,58,71
102.3651,102.54123,82,60,71
102.54691,102.723045,82,60,71
102.72873,102.90487,82,60,71
102.910545,103.086685,82,60,71
103.09237,103.2685,82,63,71
103.274185,103.45032,82,66,71
103.456,103.63214,82,69,71
103.63782,103.81396,82,72,71
103.81964,103.99577,82,76,71
104.00146,104.17759,82,80,71
104.18327,104.35941,82,84,71
104.36509,104.54123,82,88,71
104.54691,104.723045,82,92,71
104.72873,104.90486,82,92,71
104.910545,105.086685,82,92,71
105.09236,105.2685,82,75,71
105.274185,105.45032,82,75,71
105.456,105.63213,82,75,71
105.63782,105.81396,82,60,71
105.81963,106.00146,82,60,71
106.00146,106.18327,83,60,71
106.18327,106.36509,84,60,71
106.36509,106.546906,82,60,71
106.546906,106.72873,80,60,71
106.72873,106.917404,79,60,71
106.917404,107.10019,77,60,71
107.10609,107.229904,75,60,71
107.29476,107.882996,75,60,71
107.882996,108.17099,74,45,71
113.92577,114.101906,58,45,71
114.10759,114.28373,63,45,71
114.289406,114.465546,67,46,71
114.47123,114.64736,70,48,71
114.653046,114.82918,75,50,71
114.83486,115.011,79,52,71
115.01668,115.19282,82,54,71
115.1985,115.37463,82,56,71
115.38032,115.55645,82,58,71
115.56213,115.73827,82,60,71
115.74395,115.92009,82,60,71
115.92577,116.101906,82,60,71
116.10759,116.28372,82,60,71
116.289406,116.465546,82,63,71
116.47122,116.64736,82,66,71
116.653046,116.82918,82,69,71
116.83486,117.010994,82,72,71
117.01668,117.19282,82,76,71
117.198494,117.37463,82,80,71
117.38032,117.55645,82,84,71
117.56213,117.738266,82,88,71
117.74395,117.92009,82,92,71
117.925766,118.101906,82,92,71
118.10759,118.28372,82,92,71
118.289406,118.46554,82,75,71
118.47122,118.64736,82,75,71
118.65304,118.82918,82,75,71
118.83486,119.010994,82,60,71
119.01668,119.198494,82,60,71
119.198494,119.38031,83,60,71
119.38031,119.56213,84,60,71
119.56213,119.74395,82,60,71
119.74395,119.925766,80,60,71
119.925766,120.11445,79,60,71
120.11445,120.297226,77,60,71
120.30312,120.42695,75,60,71
120.491806,121.08004,75,60,71
121.08004,121.36803,74,45,71
132.0319,132.29895,63,60,71
132.30463,132.57167,79,60,71
132.85008,133.11713,80,60,71
133.39554,133.66258,77,60,71
133.66826,133.84439,75,60,71
133.85008,134.03189,55,60,71
134.03189,134.20804,58,60,71
134.21371,134.33304,63,60,71
134.39554,134.51485,67,60,71
134.57735,134.69667,70,60,71
134.75917,134.8785,75,60,71
134.941,135.0603,79,60,71
135.1228,135.24213,82,60,71
135.30463,135.48076,82,60,71
135.48643,135.66258,82,62,71
135.66826,135.84439,82,64,71
135.85008,136.02621,82,66,71
136.03189,136.20804,82,68,71
136.21371,136.38985,82,71,71
136.39554,136.57167,82,74,71
136.57735,136.75348,82,77,71
136.75917,136.9353,82,80,71
136.94098,137.11713,82,83,71
137.1228,137.29893,82,86,71
137.30463,137.48076,82,89,71
137.48643,137.66258,82,92,71
137.66826,137.84439,82,92,71
137.85008,138.02621,82,92,71
138.03189,138.20802,82,92,71
138.21371,138.38985,82,92,71
138.39552,138.57167,82,92,71
138.57735,138.69667,82,92,71
138.75917,138.94098,82,89,71
138.94098,139.1228,83,86,71
139.1228,139.30463,84,83,71
139.30463,139.48643,80,80,71
139.48643,139.66826,79,76,71
139.66826,139.85693,77,72,71
139.85693,140.03972,75,68,71
140.04561,140.16943,74,64,71
140.2343,140.82253,77,60,71
140.82253,141.11052,75,45,71
151.77438,152.04143,63,60,71
152.04712,152.31416,79,60,71
152.59258,152.85962,80,60,71
153.13803,153.40508,77,60,71
153.41075,153.58688,75,60,71
153.59258,153.77438,55,60,71
153.77438,153.95052,58,60,71
153.9562,154.07552,63,60,71
154.13802,154.25734,67,60,71
154.31984,154.43916,70,60,71
154.50166,154.62097,75,60,71
154.68347,154.8028,79,60,71
154.8653,154.98462,82,60,71
155.04712,155.22325,82,60,71
155.22893,155.40506,82,62,71
155.41075,155.58688,82,64,71
155.59256,155.7687,82,66,71
155.77438,155.95052,82,68,71
155.9562,156.13234,82,71,71
156.13802,156.31416,82,74,71
156.31984,156.49597,82,77,71
156.50166,156.6778,82,80,71
156.68347,156.8596,82,83,71
156.8653,157.04143,82,86,71
157.0471,157.22325,82,89,71
157.22893,157.40506,82,92,71
157.41075,157.58688,82,92,71
157.59256,157.7687,82,92,71
157.77438,157.95052,82,92,71
157.9562,158.13234,82,92,71
158.13802,158.31415,82,92,71
158.31984,158.43915,82,92,71
158.50165,158.68347,82,89,71
158.68347,158.8653,83,86,71
158.8653,159.0471,84,83,71
159.0471,159.22893,80,80,71
159.22893,159.41075,79,76,71
159.41075,159.59943,77,72,71
159.59943,159.78221,75,68,71
159.7881,159.91193,74,64,71
159.97678,160.56502,77,60,71
160.56502,160.85301,75,45,71
167.6987,168.6987,70,60,71
168.78961,169.26688,69,60,71
169.26688,169.32938,70,64,71
169.33507,170.33507,70,64,71
170.42596,170.90324,69,76,71
170.90324,170.96574,70,80,71
170.97142,171.78886,70,80,71
171.79466,172.06665,62,92,71
172.35545,172.63257,62,75,71
172.92693,173.20938,62,75,71
173.2154,173.70558,63,60,71
178.76726,179.31271,67,75,71
179.31271,179.76726,65,60,71
179.85817,180.31271,63,45,71
181.49454,182.03998,72,60,71
182.03998,182.31271,69,60,71
182.31271,182.58543,70,68,71
182.58543,182.85817,71,76,71
182.85817,183.12521,72,84,71
183.13089,183.58543,74,92,71
185.31271,185.85817,65,75,71
185.85817,186.31271,63,60,71
186.40361,186.85815,62,45,71
187.49452,188.03998,68,92,71
188.03998,188.49452,67,60,71
189.13089,189.58543,63,60,71
189.67635,189.76724,70,60,71
189.94907,190.03998,72,68,71
190.22179,190.3127,74,76,71
190.49452,190.58543,75,84,71
190.76724,191.58543,77,92,71
191.58543,191.85248,75,92,71
191.85815,191.94907,72,86,71
192.13089,192.22179,70,80,71
192.40361,192.49452,69,74,71
192.67633,192.76724,65,67,71
192.94907,194.58542,70,60,71
194.58542,197.17633,70,45,71
197.3127,197.78996,67,60,71
197.78996,197.85246,63,60,71
197.85815,197.9945,58,60,71
198.40361,198.53996,58,60,71
198.94905,199.08542,58,60,71
199.4945,199.94905,58,60,71
200.58542,201.58542,82,60,71
201.67633,202.1536,81,68,71
202.1536,202.2161,82,71,71
202.22179,203.22179,82,71,71
203.31268,203.78996,81,79,71
203.78996,203.85246,82,82,71
203.85814,204.86656,82,82,71
204.95915,205.10066,68,92,71
205.52519,205.66942,68,75,71
206.10211,206.60211,67,60,71
3.0,3.090909,55,60,42
3.272727,3.363636,46,60,42
3.545454,3.636363,56,60,42
3.818181,3.90909,46,60,42
4.090908,4.181817,56,60,42
4.363635,4.454544,46,60,42
4.636362,4.727271,56,60,42
4.909089,4.999998,46,60,42
5.181816,5.272725,55,60,42
5.454543,5.545452,46,60,42
5.72727,5.818179,55,60,42
5.999997,6.090906,46,60,42
6.272724,6.363633,55,60,42
6.545451,6.63636,46,60,42
6.818178,6.909087,53,60,42
7.090905,7.181814,46,60,42
7.363632,7.454541,50,60,42
7.636359,7.727268,46,60,42
7.909086,7.999995,53,60,42
8.181813,8.272722,46,60,42
8.45454,8.545449,55,60,42
8.727267,8.818176,46,60,42
8.999994,9.090903,55,60,42
9.272721,9.36363,46,60,42
9.545448,10.545447,58,60,42
10.636356,11.113628,57,60,42
11.113628,11.176128,58,64,42
11.18181,12.181809,58,64,42
12.272718,12.74999,57,76,42
12.74999,12.81249,58,80,42
12.818172,13.635616,58,80,42
