start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.1153845,57,97,40
0.0,1.4008399,66,97,40
0.1153845,1.4008399,74,97,40
1.7307675,1.846152,69,97,40
1.846152,1.9615365,74,97,40
1.9615365,2.1436276,78,97,40
2.6538434,2.769228,74,97,40
2.769228,2.8846126,78,97,40
2.8846126,3.0667036,81,97,40
3.5769196,3.692304,81,97,40
3.692304,3.8076885,78,97,40
3.8076885,3.9897797,74,97,40
5.4230714,5.538456,78,97,40
5.538456,5.6538405,74,97,40
5.6538405,5.836055,69,97,40
6.349828,6.4668484,74,97,40
6.4668484,6.5842314,69,97,40
6.5842314,6.7702713,66,97,40
7.297729,7.4184537,69,97,40
7.4184537,7.5397882,66,97,40
7.5397882,7.7218795,62,97,40
8.34748,8.462864,69,60,40
8.462864,10.309016,81,60,40
10.309016,11.116708,78,60,40
11.116708,11.232093,74,60,40
11.232093,11.414184,73,60,40
12.0397835,12.155169,69,60,40
12.155169,14.004434,79,60,40
14.004434,14.823272,76,60,40
14.823272,14.9411335,73,60,40
14.9411335,15.123224,74,60,40
15.862247,17.692125,74,60,40
17.692125,18.48879,74,71,40
18.602482,19.966118,74,76,40
19.966118,20.19339,73,83,40
20.19339,20.374498,71,85,40
20.420662,20.648287,71,60,40
20.648287,20.87733,69,60,40
20.87733,21.108114,67,60,40
21.108114,21.293451,66,60,40
21.340977,21.57627,66,60,40
21.57627,21.81437,64,60,40
21.81437,22.055674,62,60,40
22.055674,22.250666,61,60,40
22.30063,22.5314,62,60,40
22.5314,22.762169,66,60,40
22.762169,22.992939,69,60,40
22.992939,23.223707,67,60,40
23.223707,23.454475,66,60,40
23.454475,23.685246,64,60,40
23.685246,23.916014,62,60,40
23.916014,24.146784,61,60,40
24.146784,24.377552,62,60,40
24.377552,24.608322,64,60,40
24.608322,24.83909,66,60,40
24.83909,25.069859,67,60,40
25.069859,25.300629,69,60,40
25.300629,25.531397,71,60,40
25.531397,25.762167,73,60,40
25.762167,25.94606,74,60,40
25.992935,26.223703,69,60,40
26.223703,26.454473,73,60,40
26.454473,26.685242,76,60,40
26.685242,26.916012,74,60,40
26.916012,27.14678,73,60,40
27.14678,27.37755,71,60,40
27.37755,27.608318,69,60,40
27.608318,27.839087,68,60,40
27.839087,28.069857,69,60,40
28.069857,28.300625,71,60,40
28.300625,28.531395,73,60,40
28.531395,28.762163,74,60,40
28.762163,28.992931,76,60,40
28.992931,29.223701,78,60,40
29.223701,29.45447,79,60,40
