start_time,end_time,note_value,velocity,instrument_program_number
0.0,3.315971,63,125,40
0.0,3.315971,55,125,40
3.333332,3.9999986,55,100,40
3.333332,3.9999986,63,100,40
4.333332,6.3124986,58,125,40
6.333332,6.9999986,58,100,40
7.333332,10.6493025,55,125,40
7.333332,10.6493025,67,125,40
10.666664,11.333331,55,100,40
10.666664,11.333331,67,100,40
11.666664,13.645831,58,125,40
11.666664,13.645831,65,125,40
13.666664,14.333331,58,100,40
13.666664,14.333331,65,100,40
14.666664,17.64583,70,125,40
17.666664,18.39583,67,100,40
18.666664,20.156248,72,120,40
20.166664,20.416664,71,90,40
20.416664,20.666664,72,80,40
20.666664,20.83333,71,70,40
20.83333,20.999998,72,70,40
20.999998,21.166664,71,70,40
21.166664,21.33333,72,70,40
21.33333,21.499998,71,70,40
21.499998,21.666664,72,70,40
21.666664,21.800592,71,70,40
21.800592,21.93452,72,70,40
21.93452,22.068449,71,70,40
22.068449,22.202377,72,70,40
22.202377,22.352379,71,70,40
22.352379,22.502378,72,70,40
22.502378,22.689878,74,70,40
22.689878,22.919044,72,70,40
22.939878,23.358011,72,70,40
23.362413,23.743021,79,70,40
23.747028,24.118122,74,70,40
24.122028,24.493122,70,70,40
24.497028,24.868122,75,70,40
24.872028,25.243122,72,70,40
25.247028,25.430622,70,70,40
25.434528,25.618122,68,70,40
25.622028,25.805622,68,70,40
25.809528,25.993122,67,70,40
25.997028,26.274372,68,70,40
26.372028,27.118122,70,70,40
27.122028,27.493122,71,70,40
27.497028,27.868122,72,70,40
27.872028,28.243122,77,70,40
28.247028,28.618122,74,70,40
28.622028,28.993122,70,70,40
28.997028,29.368122,75,70,40
29.372028,29.743122,72,70,40
29.747028,29.930622,70,70,40
29.934528,30.118122,68,70,40
30.122028,30.315285,68,70,40
30.319397,30.512653,67,70,40
30.516764,30.816595,68,70,40
30.922169,31.302778,67,70,40
34.383705,34.764313,74,70,40
34.76832,35.14893,82,70,40
35.152935,35.533543,74,70,40
35.537548,35.91816,75,70,40
35.922165,36.302773,82,70,40
36.306778,36.68739,83,70,40
36.691395,37.072002,84,73,40
37.076008,37.45662,89,76,40
37.460625,37.841232,86,80,40
37.845238,38.22585,82,83,40
38.229855,38.610462,87,87,40
38.614468,38.99508,84,90,40
38.999084,39.187386,82,93,40
39.19139,39.379692,80,95,40
39.383698,39.572,80,97,40
39.576008,39.76431,79,99,40
39.768314,40.03498,77,100,40
40.168316,40.434982,75,104,40
40.568314,40.818314,55,107,40
40.568314,40.818314,63,107,40
40.943314,42.064407,75,110,40
42.068314,42.251907,77,110,40
42.255814,42.439407,79,110,40
42.443314,43.189407,82,110,40
43.193314,43.376907,80,110,40
43.380814,43.564407,79,110,40
43.568314,43.751907,79,110,40
43.755814,43.939407,77,110,40
43.943314,44.126907,75,110,40
44.130814,44.314407,74,110,40
44.318314,44.501907,72,110,40
44.505814,44.689407,70,110,40
44.693314,45.064407,68,110,40
45.068314,45.439407,67,110,40
45.443314,46.564407,75,110,40
46.568314,46.751907,77,110,40
46.755814,46.939407,79,110,40
46.943314,47.126907,82,125,40
47.130814,47.267532,80,110,40
47.318314,47.455032,79,110,40
47.505814,47.642532,77,110,40
47.693314,47.830032,83,110,40
47.880814,48.017532,84,110,40
48.068314,48.251907,84,125,40
48.255814,48.392532,82,110,40
48.443314,48.580032,80,110,40
48.630814,48.767532,79,110,40
48.818314,48.955032,77,110,40
49.005814,49.142532,82,110,40
49.193314,49.376907,80,125,40
49.380814,49.517532,79,110,40
49.568314,49.705032,77,110,40
49.755814,49.892532,75,110,40
49.943314,50.080032,83,110,40
50.130814,50.267532,84,110,40
50.318314,50.506615,84,125,40
50.51062,50.650845,82,110,40
50.70293,50.848763,80,110,40
50.902927,51.048763,79,110,40
51.10293,51.252758,77,110,40
51.308407,51.464657,82,110,40
51.522694,51.918526,63,110,40
55.212803,55.987965,63,70,40
55.992023,56.18277,62,70,40
56.18683,56.377575,60,70,40
56.381634,56.677467,65,70,40
56.78163,57.08979,63,70,40
57.1983,57.34413,74,70,40
57.3983,57.540344,75,70,40
57.593105,57.78385,75,70,40
57.78791,57.929955,74,70,40
57.982716,58.12476,72,70,40
58.177517,58.319565,70,70,40
58.372322,58.51437,69,70,40
58.567127,58.709175,74,70,40
58.761932,59.050083,67,70,40
59.151543,59.439693,72,70,40
59.541153,59.829304,66,70,40
59.930763,60.218914,70,70,40
60.320374,60.608524,62,70,40
60.709984,60.90073,69,70,40
60.90479,61.095535,67,70,40
61.099594,61.29034,66,70,40
61.2944,61.685036,78,76,40
61.689205,62.0904,79,88,40
62.094685,62.310677,81,100,40
62.31527,63.511105,82,95,40
63.51527,64.311104,81,110,40
64.31527,64.5111,79,104,40
64.515274,64.711105,78,107,40
64.71527,65.11111,81,110,40
65.11527,65.5111,75,100,40
65.515274,65.711105,74,93,40
65.71527,65.9111,72,89,40
65.91527,66.311104,72,85,40
66.31527,66.711105,70,77,40
66.71527,67.11111,72,70,40
67.11527,67.5111,74,70,40
67.515274,67.9111,79,69,40
67.91527,68.711105,77,67,40
68.71527,69.11111,75,63,40
69.11527,69.711105,76,61,40
69.71527,69.9111,69,53,40
69.91527,70.311104,81,56,40
70.31527,70.73938,81,63,40
70.74384,70.94643,81,70,40
70.95074,71.15333,74,70,40
71.15764,71.367455,75,70,40
71.37192,71.58174,74,70,40
71.586205,71.80875,86,70,40
71.81348,72.046616,78,70,40
72.051575,72.26139,79,70,40
72.26586,72.46706,79,73,40
72.47134,72.67254,78,77,40
72.67682,72.87801,79,81,40
72.88229,73.083496,81,84,40
73.087776,73.28897,82,88,40
73.29325,73.49445,75,92,40
73.49873,73.69993,84,96,40
73.70421,73.90541,83,99,40
73.90969,74.110886,84,103,40
74.11517,74.31637,86,107,40
74.32065,74.52185,87,110,40
74.52613,74.727325,87,110,40
74.731606,74.93281,78,102,40
74.93709,75.13828,79,94,40
75.14256,75.343765,81,86,40
75.348045,75.54924,82,78,40
75.55352,75.75472,84,70,40
75.759,75.9602,85,70,40
75.96448,76.16568,86,70,40
76.16996,76.371155,87,70,40
76.37544,76.58526,86,70,40
76.58972,76.799545,88,70,40
76.80401,77.02997,90,70,40
77.03478,77.26074,91,70,40
77.26555,77.46674,86,69,40
77.47102,77.672226,86,67,40
77.676506,77.8777,91,65,40
77.88199,78.08318,91,64,40
78.08746,78.28866,79,62,40
78.292946,78.49414,79,60,40
78.49842,78.69962,91,58,40
78.7039,78.9051,91,57,40
78.90938,79.11058,81,55,40
79.11486,79.316055,81,53,40
79.320335,79.52154,93,51,40
79.52582,79.72701,93,50,40
79.73129,79.932495,81,55,40
79.936775,80.13797,81,60,40
80.14225,80.34345,81,65,40
80.34773,80.54893,79,70,40
80.553215,80.75441,81,75,40
80.75869,80.908516,81,80,40
80.96417,81.114,82,85,40
81.16965,81.3259,82,90,40
81.383934,81.540184,84,95,40
81.59822,81.75906,82,100,40
81.81881,81.99242,81,85,40
82.0569,82.46923,86,70,40
82.890236,83.09423,87,85,40
83.098564,83.30256,86,89,40
83.3069,83.702736,86,93,40
84.1069,84.302734,87,90,40
84.3069,84.50273,86,80,40
84.5069,84.702736,86,70,40
84.9069,85.302734,75,77,40
85.3069,85.702736,72,85,40
85.7069,86.10274,69,93,40
86.1069,86.51358,74,100,40
86.51786,86.95779,70,90,40
86.962524,87.37485,82,70,40
87.37919,87.775024,87,76,40
87.77919,88.17502,84,83,40
88.17919,88.57502,81,90,40
88.579185,88.97502,86,97,40
88.97919,89.37502,82,104,40
89.37919,89.57502,79,110,40
89.766685,90.88778,91,110,40
90.891685,90.954185,90,110,40
90.954185,91.016685,91,110,40
91.016685,91.079185,90,110,40
91.079185,91.141685,91,110,40
91.141685,91.204185,90,110,40
91.204185,91.266685,91,110,40
91.266685,91.329185,90,110,40
91.329185,91.391685,91,110,40
91.391685,91.454185,90,110,40
91.454185,91.547935,88,110,40
91.547935,91.641685,90,110,40
91.641685,91.891685,91,110,40
92.016685,92.2731,55,120,40
92.401306,92.66797,55,120,40
92.8013,93.22541,55,120,40
95.77273,96.168564,89,70,40
96.17273,96.239395,90,70,40
96.239395,96.30606,91,70,40
96.30606,96.37273,90,70,40
96.37273,96.47273,88,70,40
96.47273,96.57273,90,70,40
96.57273,96.83939,91,110,40
96.97273,97.246704,55,110,40
97.38369,97.6694,55,110,40
97.812256,98.23637,55,110,40
100.812256,101.23636,78,70,40
101.24083,101.31775,78,70,40
101.31775,101.39467,79,66,40
101.39467,101.471596,78,61,40
101.471596,101.596596,76,57,40
101.596596,101.7466,78,50,40
103.346596,103.7707,66,50,40
103.77517,103.85209,66,50,40
103.85209,103.92901,67,50,40
103.92901,104.005936,66,50,40
104.005936,104.130936,64,50,40
104.130936,104.29968,66,50,40
104.29968,104.69899,55,110,40
104.29968,104.69899,62,110,40
104.29968,104.69899,71,110,40
104.29968,107.615654,79,110,40
107.63302,108.29968,55,110,40
107.63302,108.29968,62,110,40
107.63302,108.29968,71,110,40
107.63302,108.29968,79,110,40
108.63302,110.61218,74,125,40
110.63302,111.29968,74,110,40
111.63302,112.032326,55,110,40
111.63302,112.032326,62,110,40
111.63302,112.032326,74,110,40
111.63302,114.94899,83,110,40
114.96635,115.63302,55,110,40
114.96635,115.63302,62,110,40
114.96635,115.63302,74,110,40
114.96635,115.63302,83,110,40
115.96635,117.94552,81,125,40
117.96635,118.63302,81,110,40
118.96635,121.44899,86,125,40
