start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.5,57,92,40
0.0,2.0,64,92,40
0.5,2.0,69,92,40
0.5,2.0,81,92,40
2.0,4.0,74,45,40
2.0,4.0,78,45,40
4.0,5.6666665,71,45,40
4.0,5.6666665,74,45,40
6.0,8.0,68,45,40
6.0,8.0,71,45,40
8.0,11.0,64,45,40
8.0,11.0,76,45,40
11.0,11.979167,62,45,40
11.0,11.979167,68,45,40
12.0,13.666667,61,45,40
12.0,13.666667,69,45,40
14.0,14.5,59,45,40
14.0,15.979167,66,45,40
14.5,15.979167,74,45,40
16.0,16.5,59,45,40
16.0,17.979166,68,45,40
16.5,17.979166,74,45,40
18.0,18.5,57,45,40
18.0,20.0,64,45,40
18.5,20.0,74,45,40
20.0,20.979166,73,45,40
39.0,40.25,77,45,40
40.5,40.875,55,45,40
40.5,41.984375,62,45,40
40.875,41.984375,71,45,40
40.875,41.984375,77,45,40
42.0,42.375,60,45,40
42.0,43.5,67,45,40
42.375,43.5,72,45,40
42.375,43.5,77,45,40
43.5,44.234375,76,45,40
48.0,49.25,81,45,40
49.5,49.875,59,45,40
49.5,50.984375,66,45,40
49.875,50.984375,75,45,40
49.875,50.984375,81,45,40
51.0,51.375,64,45,40
51.0,52.5,71,45,40
51.375,52.5,81,45,40
52.5,57.0,80,45,40
57.0,59.25,81,45,40
59.25,59.984375,72,45,40
60.0,61.25,71,45,40
62.625,63.0,73,45,40
63.0,63.359375,74,45,40
64.125,64.5,72,45,40
64.5,65.234375,71,45,40
67.125,67.5,73,45,40
67.5,67.859375,74,45,40
68.625,69.0,72,45,40
69.0,69.734375,70,45,40
71.625,72.0,73,45,40
72.0,72.359375,74,45,40
73.125,73.5,76,45,40
73.5,74.234375,77,45,40
76.125,76.5,76,45,40
76.5,76.859375,77,45,40
76.875,77.25,76,45,40
77.25,77.609375,77,45,40
77.625,78.0,76,45,40
78.0,78.734375,77,45,40
80.625,81.0,76,45,40
81.0,81.359375,77,45,40
81.375,81.75,76,45,40
81.75,82.109375,77,45,40
82.125,82.5,76,45,40
82.5,86.0,77,45,40
86.5,86.71429,76,45,40
86.71429,87.303566,77,92,40
87.35714,87.41071,69,45,40
87.57143,87.625,68,45,40
87.78571,87.83928,64,45,40
87.99999,88.053566,64,45,40
88.21428,88.26785,68,45,40
88.428566,88.48214,69,45,40
88.64285,88.69642,64,45,40
88.85713,88.910706,64,45,40
89.07142,89.12499,69,45,40
89.285706,89.33928,71,45,40
89.49999,89.55356,64,45,40
89.71427,89.767845,64,45,40
89.92856,89.98213,71,45,40
90.142845,90.19642,72,45,40
90.35713,90.4107,69,45,40
90.57142,90.624985,69,45,40
90.7857,90.83927,72,45,40
90.999985,91.05356,72,45,40
91.21427,91.26784,69,45,40
91.42856,91.482124,69,45,40
91.64284,91.69641,72,45,40
91.857124,92.62498,74,45,40
92.74998,92.994774,55,45,40
92.74998,92.994774,62,45,40
92.99998,93.87498,71,45,40
92.99998,93.87498,79,45,40
93.99998,94.244774,60,45,40
93.99998,94.244774,67,45,40
93.99998,94.244774,72,45,40
94.24998,95.62498,76,45,40
98.3214,98.37497,69,45,40
98.53568,98.58926,68,45,40
98.74997,98.80354,64,45,40
98.96426,99.01783,64,45,40
99.17854,99.23211,68,45,40
99.39282,99.446396,69,45,40
99.60711,99.66068,64,45,40
99.821396,99.87497,64,45,40
100.03568,100.08925,69,45,40
100.24996,100.303535,69,45,40
100.46425,100.51782,64,45,40
100.678535,100.73211,64,45,40
100.89282,100.94639,69,45,40
101.1071,101.285675,71,45,40
101.96425,102.142815,55,92,40
101.96425,102.142815,62,92,40
101.96425,102.142815,71,92,40
102.82139,103.15472,55,108,40
102.82139,103.15472,64,108,40
102.82139,103.15472,72,108,40
107.32138,107.53567,76,45,40
107.53567,108.17852,77,45,40
108.17852,108.39281,76,56,40
108.39281,109.03566,77,60,40
109.03566,109.24995,77,72,40
109.24995,110.107086,78,76,40
110.107086,110.91065,79,92,40
110.964226,111.7678,80,92,40
111.821365,112.03565,81,92,40
112.03565,112.089226,76,92,40
112.24994,112.303505,72,92,40
112.464226,112.51779,74,92,40
112.678505,112.89279,76,92,40
112.89279,112.946365,72,92,40
113.10708,113.160645,69,92,40
113.321365,113.37493,69,92,40
113.535645,113.74993,74,92,40
113.74993,113.803505,71,92,40
113.96422,114.01779,68,92,40
114.178505,114.23207,68,92,40
114.392784,114.497696,57,92,40
114.49993,114.60484,69,92,40
114.60707,114.71198,68,92,40
114.71422,114.81912,69,92,40
114.82136,114.92627,57,92,40
114.9285,115.03341,69,92,40
115.035645,115.14055,59,92,40
115.142784,115.247696,69,92,40
115.24992,115.354836,60,92,40
115.35707,115.46198,69,92,40
115.46421,115.56912,62,92,40
115.57136,115.67626,69,92,40
115.6785,115.78341,60,92,40
115.78564,115.89055,69,92,40
115.892784,115.997696,59,92,40
115.99992,116.104836,69,92,40
116.10706,116.28564,57,92,40
117.82135,117.926254,64,92,40
117.92849,118.0334,76,92,40
118.03563,118.14054,75,92,40
118.14278,118.24769,76,92,40
118.249916,118.35483,64,92,40
118.35706,118.46197,76,92,40
118.4642,118.569115,66,92,40
118.57134,118.676254,76,92,40
118.67849,118.783394,68,92,40
118.78563,118.89054,76,92,40
118.89277,118.99768,69,92,40
118.999916,119.10483,76,92,40
119.107056,119.21197,71,92,40
119.2142,119.31911,76,92,40
119.32134,119.426254,68,92,40
119.42848,119.533394,76,92,40
119.53563,119.714195,64,92,40
119.74991,120.12491,64,92,40
120.17848,120.571335,64,92,40
120.607056,120.98205,64,92,40
121.03562,121.214195,64,92,40
121.24991,121.35482,60,92,40
121.35705,121.46196,57,92,40
121.464195,121.5691,60,92,40
121.571335,121.67625,57,92,40
121.678474,121.78339,60,92,40
121.78562,121.89053,57,92,40
121.89276,121.99767,60,92,40
121.9999,122.10481,57,92,40
122.10705,122.21196,60,92,40
122.21419,122.3191,57,92,40
122.321335,122.42624,60,92,40
122.428474,122.53339,57,92,40
122.535614,122.640526,60,92,40
122.64276,122.74767,57,92,40
122.7499,122.85481,60,92,40
122.85705,122.96195,57,92,40
122.96419,123.0691,69,92,40
123.07133,123.17624,81,92,40
123.178474,123.28338,80,92,40
123.285614,123.390526,81,92,40
123.39275,123.497665,69,92,40
123.4999,123.60481,81,92,40
123.60704,123.71195,71,92,40
123.71419,123.81909,81,92,40
123.82133,123.92624,72,92,40
123.92847,124.03338,81,92,40
124.035614,124.140526,71,92,40
124.14275,124.247665,81,92,40
124.24989,124.354805,72,92,40
124.35704,124.46195,81,92,40
124.46418,124.56909,69,92,40
124.57133,124.67623,81,92,40
124.67847,124.78338,64,92,40
124.78561,124.89052,56,92,40
124.89275,124.997665,59,92,40
124.99989,125.104805,56,92,40
125.10704,125.211945,59,92,40
125.21418,125.31909,56,92,40
125.32132,125.42623,59,92,40
125.42847,125.53338,56,92,40
125.53561,125.64052,59,92,40
125.642746,125.74766,56,92,40
125.74989,125.854805,59,92,40
125.85703,125.961945,56,92,40
125.96418,126.069084,59,92,40
126.07132,126.17623,56,92,40
126.17846,126.28337,59,92,40
126.28561,126.39052,56,92,40
126.392746,126.49766,64,92,40
126.49989,126.6048,76,92,40
126.60703,126.711945,75,92,40
126.71417,126.819084,76,92,40
126.82132,126.92622,64,92,40
126.92846,127.03337,76,92,40
127.0356,127.14051,65,92,40
127.142746,127.24766,77,92,40
127.249886,127.3548,64,92,40
127.35703,127.46194,76,92,40
127.46417,127.569084,62,92,40
127.57131,127.67622,74,92,40
127.67846,127.78337,60,92,40
127.7856,127.89051,72,92,40
127.89274,127.99765,59,92,40
127.999886,128.1048,71,92,40
128.10703,128.2856,57,92,40
128.5356,128.71417,69,92,40
128.5356,128.71417,72,92,40
128.5356,128.71417,76,92,40
129.39273,129.5713,69,92,40
129.39273,129.5713,72,92,40
129.39273,129.5713,77,92,40
129.8213,129.99988,67,92,40
129.8213,129.99988,74,92,40
129.8213,129.99988,77,92,40
130.24988,130.42845,67,92,40
130.24988,130.42845,77,92,40
130.24988,130.42845,86,92,40
131.3213,131.49988,71,92,40
131.53558,131.71416,72,92,40
131.96416,132.14273,64,92,40
131.96416,132.14273,76,92,40
131.96416,132.14273,79,92,40
132.8213,132.99986,79,92,40
132.8213,132.99986,81,92,40
