start_time,end_time,note_value,velocity,instrument_program_number
2.222224,2.361113,70,127,71
2.500002,2.638891,75,127,71
2.77778,2.916669,77,127,71
3.055558,3.194447,79,127,71
3.333336,3.5243084,77,127,71
5.55556,5.972227,82,127,71
6.111116,6.250005,81,127,71
6.388894,6.527783,82,127,71
6.666672,6.8402834,79,127,71
7.222228,7.6909785,79,127,71
7.777784,7.916673,78,127,71
8.055562,8.524312,79,127,71
8.611118,8.750007,78,127,71
8.888896,9.25348,79,127,71
9.305563,9.40973,77,127,71
9.444452,9.548618,75,127,71
9.583341,9.687508,74,127,71
9.72223,9.826397,72,127,71
9.861119,9.965285,77,127,71
10.000008,10.138897,70,127,71
12.222232,12.361121,70,127,71
12.50001,12.638899,75,127,71
12.777788,12.916677,77,127,71
13.055566,13.194455,79,127,71
13.333344,13.506955,77,127,71
15.555568,16.024319,82,127,71
16.111124,16.250013,81,127,71
16.388903,16.52779,82,127,71
16.66668,16.840292,79,127,71
17.222237,17.638903,79,127,71
17.777792,17.916681,78,127,71
18.05557,18.50696,79,127,71
18.611126,18.750015,78,127,71
18.888905,19.253489,79,127,71
19.30557,19.409739,77,127,71
19.44446,19.548626,75,127,71
19.58335,19.687515,74,127,71
19.722239,19.826405,72,127,71
19.861128,19.965294,77,127,71
20.000015,20.138905,70,127,71
20.555573,20.694462,74,127,71
20.83335,20.972239,74,127,71
21.111128,21.250017,74,127,71
21.388906,21.527796,74,127,71
21.666683,21.944462,75,127,71
21.944462,22.083351,74,127,71
22.22224,22.638906,80,127,71
22.638906,22.777796,79,127,71
22.777796,22.916685,77,127,71
22.916685,23.038214,75,127,71
23.055574,23.246546,74,127,71
23.333351,23.61113,75,127,71
23.61113,23.75002,74,127,71
23.888908,24.027798,74,127,71
24.166685,24.305574,74,127,71
24.444464,24.583353,74,127,71
24.722242,24.861132,74,127,71
25.00002,25.277798,75,127,71
25.277798,25.416687,74,127,71
25.555576,25.972242,80,127,71
25.972242,26.111132,79,127,71
26.111132,26.250021,77,127,71
26.250021,26.37155,75,127,71
26.38891,26.579882,74,127,71
26.666689,26.805576,84,127,71
26.805576,26.944466,82,127,71
26.944466,27.083355,80,127,71
27.083355,27.204884,79,127,71
27.222244,27.413216,77,127,71
27.500023,27.63891,84,127,71
27.63891,27.7778,82,127,71
27.7778,27.916689,80,127,71
27.916689,28.055578,79,127,71
28.055578,28.194468,77,127,71
28.194468,28.333357,75,127,71
28.333357,28.472244,74,127,71
28.472244,28.611134,72,127,71
28.611134,28.750023,70,127,71
28.750023,28.888912,68,127,71
28.888912,29.027802,67,127,71
29.027802,29.16669,65,127,71
29.16669,29.305578,63,127,71
29.444468,29.583357,75,127,71
29.722246,29.861135,75,127,71
30.000025,30.277802,77,127,71
30.277802,30.41669,75,127,71
31.388914,31.527803,79,127,71
31.666693,31.94447,80,127,71
31.94447,32.08336,79,127,71
33.05558,33.19447,79,127,71
33.33336,33.472248,77,127,71
33.611137,33.750027,80,127,71
33.888916,34.027805,74,127,71
34.166695,34.305584,75,127,71
36.38892,36.805584,75,127,71
36.805584,36.927113,74,127,71
36.944473,37.083363,80,127,71
37.083363,37.22225,77,127,71
37.22225,37.36114,74,127,71
37.36114,37.48267,77,127,71
37.50003,37.63892,75,127,71
38.055588,38.194473,74,127,71
38.333363,38.47225,74,127,71
38.61114,38.75003,74,127,71
38.88892,39.02781,74,127,71
39.1667,39.444477,75,127,71
39.444477,39.583366,74,127,71
39.722256,40.13892,80,127,71
