start_time,end_time,note_value,velocity,instrument_program_number
7.5598207,8.154722,69,60,40
8.154722,8.231645,74,60,40
8.231645,8.353039,78,60,40
8.539337,9.154721,78,60,40
9.154721,9.276114,76,60,40
9.462413,10.079119,74,60,40
10.079119,10.233902,73,60,40
10.392455,10.550115,74,60,40
10.712111,10.864756,76,60,40
11.635187,12.250571,76,60,40
12.250571,12.558263,77,71,40
12.558263,12.679657,78,76,40
13.481339,14.110902,69,60,40
14.110902,14.275223,73,60,40
14.275223,14.409044,71,60,40
14.443523,14.61414,69,60,40
15.515806,16.43888,73,60,40
16.43888,17.054266,78,60,40
17.054266,17.361958,76,60,40
17.361958,17.984308,74,60,40
17.984308,18.303965,73,60,40
18.303965,18.425358,71,60,40
19.22704,19.379684,66,60,40
19.534733,20.457808,78,79,40
20.457808,20.610453,78,60,40
20.765501,21.383545,79,79,40
21.383545,21.636976,78,60,40
21.702755,21.865774,76,60,40
22.035378,22.205992,74,60,40
22.736937,23.338428,81,83,40
23.338428,23.41535,86,83,40
23.41535,23.536745,90,83,40
23.723043,24.338427,90,83,40
24.338427,24.459822,88,83,40
24.646118,25.26198,86,83,40
25.26198,25.383986,85,83,40
25.571836,25.726301,86,83,40
25.883678,26.039232,88,83,40
26.837465,27.45285,88,83,40
27.45285,27.760542,89,96,40
27.760542,27.881937,90,102,40
28.683619,29.31318,81,60,40
29.31318,29.4775,85,60,40
29.4775,29.611322,83,60,40
29.645803,29.815891,81,60,40
31.905142,32.058987,71,60,40
32.058987,32.181583,74,60,40
32.212833,32.36548,76,79,40
32.828217,32.982063,69,60,40
32.982063,33.10466,73,60,40
33.13591,33.288555,76,79,40
33.752617,33.908623,68,60,40
33.908623,34.033867,71,60,40
34.065952,34.22361,76,79,40
34.38561,34.48777,64,97,40
34.48777,34.589935,69,97,40
34.589935,34.6933,73,97,40
34.6933,34.795464,76,97,40
34.795464,34.89763,81,97,40
34.89763,35.00099,85,97,40
35.00099,35.122387,88,97,40
35.308685,35.616375,88,97,40
35.616375,35.86157,86,97,40
35.92407,36.076714,83,116,40
36.231762,36.53945,84,97,40
36.53945,36.784645,85,97,40
36.847145,36.999786,81,116,40
37.154835,37.465187,82,97,40
37.465187,37.71862,83,97,40
37.784397,37.94742,76,116,40
41.828255,41.93042,59,97,40
41.93042,42.03258,64,97,40
42.03258,42.13595,68,97,40
42.13595,42.23811,71,97,40
42.23811,42.340275,76,97,40
42.340275,42.443638,80,97,40
42.443638,42.565033,83,97,40
42.75133,43.059025,83,97,40
43.059025,43.304214,81,97,40
43.366714,43.51936,78,116,40
43.674408,43.982098,79,97,40
43.982098,44.22729,80,97,40
44.28979,44.442436,76,116,40
44.597485,44.907837,77,97,40
44.907837,45.161266,78,97,40
45.227047,45.390064,71,116,40
47.42475,47.73244,78,60,40
47.73244,47.977634,79,60,40
48.040134,48.19278,76,60,40
48.347828,48.65696,77,60,40
48.65696,48.90687,78,60,40
48.97124,49.129486,71,60,40
49.291737,49.62085,78,50,40
49.62085,49.891006,79,50,40
49.961052,50.13459,79,50,40
50.314194,51.23727,79,50,40
51.23727,52.160347,81,50,40
52.160347,53.04496,74,50,40
53.04496,53.083424,81,50,40
53.083424,53.329384,79,50,40
53.392437,53.641674,78,55,40
53.705772,53.86343,79,59,40
54.02543,54.948505,81,63,40
54.948505,55.87158,86,76,40
55.87158,55.992973,83,50,40
56.794655,57.105007,63,50,40
57.105007,57.35844,64,50,40
57.424217,57.58724,64,50,40
57.75684,58.679916,64,50,40
58.679916,59.602993,66,50,40
59.602993,60.487606,59,50,40
60.487606,60.52607,66,50,40
60.52607,60.77203,64,60,40
60.835083,61.08432,63,60,40
61.14842,61.30608,64,60,40
61.468075,62.39115,66,59,40
62.39115,63.314228,71,66,40
63.314228,64.237305,76,72,40
64.237305,64.545,75,78,40
64.545,64.790184,76,80,40
64.852684,65.00533,73,83,40
