start_time,end_time,note_value,velocity,instrument_program_number
10.921376,11.254709,73,60,40
11.254709,11.384918,74,60,40
12.254708,12.588041,76,60,40
12.588041,12.71825,78,60,40
13.58804,13.921373,76,60,40
13.921373,14.051671,74,60,40
14.593499,14.761373,73,60,40
15.28444,15.458154,71,60,40
16.343264,16.676596,73,60,40
16.676596,16.806805,74,60,40
17.676596,18.009928,76,60,40
18.009928,18.140137,78,60,40
19.009928,19.34326,81,60,40
19.34326,19.473629,80,60,40
20.019854,20.190907,75,60,40
20.731644,20.913935,76,60,40
22.509392,22.842237,75,60,40
22.842237,23.107172,76,60,40
23.838427,24.169441,78,60,40
24.169441,24.432907,76,60,40
25.160166,25.489372,77,59,40
25.489372,25.751375,78,62,40
26.474691,26.802107,79,69,40
26.802107,27.062666,78,71,40
27.781687,28.107773,80,78,40
28.107773,28.367624,81,81,40
29.086033,29.412119,83,88,40
29.412119,29.67197,81,90,40
30.39318,30.731422,76,97,40
31.083141,31.453466,76,60,40
31.838081,32.222694,69,60,40
32.60731,32.940643,76,60,40
32.940643,33.20627,74,60,40
33.939182,34.271217,73,60,40
34.271217,34.535713,71,60,40
35.26456,35.594883,78,60,40
35.594883,35.8578,76,60,40
36.582684,36.91131,74,60,40
36.91131,37.17267,73,60,40
37.893635,38.220158,83,60,40
38.220158,38.480007,81,60,40
39.198418,39.524506,79,60,40
39.524506,39.784355,78,60,40
40.50276,40.82885,81,60,40
40.82885,41.407665,73,79,40
41.49598,42.03015,74,60,40
42.03015,42.17953,71,60,40
42.21802,42.60264,69,60,40
48.73439,49.0829,59,60,40
49.0829,49.749565,71,60,40
49.749565,49.832977,71,60,40
49.832977,49.916733,69,60,40
49.916733,50.00091,71,60,40
50.00091,50.085594,69,60,40
50.085594,50.17086,71,60,40
50.17086,50.2568,69,60,40
50.2568,50.343506,68,60,40
50.343506,50.411736,69,60,40
50.43087,50.930866,68,60,40
50.930866,51.014202,71,60,40
51.014202,51.079304,68,60,40
51.097534,51.261597,64,60,40
51.430866,51.59493,64,60,40
51.7642,52.2642,66,60,40
52.2642,52.347534,69,60,40
52.347534,52.412636,66,60,40
52.430866,52.59493,63,60,40
52.7642,52.92826,63,60,40
53.09753,53.17826,64,60,40
53.2642,53.34493,68,60,40
53.430866,53.511593,71,60,40
53.59753,53.67826,69,60,40
53.7642,53.844997,68,60,40
53.931362,54.01291,71,60,40
54.100224,54.182823,68,60,40
54.271435,54.355423,64,60,40
54.4455,54.52623,69,60,40
54.612167,54.692898,61,60,40
54.77883,54.859562,62,60,40
54.9455,55.02623,64,60,40
55.112167,55.192894,66,60,40
