start_time,end_time,note_value,velocity,instrument_program_number
0.25,1.2453612,64,50,40
1.2453612,2.229203,64,50,40
2.229203,3.2011342,64,50,40
3.2011342,4.160763,64,50,40
4.160763,4.399438,64,60,40
4.399438,4.8831673,69,66,40
4.8831673,5.378642,69,76,40
5.378642,5.876566,69,86,40
5.876566,6.2490697,69,69,40
6.375213,6.5000467,69,60,40
6.6275153,6.753668,66,60,40
6.882489,7.009989,66,60,40
7.139865,7.400069,59,60,40
7.9296556,8.198886,64,60,40
8.198886,8.44884,72,60,40
8.44884,8.698019,71,60,40
8.698019,8.946426,69,60,40
8.946426,9.194247,68,60,40
9.194247,9.441621,69,60,40
9.441621,9.687744,71,60,40
9.687744,9.933115,72,60,40
9.933115,10.128329,69,60,40
10.178089,10.4222765,74,60,40
10.4222765,10.665419,72,60,40
10.665419,10.907827,71,60,40
10.907827,11.150021,70,60,40
11.150021,11.391102,71,60,40
11.391102,11.631333,72,60,40
11.631333,11.870849,74,60,40
11.870849,12.061145,71,60,40
12.109649,12.348324,72,60,40
12.348324,12.588891,73,67,40
12.588891,12.832053,74,73,40
12.832053,13.0282,76,80,40
13.078567,13.825452,77,86,40
13.825452,13.949933,76,67,40
13.949933,14.0491295,74,64,40
14.074414,14.197945,72,60,40
14.323846,14.448213,72,60,40
14.574968,14.700183,71,60,40
14.827805,14.953878,71,60,40
15.082171,15.209937,74,60,40
15.209937,15.3383255,72,60,40
15.3383255,15.467161,71,60,40
15.467161,15.570164,72,60,40
15.596446,15.725169,69,60,40
15.856377,16.118149,71,60,40
16.118149,16.216833,72,59,40
16.368729,16.621204,73,69,40
16.621204,16.721485,74,78,40
16.87628,17.004013,76,88,40
17.134703,17.884703,77,97,40
17.884703,18.009703,76,97,40
18.009703,18.109312,74,97,40
18.134703,18.259895,72,97,40
18.259895,18.38587,74,97,40
18.38587,18.5128,72,97,40
18.5128,18.614735,74,97,40
18.640875,18.770285,71,97,40
18.770285,18.90124,72,97,40
18.90124,19.033958,71,97,40
19.033958,19.141203,72,97,40
19.168684,19.44141,69,97,40
20.71327,20.961678,60,60,40
21.702995,21.948366,64,66,40
22.68067,22.923079,67,78,40
23.646585,23.8861,72,91,40
24.6249,24.8749,76,97,40
24.8749,25.1249,70,60,40
25.1249,25.3749,73,60,40
25.3749,25.6249,76,60,40
25.6249,25.8749,79,60,40
