start_time,end_time,note_value,velocity,instrument_program_number
0.1153845,0.22836515,79,80,0
0.230769,0.34374964,78,80,0
0.3461535,0.45913416,79,80,0
0.461538,0.68990314,81,80,0
0.692307,0.9206722,79,80,0
0.923076,1.1514411,77,80,0
1.153845,1.3822101,76,80,0
1.384614,1.6129792,74,80,0
1.615383,1.8437482,72,80,0
1.846152,2.536055,71,80,0
2.538459,2.7668242,64,80,0
2.769228,2.9975932,62,80,0
2.538459,3.228362,72,80,0
2.999997,3.228362,60,80,0
3.230766,3.920669,74,80,0
3.230766,3.920669,71,80,0
3.230766,3.920669,67,80,0
3.923073,4.612976,76,80,0
3.923073,4.612976,72,80,0
3.923073,4.612976,67,80,0
4.61538,4.843745,79,80,0
4.61538,4.843745,74,80,0
4.61538,4.843745,67,80,0
4.846149,5.0745144,77,80,0
4.846149,5.0745144,71,80,0
4.846149,5.0745144,67,80,0
5.076918,5.305283,76,80,0
5.076918,5.305283,72,80,0
5.076918,5.305283,67,80,0
5.307687,5.536052,74,80,0
5.307687,5.536052,71,80,0
5.307687,5.536052,67,80,0
6.3461475,6.4591284,78,80,0
6.461532,6.5745125,76,80,0
6.5769167,6.689897,78,80,0
6.692301,6.920666,79,80,0
7.0384545,7.1514354,79,80,0
7.153839,7.2668195,78,80,0
7.2692237,7.382204,79,80,0
7.384608,7.612973,81,80,0
7.7307615,7.8437424,81,80,0
7.846146,7.9591265,79,80,0
7.9615307,8.074512,81,80,0
8.076915,8.30528,82,80,0
8.423068,8.536049,82,91,0
8.538453,8.651434,81,95,0
8.653837,8.766818,82,99,0
8.769222,8.997587,85,110,0
9.1153755,9.228356,85,110,0
9.23076,9.34374,84,110,0
9.346145,9.4591255,85,110,0
9.461529,9.689894,86,110,0
9.807682,9.920663,86,110,0
9.923067,10.036048,85,110,0
10.038451,10.151432,86,110,0
10.153836,10.382201,83,110,0
10.153836,10.382201,79,110,0
10.153836,10.382201,74,110,0
10.384605,10.61297,84,110,0
10.384605,10.61297,81,110,0
10.384605,10.61297,76,110,0
10.615374,10.8437395,81,110,0
10.615374,10.8437395,78,110,0
10.615374,10.8437395,72,110,0
10.846143,11.074508,79,110,0
10.846143,11.074508,74,110,0
10.846143,11.074508,71,110,0
11.192296,11.305277,79,80,0
11.307681,11.420662,78,80,0
11.423065,11.536046,79,80,0
11.53845,11.766815,81,80,0
11.769219,11.997584,79,80,0
11.999988,12.2283535,77,80,0
12.230757,12.459122,76,80,0
12.461526,12.689891,74,80,0
12.692295,12.92066,72,80,0
12.923064,13.6129675,71,80,0
13.615371,13.843736,64,80,0
13.84614,14.074505,62,80,0
13.615371,14.305274,72,80,0
14.076909,14.305274,60,80,0
14.307678,14.9975815,74,80,0
