start_time,end_time,note_value,velocity,instrument_program_number
1.279852,2.115009,55,43,40
1.279852,2.115009,64,43,40
2.9365115,3.746618,55,43,40
2.9365115,3.746618,64,43,40
4.5474195,5.340904,55,43,40
4.5474195,5.340904,64,43,40
6.1322675,6.9303293,55,43,40
6.1322675,6.9303293,65,43,40
7.737011,8.554354,55,43,40
7.737011,8.554354,65,43,40
9.384555,10.229909,55,43,40
9.384555,10.229909,65,43,40
11.08119,11.916347,55,43,40
11.08119,11.916347,67,43,40
12.737849,13.5479555,55,43,40
12.737849,13.5479555,62,43,40
14.348758,15.142242,55,43,40
14.348758,15.142242,64,43,40
15.93679,16.334232,59,43,40
15.93679,16.334232,62,43,40
16.749622,17.157948,59,48,40
16.749622,17.157948,62,48,40
17.586773,18.009434,59,53,40
17.586773,18.009434,62,53,40
18.455309,18.896727,59,58,40
18.455309,18.896727,65,58,40
19.36375,19.73942,59,63,40
19.36375,19.73942,65,63,40
21.173635,22.008793,55,43,40
21.173635,22.008793,67,43,40
22.830296,23.640402,60,43,40
22.830296,23.640402,67,43,40
24.441204,25.234688,60,43,40
24.441204,25.234688,67,43,40
26.027956,26.423141,60,43,40
26.027956,26.423141,69,43,40
26.83481,27.238008,60,48,40
26.83481,27.238008,69,48,40
27.659492,28.073078,60,53,40
27.659492,28.073078,69,53,40
28.506786,28.933681,60,58,40
28.506786,28.933681,69,58,40
29.382202,29.73337,60,63,40
29.382202,29.73337,69,63,40
31.147196,31.996878,64,43,40
31.147196,31.996878,72,43,40
32.841797,33.682663,64,43,40
32.841797,33.682663,72,43,40
34.52016,35.354977,62,43,40
34.52016,35.354977,71,43,40
36.232056,37.223972,59,60,40
37.223972,37.901466,60,60,40
37.901466,38.089214,64,60,40
38.089214,38.634525,67,60,40
38.634525,38.82272,64,60,40
38.82272,39.415634,72,60,40
39.415634,39.62532,67,60,40
39.62532,40.303463,76,60,40
40.303463,40.495323,72,60,40
40.549454,42.235893,79,60,40
42.235893,43.8675,76,60,40
43.8675,45.362865,72,60,40
45.46179,46.651237,71,60,40
46.651237,46.85088,74,60,40
46.85088,47.051212,72,60,40
47.051212,48.585117,71,60,40
48.675236,49.926205,67,60,40
49.926205,50.03178,69,60,40
50.03178,50.1381,67,60,40
50.1381,50.24442,66,60,40
50.24442,50.32416,67,60,40
50.350792,51.82997,72,60,40
51.82997,51.9919,67,60,40
52.03723,53.467274,74,60,40
53.467274,53.624832,67,60,40
53.66884,55.06527,76,60,40
55.06527,55.219856,67,60,40
55.263126,56.665024,79,60,40
56.665024,56.825542,77,60,40
56.870506,59.024666,74,60,40
59.024666,59.13847,76,60,40
59.13847,59.253407,74,60,40
59.253407,59.36834,73,60,40
59.36834,59.484634,74,60,40
59.484634,59.957382,76,60,40
59.957382,60.35151,77,60,40
60.443237,62.129677,79,60,40
62.129677,63.761284,84,60,40
63.761284,65.25665,83,60,40
65.35557,66.55034,81,60,40
66.55034,66.752304,84,60,40
66.752304,66.911194,88,60,40
66.955696,67.78037,88,60,40
67.78037,69.06138,86,60,40
69.06138,69.28137,84,60,40
69.28137,69.45413,83,60,40
69.50308,69.72687,83,60,40
69.72687,69.95357,81,60,40
69.95357,70.18231,79,60,40
70.18231,70.35516,78,60,40
70.35516,70.39838,81,60,40
70.4129,72.09934,79,60,40
73.52939,73.73095,71,60,40
73.73095,73.93202,72,79,40
73.93202,74.132416,74,60,40
