start_time,end_time,note_value,velocity,instrument_program_number
5.538456,5.999994,63,64,60
14.769216,19.384596,46,64,60
19.384596,20.307673,65,64,60
20.307673,20.76921,67,64,60
20.76921,21.230747,63,64,60
21.230747,21.692286,63,64,60
27.230742,27.69228,65,64,60
27.69228,28.153818,63,64,60
28.153818,28.615356,63,64,60
28.615356,29.076895,63,64,60
35.07689,35.538425,63,64,60
36.92304,37.38458,67,64,60
37.846115,38.076885,63,64,60
38.076885,38.307655,63,64,60
38.307655,38.53842,65,64,60
38.53842,38.76919,63,64,60
38.76919,39.23073,63,64,60
39.69227,39.92304,63,64,60
39.92304,40.153805,63,64,60
40.153805,40.384575,65,64,60
40.384575,40.615345,63,64,60
40.615345,40.84611,68,64,60
40.84611,41.07688,68,64,60
41.07688,41.30765,68,64,60
41.30765,41.53842,68,64,60
41.53842,41.769188,68,64,60
41.769188,41.999958,68,64,60
41.999958,42.23073,68,64,60
42.23073,42.461494,68,64,60
42.461494,42.692265,68,64,60
42.692265,42.923035,68,64,60
42.923035,43.153805,68,64,60
43.153805,43.38457,68,64,60
43.38457,43.61534,68,64,60
43.61534,43.84611,68,64,60
43.84611,44.076878,68,64,60
44.076878,44.307648,68,64,60
44.307648,44.538418,67,64,60
44.538418,44.769184,63,64,60
44.769184,44.999954,63,64,60
44.999954,45.230724,63,64,60
45.230724,45.461494,63,64,60
45.461494,45.69226,63,64,60
45.69226,45.92303,63,64,60
45.92303,46.1538,63,64,60
46.1538,46.384567,63,64,60
46.384567,46.615337,63,64,60
46.615337,46.846107,63,64,60
46.846107,47.076878,63,64,60
47.076878,47.307644,63,64,60
47.307644,47.538414,63,64,60
47.538414,47.769184,63,64,60
47.769184,47.99995,63,64,60
48.923027,49.153797,68,64,60
49.153797,49.384567,68,64,60
49.384567,49.615334,68,64,60
49.615334,49.846104,68,64,60
49.846104,50.076874,68,64,60
50.076874,50.307644,68,64,60
50.307644,50.53841,68,64,60
50.53841,50.76918,68,64,60
50.76918,50.99995,68,64,60
50.99995,51.230717,68,64,60
51.230717,51.461487,68,64,60
51.461487,51.692257,68,64,60
51.692257,51.923023,67,64,60
51.923023,52.153793,63,64,60
52.153793,52.384563,63,64,60
52.384563,52.615334,63,64,60
52.615334,52.8461,63,64,60
52.8461,53.07687,63,64,60
53.07687,53.30764,63,64,60
53.30764,53.538406,63,64,60
53.538406,53.769176,63,64,60
53.769176,53.999947,63,64,60
53.999947,54.230717,63,64,60
54.230717,54.461483,63,64,60
54.461483,54.692253,63,64,60
54.692253,54.923023,63,64,60
54.923023,55.15379,63,64,60
55.15379,55.38456,63,64,60
55.38456,55.8461,58,64,60
65.5384,65.99993,68,64,60
65.99993,66.46147,67,64,60
66.46147,67.384544,68,64,60
67.384544,67.846085,65,64,60
67.846085,68.307625,58,64,60
68.307625,68.769165,65,64,60
68.769165,69.2307,63,64,60
74.76916,75.69223,70,64,60
75.69223,76.15377,65,64,60
83.07684,83.30761,65,64,60
83.30761,83.538376,65,64,60
83.538376,83.76915,65,64,60
83.76915,83.999916,65,64,60
83.999916,84.23068,65,64,60
84.23068,84.46146,65,64,60
84.46146,84.69222,65,64,60
84.69222,84.92299,65,64,60
84.92299,85.15376,65,64,60
85.15376,85.38453,65,64,60
85.38453,85.615295,65,64,60
85.615295,85.84607,65,64,60
85.84607,86.076836,65,64,60
86.076836,86.30761,65,64,60
86.30761,86.538376,65,64,60
86.538376,86.76914,65,64,60
86.76914,87.23068,65,64,60
88.615295,89.3076,65,64,60
89.3076,89.53837,65,64,60
89.53837,89.99991,65,64,60
89.99991,90.46145,65,64,60
90.46145,90.92299,70,64,60
92.3076,92.769135,70,64,60
94.153755,95.9999,65,64,60
95.9999,96.46144,67,64,60
97.846054,98.769135,68,64,60
98.769135,99.23067,65,64,60
99.23067,99.69221,62,64,60
99.69221,101.07682,58,64,60
101.07682,101.9999,65,64,60
101.9999,102.92297,65,64,60
102.92297,103.384514,63,64,60
103.384514,104.76913,70,64,60
104.76913,105.23067,65,64,60
105.23067,105.6922,65,64,60
107.07681,107.53835,58,64,60
108.922966,110.76912,65,64,60
110.76912,111.23066,67,64,60
112.61527,113.538345,68,64,60
113.538345,113.999886,65,64,60
113.999886,114.461426,62,64,60
114.461426,114.92296,65,64,60
114.92296,115.84604,58,64,60
115.84604,116.76911,65,64,60
116.76911,117.69219,65,64,60
117.69219,118.153725,67,64,60
118.153725,118.615265,65,64,60
119.538345,119.99988,65,64,60
119.99988,120.23065,58,64,60
120.23065,120.46142,58,64,60
120.46142,120.692184,58,64,60
120.692184,120.92296,58,64,60
120.92296,121.153725,58,64,60
121.153725,121.38449,58,64,60
