start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.47916666,52,1,42
4.0,6.9791665,66,60,42
7.0,8.979167,64,60,42
9.0,9.979167,64,60,42
10.0,10.979167,69,60,42
11.0,11.479167,68,60,42
11.5,11.979167,64,60,42
12.0,13.979167,66,60,42
14.0,15.049107,66,60,42
16.273352,17.788233,66,60,42
17.809065,18.288233,66,60,42
18.309065,18.788233,66,60,42
18.809065,19.288233,64,60,42
19.309065,19.663233,63,60,42
19.809065,20.163233,64,60,42
20.309065,23.288233,64,87,42
23.309065,24.038233,68,84,42
24.059065,24.288233,64,90,42
24.309065,25.288233,63,73,42
25.309065,27.288233,66,60,42
27.309065,28.358173,66,60,42
28.380495,31.036743,66,60,42
31.059065,31.572458,59,60,42
31.59478,32.147663,59,60,42
32.171703,32.77066,59,60,42
32.796703,34.811584,59,60,42
34.832417,35.332417,64,60,42
35.332417,35.832417,63,60,42
35.832417,36.332417,64,60,42
36.332417,36.832417,56,60,42
36.832417,38.811584,59,60,42
38.832417,39.811584,57,60,42
39.832417,39.91575,56,60,42
39.91575,39.999084,57,60,42
39.999084,40.082417,56,60,42
40.082417,40.207417,54,60,42
40.207417,40.332417,56,60,42
40.332417,40.582417,57,60,42
40.582417,40.832417,59,60,42
40.832417,41.811584,61,60,42
41.832417,42.811584,59,60,42
42.832417,43.811584,63,60,42
43.832417,44.082417,64,60,42
44.082417,44.332417,63,60,42
44.332417,44.582417,64,60,42
44.582417,44.832417,56,60,42
44.832417,46.311584,59,60,42
46.332417,46.811584,58,60,42
46.832417,47.811584,57,60,42
48.832417,50.311584,57,60,42
50.332417,50.811584,57,75,42
50.832417,51.332417,57,80,42
51.332417,51.832417,56,85,42
51.832417,52.36813,54,90,42
52.36813,52.945053,52,75,42
52.945053,54.92422,61,60,42
54.945053,55.92422,62,60,42
56.695053,56.945053,59,60,42
56.945053,58.445053,61,60,42
58.445053,58.695053,64,60,42
58.695053,58.92422,62,60,42
58.945053,59.92422,62,60,42
60.695053,60.945053,59,60,42
