start_time,end_time,note_value,velocity,instrument_program_number
3.0,4.5,55,69,0
4.5,4.625,51,69,0
4.625,4.75,53,69,0
4.75,4.875,55,69,0
4.875,5.0,51,69,0
5.0,5.15,48,69,0
7.0,8.5,60,69,0
8.5,8.625,56,69,0
8.625,8.75,58,69,0
8.75,8.875,60,69,0
8.875,9.0,56,69,0
9.0,9.15,53,69,0
11.0,12.25,53,69,0
12.25,12.5,51,69,0
12.5,12.575,50,69,0
12.75,12.825,48,69,0
13.0,13.5,47,69,0
13.5,14.0,46,73,0
14.0,14.54536,45,77,0
14.54536,15.090814,44,80,0
15.090814,16.290699,43,69,0
16.290699,17.623892,36,69,0
16.290699,17.623892,43,69,0
17.623892,20.623718,31,69,0
17.623892,20.623718,43,69,0
20.623718,22.62424,36,77,0
22.62424,22.71799,36,88,0
22.74924,22.84299,35,88,0
22.87424,22.96799,36,88,0
22.99924,23.09299,35,88,0
23.12424,23.21799,36,88,0
23.24924,23.34299,35,88,0
23.37424,23.46799,36,88,0
23.49924,23.59299,35,88,0
23.62424,23.71799,36,88,0
23.74924,23.84299,35,88,0
23.87424,23.96799,36,88,0
23.99924,24.09299,35,88,0
24.12424,24.21799,36,88,0
24.24924,24.34299,35,88,0
24.37424,24.46799,36,88,0
24.49924,24.59299,35,88,0
24.62424,26.62424,36,77,0
26.62424,26.71799,36,88,0
26.74924,26.84299,35,88,0
26.87424,26.96799,36,88,0
26.99924,27.09299,35,88,0
27.12424,27.21799,36,88,0
27.24924,27.34299,35,88,0
27.37424,27.46799,36,88,0
27.49924,27.59299,35,88,0
27.62424,27.71799,36,88,0
27.74924,27.84299,35,88,0
27.87424,27.96799,36,88,0
27.99924,28.09299,35,88,0
28.12424,28.21799,36,88,0
28.24924,28.34299,35,88,0
28.37424,28.46799,36,88,0
28.49924,28.59299,35,88,0
28.62424,30.62424,36,77,0
30.62424,32.12424,36,84,0
32.12424,32.62424,39,89,0
33.62424,34.62424,31,92,0
32.62424,34.62424,43,107,0
34.74924,34.87424,36,77,0
34.87424,34.99924,39,77,0
34.99924,35.12424,43,77,0
35.12424,35.27424,48,77,0
35.74924,35.87424,48,79,0
35.87424,35.99924,51,80,0
35.99924,36.12424,55,80,0
36.12424,36.27424,60,80,0
36.62424,37.928543,62,81,0
36.62424,37.928543,65,81,0
36.62424,37.928543,68,81,0
37.928543,38.18941,62,84,0
37.928543,38.18941,65,84,0
37.928543,38.18941,68,84,0
38.18941,38.450283,62,85,0
38.18941,38.450283,65,85,0
38.18941,38.450283,68,85,0
38.450283,38.71115,62,86,0
38.450283,38.71115,65,86,0
38.450283,38.71115,68,86,0
38.71115,40.0155,63,86,0
38.71115,40.0155,67,86,0
40.0155,40.276367,63,89,0
40.276367,40.53724,68,90,0
40.53724,40.798107,66,91,0
40.798107,41.34351,67,92,0
40.798107,41.888966,55,92,0
41.34351,41.888966,63,88,0
41.888966,42.434418,62,84,0
41.888966,42.434418,65,84,0
41.888966,42.979874,55,84,0
42.434418,42.979874,65,80,0
42.979874,43.47997,60,77,0
42.979874,43.47997,63,77,0
45.22997,45.47997,47,88,0
45.47997,45.72997,48,89,0
45.72997,45.97997,50,90,0
45.97997,46.22997,51,92,0
46.22997,46.47997,48,92,0
46.47997,46.72997,45,94,0
46.72997,46.97997,42,95,0
46.97997,47.05497,43,96,0
47.22997,47.47997,43,98,0
47.22997,47.47997,48,98,0
47.22997,47.47997,51,98,0
47.22997,47.47997,55,98,0
47.47997,47.72997,43,99,0
47.47997,47.72997,48,99,0
47.47997,47.72997,51,99,0
47.47997,47.72997,55,99,0
47.72997,47.97997,43,100,0
47.72997,47.97997,48,100,0
47.72997,47.97997,51,100,0
47.72997,47.97997,55,100,0
48.22997,48.47997,43,103,0
48.22997,48.47997,50,103,0
48.22997,48.47997,53,103,0
48.22997,48.47997,55,103,0
48.47997,48.72997,43,104,0
48.47997,48.72997,50,104,0
48.47997,48.72997,53,104,0
48.47997,48.72997,55,104,0
48.72997,48.97997,43,105,0
48.72997,48.97997,50,105,0
48.72997,48.97997,53,105,0
48.72997,48.97997,55,105,0
48.97997,49.129967,36,122,0
48.97997,49.129967,39,122,0
48.97997,49.129967,43,122,0
48.97997,49.129967,48,122,0
49.97997,50.129967,31,122,0
49.97997,50.129967,35,122,0
49.97997,50.129967,38,122,0
49.97997,50.129967,43,122,0
50.97997,51.129967,36,122,0
50.97997,51.129967,39,122,0
50.97997,51.129967,43,122,0
50.97997,51.129967,48,122,0
52.97997,54.47997,62,77,0
52.97997,54.47997,65,77,0
52.97997,54.47997,67,77,0
54.47997,54.97997,60,77,0
54.47997,54.97997,63,77,0
54.47997,55.525326,67,77,0
55.525326,56.07078,66,77,0
54.97997,56.616234,55,77,0
56.07078,56.616234,67,77,0
57.11633,57.26633,36,122,0
57.11633,57.26633,39,122,0
57.11633,57.26633,43,122,0
57.11633,57.26633,48,122,0
57.11633,57.26633,60,122,0
57.11633,57.26633,63,122,0
57.11633,57.26633,67,122,0
57.11633,57.26633,72,122,0
59.11633,59.185642,46,122,0
59.11633,59.185642,50,122,0
59.11633,59.185642,53,122,0
59.11633,59.185642,58,122,0
59.11633,59.185642,68,122,0
59.11633,59.185642,74,122,0
59.11633,59.185642,77,122,0
59.11633,59.185642,80,122,0
75.27024,75.374084,46,77,0
75.616394,75.65101,46,77,0
75.73178,75.86816,51,77,0
76.18634,76.28861,51,77,0
76.527245,76.56134,51,77,0
76.640884,76.77424,46,77,0
77.08535,77.18535,46,77,0
77.41868,77.45201,46,77,0
77.52979,78.752014,43,77,0
78.752014,78.78535,39,77,0
78.86312,78.96313,41,77,0
