start_time,end_time,note_value,velocity,instrument_program_number
1.0,3.180587,44,69,0
1.0,3.180587,56,69,0
3.180587,4.8169503,46,69,0
3.180587,4.8169503,53,69,0
5.362405,6.180587,51,69,0
6.453314,7.271496,49,50,0
6.453314,7.271496,51,50,0
7.544223,8.771496,48,59,0
7.544223,8.771496,51,59,0
9.726041,11.416722,56,69,0
9.726041,11.416722,60,69,0
11.416722,11.7167225,58,97,0
11.416722,11.7167225,61,97,0
11.7167225,11.941723,60,101,0
11.7167225,11.941723,63,101,0
12.016723,14.635132,61,127,0
12.016723,14.635132,65,127,0
15.453314,16.271496,58,77,0
15.453314,16.271496,61,77,0
16.271496,16.47604,61,69,0
16.271496,16.47604,65,69,0
16.544222,17.635132,63,69,0
17.635132,18.044222,51,69,0
18.72604,19.81695,56,69,0
18.72604,19.81695,60,69,0
19.81695,20.907858,53,69,0
19.81695,20.907858,56,69,0
20.907858,22.544222,50,69,0
20.907858,22.544222,56,69,0
23.089676,24.72604,46,69,0
23.089676,24.72604,50,69,0
24.72604,24.998768,48,69,0
24.72604,24.998768,51,69,0
24.998768,25.203312,50,69,0
24.998768,25.203312,53,69,0
25.271494,26.498768,51,69,0
25.271494,26.498768,55,69,0
27.453312,28.271494,55,69,0
27.453312,28.271494,58,69,0
27.453312,28.271494,63,69,0
28.544222,29.362404,55,53,0
28.544222,29.362404,58,53,0
28.544222,29.362404,63,53,0
29.63513,31.380585,56,68,0
29.63513,31.380585,60,68,0
29.63513,31.380585,63,68,0
31.380585,31.653313,55,89,0
31.380585,31.653313,58,89,0
31.653313,31.857857,53,90,0
31.653313,31.857857,56,90,0
31.926039,32.74422,58,69,0
33.01695,33.83513,34,69,0
33.01695,33.83513,46,69,0
34.107857,35.90763,39,69,0
34.107857,35.90763,51,69,0
36.50763,38.144222,32,69,0
36.50763,38.144222,44,69,0
38.689674,40.32604,34,69,0
38.689674,40.32604,46,69,0
40.32604,40.598766,36,69,0
40.598766,40.871494,37,69,0
40.871494,41.962402,39,69,0
41.962402,42.780582,37,69,0
41.962402,42.780582,46,69,0
43.05331,44.689674,36,69,0
43.05331,44.689674,44,69,0
45.23513,46.871494,44,69,0
45.23513,46.871494,48,69,0
46.871494,47.14422,46,97,0
46.871494,47.14422,49,97,0
47.14422,47.348766,48,101,0
47.14422,47.348766,51,101,0
47.416946,49.871494,49,127,0
47.416946,49.871494,53,127,0
50.689674,51.507854,46,77,0
50.689674,51.507854,49,77,0
51.507854,51.712402,49,77,0
51.507854,51.712402,53,77,0
51.780582,52.871494,51,77,0
52.871494,53.280582,39,77,0
