start_time,end_time,note_value,velocity,instrument_program_number
1.6670132,1.7670131,60,77,0
1.6670132,1.7670131,64,77,0
2.0003462,2.100346,60,77,0
2.0003462,2.100346,65,77,0
2.3336792,2.433679,60,77,0
2.3336792,2.433679,64,77,0
2.6670122,2.7670121,48,77,0
3.6670113,3.7670112,64,77,0
3.6670113,3.7670112,67,77,0
4.0003443,4.100344,59,77,0
4.0003443,4.100344,67,77,0
4.3336773,4.583677,60,89,0
4.3336773,4.708677,67,89,0
4.6670103,4.7920103,64,77,0
5.6670094,5.7670093,59,89,0
5.6670094,5.7670093,62,89,0
6.0003424,6.1003423,60,77,0
6.0003424,6.1003423,64,77,0
6.3336754,6.4336753,57,89,0
6.3336754,6.4336753,60,89,0
6.6670084,6.7670083,59,77,0
6.6670084,6.7670083,62,77,0
7.0003414,7.1003413,60,89,0
7.0003414,7.1003413,64,89,0
7.6670074,7.7670074,50,77,0
7.6670074,7.7670074,55,77,0
7.6670074,7.7670074,59,77,0
8.00034,8.10034,50,77,0
8.00034,8.10034,57,77,0
8.00034,8.10034,60,77,0
8.3336735,8.583673,55,77,0
8.3336735,8.583673,59,77,0
8.6670065,8.767006,43,71,0
9.667006,9.767005,48,77,0
9.667006,9.767005,52,77,0
9.667006,9.767005,55,77,0
10.000339,10.100338,48,77,0
10.000339,10.100338,53,77,0
10.000339,10.100338,57,77,0
10.333672,10.433671,48,77,0
10.333672,10.433671,52,77,0
10.333672,10.433671,55,77,0
11.667004,11.767003,52,77,0
11.667004,11.767003,55,77,0
12.000337,12.100336,47,77,0
12.000337,12.100336,55,77,0
12.33367,12.583669,48,89,0
12.33367,12.583669,55,89,0
12.667003,12.792002,52,77,0
12.667003,12.792002,55,77,0
13.667001,13.767001,59,89,0
13.667001,13.767001,62,89,0
14.000334,14.100334,60,77,0
14.000334,14.100334,64,77,0
14.333667,14.433667,57,89,0
14.333667,14.433667,60,89,0
14.667,14.767,59,77,0
14.667,14.767,62,77,0
15.000333,15.100333,60,89,0
15.000333,15.100333,64,89,0
15.666999,15.766999,50,77,0
15.666999,15.766999,55,77,0
15.666999,15.766999,59,77,0
16.000332,16.100332,50,77,0
16.000332,16.100332,57,77,0
16.000332,16.100332,60,77,0
16.666998,16.766998,52,77,0
16.666998,16.766998,55,77,0
16.666998,16.766998,59,77,0
17.000332,17.125332,48,77,0
17.166998,17.291998,45,77,0
17.333664,17.458664,50,107,0
17.50033,17.62533,38,107,0
17.666998,17.791998,50,107,0
17.833664,17.958664,38,107,0
18.00033,18.12533,50,107,0
18.166996,18.291996,38,107,0
18.333664,18.583662,43,107,0
18.666996,18.766996,55,98,0
19.666996,19.766994,52,77,0
19.666996,19.766994,58,77,0
19.666996,19.766994,60,77,0
20.666994,20.766994,53,77,0
20.666994,20.766994,57,77,0
20.666994,20.766994,60,77,0
21.666994,21.766993,48,86,0
21.666994,21.766993,57,86,0
21.666994,21.766993,60,86,0
22.000326,22.100327,49,92,0
22.000326,22.100327,55,92,0
22.000326,22.100327,58,92,0
22.33366,22.583658,50,77,0
22.33366,22.583658,53,77,0
22.33366,22.583658,57,77,0
22.666992,22.766993,38,71,0
23.66699,23.76699,45,77,0
23.66699,23.76699,49,77,0
23.66699,23.76699,52,77,0
24.66699,24.76699,50,77,0
24.66699,24.76699,53,77,0
25.666988,25.766989,38,77,0
25.666988,25.766989,50,77,0
26.000322,26.100323,38,77,0
26.000322,26.100323,50,77,0
26.333654,26.433655,38,77,0
26.333654,26.433655,50,77,0
26.666988,26.766989,38,77,0
26.666988,26.766989,50,77,0
27.00032,27.10032,41,77,0
27.00032,27.10032,53,77,0
27.333654,27.433655,40,77,0
27.333654,27.433655,52,77,0
28.00032,28.10032,52,107,0
28.00032,28.10032,56,107,0
28.00032,28.10032,59,107,0
29.000319,29.100319,45,107,0
29.000319,29.100319,48,107,0
29.000319,29.100319,52,107,0
29.000319,29.100319,57,107,0
30.000319,30.050318,40,107,0
30.000319,30.050318,44,107,0
30.000319,30.050318,47,107,0
30.000319,30.050318,52,107,0
30.166985,30.216984,40,107,0
30.166985,30.216984,44,107,0
30.166985,30.216984,47,107,0
30.166985,30.216984,52,107,0
31.000317,31.050318,33,107,0
31.000317,31.050318,36,107,0
31.000317,31.050318,40,107,0
31.000317,31.050318,45,107,0
31.166985,31.216984,33,107,0
31.166985,31.216984,36,107,0
31.166985,31.216984,40,107,0
31.166985,31.216984,45,107,0
32.000317,32.050316,40,107,0
32.000317,32.050316,44,107,0
32.000317,32.050316,47,107,0
32.000317,32.050316,52,107,0
32.166985,32.216984,40,107,0
32.166985,32.216984,44,107,0
32.166985,32.216984,47,107,0
32.166985,32.216984,52,107,0
33.000317,33.050316,40,107,0
33.000317,33.050316,44,107,0
33.000317,33.050316,47,107,0
33.000317,33.050316,52,107,0
33.16698,33.21698,40,107,0
33.16698,33.21698,44,107,0
33.16698,33.21698,47,107,0
33.16698,33.21698,52,107,0
35.66698,35.76698,60,69,0
35.66698,35.76698,72,69,0
36.000313,36.10031,60,69,0
36.000313,36.10031,72,69,0
36.333645,36.583645,60,69,0
36.333645,36.583645,72,69,0
36.666977,36.76698,48,65,0
36.666977,36.76698,60,65,0
37.666977,37.766975,60,69,0
37.666977,37.766975,72,69,0
38.00031,38.10031,55,69,0
38.00031,38.10031,67,69,0
38.333645,38.583645,60,69,0
38.333645,38.583645,72,69,0
38.666977,38.766975,48,65,0
38.666977,38.766975,60,65,0
40.83364,40.95864,59,69,0
41.00031,41.12531,64,69,0
41.166973,41.291973,60,69,0
41.33364,41.45864,62,69,0
41.500305,41.625305,50,69,0
41.666973,41.791973,62,69,0
41.83364,41.95864,50,69,0
42.000305,42.125305,62,69,0
42.166973,42.291973,50,69,0
42.33364,42.583637,55,69,0
42.666973,42.76697,43,65,0
43.000305,43.166973,57,69,0
43.000305,43.166973,60,69,0
43.166973,43.291973,56,69,0
43.166973,43.291973,59,69,0
43.333637,43.383636,57,69,0
43.500305,43.550304,60,69,0
43.666973,43.716972,52,69,0
43.833637,43.883636,55,69,0
44.000305,44.050304,53,69,0
44.16697,44.216972,57,69,0
44.333637,44.383636,53,69,0
44.500305,44.550304,50,69,0
44.66697,44.71697,52,69,0
44.833637,44.883636,55,69,0
45.0003,45.050304,53,69,0
45.16697,45.21697,50,69,0
45.333637,45.433636,43,69,0
45.66697,45.766968,43,69,0
46.0003,46.100304,43,69,0
46.333633,46.383636,48,69,0
46.5003,46.5503,55,75,0
46.66697,46.71697,52,81,0
46.833633,46.883636,48,88,0
47.0003,47.0503,53,94,0
47.16697,47.21697,50,100,0
47.333633,47.383633,55,107,0
47.5003,47.5503,52,107,0
47.666965,47.71697,48,107,0
47.833633,47.883633,43,107,0
48.0003,48.0503,55,107,0
48.166965,48.21697,43,107,0
48.333633,48.43363,48,107,0
48.666965,48.766968,36,107,0
49.666965,49.766964,52,77,0
49.666965,49.766964,58,77,0
49.666965,49.766964,60,77,0
50.666965,50.766964,53,77,0
50.666965,50.766964,57,77,0
50.666965,50.766964,60,77,0
51.66696,51.766964,48,86,0
51.66696,51.766964,57,86,0
51.66696,51.766964,60,86,0
52.000298,52.100296,49,92,0
52.000298,52.100296,55,92,0
52.000298,52.100296,58,92,0
52.33363,52.58363,50,77,0
52.33363,52.58363,53,77,0
52.33363,52.58363,57,77,0
52.66696,52.766964,38,71,0
53.66696,53.76696,45,77,0
53.66696,53.76696,49,77,0
53.66696,53.76696,52,77,0
54.66696,54.76696,50,77,0
54.66696,54.76696,53,77,0
55.666958,55.76696,38,77,0
55.666958,55.76696,50,77,0
56.000294,56.100292,38,77,0
56.000294,56.100292,50,77,0
56.333626,56.433624,38,77,0
56.333626,56.433624,50,77,0
56.666958,56.766956,38,77,0
56.666958,56.766956,50,77,0
57.00029,57.100292,41,77,0
57.00029,57.100292,53,77,0
57.333626,57.433624,40,77,0
57.333626,57.433624,52,77,0
58.00029,58.10029,52,107,0
58.00029,58.10029,56,107,0
58.00029,58.10029,59,107,0
59.00029,59.10029,45,107,0
59.00029,59.10029,48,107,0
59.00029,59.10029,52,107,0
59.00029,59.10029,57,107,0
60.00029,60.05029,40,107,0
60.00029,60.05029,44,107,0
60.00029,60.05029,47,107,0
60.00029,60.05029,52,107,0
60.166954,60.216953,40,107,0
60.166954,60.216953,44,107,0
60.166954,60.216953,47,107,0
60.166954,60.216953,52,107,0
61.000286,61.050285,33,107,0
61.000286,61.050285,36,107,0
61.000286,61.050285,40,107,0
61.000286,61.050285,45,107,0
61.166954,61.216953,33,107,0
61.166954,61.216953,36,107,0
61.166954,61.216953,40,107,0
61.166954,61.216953,45,107,0
62.000286,62.050285,40,107,0
62.000286,62.050285,44,107,0
62.000286,62.050285,47,107,0
62.000286,62.050285,52,107,0
62.166954,62.216953,40,107,0
62.166954,62.216953,44,107,0
62.166954,62.216953,47,107,0
62.166954,62.216953,52,107,0
63.000286,63.050285,40,107,0
63.000286,63.050285,44,107,0
63.000286,63.050285,47,107,0
63.000286,63.050285,52,107,0
63.16695,63.216953,40,107,0
63.16695,63.216953,44,107,0
63.16695,63.216953,47,107,0
63.16695,63.216953,52,107,0
65.66695,65.76695,60,69,0
65.66695,65.76695,72,69,0
66.00028,66.10028,60,69,0
66.00028,66.10028,72,69,0
66.33362,66.58362,60,69,0
66.33362,66.58362,72,69,0
66.66695,66.766945,48,65,0
66.66695,66.766945,60,65,0
67.66695,67.766945,60,69,0
67.66695,67.766945,72,69,0
68.00028,68.10028,55,69,0
68.00028,68.10028,67,69,0
68.33361,68.58361,60,69,0
68.33361,68.58361,72,69,0
68.66695,68.766945,48,65,0
68.66695,68.766945,60,65,0
70.83361,70.95861,59,69,0
71.000275,71.125275,64,69,0
71.16695,71.29195,60,69,0
71.33361,71.45861,62,69,0
71.500275,71.625275,50,69,0
71.66695,71.79195,62,69,0
71.83361,71.95861,50,69,0
