start_time,end_time,note_value,velocity,instrument_program_number
1.0,1.1255208,35,69,0
1.1255208,1.1630208,36,69,0
1.2505208,1.3755208,35,69,0
1.3755208,1.4130208,36,69,0
1.5005208,1.5755209,32,69,0
1.7505208,1.8255209,32,69,0
2.000521,2.0755208,32,69,0
2.250521,2.3255208,32,69,0
2.500521,2.5755208,32,69,0
2.500521,2.5755208,44,69,0
2.750521,2.8255208,32,82,0
2.750521,2.8255208,44,82,0
3.000521,3.0822916,32,95,0
3.000521,3.0822916,44,95,0
3.2732005,3.3550186,32,108,0
3.2732005,3.3550186,44,108,0
3.5459275,3.955018,31,122,0
3.5459275,3.955018,43,122,0
4.5914288,4.7789288,47,69,0
4.5914288,4.7789288,55,69,0
5.0914288,5.2789288,48,69,0
5.0914288,5.2789288,55,69,0
5.5914288,5.7789288,41,69,0
5.5914288,5.7789288,53,69,0
6.5914288,6.7789288,42,69,0
6.5914288,6.7789288,51,69,0
7.0914288,7.2789288,42,69,0
7.0914288,7.2789288,51,69,0
7.5914288,7.7789288,43,69,0
7.5914288,7.7789288,50,69,0
8.091429,8.216429,35,69,0
8.216429,8.253929,36,69,0
8.341429,8.466429,35,69,0
8.466429,8.503929,36,69,0
8.591429,8.666429,32,69,0
8.841429,8.916429,32,69,0
9.091429,9.166429,32,69,0
9.341429,9.416429,32,69,0
9.591429,9.666429,32,69,0
9.591429,9.666429,44,69,0
9.841429,9.9232,32,82,0
9.841429,9.9232,44,82,0
10.114108,10.195927,32,95,0
10.114108,10.195927,44,95,0
10.386835,10.468654,32,108,0
10.386835,10.468654,44,108,0
10.659562,11.068653,31,122,0
10.659562,11.068653,43,122,0
11.705064,11.892564,47,69,0
11.705064,11.892564,55,69,0
12.205064,12.392564,48,69,0
12.205064,12.392564,55,69,0
12.705064,12.892564,41,69,0
12.705064,12.892564,53,69,0
13.705064,13.892564,43,69,0
13.705064,13.892564,51,69,0
14.205064,14.392564,43,69,0
14.205064,14.392564,50,69,0
14.705064,14.892564,36,69,0
14.705064,14.892564,48,69,0
15.792211,16.629417,48,69,0
15.792211,16.629417,51,69,0
15.792211,16.629417,55,69,0
16.908485,17.745693,47,80,0
16.908485,17.745693,53,80,0
