start_time,end_time,note_value,velocity,instrument_program_number
1.11111,1.1805544,71,50,40
1.1805544,1.2499988,72,52,40
1.2499988,1.3194431,71,55,40
1.3194431,1.3888875,72,57,40
1.3888875,1.48148,71,60,40
1.48148,1.5740725,69,63,40
1.5740725,1.666665,71,67,40
1.666665,1.966665,76,70,40
1.966665,2.299998,74,60,40
2.299998,2.9597197,71,50,40
4.7106805,4.7801247,71,70,40
4.7801247,4.8495693,72,70,40
4.8495693,4.9190135,71,70,40
4.9190135,4.988458,72,70,40
4.988458,5.0810504,71,70,40
5.0810504,5.173643,69,70,40
5.173643,5.2662354,71,70,40
5.2662354,5.544013,76,70,40
5.544013,5.8217907,74,70,40
5.8217907,6.3715587,66,70,40
6.3773456,6.665807,69,70,40
6.665807,6.965807,67,70,40
6.965807,8.159557,62,70,40
8.165807,8.465807,67,70,40
8.465807,8.765807,71,70,40
8.765807,9.065807,74,70,40
9.065807,9.365807,79,70,40
9.365807,9.665807,83,70,40
9.665807,9.965807,86,70,40
9.965807,10.265807,83,70,40
10.265807,10.578307,79,70,40
10.578307,10.890807,78,70,40
10.890807,11.22414,81,70,40
11.22414,11.883862,79,70,40
13.634823,13.704267,59,70,40
13.704267,13.773711,60,70,40
13.773711,13.843156,59,70,40
13.843156,13.9126,60,70,40
13.9126,14.005193,59,70,40
14.005193,14.097785,57,70,40
14.097785,14.190377,59,70,40
14.190377,14.478839,64,70,40
14.478839,14.778839,62,70,40
14.778839,15.372589,59,70,40
15.378839,15.928607,59,70,40
15.934394,16.484161,59,70,40
16.489948,17.060862,60,70,40
17.066872,17.67937,62,70,40
17.68602,18.955965,60,70,40
18.962614,19.262615,64,70,40
19.262615,19.551077,67,70,40
19.551077,19.828854,72,70,40
19.828854,20.10663,76,70,40
20.10663,20.384409,79,70,40
20.384409,20.662186,84,70,40
20.662186,20.939964,79,70,40
20.939964,21.217741,76,70,40
21.217741,21.495518,72,70,40
21.495518,21.773296,76,70,40
21.773296,22.051073,79,70,40
22.051073,22.328852,84,70,40
22.328852,22.606628,79,70,40
22.606628,22.884405,76,70,40
22.884405,23.162184,72,70,40
23.162184,23.43996,76,70,40
23.43996,23.71774,81,70,40
23.71774,23.995516,84,70,40
23.995516,24.273294,81,70,40
24.273294,24.551071,76,70,40
24.551071,24.828848,72,70,40
24.828848,25.106627,76,70,40
25.106627,25.384403,81,70,40
25.384403,25.662182,84,70,40
25.662182,25.939959,81,70,40
25.939959,26.217735,76,70,40
26.217735,26.495514,72,70,40
26.495514,26.77329,78,70,40
26.77329,27.05107,81,70,40
27.05107,27.328846,84,70,40
27.328846,27.606623,81,70,40
27.606623,27.884401,78,70,40
27.884401,28.162178,72,70,40
28.162178,28.439957,78,70,40
28.439957,28.717733,81,70,40
28.717733,28.99551,84,70,40
28.99551,29.273289,81,70,40
29.273289,29.551065,78,70,40
29.551065,29.828844,72,70,40
29.828844,30.10662,78,70,40
30.10662,30.3844,81,70,40
30.3844,30.662176,84,70,40
30.662176,30.939953,88,70,40
30.939953,31.217731,86,70,40
31.217731,31.495508,84,70,40
31.495508,31.773287,83,70,40
31.773287,32.051064,81,70,40
32.051064,32.328842,79,70,40
32.328842,32.606617,78,70,40
32.606617,32.884396,76,70,40
32.884396,33.162174,74,70,40
33.162174,33.439953,72,70,40
33.439953,33.717728,71,70,40
33.717728,33.995506,69,70,40
33.995506,34.283497,67,70,40
34.289623,34.59561,67,70,40
34.602123,35.186615,67,70,40
35.1924,35.394947,67,70,40
35.470177,35.672726,67,73,40
35.747955,35.9505,67,77,40
36.025734,36.22828,67,81,40
36.303513,36.581287,67,85,40
36.581287,36.783836,66,89,40
36.859066,37.06161,66,93,40
37.136845,37.33939,66,97,40
37.41462,37.62908,66,100,40
