start_time,end_time,note_value,velocity,instrument_program_number
0.0,1.419782,56,47,0
0.0,1.419782,53,39,0
0.0,1.419782,49,39,0
1.419782,2.867309,54,44,0
1.419782,2.867309,58,44,0
1.419782,2.867309,49,37,0
2.867309,4.811153,56,44,0
2.867309,4.811153,53,37,0
2.867309,4.811153,49,37,0
4.811153,5.496554,49,37,0
4.811153,5.496554,51,37,0
4.811153,5.496554,58,44,0
5.496554,6.916336,56,47,0
5.496554,6.916336,51,39,0
5.496554,6.916336,49,39,0
6.916336,8.271656,51,38,0
6.916336,8.271656,48,38,0
6.916336,8.271656,56,46,0
8.271656,10.834967,56,47,0
8.271656,10.834967,53,39,0
8.271656,10.834967,49,39,0
10.834967,12.196437,53,45,0
10.834967,12.196437,56,45,0
10.834967,12.196437,61,54,0
12.196437,13.742031,61,56,0
12.196437,13.742031,58,47,0
12.196437,13.742031,54,47,0
13.742031,15.668715,61,44,0
13.742031,15.668715,53,36,0
13.742031,15.668715,56,36,0
15.668715,16.378605,55,37,0
15.668715,16.378605,61,44,0
15.668715,16.378605,52,37,0
16.378605,17.798388,61,47,0
16.378605,17.798388,51,39,0
16.378605,17.798388,54,39,0
17.798388,19.264664,54,37,0
17.798388,19.264664,60,43,0
17.798388,19.264664,51,37,0
19.264664,21.335838,61,43,0
19.264664,21.335838,53,37,0
19.264664,21.335838,49,37,0
22.016573,23.436354,56,47,0
22.016573,23.436354,53,39,0
22.016573,23.436354,49,39,0
23.436354,24.90263,58,44,0
23.436354,24.90263,54,44,0
23.436354,24.90263,49,37,0
24.90263,26.810772,56,44,0
24.90263,26.810772,53,37,0
24.90263,26.810772,49,37,0
26.810772,27.470112,58,44,0
26.810772,27.470112,51,37,0
26.810772,27.470112,49,37,0
27.470112,28.889894,56,47,0
27.470112,28.889894,51,39,0
27.470112,28.889894,49,39,0
28.889894,30.245214,56,46,0
28.889894,30.245214,51,38,0
28.889894,30.245214,48,38,0
30.245214,32.794388,56,47,0
30.245214,32.794388,53,39,0
30.245214,32.794388,49,39,0
32.794388,34.113068,61,54,0
32.794388,34.113068,56,45,0
32.794388,34.113068,53,45,0
34.113068,35.692017,61,56,0
34.113068,35.692017,58,47,0
34.113068,35.692017,54,47,0
35.692017,37.6187,61,41,0
35.692017,37.6187,56,34,0
35.692017,37.6187,53,34,0
37.6187,38.32859,61,44,0
37.6187,38.32859,55,37,0
37.6187,38.32859,52,37,0
38.32859,39.74837,61,47,0
38.32859,39.74837,54,39,0
38.32859,39.74837,51,39,0
39.74837,41.21465,60,43,0
39.74837,41.21465,54,37,0
39.74837,41.21465,51,37,0
41.21465,43.285824,61,43,0
41.21465,43.285824,53,37,0
41.21465,43.285824,49,37,0
43.966557,45.38634,56,47,0
43.966557,45.38634,51,39,0
43.966557,45.38634,48,39,0
45.38634,46.596596,56,44,0
45.38634,46.596596,54,44,0
45.38634,46.596596,48,37,0
46.596596,46.797886,56,44,0
46.596596,46.797886,51,44,0
46.596596,46.797886,48,37,0
46.797886,47.83118,56,47,0
46.797886,47.83118,53,39,0
46.797886,47.83118,49,39,0
47.83118,48.155994,61,53,0
47.83118,48.155994,56,45,0
47.83118,48.155994,53,45,0
48.155994,48.87062,60,49,0
48.155994,48.87062,54,41,0
48.155994,48.87062,56,41,0
