start_time,end_time,note_value,velocity,instrument_program_number
0.5,0.68907577,74,50,0
0.68907577,0.7632516,77,50,0
0.68907577,0.7632516,69,42,0
0.7714934,1.0246578,77,62,0
0.7714934,1.0246578,72,53,0
1.0246578,1.1512401,74,55,0
1.0246578,1.1512401,65,46,0
1.2778224,1.4668981,70,50,0
1.4668981,1.541074,74,50,0
1.4668981,1.541074,66,42,0
1.5493157,1.8024802,74,62,0
1.5493157,1.8024802,69,53,0
1.8024802,1.9290625,70,55,0
1.8024802,1.9290625,62,46,0
2.0556448,2.2447205,67,52,0
2.2447205,2.3188963,70,53,0
2.2447205,2.3188963,62,44,0
2.3271382,2.5803027,70,66,0
2.3271382,2.5803027,65,57,0
2.5803027,2.7068849,67,61,0
2.5803027,2.7068849,58,51,0
2.833467,3.022543,67,57,0
2.833467,3.022543,58,47,0
3.022543,3.0959125,69,58,0
3.022543,3.0959125,63,48,0
3.1040647,3.3572292,69,72,0
3.1040647,3.3572292,63,62,0
3.3572292,3.4838114,70,66,0
3.3572292,3.4838114,58,55,0
3.6103935,3.7994695,70,61,0
3.7994695,3.8736453,72,63,0
3.6103935,3.881887,65,51,0
3.881887,4.1350517,72,79,0
3.881887,4.1350517,65,67,0
4.1350517,4.261634,74,72,0
4.1350517,4.261634,65,60,0
4.1350517,4.261634,70,60,0
4.388216,4.577292,74,67,0
4.577292,4.6506615,75,70,0
4.388216,4.6588135,70,56,0
4.6588135,4.918554,75,88,0
4.6588135,4.918554,70,75,0
4.918554,4.9899826,77,82,0
4.918554,4.9899826,73,68,0
4.918554,4.9899826,70,68,0
4.918554,4.9899826,65,68,0
5.2042685,5.280411,79,94,0
5.2042685,5.280411,67,79,0
5.2042685,5.280411,70,79,0
5.2042685,5.280411,72,79,0
5.508837,5.665087,72,94,0
5.508837,5.665087,69,79,0
5.508837,5.665087,60,79,0
6.133837,6.3229127,86,50,0
6.3229127,6.3970885,89,50,0
6.3229127,6.3970885,81,42,0
6.40533,6.658495,89,62,0
6.40533,6.658495,84,53,0
6.658495,6.7889295,86,55,0
6.658495,6.7889295,77,46,0
6.9193645,7.10844,82,50,0
7.10844,7.1826158,86,50,0
7.10844,7.1826158,78,42,0
7.190858,7.444022,86,62,0
7.190858,7.444022,81,53,0
7.444022,7.5706043,82,55,0
7.444022,7.5706043,74,46,0
7.697187,7.8862624,79,52,0
7.8862624,7.9604383,82,53,0
7.8862624,7.9604383,74,44,0
7.96868,8.221845,82,66,0
7.96868,8.221845,77,57,0
8.221845,8.351155,79,61,0
8.221845,8.351155,70,51,0
8.480465,8.66954,79,57,0
8.480465,8.66954,70,47,0
8.66954,8.74291,81,58,0
8.66954,8.74291,75,48,0
8.751062,9.004227,81,72,0
