start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.80000025,67,40,0
0.80000025,1.066667,66,36,0
1.066667,4.266668,69,40,0
4.266668,5.066668,67,40,0
5.066668,5.333335,66,36,0
5.333335,8.285214,69,40,0
7.497951,8.285214,69,46,0
8.285214,8.534515,75,42,0
8.547636,9.5973215,75,52,0
9.5973215,10.378436,74,40,0
10.378436,10.644642,67,36,0
9.5973215,10.658652,62,29,0
10.658652,11.691889,67,41,0
11.691889,12.46335,66,40,0
12.46335,12.716684,69,36,0
11.691889,12.730018,60,29,0
12.730018,13.504157,69,44,0
13.7708235,14.796114,62,30,0
13.7708235,14.796114,59,25,0
15.444482,15.562994,72,34,0
13.504157,15.681505,71,40,0
15.562994,15.681505,71,30,0
15.681505,15.800016,69,30,0
14.796114,15.800016,59,20,0
14.796114,15.800016,62,24,0
15.800016,16.30875,71,39,0
16.30875,16.817484,72,46,0
16.817484,17.617483,75,58,0
17.617483,17.884151,74,52,0
17.884151,20.817486,77,60,0
20.817486,20.950819,74,41,0
20.950819,21.084152,77,42,0
21.084152,21.884151,75,58,0
21.884151,22.150818,74,53,0
24.315435,25.1027,74,63,0
25.1027,25.352,80,61,0
22.150818,25.36512,77,61,0
25.36512,26.414804,80,70,0
26.414804,27.195919,79,48,0
27.195919,27.462126,72,41,0
26.414804,27.476135,67,33,0
27.476135,28.509373,72,47,0
28.509373,29.280834,71,46,0
29.280834,29.534168,74,41,0
28.509373,29.5475,65,33,0
29.5475,30.32164,74,50,0
30.588308,31.613598,63,36,0
31.613598,32.261967,63,29,0
32.261967,32.812424,68,38,0
30.32164,32.812424,75,46,0
32.812424,33.3209,67,43,0
33.3209,33.881645,68,49,0
33.881645,34.631645,72,59,0
34.631645,34.73803,70,44,0
34.73803,34.844414,72,44,0
34.844414,34.950794,70,44,0
34.950794,35.05718,69,44,0
35.05718,35.834106,70,52,0
35.834106,36.106834,72,55,0
36.106834,37.38694,73,61,0
37.38694,37.6501,72,56,0
37.6501,37.93856,82,64,0
37.93856,38.2126,79,58,0
38.227024,39.86449,79,67,0
39.86449,40.147507,82,45,0
40.147507,40.430527,80,45,0
41.562603,42.07984,68,45,0
42.07984,42.586308,67,39,0
42.597084,43.340885,67,52,0
43.340885,43.618664,66,45,0
43.618664,45.602135,69,58,0
42.597084,45.602135,60,37,0
42.597084,45.602135,57,37,0
45.602135,46.34594,69,60,0
46.34594,46.607407,67,52,0
45.602135,46.621166,62,51,0
46.621166,47.335453,67,62,0
47.335453,47.605724,66,50,0
46.621166,47.605724,62,52,0
46.621166,47.605724,60,52,0
47.605724,48.32572,69,64,0
48.32572,48.59121,67,54,0
