start_time,end_time,note_value,velocity,instrument_program_number
0.801068,0.9039487,55,66,0
0.801068,0.9039487,67,78,0
0.801068,0.9039487,64,66,0
0.801068,0.9039487,59,66,0
1.212591,1.813392,67,84,0
1.813392,2.013659,66,77,0
1.212591,2.013659,64,70,0
1.212591,2.013659,59,70,0
1.212591,2.013659,55,70,0
2.013659,2.116188,55,57,0
2.013659,2.116188,64,68,0
2.423775,2.624042,69,84,0
2.423775,2.624042,66,70,0
2.423775,2.624042,57,70,0
3.224843,3.625377,66,31,0
3.224843,3.625377,69,37,0
3.625377,4.226178,69,45,0
3.625377,4.226178,66,37,0
4.226178,4.426445,67,40,0
4.426445,4.7350874,66,35,0
4.426445,4.7350874,69,41,0
4.837968,5.1383686,67,36,0
4.837968,5.1383686,71,43,0
5.639036,5.740869,59,66,0
5.639036,5.740869,71,78,0
5.639036,5.740869,67,66,0
5.639036,5.740869,62,66,0
6.046368,6.647169,71,84,0
6.647169,6.847436,69,77,0
6.046368,6.847436,67,70,0
6.046368,6.847436,59,70,0
6.046368,6.847436,62,70,0
6.847436,6.9510274,59,57,0
6.847436,6.9510274,67,68,0
7.261801,7.461402,73,84,0
7.261801,7.461402,70,70,0
7.261801,7.461402,61,70,0
8.060205,8.459407,70,31,0
8.060205,8.459407,73,37,0
8.459407,9.05821,73,45,0
8.459407,9.05821,70,37,0
9.05821,9.257811,71,40,0
9.257811,9.56125,70,35,0
9.257811,9.56125,73,41,0
9.662396,9.961798,71,36,0
9.662396,9.961798,74,43,0
10.4608,11.241034,74,70,0
11.241034,11.624911,79,70,0
11.624911,12.025445,76,62,0
12.025445,12.425979,74,66,0
12.425979,12.806486,72,56,0
12.826513,13.604219,72,61,0
13.604219,13.985656,81,61,0
13.985656,14.788119,72,52,0
14.788119,15.166103,71,61,0
15.185997,15.968775,71,55,0
15.968775,16.348017,67,50,0
16.367977,17.166382,67,44,0
17.166382,17.545624,64,43,0
17.565582,18.34836,64,41,0
18.34836,18.755693,55,36,0
18.755693,19.205807,52,24,0
19.205807,20.118738,59,28,0
19.205807,20.118738,51,24,0
20.220177,21.206453,88,61,0
20.220177,21.206453,76,51,0
21.206453,21.40739,87,53,0
21.206453,21.40739,75,45,0
21.40739,21.818914,88,57,0
21.40739,21.818914,76,48,0
21.818914,22.619982,66,61,0
21.818914,22.619982,64,51,0
21.818914,22.619982,60,51,0
22.619982,23.031506,61,56,0
22.619982,23.031506,64,56,0
22.619982,23.031506,66,66,0
23.031506,23.643295,66,71,0
23.643295,23.843561,67,51,0
23.843561,24.043829,69,56,0
24.043829,24.250298,67,43,0
23.031506,24.250298,63,60,0
23.031506,24.250298,57,60,0
24.250298,24.650833,66,47,0
24.650833,25.063772,64,39,0
25.063772,26.05144,88,61,0
25.063772,26.05144,76,51,0
26.05144,26.252377,87,61,0
26.05144,26.252377,75,52,0
26.252377,26.669624,88,66,0
26.252377,26.669624,76,56,0
26.669624,27.476076,66,61,0
26.669624,27.476076,64,51,0
26.669624,27.476076,60,51,0
27.476076,27.891876,61,44,0
27.476076,27.891876,64,44,0
27.476076,27.891876,66,52,0
27.891876,28.515575,66,55,0
28.515575,28.74148,69,38,0
28.74148,28.977142,67,41,0
28.977142,29.241926,66,32,0
27.891876,29.241926,63,46,0
27.891876,29.241926,57,46,0
29.241926,29.744862,64,36,0
29.241926,29.744862,55,30,0
30.247795,30.346285,71,36,0
30.247795,30.346285,59,30,0
30.641754,31.43488,59,34,0
30.641754,31.43488,71,41,0
31.43488,31.532728,76,36,0
31.43488,31.532728,64,30,0
31.82627,32.616783,64,35,0
31.82627,32.616783,76,42,0
32.616783,32.714314,83,36,0
32.616783,32.714314,71,30,0
33.0069,33.797413,71,34,0
33.0069,33.797413,83,40,0
33.797413,33.89526,76,30,0
33.797413,33.89526,88,36,0
34.188805,34.99576,88,41,0
34.188805,34.99576,76,34,0
34.99576,35.097595,89,82,0
34.99576,35.097595,77,70,0
34.99576,35.097595,83,70,0
34.99576,35.097595,86,70,0
35.403095,36.003895,89,90,0
35.403095,36.003895,77,76,0
35.403095,36.003895,83,76,0
35.403095,36.003895,86,76,0
36.003895,36.114044,88,70,0
36.10403,36.212803,86,69,0
36.20302,36.310654,84,68,0
36.30087,36.4085,83,68,0
36.398716,36.506348,81,68,0
36.496563,36.604305,79,66,0
36.59449,36.702473,77,64,0
36.692657,36.80064,76,64,0
36.790825,36.898808,74,64,0
36.888992,36.99701,72,64,0
36.98716,37.059383,71,63,0
37.05282,37.125046,69,63,0
37.118477,37.190704,67,63,0
37.18414,37.256363,65,63,0
37.249798,37.322025,64,63,0
37.315456,37.387684,62,63,0
37.38112,37.468872,60,63,0
37.4605,37.550137,59,63,0
37.54159,37.63319,57,63,0
37.624466,37.718143,55,62,0
37.70921,37.804024,54,62,0
37.795704,37.995308,55,89,0
38.59411,38.691956,55,34,0
38.59411,38.691956,62,34,0
38.59411,38.691956,65,40,0
38.9855,39.1851,55,38,0
38.9855,39.1851,60,38,0
38.9855,39.1851,64,45,0
39.7839,39.885735,86,90,0
39.7839,39.885735,74,76,0
39.7839,39.885735,80,76,0
39.7839,39.885735,83,76,0
40.191235,40.792034,86,98,0
40.191235,40.792034,74,84,0
40.191235,40.792034,80,84,0
40.191235,40.792034,83,84,0
40.792034,40.902184,84,70,0
40.89217,41.000946,83,69,0
40.99116,41.098793,81,68,0
41.08901,41.19664,80,68,0
41.186855,41.294487,78,68,0
41.284702,41.392445,76,66,0
41.38263,41.490612,74,64,0
41.480797,41.58878,72,64,0
41.578964,41.686947,71,64,0
41.67713,41.78515,69,64,0
41.7753,41.847523,68,63,0
41.840958,41.913185,66,63,0
41.90662,41.978844,64,63,0
41.97228,42.044502,62,63,0
42.037937,42.110165,60,63,0
42.1036,42.175823,59,63,0
42.16926,42.25701,57,63,0
42.24864,42.338276,56,63,0
42.32973,42.42133,54,63,0
42.412605,42.506283,52,62,0
42.49735,42.592163,51,62,0
42.583847,42.983047,52,89,0
43.382248,43.480095,52,34,0
43.382248,43.480095,59,34,0
43.382248,43.480095,62,40,0
43.77364,43.97324,52,38,0
43.77364,43.97324,57,38,0
43.77364,43.97324,60,45,0
44.57204,44.957844,82,57,0
44.983566,45.57841,82,60,0
45.57841,45.684635,81,53,0
45.67513,45.77979,79,53,0
45.770252,45.875248,77,51,0
45.86568,45.971012,75,51,0
45.961414,46.06708,74,51,0
46.057453,46.163223,72,51,0
46.153652,46.259098,70,51,0
46.249496,46.35513,69,50,0
46.345528,46.45116,67,49,0
46.441555,46.547005,65,49,0
46.537586,46.675694,63,53,0
46.663136,46.802643,62,49,0
46.788685,46.941612,60,44,0
46.928253,47.316692,58,53,0
47.324955,49.279423,58,53,0
49.279423,49.628258,67,53,0
49.66702,50.4498,67,59,0
50.4498,50.799767,73,63,0
50.4498,50.799767,67,53,0
50.83865,51.626568,67,57,0
50.83865,51.626568,73,68,0
51.626568,51.975407,79,69,0
51.626568,51.975407,76,58,0
51.626568,51.975407,73,58,0
52.014164,52.78936,79,78,0
52.78936,53.179478,78,80,0
53.179478,53.95467,77,84,0
52.014164,53.95467,76,66,0
52.014164,53.95467,73,66,0
53.95467,54.310402,73,69,0
53.95467,54.310402,76,69,0
53.95467,54.310402,78,82,0
54.349926,55.48623,78,95,0
54.349926,55.48623,74,80,0
54.349926,55.48623,71,80,0
55.48623,56.617455,83,94,0
55.48623,56.617455,78,80,0
55.48623,56.617455,71,80,0
56.617455,56.707924,71,49,0
56.617455,56.707924,66,41,0
56.979336,57.07262,60,49,0
56.979336,57.07262,72,59,0
57.725605,57.816624,67,47,0
57.725605,57.816624,72,56,0
58.089684,58.18297,63,49,0
58.089684,58.18297,75,59,0
58.826897,58.91989,69,48,0
58.826897,58.91989,75,57,0
59.19887,59.291866,64,53,0
59.19887,59.291866,76,63,0
59.933826,60.02625,71,50,0
59.933826,60.02625,76,60,0
60.303513,60.395935,65,55,0
60.303513,60.395935,77,64,0
61.051033,61.14261,76,46,0
61.051033,61.14261,71,39,0
61.051033,61.14261,68,39,0
61.234184,61.325756,68,32,0
61.234184,61.325756,71,32,0
61.234184,61.325756,77,38,0
61.41733,61.508907,68,32,0
61.41733,61.508907,71,32,0
61.41733,61.508907,77,38,0
61.600483,61.691856,68,32,0
61.600483,61.691856,71,32,0
61.600483,61.691856,77,38,0
61.783154,61.87445,68,32,0
61.783154,61.87445,71,32,0
61.783154,61.87445,77,38,0
61.965744,62.05704,68,32,0
61.965744,62.05704,71,32,0
61.965744,62.05704,77,38,0
62.14834,62.239433,77,46,0
62.14834,62.239433,71,39,0
62.14834,62.239433,68,39,0
62.330452,62.421474,68,44,0
62.330452,62.421474,71,44,0
62.330452,62.421474,77,52,0
62.512493,62.60351,68,48,0
62.512493,62.60351,71,48,0
62.512493,62.60351,77,58,0
62.69453,62.785553,68,53,0
62.69453,62.785553,71,53,0
62.69453,62.785553,77,63,0
62.87657,62.96759,68,59,0
62.87657,62.96759,71,59,0
62.87657,62.96759,77,69,0
63.05975,63.153324,68,63,0
63.05975,63.153324,71,63,0
63.05975,63.153324,77,75,0
63.246326,63.337345,90,91,0
63.246326,63.337345,85,77,0
63.246326,63.337345,78,77,0
63.246326,63.337345,82,77,0
63.246326,63.337345,88,91,0
63.428364,63.519382,91,83,0
63.428364,63.519382,85,70,0
63.428364,63.519382,79,70,0
63.428364,63.519382,82,70,0
63.428364,63.519382,88,83,0
63.6104,63.701424,91,83,0
63.6104,63.701424,85,70,0
63.6104,63.701424,79,70,0
63.6104,63.701424,82,70,0
63.6104,63.701424,88,83,0
63.792442,63.88346,91,83,0
63.792442,63.88346,85,70,0
63.792442,63.88346,79,70,0
63.792442,63.88346,82,70,0
63.792442,63.88346,88,83,0
63.97448,64.0655,91,83,0
63.97448,64.0655,85,70,0
63.97448,64.0655,79,70,0
63.97448,64.0655,82,70,0
63.97448,64.0655,88,83,0
64.15652,64.25158,91,83,0
64.15652,64.25158,85,70,0
64.15652,64.25158,79,70,0
64.15652,64.25158,82,70,0
64.15652,64.25158,88,83,0
64.346634,64.43984,91,85,0
64.346634,64.43984,85,71,0
64.346634,64.43984,79,71,0
64.346634,64.43984,82,71,0
64.346634,64.43984,88,85,0
64.533615,64.62813,91,77,0
64.533615,64.62813,85,65,0
64.533615,64.62813,79,65,0
64.533615,64.62813,82,65,0
64.533615,64.62813,88,77,0
64.72339,64.81942,91,74,0
64.72339,64.81942,85,63,0
64.72339,64.81942,79,63,0
64.72339,64.81942,82,63,0
64.72339,64.81942,88,74,0
64.91622,65.01382,91,67,0
64.91622,65.01382,85,57,0
64.91622,65.01382,79,57,0
64.91622,65.01382,82,57,0
64.91622,65.01382,88,67,0
65.1122,65.21141,91,60,0
65.1122,65.21141,85,51,0
65.1122,65.21141,79,51,0
65.1122,65.21141,82,51,0
65.1122,65.21141,88,60,0
65.311356,65.420685,91,56,0
65.311356,65.420685,85,47,0
65.311356,65.420685,79,47,0
65.311356,65.420685,82,47,0
65.311356,65.420685,88,56,0
65.530014,65.927895,79,56,0
65.530014,65.927895,91,56,0
65.927895,67.12153,78,56,0
65.927895,67.12153,90,56,0
67.12153,68.31516,83,56,0
67.12153,68.31516,71,56,0
68.31516,69.5088,78,56,0
68.31516,69.5088,66,56,0
69.5088,70.30455,59,56,0
69.5088,70.70243,71,56,0
70.70243,71.10231,67,63,0
71.10231,71.49909,66,57,0
71.50761,72.30336,66,65,0
72.30336,72.71865,70,58,0
72.71865,72.914345,71,56,0
72.914345,73.118706,79,68,0
73.118706,73.71355,91,74,0
73.71355,73.911835,90,56,0
74.105,74.30328,90,69,0
74.30328,74.89813,85,66,0
74.89813,75.09641,83,51,0
75.290215,75.488495,83,73,0
75.488495,76.083336,79,70,0
76.083336,76.28162,78,53,0
76.47542,76.674355,78,70,0
76.674355,77.27117,73,65,0
77.27117,77.46836,71,56,0
77.47694,77.87482,71,63,0
77.87482,78.27669,67,63,0
78.27669,78.67964,66,65,0
78.68821,78.88519,66,71,0
78.88519,79.08347,62,65,0
79.08347,79.28441,59,71,0
79.28441,79.485344,55,65,0
79.485344,79.6947,54,70,0
79.6947,79.90777,58,76,0
79.90777,80.29288,59,80,0
81.10811,82.289986,55,67,0
81.10811,82.289986,59,79,0
82.289986,83.09105,60,34,0
82.289986,83.491585,55,28,0
83.09105,84.282104,67,39,0
84.282104,84.68505,66,33,0
83.491585,84.69363,61,27,0
83.491585,84.69363,58,27,0
83.491585,84.69363,64,27,0
84.69363,85.078735,59,34,0
84.69363,85.078735,62,34,0
84.69363,85.078735,66,40,0
85.89397,87.07584,55,67,0
85.89397,87.07584,59,79,0
87.07584,87.87691,60,34,0
87.07584,88.27744,55,28,0
87.87691,89.067955,67,39,0
89.067955,89.46015,66,33,0
88.27744,89.46849,61,27,0
88.27744,89.46849,58,27,0
88.27744,89.46849,64,27,0
90.29232,91.48958,67,39,0
90.67415,91.86384,62,24,0
90.67415,91.86384,59,24,0
91.48958,91.88614,66,33,0
92.67927,93.88353,67,39,0
93.05352,94.27868,61,24,0
93.05352,94.27868,64,24,0
93.85998,94.27868,70,33,0
94.27868,94.673935,71,33,0
94.27868,94.673935,62,28,0
94.27868,94.673935,59,28,0
95.46445,95.8597,71,33,0
95.46445,95.8597,62,28,0
95.46445,95.8597,59,28,0
96.65022,97.04548,71,33,0
96.65022,97.04548,62,28,0
96.65022,97.04548,59,28,0
97.83599,99.01353,71,33,0
99.02176,100.199295,71,33,0
100.207535,100.989815,71,33,0
100.99805,101.09852,71,34,0
100.99805,101.09852,81,42,0
101.19898,101.29945,71,33,0
101.39992,101.49498,71,34,0
101.590034,101.68509,71,30,0
101.78015,101.875206,71,30,0
101.39992,101.97026,81,46,0
101.97026,102.06532,71,30,0
101.97026,102.16038,79,42,0
102.16038,102.25728,78,37,0
102.16038,102.25728,71,30,0
102.35418,102.45498,71,30,0
102.555786,102.65145,71,34,0
102.555786,102.747116,79,46,0
102.555786,102.747116,83,46,0
102.747116,102.84278,71,30,0
102.93844,103.0341,71,30,0
103.12977,103.22543,71,30,0
103.3211,103.416756,71,30,0
103.51242,103.608086,71,30,0
103.3211,103.70375,79,22,0
103.3211,103.70375,83,40,0
103.70375,103.79941,71,34,0
103.89507,103.99074,71,30,0
104.0864,104.18207,71,30,0
103.70375,104.277725,80,27,0
103.70375,104.277725,83,46,0
104.277725,104.37339,71,30,0
104.277725,104.469055,81,40,0
104.469055,104.56533,71,30,0
104.469055,104.661606,80,24,0
104.469055,104.661606,83,37,0
104.661606,104.76174,71,30,0
104.86188,105.24575,84,25,0
104.86188,105.24575,81,46,0
104.86188,105.24575,72,34,0
105.62963,105.72653,84,48,0
105.62963,105.72653,72,48,0
106.0237,106.59404,84,54,0
106.0237,106.59404,72,54,0
106.59404,106.78415,83,54,0
106.59404,106.78415,71,54,0
106.78415,106.88105,81,48,0
106.78415,106.88105,69,48,0
107.179565,107.369675,74,64,0
107.179565,107.369675,86,64,0
107.94002,108.03692,86,64,0
107.94002,108.03692,74,64,0
108.33611,108.90286,86,73,0
108.33611,108.90286,74,73,0
108.90286,109.091774,84,69,0
108.90286,109.091774,72,69,0
