start_time,end_time,note_value,velocity,instrument_program_number
0.86704886,1.0873425,76,36,0
1.0873425,1.3029497,75,33,0
1.3029497,1.5168232,76,39,0
1.5168232,1.7279077,75,36,0
1.7279077,1.940702,76,45,0
1.940702,2.1560028,71,40,0
2.1560028,2.3713036,74,47,0
2.3713036,2.6103473,72,39,0
2.6103473,3.0439987,69,51,0
3.2608244,3.4701462,60,34,0
3.4701462,3.679468,64,38,0
3.679468,3.9111998,69,42,0
3.9111998,4.344851,71,46,0
4.5556736,4.7664957,64,36,0
4.7664957,4.977318,68,39,0
4.977318,5.2163615,71,42,0
5.2163615,5.650013,72,45,0
5.866839,6.083665,64,35,0
6.083665,6.300091,76,38,0
6.300091,6.5134683,75,34,0
6.5134683,6.7232594,76,41,0
6.7232594,6.932903,75,37,0
6.932903,7.1450047,76,46,0
7.1450047,7.363377,71,39,0
7.363377,7.58175,74,48,0
7.58175,7.8103037,72,39,0
7.8103037,8.243956,69,48,0
8.460781,8.671603,60,34,0
8.671603,8.882425,64,37,0
8.882425,9.114158,69,41,0
9.114158,9.547809,71,45,0
9.761881,9.982178,64,37,0
9.982178,10.202474,72,40,0
10.202474,10.427666,71,38,0
10.427666,10.887647,69,40,0
11.385256,11.610711,76,36,0
11.610711,11.828503,75,33,0
11.828503,12.041088,76,39,0
12.041088,12.253673,75,36,0
12.253673,12.470557,76,45,0
12.470557,12.684629,71,40,0
12.684629,12.898701,74,47,0
12.898701,13.137745,72,39,0
13.137745,13.571396,69,51,0
13.788222,13.997543,60,34,0
13.997543,14.206865,64,38,0
14.206865,14.438597,69,42,0
14.438597,14.872249,71,46,0
15.083071,15.293893,64,36,0
15.293893,15.504715,68,39,0
15.504715,15.743759,71,42,0
15.743759,16.17741,72,45,0
16.394236,16.611525,64,35,0
16.611525,16.83055,76,38,0
16.83055,17.045094,75,34,0
17.045094,17.257679,76,41,0
17.257679,17.470264,75,37,0
17.470264,17.682116,76,46,0
17.682116,17.900488,71,39,0
17.900488,18.11886,74,48,0
18.11886,18.34572,72,39,0
18.34572,18.779373,69,48,0
18.996199,19.20702,60,34,0
19.20702,19.417843,64,37,0
19.417843,19.649574,69,41,0
19.649574,20.083225,71,45,0
20.300365,20.525557,64,37,0
20.525557,20.750748,72,40,0
20.750748,20.982803,71,38,0
20.982803,21.445328,69,40,0
21.664017,21.885256,71,42,0
21.885256,22.106495,72,45,0
22.106495,22.335154,74,48,0
22.335154,22.985008,76,51,0
22.985008,23.201864,67,40,0
23.201864,23.420174,77,46,0
23.420174,23.638481,76,43,0
23.638481,24.287497,74,50,0
24.287497,24.507277,65,40,0
24.507277,24.727057,76,46,0
24.727057,24.946836,74,43,0
24.946836,25.596691,72,50,0
25.596691,25.822525,64,40,0
25.822525,26.039665,74,46,0
26.039665,26.258356,72,43,0
26.258356,26.69207,71,50,0
26.919481,27.133553,64,39,0
27.133553,27.301714,76,45,0
27.797674,28.031502,76,43,0
28.031502,28.200396,88,48,0
28.68246,28.894068,75,42,0
28.894068,29.055777,76,48,0
29.546303,29.767399,75,35,0
29.767399,29.990372,76,37,0
29.990372,30.215284,75,34,0
30.215284,30.435335,76,40,0
30.435335,30.66075,75,36,0
30.66075,30.89018,76,40,0
30.89018,31.122236,71,35,0
31.122236,31.34413,74,42,0
31.34413,31.583174,72,37,0
31.583174,32.016823,69,45,0
32.23365,32.44297,60,34,0
32.44297,32.652294,64,38,0
32.652294,32.884026,69,42,0
32.884026,33.317677,71,46,0
33.5285,33.739323,64,36,0
33.739323,33.95014,68,39,0
33.95014,34.189186,71,42,0
34.189186,34.62284,72,45,0
34.839664,35.05649,64,35,0
35.05649,35.274666,76,38,0
35.274666,35.490017,75,34,0
35.490017,35.70285,76,41,0
