start_time,end_time,note_value,velocity,instrument_program_number
22.976618,24.123678,68,56,0
24.123678,24.564854,68,50,0
24.564854,28.171131,68,50,0
28.171131,29.28004,68,56,0
29.28004,29.7152,68,53,0
29.7152,32.133163,68,53,0
32.133163,34.594963,69,56,0
34.594963,37.102886,68,56,0
37.102886,38.50043,66,53,0
38.50043,39.836437,71,50,0
39.836437,40.675694,64,47,0
48.640835,49.75725,67,46,0
49.75725,50.17967,67,45,0
50.17967,53.79914,67,45,0
53.79914,54.899757,67,50,0
54.899757,55.31004,67,50,0
55.31004,59.189682,67,57,0
59.189682,60.597313,66,56,0
60.597313,63.180588,66,65,0
63.180588,64.486374,67,56,0
64.486374,65.90053,64,47,0
65.90053,68.45829,66,53,0
68.45829,71.24528,66,47,0
75.07051,76.383224,71,56,0
76.383224,80.05964,72,63,0
80.05964,81.42841,70,56,0
81.42841,85.23638,71,56,0
85.23638,86.653145,71,56,0
86.653145,90.40331,72,63,0
90.40331,91.75263,70,56,0
91.75263,94.33348,71,56,0
94.33348,96.992,71,47,0
96.992,99.648796,71,47,0
99.648796,102.165276,69,52,0
102.165276,104.7545,67,56,0
104.7545,107.51817,66,52,0
107.51817,110.14506,61,47,0
110.14506,111.54313,61,47,0
111.54313,113.1953,61,41,0
117.235634,118.39123,73,56,0
118.39123,118.802986,73,56,0
118.802986,122.52835,73,61,0
122.52835,123.63301,73,56,0
123.63301,124.05543,73,56,0
124.05543,126.51033,73,65,0
126.51033,127.74617,72,61,0
127.74617,129.14859,73,63,0
129.14859,132.88799,75,65,0
132.88799,134.32355,75,72,0
134.32355,136.94016,76,86,0
136.94016,138.31302,75,65,0
138.31302,139.82806,73,56,0
213.5593,214.70224,68,56,0
214.70224,215.13106,68,56,0
215.13106,218.8413,68,56,0
218.8413,219.94392,68,56,0
219.94392,220.36024,68,56,0
220.36024,222.84743,68,56,0
222.84743,225.46954,69,56,0
225.46954,228.0969,68,56,0
228.0969,229.47159,66,56,0
229.47159,230.93639,71,56,0
230.93639,231.78073,64,56,0
234.67024,235.76341,71,61,0
235.76341,236.20537,71,56,0
236.20537,239.96336,71,61,0
239.96336,241.06398,71,63,0
241.06398,241.47426,71,56,0
241.47426,243.95808,71,63,0
243.95808,245.19392,72,65,0
245.19392,246.64127,73,72,0
246.64127,249.1916,75,75,0
249.1916,251.85036,76,56,0
251.85036,254.55798,74,56,0
254.55798,257.28625,72,56,0
257.28625,261.13965,73,56,0
261.13965,262.52313,73,56,0
262.52313,266.32697,74,71,0
266.32697,267.70566,72,56,0
267.70566,271.40335,73,56,0
271.40335,272.73892,73,56,0
272.73892,276.5297,74,68,0
276.5297,277.9435,72,56,0
277.9435,280.52075,73,61,0
280.52075,283.119,73,56,0
283.119,286.75293,71,56,0
286.75293,287.9866,71,56,0
287.9866,289.2196,69,56,0
289.2196,290.42157,69,56,0
290.42157,291.64487,68,56,0
291.64487,292.93896,68,56,0
292.93896,295.36374,66,56,0
295.36374,296.73526,68,67,0
296.73526,298.23282,69,77,0
298.23282,301.09924,68,56,0
301.09924,304.09042,68,47,0
304.09042,305.57623,61,41,0
304.09042,308.09412,44,53,0
308.09412,309.23206,44,53,0
309.23206,309.6609,44,53,0
309.6609,313.33115,44,53,0
313.33115,314.4702,44,53,0
314.4702,314.9412,44,53,0
314.9412,318.41043,44,53,0
318.41043,319.44055,44,53,0
319.44055,319.88953,44,60,0
319.88953,323.648,44,63,0
323.648,324.8049,44,62,0
324.8049,325.2683,44,60,0
325.2683,328.93018,44,53,0
328.93018,329.9457,44,53,0
329.9457,330.36203,44,56,0
330.36203,334.1616,44,63,0
334.1616,335.43976,44,61,0
335.43976,335.94382,44,53,0
335.94382,338.4671,44,53,0
338.4671,341.03745,49,53,0
341.03745,343.56784,44,50,0
0.0,0.404122,56,33,0
0.404122,0.808244,61,26,0
0.808244,1.212366,64,26,0
1.212366,1.6102254,56,33,0
1.6102254,2.0030086,61,26,0
2.0030086,2.3908384,64,26,0
2.3908384,2.7738335,56,32,0
2.7738335,3.1568284,61,26,0
3.1568284,3.5398235,64,26,0
3.5398235,3.9228184,56,35,0
3.9228184,4.3058133,61,26,0
4.3058133,4.7198067,64,26,0
4.7198067,5.112811,56,33,0
5.112811,5.505816,61,26,0
5.505816,5.8988204,64,23,0
5.8988204,6.2851443,56,30,0
6.2851443,6.6687827,61,26,0
6.6687827,7.049735,64,23,0
7.049735,7.441892,56,33,0
7.441892,7.81925,61,26,0
7.81925,8.196609,64,23,0
8.196609,8.584958,56,32,0
8.584958,8.9623165,61,26,0
8.9623165,9.387939,64,23,0
9.387939,9.79048,57,45,0
9.79048,10.187827,61,38,0
10.187827,10.58011,64,38,0
10.58011,10.966956,57,35,0
10.966956,11.353804,61,32,0
11.353804,11.799139,64,32,0
11.799139,12.202202,57,41,0
12.202202,12.603175,62,33,0
12.603175,12.995958,66,28,0
12.995958,13.382806,57,38,0
13.382806,13.769653,62,33,0
13.769653,14.192575,66,30,0
14.192575,14.599908,56,38,0
14.599908,15.007239,60,31,0
15.007239,15.414572,66,31,0
15.414572,15.821903,56,35,0
15.821903,16.229235,61,30,0
16.229235,16.636568,64,30,0
16.636568,17.053581,56,35,0
17.053581,17.470596,61,27,0
17.470596,17.887611,63,25,0
17.887611,18.343502,54,35,0
18.343502,18.799395,60,30,0
18.799395,19.255287,63,30,0
19.255287,19.68091,52,32,0
19.68091,20.092855,56,26,0
20.092855,20.504803,61,26,0
20.504803,20.907866,56,32,0
20.907866,21.310928,61,26,0
21.310928,21.713993,64,26,0
21.713993,22.134869,56,31,0
22.134869,22.555742,61,25,0
22.555742,22.976618,64,25,0
22.976618,23.476618,56,31,0
23.476618,23.976618,61,25,0
23.976618,24.564854,64,22,0
24.564854,24.999676,56,31,0
24.999676,25.419117,63,26,0
25.419117,25.824736,66,23,0
25.824736,26.220776,56,31,0
26.220776,26.60377,63,26,0
26.60377,26.986765,66,25,0
26.986765,27.381554,56,31,0
27.381554,27.776342,63,26,0
27.776342,28.171131,66,25,0
28.171131,28.653059,56,31,0
28.653059,29.134987,63,25,0
29.134987,29.7152,66,23,0
29.7152,30.136076,56,31,0
30.136076,30.556952,61,26,0
30.556952,30.955835,64,25,0
30.955835,31.346613,56,31,0
31.346613,31.72583,61,26,0
31.72583,32.133163,64,23,0
32.133163,32.573402,57,31,0
32.573402,32.994274,61,25,0
32.994274,33.410595,66,25,0
33.410595,33.805386,57,27,0
33.805386,34.200172,61,25,0
34.200172,34.594963,66,25,0
34.594963,35.030846,56,33,0
35.030846,35.45411,59,23,0
35.45411,35.864883,64,23,0
35.864883,36.263767,56,33,0
36.263767,36.66265,59,26,0
