start_time,end_time,note_value,velocity,instrument_program_number
0.0,2.2662163,60,50,1
2.2662163,4.517187,58,46,1
4.517187,7.77783,63,50,1
7.77783,8.887791,61,48,1
8.887791,9.980256,60,47,1
9.980256,11.06958,63,49,1
11.06958,12.1882305,68,51,1
12.1882305,13.354555,70,56,1
13.354555,16.628067,63,50,1
16.628067,17.78813,64,46,1
17.78813,20.004303,65,50,1
20.004303,21.636122,58,50,1
21.636122,21.925585,60,46,1
21.925585,22.215048,61,46,1
22.215048,24.434036,63,50,1
24.434036,26.652784,57,48,1
26.652784,28.869287,61,50,1
28.869287,29.43522,60,48,1
29.43522,29.987707,58,48,1
29.987707,30.566633,56,48,1
30.566633,31.162819,55,48,1
31.162819,33.538277,58,50,1
31.162819,33.538277,55,40,1
33.538277,34.772842,56,50,1
34.772842,35.081486,60,36,1
35.184364,35.493008,63,35,1
35.595886,35.942467,68,35,1
36.057995,38.32421,72,50,1
38.32421,40.54425,70,46,1
40.54425,43.804893,75,50,1
43.804893,44.914852,73,48,1
44.914852,46.00732,72,47,1
46.00732,47.096645,75,49,1
47.096645,48.215294,80,51,1
48.215294,49.38162,82,56,1
49.38162,52.655132,75,50,1
52.655132,53.815193,76,46,1
53.815193,56.03137,77,50,1
56.03137,57.663185,70,50,1
57.663185,57.95265,72,46,1
57.95265,58.24211,73,46,1
58.24211,60.4611,75,50,1
60.4611,62.679848,69,48,1
62.679848,64.89635,73,50,1
64.89635,65.46228,72,48,1
65.46228,66.01477,70,48,1
66.01477,66.5937,68,48,1
66.5937,67.18988,67,48,1
67.18988,69.56534,70,50,1
69.56534,70.799904,68,50,1
71.60319,71.87095,60,45,1
71.87095,74.60238,72,50,1
74.60238,75.139824,80,50,1
75.139824,75.67726,79,51,1
75.67726,76.266884,77,48,1
76.266884,78.99493,84,54,1
78.99493,79.53585,80,50,1
79.53585,80.07678,79,50,1
80.07678,80.666405,77,48,1
80.666405,83.402084,72,52,1
83.402084,83.943016,80,46,1
83.943016,84.48395,79,49,1
84.48395,85.071495,77,51,1
85.071495,86.192375,75,57,1
86.192375,87.88072,74,53,1
87.88072,88.03036,75,55,1
88.03036,88.18,74,55,1
88.18,88.32964,72,54,1
88.32964,88.47929,74,54,1
88.47929,89.338066,77,63,1
89.338066,89.6516,75,55,1
89.6516,91.90133,75,62,1
93.01423,93.1526,67,54,1
91.90133,93.29098,65,55,1
93.1526,93.29098,65,54,1
93.29098,93.42935,64,53,1
93.42935,93.56773,65,53,1
93.56773,93.838196,68,58,1
93.838196,94.08499,72,51,1
94.08499,94.27163,71,45,1
94.27163,94.46642,72,45,1
94.46642,94.67029,74,45,1
94.67029,94.964096,72,49,1
94.964096,95.27401,70,45,1
95.27401,96.41964,79,52,1
96.41964,96.70086,77,50,1
96.70086,96.98207,75,49,1
96.98207,97.26329,74,47,1
97.26329,97.5445,72,46,1
97.5445,97.825714,70,44,1
97.825714,98.10693,69,43,1
98.10693,98.388145,72,47,1
98.388145,98.669365,70,46,1
98.669365,98.96097,68,45,1
98.96097,99.25256,65,43,1
99.25256,100.377426,63,49,1
100.93986,101.50229,58,44,1
101.50229,102.050934,55,49,1
102.050934,102.59958,58,45,1
102.59958,103.148224,55,49,1
103.148224,103.72715,51,45,1
103.72715,104.8131,56,45,1
103.72715,104.8131,53,38,1
104.83621,105.93136,56,47,1
104.83621,105.93136,53,39,1
105.95486,107.04081,56,50,1
105.95486,107.04081,53,42,1
107.06392,108.17931,56,49,1
107.06392,108.17931,53,41,1
107.06392,108.17931,50,36,1
108.2037,109.324776,55,49,1
108.2037,109.324776,51,41,1
108.2037,109.324776,46,36,1
111.543144,112.381256,58,49,1
112.381256,112.670715,63,49,1
112.670715,113.22524,63,49,1
113.22524,113.75667,62,44,1
113.77978,114.334305,62,49,1
114.334305,114.87492,60,45,1
114.89842,115.45296,60,53,1
115.45296,115.984375,59,47,1
116.007484,116.56201,59,53,1
116.56201,117.12288,58,49,1
117.14726,126.648865,58,50,1
117.14726,126.648865,55,50,1
126.648865,128.9579,60,47,1
128.9579,131.20897,58,46,1
131.20897,134.46962,63,50,1
134.46962,135.57957,61,48,1
135.57957,136.67204,60,47,1
136.67204,137.76137,63,49,1
137.76137,138.88002,68,51,1
138.88002,140.04634,70,56,1
140.04634,143.31985,63,50,1
143.31985,144.47992,64,46,1
144.47992,146.69609,65,50,1
