start_time,end_time,note_value,velocity,instrument_program_number
62.220776,62.315342,81,48,1
62.315342,62.40904,79,35,1
62.40904,62.503696,81,38,1
62.503696,62.59613,79,35,1
62.59613,62.689182,81,38,1
62.689182,62.782555,79,36,1
62.782555,62.87376,81,40,1
62.87376,62.965065,79,36,1
62.965065,63.057384,81,40,1
63.057384,63.145264,79,36,1
63.145264,63.23647,81,40,1
63.23647,63.327057,79,36,1
63.327057,63.41785,81,40,1
63.41785,63.508648,79,37,1
63.508648,63.60234,81,40,1
63.60234,63.694458,79,36,1
63.694458,63.7872,81,40,1
63.7872,63.880466,79,36,1
63.880466,63.97228,81,40,1
63.97228,64.0643,79,35,1
64.0643,64.15863,81,38,1
64.15863,64.249725,79,33,1
64.249725,64.34216,81,38,1
64.34216,64.43439,79,34,1
64.43439,64.52438,81,38,1
64.52438,64.61351,79,34,1
64.61351,64.7039,81,36,1
64.7039,64.79245,79,33,1
64.79245,64.88325,81,37,1
64.88325,64.973755,79,33,1
64.973755,65.06567,81,37,1
65.06567,65.15739,79,33,1
65.15739,65.24971,81,38,1
65.24971,65.34091,79,32,1
65.34091,65.43397,81,37,1
65.43397,65.52619,79,32,1
65.52619,65.61833,81,38,1
65.61833,65.71045,79,32,1
65.71045,65.80404,81,37,1
65.80404,65.896675,79,32,1
65.896675,65.98965,81,36,1
65.98965,66.08239,79,32,1
66.08239,66.1775,81,36,1
66.1775,66.27496,79,34,1
66.27496,66.37006,81,37,1
66.37006,66.46651,79,33,1
66.46651,66.565414,81,36,1
66.565414,66.66622,79,32,1
66.66622,66.7684,81,36,1
66.7684,66.867516,79,32,1
66.867516,66.97284,81,37,1
66.97284,67.07455,79,33,1
67.07455,67.17637,81,38,1
67.17637,67.2783,79,33,1
67.2783,67.37497,81,39,1
67.37497,67.472664,79,35,1
67.472664,67.57154,81,40,1
67.57154,67.6682,79,36,1
67.6682,67.76684,81,40,1
67.76684,67.86217,79,36,1
67.86217,67.95388,81,40,1
67.95388,68.04539,79,37,1
68.04539,68.13907,81,40,1
68.13907,68.23087,79,36,1
68.23087,68.32435,81,40,1
68.32435,68.416885,79,36,1
68.416885,68.509315,81,39,1
68.509315,68.60398,79,36,1
68.60398,68.696304,81,38,1
68.696304,68.78811,79,32,1
68.78811,68.88106,81,37,1
68.88106,68.97369,79,33,1
68.97369,69.06329,81,39,1
69.06329,69.15251,79,32,1
69.15251,69.24332,81,36,1
69.24332,69.332924,79,31,1
69.332924,69.42293,81,36,1
69.42293,69.51474,79,30,1
69.51474,69.60706,81,36,1
69.60706,69.698456,79,31,1
69.698456,69.7913,81,36,1
69.7913,69.8828,79,34,1
69.8828,69.97542,78,36,1
69.97542,70.06722,79,31,1
194.03691,194.13147,81,48,1
194.13147,194.22517,79,35,1
194.22517,194.31982,81,38,1
194.31982,194.41226,79,35,1
194.41226,194.50531,81,38,1
194.50531,194.59868,79,36,1
194.59868,194.6899,81,40,1
194.6899,194.78119,79,36,1
194.78119,194.87352,81,40,1
194.87352,194.9614,79,36,1
194.9614,195.0526,81,40,1
195.0526,195.14319,79,36,1
195.14319,195.23398,81,40,1
195.23398,195.32478,79,37,1
195.32478,195.41847,81,40,1
195.41847,195.51059,79,36,1
195.51059,195.60333,81,40,1
195.60333,195.6966,79,36,1
195.6966,195.7884,81,40,1
195.7884,195.88043,79,35,1
195.88043,195.97476,81,38,1
195.97476,196.06586,79,33,1
196.06586,196.1583,81,38,1
196.1583,196.25052,79,34,1
196.25052,196.34052,81,38,1
196.34052,196.42964,79,34,1
196.42964,196.52003,81,36,1
196.52003,196.60858,79,33,1
196.60858,196.69939,81,37,1
196.69939,196.78989,79,33,1
196.78989,196.88179,81,37,1
196.88179,196.97351,79,33,1
196.97351,197.06584,81,38,1
197.06584,197.15704,79,32,1
197.15704,197.25009,81,37,1
197.25009,197.34233,79,32,1
197.34233,197.43446,81,38,1
197.43446,197.52658,79,32,1
197.52658,197.62016,81,37,1
197.62016,197.7128,79,32,1
197.7128,197.80577,81,36,1
197.80577,197.89851,79,32,1
197.89851,197.99364,81,36,1
197.99364,198.0911,79,34,1
198.0911,198.18619,81,37,1
198.18619,198.28264,79,33,1
198.28264,198.38155,81,36,1
198.38155,198.48235,79,32,1
198.48235,198.58453,81,36,1
198.58453,198.68364,79,32,1
198.68364,198.78897,81,37,1
198.78897,198.89067,79,33,1
198.89067,198.9925,81,38,1
198.9925,199.09442,79,33,1
199.09442,199.1911,81,39,1
199.1911,199.28879,79,35,1
199.28879,199.38766,81,40,1
199.38766,199.48433,79,36,1
199.48433,199.58296,81,40,1
199.58296,199.6783,79,36,1
199.6783,199.77,81,40,1
199.77,199.86151,79,37,1
199.86151,199.9552,81,40,1
199.9552,200.04701,79,36,1
200.04701,200.14049,81,40,1
200.14049,200.23302,79,36,1
200.23302,200.32545,81,39,1
200.32545,200.4201,79,36,1
200.4201,200.51244,81,38,1
200.51244,200.60423,79,32,1
200.60423,200.69719,81,37,1
200.69719,200.78981,79,33,1
200.78981,200.87943,81,39,1
200.87943,200.96864,79,32,1
200.96864,201.05945,81,36,1
201.05945,201.14905,79,31,1
201.14905,201.23906,81,36,1
201.23906,201.33087,79,30,1
201.33087,201.42319,81,36,1
201.42319,201.51459,79,31,1
201.51459,201.60742,81,36,1
201.60742,201.69893,79,34,1
201.69893,201.79155,78,36,1
201.79155,201.88335,79,31,1
387.1659,387.26044,81,48,1
387.26044,387.35416,79,35,1
387.35416,387.4488,81,38,1
387.4488,387.54123,79,35,1
387.54123,387.63428,81,38,1
387.63428,387.72766,79,36,1
387.72766,387.81888,81,40,1
387.81888,387.9102,79,36,1
387.9102,388.0025,81,40,1
388.0025,388.09036,79,36,1
388.09036,388.18158,81,40,1
388.18158,388.27216,79,36,1
388.27216,388.36295,81,40,1
388.36295,388.45377,79,37,1
388.45377,388.54745,81,40,1
388.54745,388.63956,79,36,1
388.63956,388.7323,81,40,1
388.7323,388.82556,79,36,1
388.82556,388.9174,81,40,1
388.9174,389.0094,79,35,1
389.0094,389.10373,81,38,1
389.10373,389.19482,79,33,1
389.19482,389.28726,81,38,1
389.28726,389.3795,79,34,1
389.3795,389.46948,81,38,1
389.46948,389.55862,79,34,1
389.55862,389.64902,81,36,1
389.64902,389.73755,79,33,1
389.73755,389.82837,81,37,1
389.82837,389.91885,79,33,1
389.91885,390.01077,81,37,1
390.01077,390.10248,79,33,1
