start_time,end_time,note_value,velocity,instrument_program_number
2.5903535,2.960404,68,51,0
2.960404,3.3239965,68,55,0
3.3239965,3.687589,70,49,0
3.687589,4.0511813,70,51,0
2.960404,4.0511813,59,46,0
2.960404,4.0511813,63,46,0
4.0511813,4.4256663,63,49,0
4.0511813,4.4256663,59,49,0
4.0511813,4.4256663,68,49,0
4.4256663,4.789259,68,55,0
4.789259,5.1528516,70,51,0
5.1528516,5.5185714,70,52,0
4.4256663,5.5185714,63,46,0
4.4256663,5.5185714,59,46,0
5.5185714,5.8976946,62,47,0
5.5185714,5.8976946,59,47,0
5.5185714,5.8976946,68,56,0
5.8976946,6.261287,68,58,0
6.261287,6.6248794,70,53,0
6.6248794,6.988472,70,55,0
5.8976946,6.988472,62,49,0
5.8976946,6.988472,59,49,0
6.988472,7.362957,68,57,0
6.988472,7.362957,59,48,0
6.988472,7.362957,62,48,0
7.362957,7.7265496,68,60,0
7.7265496,8.090142,70,56,0
8.090142,8.4580145,70,56,0
7.362957,8.4580145,63,50,0
7.362957,8.4580145,59,50,0
8.4580145,8.839451,68,60,0
8.4580145,8.839451,59,50,0
8.4580145,8.839451,64,50,0
8.839451,9.203044,68,62,0
9.203044,9.566636,70,57,0
9.566636,9.938937,70,58,0
9.938937,10.325087,68,47,0
10.325087,10.728801,68,51,0
10.728801,11.132515,73,42,0
8.839451,11.132515,65,52,0
8.839451,11.132515,59,52,0
11.132515,12.687322,73,40,0
15.230861,15.598734,66,46,0
15.230861,15.598734,58,40,0
15.958058,16.313297,70,44,0
16.313297,16.672623,70,46,0
15.598734,16.672623,58,41,0
15.598734,16.672623,66,49,0
16.672623,17.031946,65,44,0
16.672623,17.031946,58,39,0
17.39554,17.752853,70,45,0
17.752853,18.116446,70,47,0
17.031946,18.116446,58,42,0
17.031946,18.116446,65,48,0
18.116446,18.484318,63,42,0
18.116446,18.484318,58,38,0
18.843641,19.198881,70,44,0
19.198881,19.558207,70,46,0
18.484318,19.558207,58,44,0
18.484318,19.558207,63,49,0
19.558207,19.8309,58,39,0
19.558207,19.8309,61,44,0
19.920406,20.186836,63,48,0
19.920406,20.186836,58,42,0
20.275646,20.543633,65,42,0
20.275646,20.543633,58,42,0
20.63296,20.904078,58,42,0
20.63296,20.904078,66,48,0
20.99445,21.271988,70,44,0
20.99445,21.271988,58,44,0
21.723824,22.079065,71,44,0
22.079065,22.438389,71,46,0
21.3645,22.438389,68,49,0
21.3645,22.438389,59,44,0
22.438389,22.793419,59,39,0
22.438389,22.793419,66,44,0
23.157011,23.514324,71,45,0
23.514324,23.875727,71,47,0
22.793419,23.875727,66,48,0
22.793419,23.875727,59,42,0
23.875727,24.232868,59,38,0
23.875727,24.232868,65,42,0
24.592194,24.947433,71,44,0
24.947433,25.306757,71,46,0
24.232868,25.306757,65,49,0
24.232868,25.306757,59,44,0
25.306757,25.488554,65,44,0
25.306757,25.670351,59,39,0
25.670351,25.938335,66,48,0
26.027664,26.295649,65,42,0
26.384977,26.659266,66,48,0
26.750696,27.03156,68,44,0
25.670351,27.125181,59,42,0
27.484507,27.839746,70,44,0
27.839746,28.19907,70,50,0
27.125181,28.19907,66,49,0
27.125181,28.19907,58,44,0
28.19907,28.556213,65,48,0
28.19907,28.556213,58,44,0
28.919806,29.277119,70,55,0
29.277119,29.64284,70,61,0
28.556213,29.64284,65,57,0
28.556213,29.64284,58,50,0
29.64284,30.026617,58,50,0
29.64284,30.026617,64,57,0
30.385942,30.741182,70,62,0
30.741182,31.100508,70,66,0
30.026617,31.100508,64,70,0
30.026617,31.100508,58,62,0
31.100508,31.4641,58,56,0
31.100508,31.4641,64,62,0
31.827692,32.185005,72,59,0
31.4641,32.185005,64,66,0
32.185005,32.550724,72,58,0
31.4641,32.550724,58,59,0
32.550724,32.934505,64,49,0
32.550724,32.934505,70,49,0
32.934505,34.010513,60,45,0
32.934505,34.010513,69,50,0
32.934505,34.010513,65,45,0
34.010513,34.363457,72,48,0
34.010513,34.363457,67,48,0
34.010513,34.363457,60,42,0
34.363457,35.427044,60,45,0
34.363457,35.427044,67,50,0
34.363457,35.427044,72,50,0
35.427044,35.788532,74,58,0
35.427044,35.788532,65,52,0
35.427044,35.788532,69,52,0
35.788532,36.84435,74,62,0
35.788532,36.84435,69,55,0
35.788532,36.84435,65,55,0
36.84435,37.101963,72,49,0
36.84435,37.101963,69,49,0
36.84435,37.101963,77,56,0
37.187836,37.4498,74,60,0
37.187836,37.4498,69,55,0
37.187836,37.4498,65,55,0
37.537117,37.79908,67,45,0
37.537117,37.79908,64,45,0
37.537117,37.79908,72,50,0
37.886402,38.159096,69,51,0
37.886402,38.159096,65,46,0
37.886402,38.159096,60,46,0
38.249996,38.54409,62,40,0
38.249996,38.54409,67,45,0
38.249996,38.54409,58,40,0
38.634987,38.994312,58,45,0
38.634987,39.708878,67,50,0
38.634987,39.708878,62,45,0
39.708878,40.06008,70,48,0
39.708878,40.06008,67,48,0
39.708878,40.06008,62,42,0
40.06008,41.129936,67,50,0
40.06008,41.129936,70,50,0
40.06008,41.129936,62,45,0
41.129936,41.485176,74,58,0
41.129936,41.485176,70,52,0
41.129936,41.485176,67,52,0
41.485176,42.553112,74,62,0
41.485176,42.553112,70,55,0
41.485176,42.553112,67,55,0
42.553112,42.813618,77,57,0
42.553112,42.813618,70,50,0
