start_time,end_time,note_value,velocity,instrument_program_number
0.52916664,0.53125,33,94,0
0.77916664,0.78125,33,94,0
1.0291667,1.03125,33,84,0
1.2791667,1.28125,33,84,0
5.2791667,5.4041667,83,84,71
5.4041667,5.5291667,84,84,71
5.5291667,6.7791667,72,84,71
7.2791667,7.4041667,71,54,71
7.4041667,7.5291667,72,54,71
7.5291667,8.779166,60,54,71
9.279166,9.404166,71,54,71
9.404166,9.529166,72,54,71
9.529166,10.154166,74,54,71
10.154166,10.279166,72,54,71
10.279166,10.404166,70,54,71
10.404166,10.529166,69,54,71
10.529166,10.654166,67,54,71
10.654166,10.779166,69,54,71
10.779166,10.904166,70,54,71
10.904166,11.029166,72,54,71
11.029166,11.154166,70,54,71
11.154166,11.279166,69,54,71
11.279166,11.404166,65,54,71
11.404166,11.529166,65,54,71
11.529166,11.654166,70,54,71
11.654166,11.779166,70,54,71
11.779166,11.904166,69,54,71
11.904166,12.029166,69,54,71
12.029166,12.154166,67,54,71
12.154166,12.279166,67,54,71
12.279166,12.404166,70,54,71
12.404166,12.529166,69,54,71
12.529166,12.654166,64,54,71
12.654166,12.779166,64,54,71
12.779166,12.904166,62,54,71
12.904166,13.029166,62,54,71
13.029166,13.154166,60,54,71
13.154166,13.279166,60,54,71
13.279166,13.404166,71,54,71
13.404166,13.529166,72,54,71
13.529166,14.154166,74,54,71
14.154166,14.279166,72,54,71
14.279166,14.404166,70,54,71
14.404166,14.529166,69,54,71
14.529166,14.654166,67,54,71
14.654166,14.779166,69,54,71
14.779166,14.904166,70,54,71
14.904166,15.029166,72,54,71
15.029166,15.154166,70,54,71
15.154166,15.279166,69,54,71
15.279166,15.404166,67,54,71
15.404166,15.529166,65,54,71
15.529166,16.279167,64,54,71
16.279167,16.404167,72,54,71
16.404167,16.529167,71,54,71
16.529167,17.279167,69,54,71
21.279167,21.404167,72,54,71
21.404167,21.529167,69,54,71
21.529167,21.654167,71,54,71
21.654167,21.779167,68,54,71
21.779167,21.904167,64,54,71
21.904167,22.029167,59,54,71
22.029167,22.154167,64,54,71
22.154167,22.279167,68,54,71
22.279167,22.404167,72,54,71
22.404167,22.529167,69,54,71
22.529167,22.654167,71,54,71
22.654167,22.779167,68,54,71
22.779167,22.904167,64,54,71
22.904167,23.029167,59,54,71
23.029167,23.154167,71,54,71
23.154167,23.279167,68,54,71
23.279167,23.404167,64,54,71
23.404167,23.529167,59,54,71
23.529167,24.029167,71,54,71
24.029167,24.529167,72,54,71
24.529167,25.029167,72,54,71
25.029167,25.529167,73,54,71
25.529167,26.154167,74,54,71
26.154167,26.279167,72,54,71
26.279167,26.404167,70,54,71
26.404167,26.529167,69,54,71
26.529167,26.654167,67,54,71
26.654167,26.779167,69,54,71
26.779167,26.904167,70,54,71
26.904167,27.029167,72,54,71
27.029167,27.154167,70,54,71
27.154167,27.279167,69,54,71
27.279167,27.404167,65,54,71
27.404167,27.529167,65,54,71
27.529167,27.654167,70,64,71
27.654167,27.779167,70,64,71
27.779167,27.904167,69,64,71
27.904167,28.029167,69,64,71
28.029167,28.154167,67,74,71
28.154167,28.279167,67,74,71
28.279167,28.404167,70,84,71
28.404167,28.529167,69,84,71
28.529167,28.654167,64,84,71
28.654167,28.779167,64,84,71
28.779167,28.904167,62,84,71
28.904167,29.029167,62,84,71
29.029167,29.154167,61,84,71
29.154167,29.279167,61,84,71
29.279167,29.404167,68,84,71
29.404167,29.529167,69,84,71
29.529167,29.904167,74,84,71
29.904167,30.029167,76,84,71
30.029167,30.154167,77,84,71
30.154167,30.279167,72,84,71
30.279167,30.404167,70,84,71
30.404167,30.529167,69,84,71
30.529167,30.654167,79,84,71
30.654167,30.779167,76,84,71
30.779167,30.904167,70,84,71
30.904167,31.029167,72,84,71
31.029167,31.154167,70,84,71
31.154167,31.279167,69,84,71
31.279167,31.404167,77,84,71
31.404167,31.529167,79,84,71
31.529167,32.279167,81,84,71
32.279167,32.404167,74,84,71
32.404167,32.529167,76,84,71
32.529167,33.029167,77,84,71
33.029167,33.529167,77,84,71
33.529167,34.154167,77,84,71
34.154167,34.279167,72,84,71
34.279167,34.404167,70,84,71
34.404167,34.529167,67,84,71
34.529167,35.029167,77,84,71
35.029167,35.529167,77,84,71
35.529167,36.154167,77,84,71
36.154167,36.279167,72,84,71
36.279167,36.404167,70,84,71
36.404167,36.529167,67,84,71
41.654167,41.779167,79,54,71
41.779167,41.904167,77,54,71
41.904167,42.029167,74,54,71
42.029167,42.154167,71,54,71
42.154167,42.279167,67,54,71
42.279167,42.404167,65,54,71
42.404167,42.529167,62,54,71
42.695835,42.8625,60,54,71
42.8625,43.029167,72,54,71
43.029167,43.529167,84,54,71
43.695835,43.8625,60,54,71
43.8625,44.029167,72,54,71
44.029167,44.529167,84,54,71
44.695835,44.8625,55,54,71
44.8625,45.029167,67,54,71
45.029167,45.529167,79,54,71
45.695835,45.8625,55,54,71
45.8625,46.029167,67,54,71
46.029167,46.529167,79,54,71
47.195835,47.3625,76,54,71
47.3625,47.529167,77,54,71
47.529167,48.195835,81,54,71
48.195835,48.3625,79,54,71
48.3625,48.529167,76,54,71
48.529167,48.8625,77,54,71
48.8625,49.195835,74,54,71
49.195835,49.3625,76,54,71
49.3625,49.529167,73,54,71
49.529167,49.8625,74,54,71
49.8625,50.195835,71,54,71
50.195835,50.3625,72,54,71
50.3625,50.529167,69,54,71
50.529167,50.695835,71,54,71
50.695835,50.8625,76,54,71
50.8625,51.029167,74,54,71
51.029167,51.3625,81,54,71
51.3625,51.529167,80,54,71
51.529167,51.695835,79,54,71
51.695835,51.8625,74,54,71
51.8625,52.029167,76,54,71
52.029167,52.3625,71,54,71
52.3625,52.529167,72,54,71
52.529167,52.695835,73,54,71
52.695835,52.8625,77,54,71
52.8625,53.029167,76,54,71
53.029167,53.3625,82,54,71
53.3625,53.529167,81,54,71
53.529167,53.695835,81,54,71
53.695835,53.8625,76,54,71
53.8625,54.029167,77,54,71
54.029167,54.3625,73,54,71
54.3625,54.529167,74,54,71
55.029167,55.154167,71,54,71
55.154167,55.279167,76,54,71
55.279167,55.404167,74,54,71
55.404167,55.529167,81,54,71
55.529167,55.779167,79,54,71
56.029167,56.154167,67,54,71
56.154167,56.279167,62,54,71
56.279167,56.404167,64,54,71
56.404167,56.529167,58,54,71
56.529167,56.654167,57,54,71
57.029167,57.154167,73,64,71
57.154167,57.279167,77,54,71
57.279167,57.404167,76,54,71
57.404167,57.529167,82,54,71
57.529167,57.779167,81,54,71
58.029167,58.154167,69,84,71
58.154167,58.279167,64,54,71
58.279167,58.404167,65,54,71
58.404167,58.529167,62,54,71
58.529167,59.279167,59,54,71
59.279167,59.779167,81,54,71
59.779167,60.029167,76,54,71
60.029167,60.279167,77,54,71
60.279167,60.529167,73,54,71
60.529167,61.529167,76,54,71
61.529167,62.029167,74,84,71
62.529167,63.029167,72,84,71
63.029167,63.529167,72,84,71
63.529167,64.77917,72,84,71
65.15417,65.27917,60,84,71
65.27917,65.40417,62,84,71
65.40417,65.52917,65,84,71
65.52917,66.02917,64,84,71
66.15417,66.27917,60,84,71
66.27917,66.40417,62,84,71
66.40417,66.52917,55,84,71
66.52917,67.02917,60,84,71
67.02917,67.52917,60,84,71
67.52917,68.52917,60,84,71
73.27917,73.40417,83,84,71
73.40417,73.52917,84,84,71
73.52917,74.77917,72,84,71
75.27917,75.40417,71,54,71
75.40417,75.52917,72,54,71
75.52917,76.77917,60,54,71
77.27917,77.40417,71,54,71
77.40417,77.52917,72,54,71
77.52917,78.15417,74,54,71
78.15417,78.27917,72,54,71
78.27917,78.40417,70,54,71
78.40417,78.52917,69,54,71
78.52917,78.65417,67,54,71
78.65417,78.77917,69,54,71
78.77917,78.90417,70,54,71
78.90417,79.02917,72,54,71
79.02917,79.15417,70,54,71
79.15417,79.27917,69,54,71
79.27917,79.40417,65,54,71
79.40417,79.52917,65,54,71
79.52917,79.65417,70,54,71
79.65417,79.77917,70,54,71
79.77917,79.90417,69,54,71
79.90417,80.02917,69,54,71
80.02917,80.15417,67,54,71
80.15417,80.27917,67,54,71
80.27917,80.40417,70,54,71
80.40417,80.52917,69,54,71
80.52917,80.65417,64,54,71
80.65417,80.77917,64,54,71
80.77917,80.90417,62,54,71
80.90417,81.02917,62,54,71
81.02917,81.15417,60,54,71
81.15417,81.27917,60,54,71
81.27917,81.40417,71,54,71
81.40417,81.52917,72,54,71
81.52917,82.15417,74,54,71
82.15417,82.27917,72,54,71
82.27917,82.40417,70,54,71
82.40417,82.52917,69,54,71
82.52917,82.65417,67,54,71
82.65417,82.77917,69,54,71
82.77917,82.90417,70,54,71
82.90417,83.02917,72,54,71
83.02917,83.15417,70,54,71
83.15417,83.27917,69,54,71
83.27917,83.40417,67,54,71
83.40417,83.52917,65,54,71
83.52917,84.27917,64,54,71
84.27917,84.40417,72,54,71
84.40417,84.52917,71,54,71
84.52917,85.27917,69,54,71
93.52917,93.65417,70,54,71
93.65417,93.77917,65,54,71
93.77917,93.90417,62,54,71
93.90417,94.02917,58,54,71
94.02917,94.15417,57,54,71
94.15417,94.27917,69,54,71
94.27917,94.40417,65,54,71
94.40417,94.52917,60,54,71
94.52917,94.65417,64,54,71
94.65417,94.77917,58,54,71
94.77917,94.90417,55,54,71
94.90417,95.02917,52,54,71
95.02917,95.15417,53,54,71
95.15417,95.27917,60,54,71
97.27917,97.40417,68,84,71
97.40417,97.52917,69,84,71
97.52917,97.90417,74,84,71
97.90417,98.02917,76,84,71
98.02917,98.15417,77,84,71
98.15417,98.27917,72,84,71
98.27917,98.40417,70,84,71
98.40417,98.52917,69,84,71
98.52917,98.65417,79,84,71
98.65417,98.77917,76,84,71
98.77917,98.90417,70,84,71
98.90417,99.02917,72,84,71
99.02917,99.15417,70,84,71
99.15417,99.27917,69,84,71
99.27917,99.40417,77,84,71
99.40417,99.52917,79,84,71
99.52917,100.27917,81,84,71
100.27917,100.40417,74,84,71
100.40417,100.52917,76,84,71
100.52917,101.27917,77,84,71
105.52917,106.15417,74,84,71
106.15417,106.27917,72,84,71
106.27917,106.40417,70,84,71
106.40417,106.52917,69,84,71
106.52917,106.65417,67,84,71
106.65417,106.77917,69,84,71
106.77917,106.90417,70,84,71
106.90417,107.02917,72,84,71
107.02917,107.15417,70,84,71
107.15417,107.27917,69,84,71
109.52917,109.65417,50,84,71
109.65417,109.77917,58,84,71
109.77917,109.90417,62,84,71
109.90417,110.02917,58,84,71
110.02917,110.15417,50,84,71
110.15417,110.27917,58,84,71
110.27917,110.40417,62,84,71
110.40417,110.52917,58,84,71
110.52917,110.65417,50,84,71
110.65417,110.77917,58,84,71
110.77917,110.90417,62,84,71
110.90417,111.02917,58,84,71
111.02917,111.15417,52,84,71
111.15417,111.27917,57,84,71
111.77917,111.90417,58,84,71
111.90417,112.02917,57,84,71
112.02917,112.52917,55,84,71
112.52917,112.77917,57,84,71
113.77917,113.90417,55,84,71
113.90417,114.02917,53,84,71
114.02917,114.52917,52,84,71
114.52917,114.77917,57,84,71
116.90417,117.02917,80,64,71
117.02917,117.40417,79,64,71
118.90417,119.02917,56,54,71
119.02917,119.40417,57,54,71
123.52917,123.90417,64,54,71
