start_time,end_time,note_value,velocity,instrument_program_number
11.892845,11.999988,86,88,73
11.999988,12.428559,81,88,73
13.607129,13.714272,90,88,73
13.714272,14.142843,85,88,73
17.035698,17.14284,86,88,73
17.14284,17.571411,88,114,73
20.357122,20.370516,86,88,73
20.571407,20.742836,88,127,73
23.571405,23.65712,83,49,73
23.78569,23.871405,79,49,73
23.999975,24.013369,76,49,73
24.214262,24.299976,83,49,73
24.428547,24.514261,79,49,73
24.642832,24.728546,76,49,73
24.857119,24.942833,73,49,73
25.071404,25.157118,79,49,73
25.285688,25.371403,76,49,73
25.499975,25.58569,73,49,73
25.71426,25.799974,69,88,73
29.035685,29.142828,86,88,73
29.142828,29.5714,81,88,73
30.74997,30.857113,78,88,73
30.857113,31.071398,76,88,73
31.178541,31.285683,78,88,73
31.285683,31.499968,79,88,73
31.607111,31.714254,80,88,73
31.714254,31.92854,81,88,73
32.035683,32.142826,83,88,73
32.142826,32.35711,85,88,73
32.464252,32.571396,86,88,73
32.571396,32.785683,88,88,73
32.892826,32.999966,83,88,73
32.999966,33.214252,85,88,73
33.321396,33.42854,86,88,73
33.42854,33.642822,88,88,73
33.749966,33.85711,83,88,73
33.85711,34.071396,85,88,73
34.178535,34.28568,86,88,73
34.28568,35.03568,86,101,73
35.03568,35.142822,86,101,73
35.142822,35.892822,86,101,73
35.892822,35.999966,86,101,73
35.999966,36.74996,86,101,73
36.74996,36.857105,86,101,73
36.857105,37.607105,86,101,73
37.607105,37.71425,86,101,73
37.71425,38.46425,80,101,73
38.46425,38.57139,80,101,73
38.57139,39.42853,80,101,73
39.42853,40.17853,79,101,73
40.17853,40.285675,79,101,73
40.285675,40.39282,91,101,73
40.39282,40.499958,90,101,73
40.499958,40.6071,88,101,73
40.6071,40.714245,86,101,73
40.714245,40.82139,85,101,73
40.82139,40.92853,83,101,73
40.92853,41.035675,81,101,73
41.035675,41.142815,85,101,73
41.142815,41.3571,86,101,73
41.464245,41.57139,81,101,73
41.57139,41.78567,83,101,73
41.892815,41.999958,85,101,73
41.999958,42.214245,86,101,73
42.321384,42.428528,81,101,73
42.428528,42.642815,85,101,73
42.749958,42.8571,86,101,73
42.8571,43.071384,90,101,73
43.178528,43.28567,83,101,73
43.28567,43.499958,85,101,73
43.607098,43.71424,86,101,73
43.71424,43.928528,90,101,73
44.03567,44.142815,83,101,73
44.142815,44.357098,86,101,73
44.46424,44.571384,90,101,73
44.571384,44.78567,92,101,73
44.89281,44.999954,85,101,73
44.999954,45.21424,89,101,73
45.321384,45.428528,92,101,73
45.428528,45.64281,93,101,73
45.749954,45.857098,85,101,73
45.857098,46.07138,90,101,73
46.178524,46.285667,90,101,73
46.285667,47.035667,92,101,73
47.035667,47.14281,92,101,73
47.14281,47.89281,90,101,73
47.89281,47.99995,90,101,73
47.99995,48.74995,89,101,73
48.74995,48.857094,81,101,73
48.857094,49.07138,78,101,73
49.178524,49.285664,80,101,73
49.285664,49.49995,81,101,73
49.607094,49.714237,85,101,73
49.714237,49.92852,90,101,73
50.035664,50.142807,88,101,73
50.142807,50.357094,86,101,73
50.464233,50.571377,85,101,73
50.571377,50.785664,83,101,73
51.642807,51.85709,88,49,73
51.85709,52.285664,88,49,73
55.071373,55.28566,90,49,73
55.28566,55.71423,90,49,73
58.499943,58.714226,92,49,73
58.714226,62.571365,92,49,73
62.571365,62.999935,90,49,73
62.999935,63.42851,88,49,73
63.42851,63.64279,88,49,73
77.57135,77.99992,76,49,73
77.99992,78.42849,88,49,73
78.42849,78.514206,86,49,73
78.64278,78.72849,83,49,73
78.85706,79.28564,81,49,73
79.28564,79.49992,76,49,73
79.49992,79.7142,81,49,73
79.7142,80.14278,83,49,73
80.14278,80.35706,76,49,73
80.35706,80.57135,83,49,73
80.57135,80.999916,85,49,73
80.999916,81.05662,93,49,73
81.14233,81.19992,91,49,73
81.28563,81.34233,88,49,73
81.42849,81.85706,86,49,73
81.85706,81.91376,90,49,73
81.99947,82.05706,86,49,73
82.14278,82.19947,83,49,73
82.28563,82.7142,80,49,73
82.7142,83.14278,81,49,73
83.14278,83.57134,86,49,73
83.57134,83.999916,85,49,73
83.999916,84.42849,80,49,73
84.42849,84.857056,81,49,73
