start_time,end_time,note_value,velocity,instrument_program_number
1.333332,1.895832,89,75,40
1.895832,2.0794258,91,75,40
2.083332,2.645832,91,78,40
2.645832,2.8294258,92,88,40
2.833332,3.208332,92,92,40
3.208332,3.520832,83,92,40
3.958332,4.333332,72,75,40
4.333332,4.989582,68,75,40
5.083332,5.270832,67,75,40
5.270832,5.454426,74,75,40
5.458332,5.645832,74,75,40
5.645832,5.829426,77,75,40
5.833332,6.489582,72,75,40
6.583332,6.770832,71,73,40
6.770832,6.954426,74,73,40
6.958332,7.145832,74,73,40
7.145832,7.329426,83,73,40
7.333332,7.989582,83,102,40
8.083332,8.458332,84,71,40
8.458332,8.833332,79,70,40
8.833332,9.208332,77,69,40
9.208332,9.520832,75,68,40
9.583332,9.958332,73,67,40
9.958332,10.270832,79,65,40
10.333332,10.520832,78,63,40
10.520832,10.704426,73,62,40
10.708332,10.895832,73,61,40
10.895832,11.079426,74,60,40
11.083332,12.016258,74,60,40
12.016258,12.1953745,73,70,40
12.199185,12.382112,73,72,40
12.382112,12.561227,74,75,40
12.565038,13.477467,74,60,40
13.477467,13.654424,76,60,40
13.658189,13.838911,76,67,40
13.838911,14.015869,77,75,40
14.019634,14.921095,77,60,40
14.921095,15.095945,76,60,40
15.099666,15.278237,76,76,40
15.278237,15.453088,77,92,40
15.456808,16.34551,77,75,40
16.34551,16.516294,76,92,40
16.51993,16.694347,76,92,40
16.694347,16.865131,77,88,40
16.868767,17.03922,77,84,40
17.03922,17.206123,76,80,40
17.209675,17.380129,76,75,40
17.380129,17.547033,77,75,40
17.550585,17.725002,77,75,40
17.725002,17.895788,79,77,40
17.899422,18.07384,79,79,40
18.07384,18.244625,80,81,40
18.248259,18.424728,80,83,40
18.424728,18.597523,84,85,40
18.601198,18.77767,84,87,40
18.77767,18.950464,89,89,40
18.95414,19.51664,89,92,40
19.51664,19.700233,91,92,40
19.70414,20.26664,91,90,40
20.26664,20.450233,92,83,40
20.45414,20.82914,92,81,40
20.82914,21.14164,83,75,40
21.57914,21.95414,72,60,40
21.95414,22.586668,68,60,40
22.67703,22.857752,67,60,40
22.857752,23.03471,74,60,40
23.038475,23.219198,74,60,40
23.219198,23.396154,77,60,40
23.39992,24.017567,72,60,40
24.105803,24.282272,71,65,40
24.282272,24.455067,74,66,40
24.458742,24.635214,74,67,40
24.635214,24.808008,83,68,40
24.811684,25.408276,83,69,40
25.493502,25.834412,84,74,40
25.834412,26.118502,78,77,40
26.17532,26.342224,79,80,40
26.51623,26.683132,72,82,40
26.857138,27.024042,79,84,40
27.198048,27.36495,71,88,40
27.538956,28.135548,86,92,40
28.220774,28.561684,87,92,40
28.561684,28.845774,78,92,40
28.902592,29.073378,79,92,40
29.251429,29.422215,72,92,40
29.600266,29.777224,79,92,40
29.961712,30.138668,71,92,40
30.323156,30.489822,72,92,40
30.489822,30.653017,71,92,40
30.656488,30.823156,71,92,40
30.823156,30.98635,72,92,40
30.989822,31.156488,72,92,40
31.156488,31.319683,71,92,40
31.323154,31.489822,71,92,40
31.489822,31.653015,72,92,40
31.656488,31.823154,72,92,40
31.823154,31.98635,74,92,40
31.98982,32.156487,74,92,40
32.156487,32.319683,75,92,40
32.323154,32.489822,75,92,40
32.489822,32.653015,79,92,40
32.656487,32.823154,79,92,40
32.823154,32.986347,83,92,40
32.98982,33.156487,84,92,40
33.156487,33.31968,83,91,40
33.323154,33.48982,83,91,40
33.48982,33.653015,84,90,40
33.656487,33.82315,84,89,40
33.82315,33.986347,83,88,40
33.98982,34.156487,83,87,40
34.156487,34.31968,84,86,40
34.32315,34.48982,84,85,40
34.48982,34.65301,80,84,40
34.656487,34.82315,80,83,40
34.82315,34.986347,77,82,40
34.98982,35.156483,77,81,40
35.156483,35.31968,74,80,40
35.32315,35.48982,74,79,40
35.48982,35.65301,72,78,40
35.656483,35.82315,79,77,40
35.82315,35.986343,78,76,40
35.98982,36.156483,78,75,40
36.156483,36.31968,79,74,40
36.32315,36.489815,79,73,40
36.489815,36.65301,78,72,40
36.656483,36.82315,78,71,40
36.82315,36.986343,79,70,40
36.989815,37.156483,79,69,40
37.156483,37.319675,83,68,40
37.32315,37.489815,83,67,40
37.489815,37.65301,86,66,40
37.656483,37.823147,86,65,40
37.823147,37.986343,90,64,40
37.989815,38.156483,90,63,40
38.156483,38.319675,91,62,40
38.323147,38.489815,91,60,40
38.489815,38.653008,90,60,40
38.656483,38.823147,90,60,40
38.823147,38.986343,91,60,40
38.989815,39.15648,91,60,40
39.15648,39.319675,90,60,40
39.323147,39.489815,90,60,40
39.489815,39.653008,91,60,40
39.65648,39.823147,91,60,40
39.823147,39.98634,87,60,40
39.989815,40.15648,87,60,40
40.15648,40.319675,84,60,40
40.323147,40.48981,84,60,40
40.48981,40.653008,81,60,40
40.65648,40.823147,81,60,40
40.823147,40.98634,79,60,40
40.98981,41.15648,86,60,40
41.15648,41.31967,79,60,40
41.323147,41.48981,79,60,40
41.48981,41.653008,86,61,40
41.65648,41.823143,86,61,40
41.823143,41.98634,74,62,40
41.98981,42.15648,74,63,40
42.15648,42.31967,86,64,40
42.323143,42.48981,86,65,40
42.48981,42.653004,79,66,40
42.65648,42.823143,79,67,40
42.823143,42.98634,86,68,40
42.98981,43.156475,86,69,40
43.156475,43.31967,74,70,40
43.323143,43.48981,74,71,40
43.48981,43.653004,86,72,40
43.656475,43.823143,86,73,40
43.823143,43.986336,79,74,40
43.989807,44.156475,79,75,40
44.156475,44.31967,74,76,40
44.323143,44.489807,74,77,40
44.489807,44.653004,67,78,40
44.656475,44.823143,67,79,40
44.823143,44.986336,74,80,40
44.989807,45.16628,74,81,40
45.16628,45.339073,67,82,40
45.34275,45.51922,67,83,40
45.51922,45.692013,62,84,40
45.69569,45.87641,62,85,40
45.87641,46.05337,55,86,40
46.057137,46.237858,55,87,40
46.237858,46.414814,60,88,40
46.81858,46.936634,72,92,40
46.985245,47.103302,68,92,40
47.151913,47.26997,70,92,40
47.31858,47.436634,67,92,40
47.485245,47.603302,68,92,40
47.651913,47.707466,65,92,40
47.81858,47.981773,67,92,40
47.985245,48.14844,63,91,40
48.151913,48.315105,67,90,40
48.318577,48.481773,75,89,40
48.485245,48.648438,79,88,40
48.651913,48.815105,75,87,40
48.818577,48.981773,67,86,40
48.985245,49.148438,75,85,40
49.151913,49.315105,73,84,40
49.318577,49.481773,65,83,40
49.485245,49.648438,68,82,40
49.65191,49.815105,77,81,40
49.818577,49.98177,75,80,40
49.985245,50.148438,67,79,40
50.15191,50.315105,70,78,40
50.318577,50.48177,67,77,40
50.485245,50.648438,73,76,40
50.65191,50.815105,68,75,40
50.818577,50.98177,65,74,40
50.98524,51.148438,68,73,40
51.15191,51.3151,67,72,40
51.318577,51.48177,63,70,40
51.48524,51.648438,59,68,40
51.65191,51.8151,62,66,40
52.15191,52.269962,67,60,40
52.318573,52.43663,63,60,40
52.48524,52.6033,65,60,40
52.65191,52.769962,62,60,40
52.818573,52.93663,63,60,40
52.98524,53.040794,60,60,40
53.15191,53.3151,62,60,40
53.318573,53.48177,58,70,40
53.48524,53.648434,62,81,40
53.651905,53.8151,70,92,40
53.818573,53.981766,74,92,40
53.98524,54.148434,70,87,40
54.151905,54.3151,62,82,40
54.318573,54.481766,70,77,40
54.818573,54.936626,70,60,40
54.985237,55.103294,66,60,40
55.151905,55.269962,68,60,40
55.318573,55.436626,65,64,40
55.485237,55.603294,66,68,40
55.651905,55.70746,63,72,40
55.81857,55.981766,65,77,40
55.985237,56.148434,62,82,40
56.151905,56.315098,65,87,40
56.31857,56.481766,74,92,40
56.485237,56.64843,77,92,40
56.651905,56.815098,74,87,40
56.81857,56.981766,70,81,40
56.985237,57.14843,74,75,40
57.985237,58.065098,74,92,40
58.1519,58.231762,77,92,40
58.31857,58.39843,70,92,40
58.485233,58.985233,82,92,40
58.985233,59.04079,80,92,40
59.1519,59.6519,79,92,40
59.6519,59.707455,77,92,40
59.818565,60.318565,75,92,40
60.318565,60.374123,79,68,40
60.485233,60.985233,80,60,40
60.985233,61.040787,82,60,40
61.151897,61.651897,84,60,40
61.651897,61.815094,87,84,40
61.818565,62.151897,87,92,40
62.151897,62.429676,77,60,40
62.48523,62.98523,84,60,40
62.98523,63.148426,87,84,40
63.151897,63.48523,87,92,40
63.48523,63.76301,77,60,40
63.81856,64.65189,86,92,40
64.65189,64.818565,84,92,40
64.818565,64.98523,82,90,40
64.98523,65.15189,84,87,40
65.15189,65.33262,82,84,40
65.33262,65.51334,80,81,40
65.51334,65.69406,78,78,40
65.69406,65.87479,80,75,40
65.87479,66.055504,78,72,40
66.055504,66.23623,77,69,40
66.23623,66.416954,75,66,40
66.416954,66.59391,77,63,40
66.59767,67.50129,75,60,40
67.50129,67.68201,73,60,40
67.68201,67.86273,72,60,40
67.86273,68.04346,73,60,40
68.04346,68.23096,72,60,40
68.23096,68.41846,70,60,40
68.41846,68.60596,69,60,40
68.60596,68.79346,70,60,40
68.79346,68.98096,68,60,40
68.98096,69.16846,66,60,40
69.16846,69.35596,65,60,40
69.35596,69.53955,66,60,40
69.54346,69.72705,65,60,40
70.29346,70.47705,66,60,40
71.23576,71.61637,63,60,40
71.62038,72.133194,63,60,40
72.1973,72.517815,60,60,40
72.96653,73.15483,65,68,40
73.73576,73.924065,65,76,40
74.31268,74.69329,65,82,40
74.697296,75.21012,65,86,40
75.27422,75.65884,82,92,40
75.65884,75.95295,87,92,40
76.01178,76.48236,85,92,40
76.54119,76.71766,84,92,40
76.71766,76.89413,82,92,40
76.89413,77.0706,84,92,40
77.0706,77.24707,82,92,40
77.24707,77.41986,80,92,40
77.42354,77.89413,83,92,40
77.95295,78.129425,82,92,40
78.129425,78.30589,80,92,40
78.30589,78.48236,82,92,40
78.48236,78.65516,80,92,40
78.65884,78.835304,79,92,40
78.835304,79.01177,82,92,40
79.01177,79.18457,75,92,40
79.364716,79.54118,76,92,40
79.54118,79.71766,79,92,40
79.71766,79.89045,72,92,40
80.070595,80.24707,77,92,40
80.24707,80.42354,80,92,40
80.42354,80.59633,75,92,40
80.77648,80.95295,74,92,40
80.95295,81.12942,77,92,40
81.12942,81.302216,70,92,40
81.48236,81.65883,79,92,40
81.65883,81.835304,82,92,40
81.835304,82.008095,75,92,40
82.18824,82.364716,79,92,40
82.364716,82.54118,83,92,40
82.54118,82.71398,75,92,40
82.89413,83.070595,79,92,40
83.070595,83.24707,84,92,40
83.24707,83.41986,75,92,40
83.42354,83.600006,85,92,40
83.600006,83.772804,75,92,40
83.77648,83.95295,86,92,40
83.95295,84.12574,74,92,40
84.12942,84.65883,87,92,40
84.65883,84.83163,86,92,40
84.835304,85.364716,84,92,40
85.364716,85.537506,82,92,40
85.54118,86.070595,80,92,40
86.070595,86.243385,79,80,40
86.24706,86.42354,77,76,40
86.42354,86.600006,75,72,40
86.600006,86.7728,74,68,40
86.776474,86.95295,72,64,40
86.95295,87.12942,75,60,40
87.12942,87.30221,68,60,40
87.48236,87.65883,72,60,40
87.65883,87.8353,76,60,40
87.8353,88.008095,68,60,40
88.18824,88.36471,72,60,40
88.36471,88.54118,77,60,40
88.54118,88.713974,68,60,40
88.71765,88.89412,80,60,40
88.89412,89.06692,72,60,40
89.070595,89.24706,84,60,40
89.24706,89.41986,72,60,40
89.42353,89.600006,79,60,40
89.600006,89.7728,67,60,40
89.95294,90.037506,74,60,40
90.12942,90.213974,77,60,40
90.305885,90.39044,71,60,40
90.48235,91.01177,83,60,40
91.01177,91.18456,84,60,40
91.18824,91.71765,85,60,40
91.71765,91.89044,84,60,40
91.89412,92.070595,82,60,40
92.070595,92.24706,80,60,40
92.24706,92.42353,79,60,40
92.42353,92.59633,77,60,40
92.78072,92.96145,77,60,40
92.96145,93.14217,80,60,40
93.14217,93.31913,73,60,40
93.50362,93.68434,77,60,40
93.68434,93.86506,81,60,40
93.86506,94.042015,73,60,40
94.233284,94.420784,77,60,40
94.420784,94.608284,82,64,40
94.608284,94.79188,73,68,40
94.795784,94.983284,85,72,40
94.983284,95.16688,77,77,40
95.170784,95.358284,89,82,40
95.358284,95.54188,80,87,40
95.545784,96.1227,89,92,40
96.1227,96.311005,91,92,40
96.31501,96.89194,91,92,40
96.89194,97.08024,92,92,40
97.08424,97.46886,92,92,40
97.46886,97.78937,83,75,40
98.6227,100.201645,65,92,40
100.201645,100.793755,65,60,40
100.793755,100.98701,67,75,40
100.99112,101.58322,67,75,40
101.58322,101.77648,68,60,40
101.780594,102.57006,68,60,40
102.57006,102.89901,65,60,40
103.16217,103.22796,65,60,40
103.359535,104.14901,70,75,40
104.14901,104.47795,64,60,40
104.74111,104.8069,64,60,40
104.93848,105.31348,68,60,40
105.31348,105.68848,65,60,40
105.68848,106.06348,62,60,40
106.06348,106.37598,63,60,40
106.43848,107.18848,64,75,40
107.18848,107.50098,65,60,40
107.56348,107.93848,58,60,40
107.93848,108.31348,68,60,40
108.31348,108.68848,65,60,40
108.68848,109.06348,61,60,40
109.06348,109.37598,62,65,40
109.43848,109.81348,74,70,40
109.81348,110.18848,70,75,40
110.18848,110.56348,64,80,40
110.56348,110.87598,65,86,40
110.93848,111.29142,75,92,40
111.29142,111.64436,74,92,40
111.64436,111.9973,72,92,40
111.9973,112.64436,70,92,40
112.703186,113.32083,68,82,40
113.409065,114.05612,67,72,40
114.114944,114.7326,65,62,40
114.82083,115.114944,65,51,40
115.173775,115.703186,65,45,40
115.703186,115.87598,67,45,40
115.879654,116.409065,67,45,40
116.409065,116.581856,68,45,40
116.58553,117.20318,68,45,40
117.9973,118.52671,67,45,40
118.52671,118.6995,69,46,40
118.70318,119.23259,69,46,40
119.23259,119.40539,70,48,40
119.409065,120.02671,70,48,40
120.82082,121.350235,69,52,40
121.350235,121.52303,71,54,40
121.52671,122.05612,71,54,40
122.05612,122.22891,72,56,40
122.23259,122.850235,72,56,40
122.93848,123.46789,69,59,40
123.46789,123.64068,71,61,40
123.644356,124.17377,71,61,40
124.17377,124.34656,72,63,40
124.350235,124.87965,81,63,40
124.87965,125.052444,83,65,40
125.05612,125.57938,83,65,40
125.57938,125.75016,84,67,40
125.75379,126.27705,81,67,40
126.27705,126.44783,83,69,40
126.45147,126.974724,83,69,40
126.974724,127.14551,84,71,40
127.14914,127.67239,84,72,40
127.67239,127.84318,86,75,40
127.84682,128.36406,86,76,40
128.36406,128.53288,87,79,40
128.53647,129.05371,84,80,40
129.05371,129.22253,86,83,40
129.22612,129.74336,86,84,40
129.74336,129.91219,87,87,40
129.91577,130.43301,87,88,40
130.43301,130.60184,88,91,40
130.60544,131.10542,88,92,40
131.10542,131.26863,89,92,40
131.93877,132.46817,88,92,40
132.46817,132.64098,89,92,40
133.35052,133.91302,89,92,40
133.91302,134.09662,91,92,40
134.10052,134.66302,91,92,40
134.66302,134.84662,92,92,40
134.85052,135.22552,92,92,40
135.22552,135.53802,83,92,40
135.97552,136.35052,72,92,40
136.35052,136.9869,68,92,40
137.44144,137.74446,75,92,40
137.80507,138.42271,72,92,40
138.86389,139.21683,84,92,40
139.21683,139.71683,80,75,40
139.71683,139.88004,78,75,40
139.8835,140.05017,75,60,40
140.05017,140.21683,68,60,40
140.21683,140.3835,72,60,40
140.3835,140.55017,75,60,40
140.55017,141.05017,80,60,40
141.05017,141.21336,78,60,40
141.21683,141.3835,75,60,40
141.3835,141.55017,68,60,40
141.55017,141.71683,72,60,40
141.71683,141.8835,75,60,40
141.8835,142.16127,80,60,40
142.21683,142.80017,78,60,40
142.8835,143.21683,75,71,40
143.21683,143.50092,72,77,40
143.55774,144.0163,66,83,40
144.07512,144.15968,81,92,40
144.25159,144.33615,78,92,40
144.42805,144.51262,75,92,40
144.60454,144.77498,76,92,40
144.77498,144.9419,80,91,40
144.94543,145.11589,80,90,40
145.11589,145.28279,78,89,40
145.28635,145.4568,78,88,40
145.4568,145.6237,76,87,40
145.62726,145.79771,76,86,40
145.79771,145.96461,73,85,40
145.96817,146.13863,73,84,40
146.13863,146.30553,71,83,40
146.30908,146.47954,71,82,40
146.47954,146.64644,70,81,40
146.64998,146.82043,70,79,40
146.82043,146.98735,68,77,40
146.99089,147.16135,68,75,40
147.16135,147.32825,64,75,40
147.67271,148.01363,80,75,40
148.01363,148.61021,76,78,40
149.03635,149.37726,83,88,40
149.37726,149.97385,80,92,40
150.39998,150.74089,92,75,40
150.74089,151.25226,88,60,40
151.25226,151.41916,86,45,40
151.42271,151.59317,83,45,40
151.59317,151.76363,76,45,40
151.76363,151.93408,80,45,40
151.93408,152.10452,83,45,40
152.10452,152.61589,88,45,40
152.61589,152.78279,86,52,40
152.78635,152.9568,83,54,40
152.9568,153.12726,76,56,40
153.12726,153.29771,80,58,40
153.29771,153.46817,83,60,40
153.46817,153.75226,88,62,40
153.80907,154.31688,86,67,40
154.32043,154.40211,83,74,40
154.49089,154.57257,80,76,40
154.66135,154.74303,76,78,40
154.8318,154.91348,74,80,40
155.00226,155.08394,71,82,40
155.17271,155.25438,64,84,40
155.34317,155.42484,76,88,40
155.51363,155.68407,81,92,40
155.68407,155.85098,79,92,40
155.85452,156.02498,79,92,40
156.02498,156.19188,77,92,40
156.19543,156.36589,77,92,40
156.36589,156.53279,76,92,40
156.53635,156.7068,76,92,40
156.7068,156.8737,72,92,40
156.87726,157.04771,72,92,40
157.04771,157.21461,71,89,40
157.21817,157.38863,71,86,40
157.38863,157.55553,69,83,40
157.55907,157.72952,69,80,40
157.72952,157.89642,67,77,40
157.89998,158.07043,67,74,40
158.07043,158.23734,64,71,40
158.5818,158.92271,70,60,40
158.92271,159.26361,71,60,40
159.26361,159.54771,66,60,40
159.94543,160.28635,72,60,40
160.28635,160.62726,78,63,40
160.62726,160.91135,71,66,40
161.30907,161.64998,78,72,40
161.64998,162.67271,79,76,40
162.67271,162.9568,71,88,40
163.01361,163.69543,83,92,40
163.69543,164.03635,84,75,40
164.03635,164.32043,79,75,40
164.37726,164.71815,77,75,40
164.71815,165.00226,76,75,40
166.42271,167.10452,76,60,40
167.10452,167.44543,77,60,40
167.44543,167.72952,72,60,40
167.78635,168.12726,71,60,40
168.12726,168.41135,69,68,40
168.46815,168.80907,65,76,40
168.80907,169.09315,63,84,40
169.14998,169.32043,64,92,40
169.32043,169.48734,59,92,40
169.49089,169.66135,59,92,40
169.66135,169.82825,64,92,40
169.8318,170.00226,64,92,40
170.00226,170.16916,57,90,40
170.1727,170.34315,57,88,40
170.34315,170.51007,64,86,40
170.51361,170.68407,64,84,40
170.68407,170.85097,59,81,40
170.85452,171.02498,59,78,40
171.02498,171.19188,64,75,40
171.19543,171.36589,64,72,40
171.36589,171.53279,57,69,40
171.53635,171.7068,57,66,40
171.7068,171.8737,64,63,40
171.87726,172.0477,64,60,40
172.0477,172.21461,59,60,40
172.21815,172.38861,59,60,40
172.38861,172.55551,64,60,40
172.55907,172.72952,64,60,40
172.72952,172.89642,71,60,40
172.89998,173.07043,71,60,40
173.07043,173.23734,76,60,40
173.24089,173.41135,76,60,40
173.41135,173.57825,71,63,40
173.5818,173.75224,71,66,40
173.75224,173.91916,76,69,40
173.9227,174.09918,76,72,40
174.09918,174.27197,83,75,40
174.27565,174.45212,83,78,40
174.45212,174.62491,88,81,40
174.96191,175.07997,81,92,40
175.12859,175.24664,77,92,40
