start_time,end_time,note_value,velocity,instrument_program_number
2.0,3.0,70,75,40
3.0,4.0,75,75,40
4.0,5.0,74,77,40
5.0,6.0,75,80,40
6.0,7.0,77,83,40
7.0,8.0,74,86,40
8.0,8.833333,75,89,40
9.0,10.0,80,92,40
10.0,11.0,79,92,40
11.0,11.489583,77,92,40
11.5,12.0,72,92,40
12.0,13.0,75,75,40
13.0,14.333333,74,60,40
14.5,14.989583,74,60,40
15.0,16.0,74,60,40
16.0,17.333334,75,65,40
17.5,17.989584,75,73,40
18.0,18.5,75,75,40
18.5,18.989584,76,77,40
19.0,20.333334,77,80,40
20.5,20.989584,77,89,40
21.0,21.5,77,92,40
21.5,22.0,78,92,40
22.0,22.5,79,92,40
22.5,22.989584,75,92,40
23.0,23.354166,72,92,40
23.5,23.666666,69,92,40
24.0,25.0,72,75,40
25.0,26.333334,70,60,40
26.5,26.989584,70,60,40
27.0,28.0,77,60,40
28.0,29.0,74,64,40
29.0,29.833334,70,68,40
30.0,30.833334,77,72,40
31.0,31.5,79,76,40
31.5,31.989584,77,78,40
32.0,32.354168,74,80,40
32.5,32.666668,70,82,40
33.0,34.0,70,84,40
34.0,34.833332,75,88,40
35.0,36.0,82,92,40
36.0,37.75,81,75,40
38.0,39.0,82,45,40
39.0,40.333332,81,45,40
40.5,40.854168,84,92,40
41.0,41.354168,82,92,40
41.5,41.666668,81,92,40
42.0,43.0,81,92,40
43.0,44.0,82,92,40
44.0,45.0,84,92,40
45.0,46.0,86,92,40
46.0,47.0,88,92,40
47.0,48.833332,89,92,40
49.0,50.0,87,75,40
50.0,50.833332,85,60,40
51.0,51.833332,86,45,40
52.0,53.333332,74,60,40
53.5,53.989582,74,60,40
54.0,54.5,74,60,40
54.5,54.989582,75,60,40
55.0,56.333332,75,60,40
56.5,56.989582,76,60,40
57.0,57.5,79,60,40
57.5,57.989582,76,65,40
58.0,59.333332,78,70,40
59.5,59.989582,79,86,40
60.0,61.0,82,92,40
61.0,61.833332,81,60,40
64.0,64.322914,71,45,40
64.0,64.322914,79,45,40
64.333336,64.65625,71,45,40
64.333336,64.65625,79,45,40
64.666664,64.989586,71,45,40
64.666664,64.989586,79,45,40
65.0,65.322914,69,45,40
65.0,65.322914,78,45,40
65.333336,65.65625,69,45,40
65.333336,65.65625,78,45,40
65.666664,65.989586,69,45,40
65.666664,65.989586,78,45,40
66.0,66.322914,68,45,40
66.0,66.322914,77,45,40
66.333336,66.65625,68,45,40
66.333336,66.65625,77,45,40
66.666664,66.989586,68,45,40
66.666664,66.989586,77,45,40
67.0,67.322914,67,45,40
67.0,67.322914,75,45,40
67.333336,67.65625,67,45,40
67.333336,67.65625,75,45,40
67.666664,67.989586,67,45,40
67.666664,67.989586,75,45,40
68.0,68.322914,67,45,40
68.0,68.322914,73,45,40
68.333336,68.65625,67,45,40
68.333336,68.65625,73,45,40
68.666664,68.989586,64,45,40
68.666664,68.989586,73,45,40
69.0,69.322914,64,45,40
69.0,69.322914,72,45,40
69.333336,69.65625,64,46,40
69.333336,69.65625,72,46,40
69.666664,69.989586,64,47,40
69.666664,69.989586,72,47,40
70.0,70.322914,65,48,40
70.0,70.322914,72,48,40
70.333336,70.65625,65,49,40
70.333336,70.65625,72,49,40
70.666664,70.989586,65,50,40
70.666664,70.989586,72,50,40
71.0,71.322914,60,51,40
71.0,71.322914,68,51,40
71.333336,71.65625,60,52,40
71.333336,71.65625,68,52,40
71.666664,71.989586,60,54,40
71.666664,71.989586,68,54,40
72.0,72.322914,57,56,40
72.0,72.322914,66,56,40
72.333336,72.65625,57,58,40
72.333336,72.65625,66,58,40
72.666664,72.989586,57,60,40
72.666664,72.989586,66,60,40
73.0,73.322914,59,62,40
73.0,73.322914,67,62,40
73.333336,73.65625,59,64,40
73.333336,73.65625,67,64,40
73.666664,73.989586,59,66,40
73.666664,73.989586,67,66,40
74.0,74.322914,57,68,40
74.0,74.322914,63,68,40
74.333336,74.65625,57,70,40
74.333336,74.65625,63,70,40
74.666664,74.989586,57,72,40
74.666664,74.989586,63,72,40
75.0,75.322914,59,74,40
75.0,75.322914,62,74,40
75.333336,75.65625,59,76,40
75.333336,75.65625,62,76,40
75.666664,75.989586,59,78,40
75.666664,75.989586,62,78,40
76.0,76.322914,60,80,40
76.333336,76.65625,60,82,40
76.666664,76.989586,60,84,40
77.0,77.322914,59,86,40
77.333336,77.65625,59,88,40
77.666664,77.989586,59,90,40
78.0,78.489586,58,92,40
78.0,78.489586,67,92,40
78.25,82.0,75,92,40
82.0,83.0,74,92,40
83.0,84.0,75,89,40
84.0,85.0,77,86,40
85.0,86.0,74,83,40
86.0,86.833336,75,80,40
87.0,88.0,80,77,40
88.0,89.0,79,74,40
89.0,89.489586,77,71,40
89.5,90.0,72,70,40
90.0,91.0,75,69,40
91.0,92.333336,74,66,40
92.5,93.0,77,60,40
93.0,94.0,82,60,40
94.0,95.0,80,62,40
95.0,95.489586,79,64,40
95.5,96.0,75,65,40
96.0,97.0,87,66,40
97.0,98.0,85,68,40
98.0,98.489586,84,70,40
98.5,99.0,75,71,40
99.0,100.0,82,72,40
100.0,100.489586,81,74,40
100.5,101.0,75,75,40
101.0,102.0,80,76,40
102.0,102.489586,79,78,40
102.5,103.0,70,79,40
103.0,103.833336,78,80,40
104.0,104.234375,76,82,40
104.333336,104.56771,80,82,40
104.666664,104.885414,83,82,40
105.0,106.572914,75,83,40
106.583336,106.666664,75,87,40
106.666664,106.75,77,87,40
106.75,106.833336,75,87,40
106.833336,106.916664,74,87,40
106.916664,107.0,75,87,40
107.0,107.5,78,87,40
107.5,107.989586,77,89,40
108.0,108.833336,66,92,40
108.0,108.833336,75,92,40
110.5,110.583336,75,75,40
110.583336,110.666664,77,75,40
110.666664,110.75,75,75,40
110.75,110.875,74,75,40
110.875,111.0,75,75,40
111.0,111.5,84,92,40
111.5,112.0,82,92,40
112.0,112.5,80,92,40
112.5,113.0,79,92,40
113.0,113.5,77,92,40
113.5,114.0,75,92,40
114.0,114.489586,74,92,40
114.5,115.0,71,92,40
115.0,115.5,73,92,40
115.5,115.989586,72,92,40
116.0,116.234375,77,92,40
116.333336,116.56771,80,92,40
116.666664,116.885414,84,92,40
117.0,117.5,84,92,40
117.5,118.489586,75,87,40
118.5,118.625,77,77,40
118.625,118.75,75,76,40
118.75,118.875,74,75,40
118.5,119.0,67,77,40
118.875,119.0,75,74,40
119.0,119.5,70,73,40
119.0,119.5,79,73,40
119.5,119.989586,68,67,40
119.5,119.989586,77,67,40
120.0,120.833336,67,60,40
120.0,120.833336,75,60,40
121.0,122.5,82,92,40
122.5,122.989586,75,92,40
123.0,123.833336,74,92,40
124.0,125.5,82,92,40
125.5,125.989586,73,92,40
126.0,126.5,72,92,40
126.5,127.489586,84,92,40
127.5,128.48958,82,92,40
128.5,128.98958,81,92,40
129.0,130.33333,80,92,40
130.5,130.98958,82,92,40
131.0,131.66667,78,92,40
131.66667,131.98958,80,77,40
132.0,132.83333,77,69,40
133.0,134.33333,74,45,40
134.5,134.98958,74,45,40
135.0,135.5,74,45,40
135.5,135.98958,75,45,40
136.0,137.33333,75,45,40
137.5,137.98958,76,45,40
138.0,138.5,79,45,40
138.5,138.98958,76,48,40
139.0,140.33333,77,51,40
140.5,140.98958,78,61,40
141.0,141.5,78,64,40
141.5,142.48958,79,67,40
142.5,143.0,79,73,40
143.0,143.5,84,76,40
143.5,143.98958,79,80,40
144.0,144.83333,80,84,40
145.0,146.5,84,92,40
146.5,146.98958,77,92,40
147.0,147.83333,76,92,40
148.0,149.5,84,92,40
149.5,149.98958,75,92,40
150.0,150.5,73,92,40
150.5,151.48958,85,92,40
151.5,152.48958,84,92,40
152.5,152.98958,83,92,40
153.0,154.33333,82,92,40
154.5,154.98958,84,92,40
155.0,155.66667,80,92,40
155.66667,155.98958,82,77,40
156.0,156.83333,79,69,40
157.0,158.33333,76,45,40
158.5,158.98958,76,45,40
159.0,159.5,76,45,40
159.5,159.98958,77,45,40
160.0,161.33333,77,45,40
161.5,161.98958,78,45,40
162.0,162.5,81,45,40
162.5,162.98958,78,46,40
163.0,164.33333,79,48,40
164.5,164.98958,80,54,40
165.0,165.5,80,56,40
165.5,165.98958,81,58,40
166.5,167.0,81,62,40
167.0,167.5,86,64,40
167.5,168.48958,81,66,40
168.5,169.0,82,70,40
169.0,169.5,87,72,40
169.5,170.48958,83,74,40
170.5,171.0,84,78,40
171.0,171.5,89,80,40
171.5,172.48958,85,82,40
172.5,173.0,86,86,40
173.0,173.5,91,88,40
173.5,173.98958,86,90,40
174.0,174.35417,87,92,40
174.5,174.66667,88,92,40
175.0,175.83333,89,92,40
176.0,176.83333,90,75,40
177.0,177.48958,91,60,40
190.0,191.33333,72,60,40
191.33333,191.66667,74,60,40
191.66667,191.98958,69,64,40
192.0,193.33333,72,68,40
193.75,193.98958,71,92,40
194.0,194.48958,72,92,40
194.75,194.98958,74,92,40
195.0,195.48958,75,92,40
195.75,195.98958,74,92,40
196.0,196.48958,75,92,40
196.75,196.98958,76,92,40
197.0,197.48958,77,92,40
197.75,197.98958,78,92,40
198.0,198.48958,79,92,40
198.75,198.98958,67,60,40
198.75,198.98958,79,60,40
199.0,199.48958,67,60,40
199.0,199.48958,79,60,40
199.75,199.98958,67,60,40
199.75,199.98958,79,60,40
200.0,200.48958,67,60,40
200.0,200.48958,79,60,40
200.75,200.98958,67,60,40
200.75,200.98958,79,60,40
201.0,201.48958,67,60,40
201.0,201.48958,79,60,40
201.75,201.98958,67,60,40
201.75,201.98958,79,60,40
202.0,202.48958,67,60,40
202.0,202.48958,79,60,40
202.75,202.98958,67,60,40
202.75,202.98958,79,60,40
203.0,203.48958,67,60,40
203.0,203.48958,79,60,40
203.75,203.98958,67,60,40
203.75,203.98958,79,60,40
204.0,204.48958,67,60,40
204.0,204.48958,79,60,40
204.75,204.98958,67,66,40
204.75,204.98958,79,66,40
205.0,205.48958,67,68,40
205.0,205.48958,79,68,40
