start_time,end_time,note_value,velocity,instrument_program_number
0.8333325,0.95659626,58,71,40
0.999999,1.1232628,63,71,40
1.1666656,1.2899293,63,71,40
1.333332,1.4565958,65,71,40
1.4999985,1.6232623,67,71,40
1.666665,1.7899288,67,71,40
1.8333315,1.9565953,70,71,40
1.999998,2.1232617,67,71,40
2.1666646,2.2899282,67,71,40
2.333331,2.4565947,65,71,40
2.4999976,2.6232612,63,71,40
2.666664,2.7899277,63,71,40
2.8333304,2.9565942,62,71,40
2.999997,3.1232607,60,71,40
3.1666634,3.2899272,60,71,40
3.33333,3.4565938,67,79,40
3.4999964,3.6232603,60,71,40
3.666663,3.7899268,60,71,40
3.8333294,3.9565933,62,71,40
3.999996,4.1232595,60,71,40
4.1666627,4.289926,60,71,40
4.333329,4.4565926,67,79,40
4.4999957,4.623259,60,71,40
4.666662,4.7899256,60,71,40
4.8333287,4.956592,67,71,40
4.999995,5.1232586,65,71,40
5.1666613,5.289925,65,71,40
5.333328,5.4565916,67,71,40
5.4999943,5.623258,68,71,40
5.666661,5.7899246,68,71,40
5.8333273,5.956591,72,72,40
5.999994,6.1232576,67,73,40
6.1666603,6.289924,67,73,40
6.333327,6.4565907,69,74,40
6.4999933,6.623257,70,75,40
6.66666,6.7899237,70,75,40
6.8333263,6.95659,74,76,40
6.999993,7.7864504,77,77,40
7.8333254,7.956589,70,80,40
7.999992,8.786449,77,81,40
8.833324,8.956588,70,85,40
8.999991,9.123255,75,85,40
9.166657,9.289921,75,85,40
9.333324,9.456588,77,85,40
9.49999,9.623254,79,85,40
9.666657,9.789921,79,85,40
9.8333235,9.956587,82,85,40
9.99999,10.123254,79,85,40
10.1666565,10.28992,79,85,40
10.333323,10.456587,77,85,40
10.4999895,10.623253,75,85,40
10.666656,10.78992,75,85,40
10.833323,10.956586,74,85,40
10.999989,11.123253,72,85,40
11.166656,11.289919,72,85,40
11.333322,11.456586,79,93,40
11.499989,11.623252,72,85,40
11.666655,11.789919,72,85,40
11.833322,11.956585,74,85,40
11.999988,12.123252,72,85,40
12.166655,12.289918,72,85,40
12.333321,12.456585,79,93,40
12.499988,12.623251,72,85,40
12.666654,12.789918,72,85,40
12.833321,12.956584,79,85,40
12.999987,13.123251,77,85,40
13.166654,13.289917,77,85,40
13.33332,13.456584,79,85,40
13.499987,13.62325,80,85,40
13.666653,13.789917,80,85,40
13.83332,13.956583,84,85,40
13.999986,14.336791,87,85,40
14.333319,14.456583,84,86,40
14.499986,14.786444,87,86,40
14.833319,14.956582,84,87,40
14.999985,15.123249,79,87,40
15.166652,15.289915,79,88,40
15.333318,15.456582,81,88,40
15.499985,15.623248,82,88,40
15.666651,15.789915,82,88,40
15.833318,15.956581,86,89,40
15.999984,16.33679,89,89,40
16.333317,16.456581,86,90,40
16.499983,16.743038,89,90,40
16.833317,17.012136,86,91,40
16.999983,17.782969,91,91,40
17.833315,18.006926,86,91,40
