start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.411128,69,50,0
0.0,0.411128,72,56,0
0.411128,0.841727,69,54,0
0.411128,0.841727,72,60,0
0.841727,2.486239,69,33,0
0.841727,2.486239,65,33,0
0.841727,2.486239,74,37,0
2.486239,2.897367,72,57,0
2.486239,2.897367,69,51,0
2.897367,3.329918,69,53,0
2.897367,3.329918,72,59,0
3.329918,4.97443,68,33,0
3.329918,4.97443,71,37,0
3.329918,4.97443,62,33,0
4.97443,5.385558,66,50,0
4.97443,5.385558,69,56,0
5.385558,5.816157,69,54,0
5.385558,5.816157,66,48,0
5.816157,6.657672,60,47,0
5.816157,6.657672,72,52,0
6.657672,7.499187,69,48,0
6.657672,7.499187,66,43,0
7.499187,8.340702,68,45,0
7.499187,8.340702,64,39,0
8.340702,10.113752,71,37,0
8.340702,10.113752,68,33,0
8.340702,10.113752,59,33,0
10.113752,10.51084,69,49,0
10.113752,10.51084,72,55,0
10.51084,10.931055,72,58,0
10.51084,10.931055,69,52,0
10.931055,12.519407,73,47,0
10.931055,12.519407,64,47,0
10.931055,12.519407,76,53,0
12.519407,12.922362,77,63,0
12.519407,12.922362,74,56,0
12.922362,13.344533,74,60,0
12.922362,13.344533,77,68,0
13.344533,15.07165,78,59,0
13.344533,15.07165,81,67,0
13.344533,15.07165,69,59,0
15.07165,15.523933,79,69,0
15.07165,15.523933,67,61,0
15.523933,15.976217,79,69,0
15.523933,15.976217,67,61,0
15.976217,16.807358,68,61,0
15.976217,16.807358,76,69,0
15.07165,16.807358,72,61,0
16.807358,17.639816,69,53,0
16.807358,17.639816,72,59,0
17.639816,18.50263,68,49,0
17.639816,18.50263,71,55,0
18.50263,20.228256,69,52,0
17.639816,20.228256,64,49,0
17.639816,20.228256,76,55,0
20.228256,21.141775,56,35,0
20.228256,21.141775,59,35,0
21.141775,23.167776,57,34,0
20.228256,23.167776,64,40,0
20.228256,23.167776,52,40,0
23.167776,23.543528,72,44,0
23.167776,23.543528,69,38,0
23.543528,23.91928,72,44,0
23.543528,23.91928,69,38,0
23.91928,24.316366,74,47,0
23.91928,24.316366,65,42,0
23.91928,24.316366,71,42,0
24.316366,24.713455,72,44,0
24.316366,24.713455,69,38,0
24.713455,25.540585,74,38,0
24.713455,25.540585,71,38,0
24.713455,25.540585,65,38,0
25.540585,25.920427,69,42,0
25.540585,25.920427,72,47,0
25.920427,26.300272,72,47,0
25.920427,26.300272,69,42,0
26.300272,26.701931,68,39,0
26.300272,26.701931,62,39,0
26.300272,26.701931,71,44,0
26.701931,27.103592,69,38,0
26.701931,27.103592,65,38,0
27.103592,27.906912,62,37,0
27.103592,27.906912,71,37,0
27.103592,27.906912,68,37,0
27.906912,28.284697,66,39,0
27.906912,28.284697,69,45,0
28.284697,28.662483,66,40,0
28.662483,29.04027,72,51,0
28.662483,29.04027,60,46,0
28.284697,29.04027,69,46,0
29.04027,29.418055,68,43,0
29.04027,29.418055,71,48,0
29.418055,29.795841,69,43,0
29.418055,29.795841,72,48,0
29.418055,29.795841,60,43,0
29.795841,30.173628,66,40,0
29.795841,30.173628,69,46,0
30.173628,30.965183,68,45,0
30.173628,30.965183,64,39,0
30.965183,32.61694,59,34,0
30.965183,32.61694,71,38,0
30.965183,32.61694,68,34,0
32.61694,32.986713,69,52,0
32.61694,32.986713,72,58,0
32.986713,33.35649,69,52,0
32.986713,33.35649,72,58,0
33.35649,33.72627,64,52,0
33.35649,33.72627,73,52,0
33.35649,33.72627,76,58,0
33.72627,34.096046,74,58,0
33.72627,34.096046,65,52,0
33.72627,34.096046,71,52,0
34.096046,34.465824,64,52,0
34.465824,34.8356,69,55,0
34.096046,34.8356,76,58,0
34.096046,34.8356,73,58,0
34.465824,34.8356,79,61,0
34.8356,35.205376,69,52,0
34.8356,35.205376,77,58,0
34.8356,35.205376,74,52,0
35.205376,35.575153,77,58,0
35.205376,35.575153,69,52,0
35.205376,35.575153,74,52,0
35.575153,35.94493,72,56,0
35.575153,35.94493,78,56,0
35.575153,35.94493,81,63,0
35.94493,36.31471,71,54,0
35.94493,36.31471,80,60,0
35.94493,36.31471,77,60,0
36.31471,36.71285,72,58,0
36.71285,37.110992,84,67,0
36.31471,37.110992,78,58,0
36.31471,37.110992,81,66,0
37.110992,37.529167,67,60,0
37.110992,37.529167,72,60,0
37.110992,37.529167,79,68,0
37.529167,37.947346,79,61,0
37.529167,37.947346,67,61,0
37.947346,38.344433,77,68,0
38.344433,38.74152,76,64,0
37.947346,38.74152,68,60,0
37.529167,38.74152,72,61,0
38.74152,39.13861,74,63,0
39.13861,39.535698,72,57,0
38.74152,39.535698,69,56,0
39.535698,40.348484,68,50,0
39.535698,40.348484,71,56,0
40.348484,41.97406,69,55,0
39.535698,41.97406,64,50,0
39.535698,41.97406,76,56,0
41.97406,42.829292,56,36,0
41.97406,42.829292,59,40,0
42.829292,44.813766,57,40,0
41.97406,44.813766,64,40,0
41.97406,44.813766,52,36,0
44.813766,44.96804,76,45,0
44.96804,45.120052,88,50,0
45.120052,45.2695,86,51,0
45.2695,45.41683,74,47,0
45.41683,45.56175,77,48,0
45.56175,45.704678,89,50,0
45.704678,45.845974,88,52,0
45.845974,45.98727,76,48,0
45.98727,46.128563,74,49,0
46.128563,46.26986,86,54,0
46.26986,46.411156,84,51,0
46.411156,46.552452,72,51,0
46.552452,46.69375,71,55,0
46.69375,46.835045,83,56,0
46.835045,46.97634,86,52,0
46.97634,47.117638,74,54,0
47.117638,47.258934,72,51,0
47.258934,47.40023,84,51,0
47.40023,47.541527,83,56,0
47.541527,47.683357,74,49,0
47.683357,47.825737,69,52,0
47.825737,48.546898,81,48,0
48.692955,49.429585,81,44,0
48.546898,49.429585,69,49,0
49.429585,49.575188,67,53,0
49.575188,49.719543,79,51,0
49.719543,49.862907,78,54,0
49.862907,50.005177,66,50,0
50.005177,50.146473,71,51,0
50.146473,50.28777,83,54,0
50.28777,50.429066,81,57,0
50.429066,50.570362,69,52,0
50.570362,50.71166,67,52,0
50.71166,50.852955,79,55,0
50.852955,50.99425,78,59,0
50.99425,51.135548,66,53,0
51.135548,51.276844,69,54,0
51.276844,51.41814,81,56,0
51.41814,51.559437,84,59,0
51.559437,51.700733,72,55,0
51.700733,51.84203,71,56,0
51.84203,51.983326,83,60,0
51.983326,52.124622,86,61,0
52.124622,52.265915,74,56,0
52.265915,52.40721,77,57,0
52.40721,52.548508,89,64,0
52.548508,52.689804,88,65,0
52.689804,52.8311,76,58,0
52.8311,52.972397,74,58,0
52.972397,53.113693,86,61,0
53.113693,53.25499,89,68,0
53.25499,53.396286,77,60,0
53.396286,53.537582,76,60,0
53.537582,53.67888,88,65,0
53.67888,53.820175,86,69,0
53.820175,53.96147,74,61,0
53.96147,54.102768,77,63,0
54.102768,54.244064,89,66,0
54.244064,54.38536,88,67,0
54.38536,54.526657,76,59,0
54.526657,54.667953,74,59,0
54.667953,54.80925,86,60,0
54.80925,54.950546,84,59,0
54.950546,55.091843,72,54,0
55.091843,55.23314,71,54,0
55.23314,55.374435,83,59,0
55.374435,55.51573,86,60,0
55.51573,55.65703,74,54,0
55.65703,55.798325,72,50,0
55.798325,55.93962,84,51,0
55.93962,56.080917,83,54,0
56.080917,56.222748,74,46,0
56.222748,56.365124,69,50,0
56.365124,57.086285,81,46,0
57.23234,57.96897,81,42,0
57.086285,57.96897,69,49,0
57.96897,58.114574,67,49,0
58.114574,58.258934,79,57,0
58.258934,58.402298,78,57,0
58.402298,58.544563,66,53,0
58.544563,58.68586,71,53,0
58.68586,58.827156,83,58,0
58.827156,58.968452,81,63,0
58.968452,59.10975,69,57,0
59.10975,59.251045,67,57,0
59.251045,59.39234,79,67,0
59.39234,59.533638,78,67,0
59.533638,59.674934,66,58,0
59.674934,59.81623,69,58,0
59.81623,59.957527,81,65,0
59.957527,60.098824,84,71,0
60.098824,60.24012,72,68,0
60.24012,60.381416,71,68,0
60.381416,60.522713,83,70,0
60.522713,60.66401,86,75,0
60.66401,60.805946,74,72,0
60.805946,60.947884,77,72,0
60.947884,61.08982,89,75,0
61.08982,61.23242,88,79,0
61.23242,61.37502,76,74,0
61.37502,61.51762,79,74,0
61.51762,61.660217,91,76,0
61.660217,61.80282,89,79,0
61.80282,61.945415,77,74,0
61.945415,62.08834,76,74,0
62.08834,62.232475,88,74,0
62.232475,62.37774,91,79,0
62.37774,62.524254,79,74,0
62.524254,62.67193,77,74,0
62.67193,62.820904,89,75,0
62.820904,62.971073,88,80,0
62.971073,63.12259,76,76,0
63.12259,63.278152,81,75,0
63.278152,63.43053,93,73,0
63.43053,63.582535,89,80,0
63.582535,63.73405,77,74,0
63.73405,63.884956,79,74,0
63.884956,64.03525,91,72,0
64.03525,64.18505,88,78,0
64.18505,64.33438,76,69,0
64.33438,64.483116,77,69,0
64.483116,64.63115,89,72,0
64.63115,64.7787,86,71,0
64.7787,64.92579,74,66,0
64.92579,65.07242,76,64,0
65.07242,65.21836,88,60,0
65.21836,65.36385,85,58,0
65.36385,65.50877,73,56,0
65.50877,65.653244,76,55,0
65.653244,65.79716,88,57,0
65.79716,65.94051,86,60,0
65.94051,66.08344,74,52,0
66.08344,66.22593,72,51,0
66.22593,66.36787,84,56,0
66.36787,66.50916,83,55,0
66.50916,66.65046,71,48,0
66.65046,66.791756,74,49,0
66.791756,66.93369,86,53,0
66.93369,67.07564,84,53,0
67.07564,67.217575,72,48,0
67.217575,67.36017,71,48,0
67.36017,67.50277,83,48,0
67.64537,68.07513,74,48,0
67.50277,68.07513,86,48,0
68.07513,68.21904,72,42,0
68.21904,68.65078,84,40,0
68.79469,69.226425,71,37,0
68.65078,69.226425,83,43,0
69.37034,70.69365,81,35,0
69.226425,70.69365,69,38,0
70.85225,72.93553,81,33,0
70.69365,72.93553,69,35,0
72.93553,73.74296,69,60,0
72.93553,73.74296,61,54,0
73.74296,73.95302,68,55,0
73.95302,75.42339,66,52,0
72.93553,75.42339,57,54,0
73.60839,75.42339,62,37,0
75.42339,76.23083,69,58,0
75.42339,76.23083,57,52,0
75.42339,76.23083,61,52,0
76.23083,76.44088,64,53,0
76.44088,77.91126,62,48,0
76.09625,77.91126,59,30,0
