start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.542986,79,88,0
0.0,0.542986,67,79,0
0.0,0.542986,70,79,0
0.0,0.542986,75,79,0
0.542986,0.6893275,77,70,0
0.542986,0.6893275,65,62,0
0.542986,0.6893275,70,62,0
0.542986,0.6893275,74,62,0
0.835669,0.9820105,79,70,0
0.835669,0.9820105,75,62,0
0.835669,0.9820105,67,62,0
0.835669,0.9820105,70,62,0
1.128352,1.661685,75,79,0
1.128352,1.661685,68,79,0
1.128352,1.661685,72,79,0
1.128352,1.661685,80,88,0
1.661685,1.8059157,79,70,0
1.661685,1.8059157,75,62,0
1.661685,1.8059157,70,62,0
1.661685,1.8059157,67,62,0
1.9501466,2.0943773,75,63,0
1.9501466,2.0943773,65,63,0
1.9501466,2.0943773,72,63,0
1.9501466,2.0943773,77,71,0
2.238608,2.776725,79,84,0
2.238608,2.776725,70,75,0
2.238608,2.776725,67,75,0
2.238608,2.776725,75,75,0
2.776725,2.9195824,74,60,0
2.776725,2.9195824,65,60,0
2.776725,2.9195824,77,68,0
2.776725,2.9195824,68,60,0
3.0624394,3.2052968,75,63,0
3.0624394,3.2052968,67,57,0
3.0624394,3.2052968,63,57,0
3.0624394,3.2052968,70,57,0
3.348154,3.4845178,77,68,0
3.348154,3.4845178,74,60,0
3.348154,3.4845178,65,60,0
3.6208816,3.765809,70,63,0
3.9107366,4.4688764,75,79,0
3.9107366,4.4688764,72,70,0
3.9107366,4.4688764,63,70,0
4.4688764,5.0118623,74,74,0
4.4688764,5.0118623,63,67,0
4.4688764,5.0118623,75,74,0
4.4688764,5.0118623,70,67,0
5.0118623,5.486975,75,74,0
5.0118623,5.486975,68,67,0
5.0118623,5.486975,63,67,0
5.0118623,5.486975,72,67,0
5.5548487,6.0905623,70,67,0
5.5548487,6.0905623,63,67,0
5.5548487,6.0905623,75,74,0
5.5548487,6.0905623,67,67,0
6.0905623,6.232072,74,70,0
6.0905623,6.232072,62,62,0
6.0905623,6.232072,65,62,0
6.0905623,6.232072,70,62,0
6.3735814,6.515091,67,62,0
6.3735814,6.515091,75,70,0
6.3735814,6.515091,70,62,0
6.3735814,6.515091,63,62,0
6.6566005,7.1875734,67,72,0
6.6566005,7.1875734,72,72,0
6.6566005,7.1875734,75,72,0
6.6566005,7.1875734,79,81,0
7.1875734,7.3258224,72,61,0
7.1875734,7.3258224,77,69,0
7.1875734,7.3258224,65,61,0
7.1875734,7.3258224,68,61,0
7.464071,7.6055803,75,69,0
7.464071,7.6055803,63,61,0
7.464071,7.6055803,67,61,0
7.464071,7.6055803,72,61,0
7.74709,8.278063,67,69,0
7.74709,8.278063,70,69,0
7.74709,8.278063,74,78,0
7.74709,8.278063,62,69,0
8.278063,8.412592,72,72,0
8.278063,8.412592,60,64,0
8.278063,8.412592,63,64,0
8.278063,8.412592,67,64,0
8.547121,8.681651,67,62,0
8.547121,8.681651,70,70,0
8.547121,8.681651,58,62,0
8.547121,8.681651,62,62,0
8.81618,8.950709,69,69,0
8.81618,8.950709,66,61,0
8.81618,8.950709,57,61,0
9.085238,9.227419,62,66,0
9.369598,9.925155,67,75,0
9.369598,9.925155,55,68,0
9.925155,10.493875,67,75,0
9.925155,10.493875,66,68,0
9.925155,10.493875,55,68,0
10.493875,10.991505,67,74,0
10.493875,10.991505,65,67,0
10.493875,10.991505,55,67,0
11.062594,11.5823,75,79,0
11.062594,11.5823,67,79,0
11.062594,11.5823,79,88,0
11.062594,11.5823,70,79,0
11.5823,11.726531,70,64,0
11.5823,11.726531,77,72,0
11.5823,11.726531,74,64,0
11.5823,11.726531,65,64,0
11.870762,12.014993,79,72,0
11.870762,12.014993,67,64,0
11.870762,12.014993,70,64,0
11.870762,12.014993,75,64,0
12.159224,12.678929,75,79,0
12.159224,12.678929,80,88,0
12.159224,12.678929,68,79,0
12.159224,12.678929,72,79,0
12.678929,12.82316,79,70,0
12.678929,12.82316,67,62,0
12.678929,12.82316,70,62,0
12.678929,12.82316,75,70,0
12.967391,13.111622,65,62,0
12.967391,13.111622,75,70,0
12.967391,13.111622,72,62,0
12.967391,13.111622,77,70,0
13.255853,13.775558,79,85,0
13.255853,13.775558,67,77,0
13.255853,13.775558,70,77,0
13.255853,13.775558,75,77,0
13.775558,13.915746,74,64,0
13.775558,13.915746,77,72,0
13.775558,13.915746,65,64,0
13.775558,13.915746,68,64,0
14.055932,14.196119,75,70,0
14.055932,14.196119,63,62,0
14.055932,14.196119,67,62,0
14.055932,14.196119,70,62,0
14.336307,14.473921,65,60,0
14.336307,14.473921,74,60,0
14.336307,14.473921,77,68,0
14.611536,14.756463,70,66,0
14.901391,15.433318,75,83,0
14.901391,15.433318,63,74,0
15.433318,15.974481,75,86,0
15.433318,15.974481,63,78,0
15.433318,15.974481,73,78,0
15.974481,16.490557,75,93,0
15.974481,16.490557,63,83,0
15.974481,16.490557,71,83,0
16.525206,17.058254,78,90,0
16.525206,17.058254,87,101,0
16.525206,17.058254,82,90,0
16.525206,17.058254,75,90,0
17.058254,17.320309,74,83,0
17.058254,17.320309,78,83,0
17.058254,17.320309,82,83,0
17.058254,17.320309,86,93,0
17.320309,17.607721,75,80,0
17.320309,17.607721,87,90,0
17.320309,17.607721,82,80,0
17.320309,17.607721,78,80,0
17.607721,18.14077,71,85,0
17.607721,18.14077,78,85,0
17.607721,18.14077,83,95,0
17.607721,18.14077,75,85,0
18.14077,18.413126,75,78,0
18.14077,18.413126,82,86,0
18.14077,18.413126,70,78,0
18.14077,18.413126,78,78,0
18.413126,18.685482,71,77,0
18.413126,18.685482,78,77,0
18.413126,18.685482,83,85,0
18.413126,18.685482,75,77,0
18.685482,19.230194,71,82,0
18.685482,19.230194,80,92,0
