start_time,end_time,note_value,velocity,instrument_program_number
0.094095,0.75276,84,80,0
0.094095,0.75276,76,67,0
0.094095,0.75276,79,67,0
0.094095,0.75276,72,67,0
0.75276,0.94896424,52,59,0
0.75276,0.94896424,60,59,0
0.75276,0.94896424,64,70,0
0.966801,1.442161,60,62,0
0.966801,1.442161,52,62,0
0.966801,1.442161,64,74,0
1.442161,1.5538845,65,71,0
1.442161,1.5538845,53,60,0
1.442161,1.5538845,60,60,0
1.665608,1.7875593,67,75,0
1.665608,1.7875593,60,63,0
1.665608,1.7875593,55,63,0
1.9095105,2.0232418,69,78,0
1.9095105,2.0232418,60,66,0
1.9095105,2.0232418,57,66,0
2.3644354,2.4781668,60,62,0
2.3644354,2.4781668,67,74,0
2.3644354,2.4781668,55,62,0
3.501748,3.7064643,64,70,0
3.501748,3.7064643,60,59,0
3.501748,3.7064643,52,59,0
3.7292106,4.1841354,52,65,0
3.7292106,4.1841354,60,65,0
3.7292106,4.1841354,64,77,0
4.1841354,4.29157,65,77,0
4.1841354,4.29157,60,65,0
4.1841354,4.29157,53,65,0
4.3990045,4.5188704,60,68,0
4.3990045,4.5188704,67,80,0
4.3990045,4.5188704,55,68,0
4.638736,5.082097,57,70,0
4.638736,5.082097,69,83,0
4.638736,5.082097,60,70,0
5.082097,5.188307,60,68,0
5.082097,5.188307,55,68,0
5.082097,5.188307,67,81,0
5.2945166,5.4133563,60,70,0
5.2945166,5.4133563,69,83,0
5.2945166,5.4133563,57,70,0
5.5321965,5.6448174,70,85,0
5.5321965,5.6448174,60,72,0
5.5321965,5.6448174,58,72,0
5.9826803,6.0953016,60,68,0
5.9826803,6.0953016,57,68,0
5.9826803,6.0953016,69,81,0
6.8836484,6.995372,67,71,0
6.8836484,6.995372,60,60,0
6.8836484,6.995372,55,60,0
7.1070957,7.229047,69,75,0
7.1070957,7.229047,57,63,0
7.1070957,7.229047,60,63,0
7.350998,7.462282,59,66,0
7.350998,7.462282,71,78,0
7.350998,7.462282,65,66,0
7.796135,7.9096766,60,68,0
7.796135,7.9096766,72,80,0
7.796135,7.9096766,64,68,0
8.250302,8.362025,62,69,0
8.250302,8.362025,74,82,0
8.250302,8.362025,67,69,0
8.697196,8.811195,76,84,0
8.697196,8.811195,67,71,0
8.697196,8.811195,64,71,0
9.153751,9.231626,78,78,0
9.231626,9.308679,79,73,0
9.308679,9.384924,78,80,0
9.384924,9.4604025,79,75,0
9.4604025,9.535144,78,82,0
9.535144,9.608916,79,78,0
9.608916,9.682671,78,84,0
9.682671,9.75666,79,81,0
9.75666,9.830956,78,86,0
9.830956,9.886818,79,84,0
9.886818,9.942879,78,89,0
9.942879,9.999029,76,84,0
9.999029,10.05534,78,85,0
9.153751,10.05534,74,72,0
9.153751,10.05534,72,72,0
10.05534,10.492626,79,93,0
10.05534,10.492626,71,79,0
10.492626,10.598475,74,83,0
10.704326,10.815676,78,75,0
10.927027,11.035557,79,83,0
11.361149,11.46589,62,66,0
11.570631,11.681915,66,60,0
11.7932,11.903171,67,66,0
12.233083,12.340103,50,69,0
12.447124,12.563016,54,61,0
12.678909,12.828475,55,64,0
12.828475,12.978042,59,57,0
12.978042,13.127608,60,57,0
13.127608,13.277174,62,66,0
13.277174,13.426741,64,59,0
13.426741,13.576447,66,59,0
13.576447,13.688896,67,67,0
13.688896,13.800912,70,69,0
13.800912,13.912429,72,71,0
13.912429,14.023515,74,73,0
14.023515,14.134109,76,75,0
14.134109,14.2442465,78,77,0
14.2442465,14.353918,79,79,0
14.353918,14.463111,81,84,0
14.557205,15.215871,74,67,0
14.557205,15.215871,82,80,0
14.557205,15.215871,70,67,0
14.557205,15.215871,77,67,0
15.215871,15.408507,74,80,0
15.215871,15.408507,62,67,0
15.215871,15.408507,70,67,0
15.429912,15.905272,74,85,0
15.429912,15.905272,62,71,0
15.429912,15.905272,70,71,0
15.905272,16.016994,70,69,0
15.905272,16.016994,75,81,0
15.905272,16.016994,63,69,0
16.12872,16.25067,77,86,0
16.12872,16.25067,70,72,0
16.12872,16.25067,65,72,0
16.372622,16.486353,79,89,0
16.372622,16.486353,67,75,0
16.372622,16.486353,70,75,0
16.827545,16.941277,70,71,0
16.827545,16.941277,77,85,0
16.827545,16.941277,65,71,0
17.964859,18.169575,74,80,0
17.964859,18.169575,62,67,0
17.964859,18.169575,70,67,0
18.192322,18.647245,70,74,0
18.192322,18.647245,74,88,0
18.192322,18.647245,62,74,0
18.647245,18.75468,75,88,0
18.647245,18.75468,63,74,0
18.647245,18.75468,70,74,0
18.862116,18.981981,65,78,0
18.862116,18.981981,77,92,0
18.862116,18.981981,70,78,0
19.101847,19.545208,70,80,0
19.101847,19.545208,79,95,0
19.101847,19.545208,67,80,0
19.545208,19.651417,65,78,0
19.545208,19.651417,77,93,0
19.545208,19.651417,70,78,0
19.757627,19.876467,70,80,0
19.757627,19.876467,79,95,0
19.757627,19.876467,67,80,0
19.995308,20.107927,68,82,0
19.995308,20.107927,80,97,0
19.995308,20.107927,70,82,0
20.445791,20.558413,70,78,0
20.445791,20.558413,67,78,0
20.445791,20.558413,79,93,0
21.34676,21.458483,65,69,0
21.34676,21.458483,70,69,0
21.34676,21.458483,77,81,0
21.570206,21.692158,70,72,0
21.570206,21.692158,79,86,0
21.570206,21.692158,67,72,0
21.814108,21.925392,71,75,0
21.814108,21.925392,83,89,0
21.814108,21.925392,79,75,0
22.259245,22.372787,79,78,0
22.259245,22.372787,84,92,0
22.259245,22.372787,72,78,0
22.713413,22.825136,74,79,0
22.713413,22.825136,79,79,0
22.713413,22.825136,86,94,0
23.160307,23.274305,87,96,0
23.160307,23.274305,79,81,0
23.160307,23.274305,75,81,0
23.616861,23.734215,89,96,0
23.616861,23.734215,84,81,0
23.616861,23.734215,77,81,0
24.086271,25.025091,84,89,0
24.086271,25.025091,78,89,0
24.086271,25.025091,90,105,0
24.086271,25.025091,86,89,0
25.025091,25.950047,86,89,0
25.025091,25.950047,84,89,0
25.025091,25.950047,79,89,0
25.025091,25.950047,91,105,0
25.950047,26.84216,84,89,0
25.950047,26.84216,81,89,0
25.950047,26.84216,86,89,0
25.950047,26.84216,93,105,0
26.86114,27.52677,86,89,0
26.86114,27.52677,81,89,0
26.86114,27.52677,93,105,0
26.86114,27.52677,84,89,0
27.52677,27.637709,83,70,0
27.52677,27.637709,79,70,0
27.52677,27.637709,91,83,0
27.748648,27.856787,89,88,0
27.748648,27.856787,77,74,0
27.964926,28.077108,86,75,0
27.964926,28.077108,74,63,0
28.189291,28.298216,71,73,0
28.189291,28.298216,83,87,0
28.40714,28.52017,67,59,0
28.40714,28.52017,79,70,0
28.633198,28.743727,65,70,0
28.633198,28.743727,77,83,0
28.854258,28.972637,62,57,0
28.854258,28.972637,74,68,0
29.091019,29.750198,64,68,0
29.091019,29.750198,72,80,0
29.091019,29.750198,60,68,0
30.615347,30.817276,60,40,0
30.839712,31.272083,60,48,0
31.272083,31.379065,62,41,0
31.486048,31.596987,64,46,0
31.707924,32.119316,65,51,0
32.137203,32.330376,65,45,0
32.35184,32.55377,67,46,0
32.35184,32.55377,65,37,0
32.576206,33.00548,67,49,0
33.00548,33.111706,69,45,0
33.217934,33.328873,71,45,0
33.217934,33.41762,79,51,0
33.439808,33.87218,72,49,0
33.87218,33.97692,74,47,0
33.439808,34.08166,79,55,0
34.08166,34.19174,76,55,0
34.08166,34.279797,79,55,0
34.30181,34.50677,79,62,0
34.50677,34.722958,78,53,0
34.722958,34.824055,81,63,0
34.30181,34.925156,77,53,0
34.925156,35.03408,79,54,0
34.925156,35.139557,76,45,0
35.139557,35.350513,79,59,0
35.350513,35.57488,78,50,0
35.57488,35.67736,81,59,0
35.139557,35.77984,76,50,0
35.77984,35.89869,79,50,0
35.77984,36.017536,72,42,0
36.017536,36.46965,82,65,0
36.017536,36.46965,73,55,0
36.46965,36.58268,74,50,0
36.46965,36.58268,81,59,0
37.56825,37.770176,62,40,0
37.792614,38.226547,62,48,0
38.226547,38.33353,64,41,0
