start_time,end_time,note_value,velocity,instrument_program_number
1.0619837,1.4781817,79,58,0
1.4781817,1.8933637,79,57,0
1.8933637,2.2971954,79,64,0
2.2971954,2.7003508,78,55,0
2.7003508,3.102456,77,56,0
3.102456,3.5249012,78,62,0
3.5249012,3.9287329,83,64,0
3.9287329,4.331888,79,63,0
4.331888,4.7339935,78,57,0
4.7339935,5.1394353,76,57,0
5.1394353,5.543267,79,64,0
5.543267,5.948497,78,63,0
5.948497,6.3596478,77,57,0
6.3596478,6.793165,78,57,0
6.793165,7.2096977,79,64,0
7.2096977,7.616368,79,63,0
7.616368,8.018474,80,70,0
8.018474,8.42597,80,70,0
8.42597,8.8298025,81,72,0
8.8298025,9.232957,76,63,0
9.232957,9.635063,75,57,0
9.635063,10.059192,76,57,0
10.059192,10.468598,79,64,0
10.468598,10.871754,78,63,0
10.871754,11.273859,76,57,0
11.273859,11.680026,75,57,0
11.680026,11.781652,76,55,0
14.248982,14.666246,79,58,0
14.666246,15.079764,79,57,0
15.079764,15.483596,79,64,0
15.483596,15.886751,78,55,0
15.886751,16.288857,77,56,0
16.288857,16.711302,78,62,0
16.711302,17.115133,83,64,0
17.115133,17.51829,79,63,0
17.51829,17.920395,78,57,0
17.920395,18.325836,76,57,0
18.325836,18.729668,79,64,0
18.729668,19.134897,78,63,0
19.134897,19.54605,77,57,0
19.54605,19.979567,78,57,0
19.979567,20.3961,79,64,0
20.3961,20.802769,79,63,0
20.802769,21.204874,80,70,0
21.204874,21.612371,80,70,0
21.612371,22.016203,81,70,0
22.016203,22.419357,76,63,0
22.419357,22.821463,75,57,0
22.821463,23.245592,76,57,0
23.245592,23.654999,79,64,0
23.654999,24.058155,78,63,0
24.058155,24.46026,76,57,0
24.46026,24.866426,75,57,0
24.866426,24.968054,76,55,0
26.561146,26.979317,62,45,0
26.979317,27.398848,67,45,0
27.398848,27.814325,69,58,0
27.814325,28.230145,71,57,0
28.230145,28.633976,71,64,0
28.633976,29.037132,69,55,0
29.037132,29.439238,68,56,0
29.439238,29.8523,69,62,0
29.8523,30.26982,62,51,0
30.26982,30.685644,67,54,0
30.685644,31.093575,69,63,0
31.093575,31.511665,71,66,0
31.511665,31.915497,74,69,0
31.915497,32.318653,73,64,0
32.318653,32.726078,72,68,0
32.726078,33.14427,69,64,0
33.14427,33.56179,71,58,0
33.56179,33.977615,71,66,0
33.977615,34.385548,76,72,0
34.385548,34.798885,71,65,0
34.798885,35.216404,72,63,0
35.216404,35.63223,72,69,0
35.63223,36.04016,79,76,0
36.04016,36.453503,74,72,0
36.453503,36.87102,76,71,0
36.87102,37.280724,76,69,0
37.280724,37.693886,76,73,0
37.693886,38.1123,76,66,0
38.1123,38.52982,75,71,0
38.52982,38.947754,71,72,0
38.947754,39.38217,71,78,0
39.38217,39.629467,71,83,0
39.629467,40.61307,71,83,0
39.596447,40.61307,67,66,0
39.563427,40.61307,64,66,0
39.530407,40.61307,59,66,0
41.467186,41.881805,79,58,0
41.881805,42.297916,79,57,0
42.297916,42.70175,79,64,0
42.70175,43.104904,78,55,0
43.104904,43.50701,77,56,0
43.50701,43.936584,78,62,0
43.936584,44.340416,84,69,0
44.340416,44.74357,83,66,0
44.74357,45.145676,79,57,0
45.145676,45.551117,76,57,0
45.551117,45.95495,79,64,0
45.95495,46.36018,78,63,0
46.36018,46.771328,77,57,0
46.771328,47.204845,78,57,0
47.204845,47.62138,79,64,0
47.62138,48.02805,79,63,0
48.02805,48.430153,80,70,0
48.430153,48.83765,80,70,0
48.83765,49.24148,81,73,0
49.24148,49.644638,76,63,0
49.644638,50.046745,75,57,0
50.046745,50.470875,76,57,0
50.470875,50.88028,79,64,0
50.88028,51.283436,78,63,0
51.283436,51.68554,76,57,0
51.68554,52.09171,75,57,0
52.09171,52.193333,76,55,0
53.789185,54.209534,62,45,0
54.209534,54.62578,67,45,0
54.62578,55.0386,69,58,0
55.0386,55.454857,71,57,0
55.454857,55.85869,71,64,0
55.85869,56.261845,69,55,0
56.261845,56.663948,68,56,0
56.663948,57.07701,69,62,0
57.07701,57.49453,62,51,0
57.49453,57.91036,67,54,0
57.91036,58.318287,69,63,0
58.318287,58.736378,71,61,0
58.736378,59.14021,74,71,0
59.14021,59.543365,73,64,0
59.543365,59.948956,72,68,0
59.948956,60.36493,69,64,0
60.36493,60.782448,71,58,0
60.782448,61.198273,71,66,0
61.198273,61.606205,76,72,0
61.606205,62.019543,71,65,0
62.019543,62.43706,72,63,0
62.43706,62.852886,72,69,0
62.852886,63.26082,79,73,0
63.26082,63.67416,74,66,0
63.67416,64.091675,76,71,0
64.091675,64.50138,76,69,0
64.50138,64.90931,76,73,0
64.90931,65.32344,76,66,0
65.32344,65.74096,75,71,0
65.74096,66.16067,71,72,0
66.16067,66.5943,71,78,0
66.5943,66.84115,71,83,0
66.84115,67.80889,71,83,0
66.80813,67.80889,67,66,0
66.77511,67.80889,64,66,0
66.742096,67.80889,59,66,0
68.67427,69.09085,79,58,0
69.09085,69.50547,79,57,0
69.50547,69.9093,79,64,0
69.9093,70.312454,78,55,0
70.312454,70.71456,77,56,0
70.71456,71.144135,78,62,0
71.144135,71.547966,84,69,0
71.547966,71.95112,83,66,0
71.95112,72.353226,79,57,0
72.353226,72.75867,76,57,0
72.75867,73.1625,79,64,0
73.1625,73.567726,78,63,0
73.567726,73.97888,77,57,0
73.97888,74.41839,78,57,0
74.41839,74.834915,79,64,0
74.834915,75.241585,79,63,0
75.241585,75.64369,80,70,0
75.64369,76.06054,80,70,0
76.06054,76.46438,81,69,0
76.46438,76.86753,76,63,0
76.86753,77.26964,75,57,0
