start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.09493675,72,50,0
0.1898735,0.28481025,84,41,0
0.379747,0.47468376,72,47,0
0.5696205,0.6645573,84,40,0
0.759494,0.85443074,72,49,0
0.9493675,1.0443043,84,40,0
1.139241,1.2344288,72,56,0
1.3295664,1.4245031,84,49,0
1.5191903,1.6136787,72,61,0
1.7080182,1.8023577,84,52,0
1.8966972,1.9916339,72,63,0
2.0865707,2.1815073,84,55,0
2.2764442,2.3732183,72,68,0
2.4699926,2.566767,84,59,0
2.663541,2.7615805,72,63,0
2.8596196,2.957659,84,51,0
3.0556982,3.1503353,72,58,0
3.2449727,3.3396099,84,41,0
3.4342473,3.5288844,72,47,0
3.6235216,3.7236552,84,52,0
3.8237886,3.920688,72,64,0
4.017587,4.114486,84,34,0
4.2113857,4.3082848,72,46,0
4.4051843,4.505653,84,51,0
4.6061215,4.703021,72,63,0
4.79992,4.8968196,84,43,0
4.9937186,5.090618,72,55,0
5.187517,5.287986,84,50,0
5.3884544,5.485354,72,63,0
5.582253,5.6791525,84,38,0
5.7760515,5.8745413,72,47,0
5.973031,6.077926,84,39,0
6.1828213,6.280224,72,37,0
6.377626,6.4750285,84,35,0
6.572431,6.6682777,77,39,0
6.764125,6.8599715,89,38,0
6.955818,7.0501575,81,41,0
7.1444974,7.238837,93,40,0
7.333176,7.4284143,79,46,0
7.523652,7.622662,91,42,0
7.721672,7.8172135,77,49,0
7.912755,8.008297,89,43,0
8.103838,8.19938,76,49,0
8.294921,8.390463,88,46,0
8.486004,8.580642,79,58,0
8.675279,8.769916,91,41,0
8.864553,8.9604,77,51,0
9.056247,9.155584,89,42,0
9.254922,9.351696,76,50,0
9.448471,9.545245,88,39,0
9.642019,9.73756,74,44,0
9.833102,9.928643,86,40,0
10.024185,10.120338,67,44,0
10.216493,10.312647,79,43,0
10.4088,10.505263,69,48,0
10.601727,10.699765,81,45,0
10.797805,10.893958,70,58,0
10.990112,11.086266,82,51,0
11.18242,11.278573,71,53,0
11.374727,11.473088,83,50,0
11.571448,11.668851,72,58,0
11.766253,11.863656,84,43,0
11.961059,12.060396,70,52,0
12.159734,12.264264,82,43,0
12.3687935,12.466832,72,55,0
12.564872,12.66291,84,46,0
12.76095,12.857104,77,55,0
12.953258,13.051619,89,44,0
13.14998,13.245826,77,62,0
13.341673,13.437519,89,52,0
13.533366,13.629213,76,64,0
13.7250595,13.824397,88,50,0
13.923736,14.020198,76,72,0
14.116661,14.213124,88,65,0
14.3095875,14.40605,74,70,0
14.502513,14.600297,86,57,0
14.69808,14.794234,72,63,0
14.890388,14.986542,84,49,0
15.082695,15.178849,70,58,0
15.2750025,15.37434,82,48,0
15.473679,15.570141,69,60,0
15.666604,15.763067,81,48,0
15.85953,15.955993,65,58,0
16.052456,16.150496,77,50,0
16.248535,16.344688,65,66,0
16.440842,16.536997,77,60,0
16.63315,16.729612,64,64,0
16.826077,16.925413,76,51,0
17.024752,17.120293,65,59,0
17.215834,17.314518,77,52,0
17.413202,17.509666,70,67,0
17.606129,17.704489,82,55,0
17.80285,17.90121,69,62,0
17.99957,18.097933,81,56,0
18.196293,18.295961,74,59,0
18.395628,18.513275,86,49,0
18.630922,18.728325,72,37,0
18.825727,18.92313,84,35,0
19.020533,19.116379,77,39,0
19.212227,19.308073,89,38,0
19.40392,19.498259,81,41,0
19.592598,19.686937,93,40,0
19.781279,19.876516,79,46,0
19.971754,20.070765,91,42,0
20.169773,20.265316,77,49,0
20.360857,20.456398,89,43,0
20.551939,20.647482,76,49,0
20.743023,20.838564,88,46,0
20.934105,21.028744,79,58,0
21.12338,21.218018,91,41,0
21.312654,21.4085,77,51,0
21.504349,21.603685,89,42,0
21.703024,21.799797,76,50,0
21.896572,21.993347,88,35,0
22.09012,22.185661,74,44,0
22.281204,22.376745,86,40,0
22.472286,22.56844,67,44,0
22.664595,22.760748,79,43,0
22.856901,22.953365,69,48,0
23.049828,23.147867,81,45,0
23.245907,23.34206,70,58,0
23.438213,23.534367,82,51,0
23.630522,23.726675,71,53,0
23.822828,23.92119,83,50,0
24.01955,24.116953,72,58,0
24.214355,24.311758,84,43,0
24.40916,24.508497,70,52,0
24.607836,24.712366,82,43,0
24.816895,24.914934,72,55,0
25.012974,25.111012,84,46,0
25.209051,25.305206,77,55,0
25.40136,25.49972,89,44,0
25.598082,25.693928,77,62,0
25.789774,25.88562,89,52,0
25.981468,26.077314,76,64,0
26.17316,26.2725,88,50,0
26.371838,26.4683,76,72,0
26.564762,26.661226,88,65,0
26.757689,26.85415,74,70,0
26.950615,27.04808,86,57,0
27.145546,27.241701,72,63,0
