start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.119048834,72,40,0
0.119048834,0.23646729,74,42,0
0.23646729,0.3522248,76,46,0
0.3522248,0.46643996,77,49,0
0.46643996,0.5799333,78,52,0
0.5799333,0.6931408,79,54,0
0.6931408,0.8055707,81,55,0
0.8055707,0.91856545,79,51,0
0.91856545,1.0320588,78,53,0
1.0320588,1.1461998,79,50,0
1.1461998,1.2609229,81,53,0
1.2609229,1.3762338,83,49,0
1.3762338,1.4916183,84,46,0
1.4916183,1.6065608,86,48,0
1.6065608,1.7210646,88,52,0
1.7210646,1.8352056,89,56,0
1.8352056,1.9489139,90,59,0
1.9489139,2.0622642,91,62,0
2.0622642,2.175188,93,63,0
2.175188,2.2882538,91,58,0
2.2882538,2.4018185,90,60,0
2.4018185,2.515887,91,57,0
2.515887,2.630464,93,60,0
2.630464,2.7519872,95,56,0
2.7519872,2.8678172,96,65,0
2.8678172,2.983276,100,67,0
2.983276,3.0984395,103,69,0
3.0984395,3.2133088,101,64,0
3.2133088,3.3278127,100,69,0
3.3278127,3.4419537,98,64,0
3.4419537,3.5562398,96,68,0
3.5562398,3.6708167,95,59,0
3.6708167,3.7857592,93,68,0
3.7857592,3.9010699,91,61,0
3.9010699,4.0166774,89,66,0
4.0166774,4.132657,88,61,0
4.132657,4.248487,86,63,0
4.248487,4.364168,88,65,0
4.364168,4.4795527,89,65,0
4.4795527,4.5946426,88,62,0
4.5946426,4.709585,86,61,0
4.709585,4.824089,84,59,0
4.824089,4.9384475,83,57,0
4.9384475,5.053172,81,51,0
5.053172,5.1691523,79,53,0
5.1691523,5.2863407,77,48,0
5.2863407,5.404919,76,54,0
5.404919,5.5350695,74,46,0
5.5350695,5.652181,72,40,0
5.652181,5.7688375,74,42,0
5.7688375,5.8849664,76,46,0
5.8849664,6.000648,77,49,0
6.000648,6.1158113,78,52,0
6.1158113,6.2305346,79,54,0
6.2305346,6.3447485,81,55,0
6.3447485,6.4590344,79,51,0
6.4590344,6.573684,78,53,0
6.573684,6.688774,79,50,0
6.688774,6.804233,81,53,0
6.804233,6.920138,83,49,0
6.920138,7.036645,84,46,0
7.036645,7.1529994,86,48,0
7.1529994,7.268904,88,52,0
7.268904,7.3843627,89,54,0
7.3843627,7.499379,90,59,0
7.499379,7.6138115,91,62,0
7.6138115,7.7276635,93,63,0
7.7276635,7.842168,91,58,0
7.842168,7.957405,90,60,0
7.957405,8.073385,91,57,0
8.073385,8.190042,93,60,0
8.190042,8.311614,95,56,0
8.311614,8.428649,96,65,0
8.428649,8.545155,98,67,0
8.545155,8.661134,100,69,0
8.661134,8.776593,98,64,0
8.776593,8.891535,96,69,0
8.891535,9.006699,95,64,0
9.006699,9.122084,93,68,0
9.122084,9.237468,95,59,0
9.237468,9.353001,96,68,0
9.353001,9.468831,95,61,0
9.468831,9.584661,93,66,0
9.584661,9.700641,91,61,0
9.700641,9.816919,90,63,0
9.816919,9.933049,88,64,0
9.933049,10.048879,86,62,0
10.048879,10.16456,84,62,0
10.16456,10.279944,83,61,0
10.279944,10.39615,81,59,0
10.39615,10.513262,79,51,0
10.513262,10.632079,78,40,0
10.632079,10.753131,81,48,0
10.753131,10.877623,79,37,0
10.877623,11.006858,77,42,0
11.006858,11.136669,74,35,0
11.136669,11.257558,72,40,0
11.257558,11.376608,74,42,0
11.376608,11.493951,76,46,0
11.493951,11.609486,77,49,0
11.609486,11.723849,78,52,0
11.723849,11.837057,79,54,0
11.837057,11.949487,81,55,0
11.949487,12.062482,79,51,0
12.062482,12.175975,78,53,0
12.175975,12.290116,79,50,0
12.290116,12.4048395,81,53,0
12.4048395,12.52015,83,49,0
12.52015,12.635534,84,46,0
12.635534,12.750477,86,48,0
12.750477,12.864981,88,52,0
12.864981,12.979122,89,56,0
12.979122,13.092831,90,59,0
13.092831,13.206181,91,62,0
13.206181,13.319104,93,63,0
13.319104,13.43217,91,58,0
13.43217,13.545735,90,60,0
13.545735,13.659803,91,57,0
13.659803,13.774381,93,60,0
13.774381,13.895904,95,56,0
13.895904,14.011734,96,65,0
14.011734,14.1271925,100,67,0
14.1271925,14.242355,103,69,0
14.242355,14.357225,101,64,0
14.357225,14.471729,100,69,0
14.471729,14.58587,98,64,0
14.58587,14.700156,96,68,0
14.700156,14.814733,95,59,0
14.814733,14.929675,93,68,0
14.929675,15.044987,91,61,0
15.044987,15.160594,89,66,0
15.160594,15.276573,88,61,0
15.276573,15.392404,86,63,0
15.392404,15.508084,88,65,0
15.508084,15.623469,89,65,0
15.623469,15.738559,88,62,0
15.738559,15.853501,86,61,0
15.853501,15.968005,84,59,0
15.968005,16.082363,83,57,0
16.082363,16.197088,81,51,0
16.197088,16.313068,79,53,0
16.313068,16.430258,77,48,0
16.430258,16.548836,76,54,0
16.548836,16.678986,74,46,0
16.678986,16.796097,72,40,0
16.796097,16.912754,74,42,0
