start_time,end_time,note_value,velocity,instrument_program_number
0.101695,0.22033916,50,37,0
0.20339,0.32238606,49,32,0
0.305085,0.4256698,50,37,0
0.5095625,0.6270123,53,37,0
0.6102337,0.72820604,52,33,0
0.710905,0.8314898,53,37,0
0.9153825,1.0328323,50,37,0
1.0160538,1.134026,49,33,0
1.116725,1.2375381,50,37,0
1.322572,1.4416195,53,37,0
1.4246128,1.5439545,52,32,0
1.5266535,1.6476419,53,34,0
1.7335525,1.8365276,50,36,0
1.8365276,1.9392673,62,47,0
1.9392673,2.0417733,50,40,0
2.0417733,2.1441622,62,52,0
2.1441622,2.246203,50,42,0
2.246203,2.3481286,62,54,0
2.3481286,2.452658,50,46,0
2.452658,2.554353,62,61,0
2.554353,2.656048,50,49,0
2.656048,2.7579734,62,59,0
2.7579734,2.8600142,50,43,0
2.8600142,2.962229,62,54,0
2.962229,3.064618,50,40,0
3.064618,3.167124,62,50,0
3.167124,3.2749572,50,45,0
3.3766522,3.4952965,50,37,0
3.4783473,3.5973432,49,34,0
3.5800421,3.700627,50,37,0
3.7845197,3.9019694,53,37,0
3.885191,4.0031633,52,35,0
3.9858623,4.106447,53,37,0
4.1903396,4.3077893,50,37,0
4.291011,4.408983,49,34,0
4.391682,4.512495,50,37,0
4.5975294,4.7165766,53,37,0
4.69957,4.8189116,52,33,0
4.801611,4.922718,53,37,0
5.0092235,5.112731,50,36,0
5.112731,5.2159424,62,47,0
5.2159424,5.3188586,50,40,0
5.3188586,5.4214816,62,52,0
5.4214816,5.5238123,50,42,0
5.5238123,5.6257954,62,54,0
5.6257954,5.732557,50,46,0
5.732557,5.834252,62,61,0
5.834252,5.935947,50,49,0
5.935947,6.03793,62,59,0
6.03793,6.139971,50,43,0
6.139971,6.242244,62,54,0
6.242244,6.3446326,50,40,0
6.3446326,6.4471974,62,50,0
6.4471974,6.556188,50,45,0
6.6592813,6.777925,58,40,0
6.760976,6.87962,60,41,0
6.862671,6.981489,58,42,0
7.067106,7.185349,57,45,0
7.168457,7.2867002,58,47,0
7.2698083,7.388342,57,48,0
7.474252,7.5933,55,51,0
7.576293,7.6953406,57,52,0
7.6783338,7.797616,55,54,0
7.883823,8.002066,53,57,0
7.985174,8.103417,55,58,0
8.086525,8.204942,53,59,0
8.290265,8.409371,52,58,0
8.3923645,8.511066,55,61,0
8.494117,8.612304,57,64,0
8.5954685,8.713484,58,67,0
8.696592,8.815122,57,63,0
8.798173,8.917279,55,63,0
8.900214,9.002778,52,64,0
9.106945,9.225589,55,61,0
