start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.1785715,76,42,0
0.1785715,0.2827382,77,39,0
0.26785725,0.3719359,79,39,0
0.357143,0.46078134,81,40,0
0.44590038,0.5503344,83,40,0
0.53536433,0.6404253,84,41,0
0.6253651,0.73232543,86,42,0
0.7160917,0.764793,88,49,0
0.81349427,0.917661,88,42,0
0.90278006,1.0069468,89,42,0
0.9920658,1.0962325,91,44,0
1.0813515,1.186054,93,45,0
1.1709937,1.2769642,95,46,0
1.2617203,1.3689898,96,48,0
1.3535577,1.4623678,98,49,0
1.4463421,1.5585216,100,51,0
1.8309575,2.1990557,76,42,0
2.1990557,2.3776271,79,42,0
2.3776271,2.4817939,81,39,0
2.4669127,2.5709915,83,39,0
2.5561986,2.659837,84,40,0
2.6449559,2.74939,86,40,0
2.7344198,2.8394809,88,41,0
2.8244207,2.931381,89,42,0
2.9151473,2.9638486,91,49,0
3.0125499,3.1167166,91,41,0
3.1018357,3.2060022,93,42,0
3.1911213,3.295288,95,42,0
3.2804072,3.3851094,96,44,0
3.3700492,3.4760199,98,45,0
3.4607759,3.5680454,100,48,0
3.5526133,3.6614232,101,49,0
3.6453977,3.7575772,103,51,0
4.030013,4.3936496,72,42,0
4.3936496,4.5722213,74,42,0
4.5722213,4.676388,76,39,0
4.661507,4.7655854,77,39,0
4.7507925,4.854431,79,40,0
4.83955,4.943984,81,40,0
4.929014,5.034075,83,41,0
5.019015,5.125975,84,42,0
5.109741,5.1584425,86,49,0
5.207144,5.311311,86,42,0
5.2964296,5.4005966,88,44,0
5.3857155,5.489882,89,45,0
5.4750013,5.579704,91,46,0
5.5646434,5.670614,93,48,0
5.6553698,5.7626395,95,49,0
5.7472076,5.8556166,96,50,0
5.8399916,5.9493666,98,51,0
6.2149916,6.576438,76,42,0
6.576438,6.755009,72,42,0
6.755009,6.859176,74,39,0
6.844295,6.948374,76,39,0
6.933581,7.037219,77,40,0
7.022338,7.126772,79,40,0
7.111802,7.216863,81,41,0
7.2018027,7.308763,83,42,0
7.2925296,7.341231,84,45,0
7.389932,7.4940987,84,39,0
7.479218,7.5833845,86,40,0
7.5685034,7.6726704,88,40,0
