start_time,end_time,note_value,velocity,instrument_program_number
0.12711863,0.2534546,74,37,0
0.2534546,0.379015,62,31,0
0.379015,0.503807,74,38,0
0.0,0.503807,71,49,0
0.6274878,0.7504273,74,37,0
0.7504273,0.87263894,62,31,0
0.87263894,0.99413586,74,37,0
0.503807,0.99413586,71,44,0
1.1149174,1.2364142,74,36,0
1.2364142,1.3579111,62,30,0
1.3579111,1.4801228,74,36,0
0.99413586,1.4801228,69,44,0
1.6026918,1.7260019,74,37,0
1.7260019,1.8496827,62,33,0
1.8496827,1.9741043,74,37,0
1.4801228,1.9741043,67,44,0
2.097785,2.2207246,74,37,0
2.2207246,2.3429363,62,33,0
2.3429363,2.4644332,74,37,0
1.9741043,2.4644332,66,48,0
2.584857,2.7045908,74,37,0
2.7045908,2.8236341,62,30,0
2.8236341,2.9419866,74,37,0
2.4644332,2.9419866,67,47,0
3.0593207,3.1766548,74,38,0
3.1766548,3.2943285,62,34,0
3.2943285,3.4126809,74,38,0
2.9419866,3.4126809,72,51,0
3.5310335,3.6500769,74,36,0
3.6500769,3.7694654,62,31,0
3.7694654,3.8895442,74,36,0
3.4126809,3.8895442,71,47,0
4.0099683,4.130392,74,37,0
4.130392,4.2501254,62,33,0
4.2501254,4.368478,74,38,0
3.8895442,4.368478,71,49,0
4.4868307,4.604504,74,39,0
4.604504,4.721838,62,36,0
4.721838,4.8391724,74,41,0
4.368478,4.8391724,69,53,0
4.9555054,5.072506,74,42,0
5.072506,5.1908584,62,38,0
5.1908584,5.3099017,74,45,0
4.8391724,5.3099017,67,55,0
5.4303255,5.551465,74,47,0
5.551465,5.6744046,62,42,0
5.6744046,5.794533,74,50,0
5.3099017,5.794533,69,57,0
5.917102,6.039671,74,52,0
5.794533,6.039671,71,66,0
6.16224,6.284809,74,49,0
6.039671,6.284809,62,58,0
6.4070206,6.5285177,74,47,0
6.284809,6.5285177,63,57,0
6.6500144,6.771511,74,47,0
6.5285177,6.771511,64,57,0
6.8909,7.0102887,74,47,0
6.771511,7.0102887,65,56,0
7.1307125,7.2511363,74,47,0
7.0102887,7.2511363,66,55,0
7.3726335,7.49413,74,45,0
7.2511363,7.49413,67,53,0
7.616699,7.7392683,74,42,0
7.49413,7.7392683,69,53,0
7.8614798,7.982977,74,39,0
7.982977,8.1034,76,46,0
8.1034,8.223134,74,38,0
7.7392683,8.223134,71,53,0
8.341487,8.459161,74,40,0
8.459161,8.575494,76,48,0
8.575494,8.691182,74,39,0
8.223134,8.691182,71,55,0
8.805582,8.919357,74,46,0
8.919357,9.032822,76,53,0
9.032822,9.14691,74,47,0
8.691182,9.14691,69,60,0
9.261309,9.376353,79,50,0
9.376353,9.492042,81,59,0
9.492042,9.608375,79,52,0
9.14691,9.608375,71,63,0
9.7267275,9.84508,79,52,0
9.84508,9.963432,81,58,0
9.963432,10.081785,79,51,0
9.608375,10.081785,74,69,0
10.200482,10.319872,79,48,0
10.319872,10.4392605,81,52,0
10.4392605,10.558649,79,46,0
10.081785,10.558649,72,62,0
10.678038,10.798117,79,49,0
10.798117,10.918541,81,53,0
10.918541,11.038964,79,48,0
10.558649,11.038964,71,61,0
11.159389,11.280527,79,49,0
11.280527,11.402024,78,51,0
11.402024,11.523521,76,49,0
11.038964,11.523521,70,60,0
11.645019,11.766515,74,40,0
11.766515,11.888012,76,44,0
11.888012,12.008794,74,38,0
11.523521,12.008794,71,51,0
12.129575,12.251072,74,37,0
12.251072,12.373641,76,41,0
12.373641,12.501666,74,34,0
12.008794,12.501666,67,47,0
12.624976,12.74683,74,44,0
12.501666,12.74683,66,50,0
12.866909,12.984928,74,41,0
12.74683,12.984928,69,48,0
13.104317,13.225813,74,40,0
12.984928,13.225813,72,51,0
13.349864,13.476991,74,39,0
13.225813,13.476991,71,50,0
13.6115675,13.746145,74,39,0
13.746145,13.869515,73,42,0
13.869515,13.992826,74,37,0
13.992826,14.118777,76,42,0
14.118777,14.247092,74,36,0
14.247092,14.37826,73,41,0
14.37826,14.511546,74,36,0
13.476991,14.511546,69,49,0
14.511546,14.780751,79,52,0
14.511546,14.780751,67,52,0
14.780751,14.912333,66,36,0
14.912333,15.041859,67,39,0
15.041859,15.170174,69,42,0
15.170174,15.299685,67,38,0
15.299685,15.430024,66,41,0
15.430024,15.556062,67,37,0
15.684377,15.811894,74,37,0
15.811894,15.9386215,62,31,0
15.9386215,16.064566,74,38,0
15.556062,16.064566,71,44,0
16.189358,16.31341,74,37,0
16.31341,16.43672,62,31,0
16.43672,16.559288,74,37,0
16.064566,16.559288,71,44,0
16.680428,16.800852,74,36,0
16.800852,16.921276,62,30,0
16.921276,17.041698,74,36,0
16.559288,17.041698,69,44,0
17.163197,17.284693,74,37,0
17.284693,17.40619,62,33,0
17.40619,17.528402,74,37,0
17.041698,17.528402,67,44,0
17.649899,17.771395,74,37,0
17.771395,17.892534,62,33,0
17.892534,18.012959,74,37,0
17.528402,18.012959,66,48,0
18.133383,18.253117,74,37,0
18.253117,18.372505,62,30,0
18.372505,18.491894,74,37,0
18.012959,18.491894,67,47,0
18.610247,18.7286,74,38,0
18.7286,18.847988,62,34,0
18.847988,18.967377,74,38,0
18.491894,18.967377,72,51,0
19.0878,19.208223,74,36,0
19.208223,19.329721,62,31,0
19.329721,19.451218,74,36,0
18.967377,19.451218,71,47,0
19.573786,19.696356,74,37,0
19.696356,19.817852,62,33,0
19.817852,19.938635,74,38,0
19.451218,19.938635,71,49,0
20.059057,20.178791,74,39,0
20.178791,20.297834,62,36,0
20.297834,20.416187,74,41,0
19.938635,20.416187,69,53,0
20.533522,20.650856,74,42,0
20.650856,20.769209,62,38,0
20.769209,20.88756,74,45,0
20.416187,20.88756,67,55,0
21.00695,21.126339,74,47,0
21.126339,21.246761,62,42,0
21.246761,21.3679,74,50,0
20.88756,21.3679,69,57,0
21.49047,21.613039,74,52,0
21.3679,21.613039,71,66,0
21.73525,21.856749,74,49,0
21.613039,21.856749,62,58,0
21.978245,22.099026,74,47,0
21.856749,22.099026,63,57,0
22.21945,22.339874,74,47,0
22.099026,22.339874,64,57,0
22.459263,22.578651,74,47,0
22.339874,22.578651,65,56,0
22.699076,22.8195,74,47,0
22.578651,22.8195,66,55,0
22.940996,23.062492,74,45,0
22.8195,23.062492,67,53,0
23.185062,23.308372,74,42,0
23.062492,23.308372,69,53,0
23.43094,23.552795,74,39,0
23.552795,23.673935,76,46,0
23.673935,23.79436,74,38,0
23.308372,23.79436,71,53,0
23.913748,24.032446,74,40,0
24.032446,24.150457,76,48,0
24.150457,24.267792,74,39,0
23.79436,24.267792,71,55,0
24.38316,24.498526,74,46,0
24.498526,24.614859,76,53,0
24.614859,24.73186,74,47,0
24.267792,24.73186,69,60,0
24.849533,24.967886,79,50,0
24.967886,25.087275,81,59,0
25.087275,25.207354,79,52,0
24.73186,25.207354,71,63,0
25.324688,25.442022,79,52,0
25.442022,25.559357,81,58,0
25.559357,25.67669,79,51,0
25.207354,25.67669,74,69,0
25.794708,25.914097,79,48,0
25.914097,26.033487,81,52,0
26.033487,26.152876,79,46,0
25.67669,26.152876,72,62,0
26.272264,26.392344,79,49,0
26.392344,26.512766,81,53,0
26.512766,26.63319,79,48,0
26.152876,26.63319,71,61,0
26.753614,26.874754,79,49,0
26.874754,26.99625,78,51,0
26.99625,27.117746,76,49,0
26.63319,27.117746,70,60,0
27.239244,27.36074,74,40,0
27.36074,27.482239,76,44,0
27.482239,27.60302,74,38,0
27.117746,27.60302,71,51,0
27.7238,27.845299,74,37,0
27.845299,27.967867,76,41,0
27.967867,28.095892,74,34,0
27.60302,28.095892,67,47,0
28.22262,28.347795,74,44,0
28.095892,28.347795,66,50,0
28.471106,28.592602,74,41,0
28.347795,28.592602,69,48,0
28.718163,28.843723,74,40,0
28.592602,28.843723,72,51,0
28.972437,29.103603,74,39,0
28.843723,29.103603,71,50,0
29.238182,29.372759,74,39,0
29.372759,29.500277,73,42,0
29.500277,29.630201,74,37,0
29.630201,29.762627,76,42,0
29.762627,29.89766,74,36,0
29.89766,30.035412,73,41,0
30.035412,30.17598,74,36,0
29.103603,30.17598,69,49,0
30.17598,30.449657,67,52,0
30.17598,30.449657,79,52,0
30.449657,30.579998,66,45,0
30.579998,30.708712,67,49,0
30.708712,30.835047,69,53,0
30.835047,30.961775,67,49,0
