start_time,end_time,note_value,velocity,instrument_program_number
1.63206,2.1118553,69,50,0
2.1118553,2.2901506,71,42,0
2.397805,2.505459,74,38,0
2.505459,2.6131132,78,38,0
2.6131132,2.7207675,79,47,0
2.7207675,2.8284216,78,38,0
2.2901506,2.9320388,69,50,0
2.8284216,2.9360757,74,38,0
3.0400474,3.1440191,74,37,0
3.1440191,3.2479908,78,37,0
3.2479908,3.3519623,79,49,0
3.3519623,3.455934,78,41,0
3.455934,3.5740397,74,41,0
2.9360757,3.5740397,69,50,0
3.681694,3.7893481,74,45,0
3.7893481,3.8970022,79,45,0
3.8970022,4.0046563,81,52,0
4.0046563,4.1123104,79,42,0
3.5740397,4.206508,71,55,0
4.1123104,4.219965,74,42,0
4.3251395,4.430314,74,45,0
4.430314,4.5354886,79,45,0
4.5354886,4.6406636,81,52,0
4.6406636,4.745838,79,42,0
4.745838,4.8647017,74,42,0
4.219965,4.8647017,71,55,0
4.971722,5.078743,74,41,0
5.078743,5.1857634,78,41,0
5.1857634,5.2927837,79,48,0
5.2927837,5.399804,78,39,0
5.399804,5.506825,74,39,0
4.8647017,5.506825,69,50,0
5.6113944,5.7159643,78,41,0
5.7159643,5.8205338,81,41,0
5.8205338,5.925103,83,48,0
5.925103,6.029673,81,39,0
6.029673,6.1342425,78,39,0
5.506825,6.1342425,74,50,0
6.1342425,6.2412634,78,48,0
6.2412634,6.348284,79,42,0
6.348284,6.455304,81,42,0
6.455304,6.5623245,83,55,0
6.5623245,6.6693454,85,48,0
6.6693454,6.7763658,86,48,0
6.7763658,6.8815403,88,62,0
6.8815403,6.9867153,90,50,0
6.9867153,7.09189,91,51,0
7.09189,7.1970644,92,67,0
7.1970644,7.302239,95,59,0
7.302239,7.4195824,93,53,0
7.4195824,7.523096,91,72,0
7.523096,7.624989,93,60,0
7.624989,7.7272177,91,60,0
7.7272177,7.8303614,90,70,0
7.8303614,7.9350224,91,58,0
7.9350224,8.04058,90,58,0
8.04058,8.146217,88,69,0
8.146217,8.249082,90,61,0
8.249082,8.35256,88,59,0
8.35256,8.456846,86,69,0
8.456846,8.561764,88,58,0
8.561764,8.66732,86,58,0
8.66732,8.773536,85,68,0
8.773536,8.876401,86,56,0
8.876401,8.979792,85,56,0
8.979792,9.083183,83,65,0
9.083183,9.186574,85,55,0
9.186574,9.291462,83,55,0
9.291462,9.396032,81,64,0
9.396032,9.500662,83,55,0
9.500662,9.605837,81,55,0
9.605837,9.711142,79,64,0
9.711142,9.816928,81,54,0
9.816928,9.930616,79,54,0
9.930616,10.034785,78,70,0
10.034785,10.138416,79,55,0
10.138416,10.242672,78,55,0
10.242672,10.34737,76,63,0
10.34737,10.452705,78,50,0
10.452705,10.5586815,76,50,0
10.5586815,10.662654,74,60,0
10.662654,10.766625,76,49,0
10.766625,10.871068,74,49,0
10.871068,10.975637,73,60,0
10.975637,11.080555,74,47,0
11.080555,11.18573,73,47,0
11.18573,11.291317,71,55,0
11.291317,11.395825,73,46,0
11.395825,11.500774,71,46,0
11.500774,11.607013,69,54,0
11.607013,11.714566,71,43,0
11.714566,11.823468,69,43,0
11.823468,11.929285,68,47,0
11.929285,12.035938,71,36,0
12.035938,12.143457,73,36,0
12.143457,12.251786,74,46,0
12.251786,12.361102,71,37,0
12.361102,12.484803,68,37,0
12.592457,12.700111,74,38,0
12.700111,12.807765,78,38,0
12.807765,12.91542,79,47,0
12.91542,13.023073,78,38,0
12.484803,13.117271,69,50,0
13.023073,13.130728,74,38,0
13.234699,13.338671,74,37,0
13.338671,13.442643,78,37,0
13.442643,13.546615,79,49,0
13.546615,13.650586,78,41,0
13.650586,13.768692,74,41,0
13.130728,13.768692,69,50,0
13.876346,13.984,74,45,0
13.984,14.091655,79,45,0
14.091655,14.199308,81,52,0
14.199308,14.306963,79,42,0
13.768692,14.406543,71,55,0
14.306963,14.414617,74,42,0
14.519792,14.624966,74,45,0
14.624966,14.730141,79,45,0
14.730141,14.835316,81,52,0
14.835316,14.94049,79,42,0
14.94049,15.059354,74,42,0
14.414617,15.059354,71,55,0
15.166374,15.273395,74,41,0
15.273395,15.380415,78,41,0
15.380415,15.487435,79,48,0
15.487435,15.594457,78,39,0
15.594457,15.701477,74,39,0
15.059354,15.701477,69,50,0
15.8060465,15.910616,78,41,0
15.910616,16.015186,81,41,0
16.015186,16.119755,83,48,0
16.119755,16.224325,81,39,0
16.224325,16.328896,78,39,0
15.701477,16.328896,74,50,0
16.328896,16.435915,78,48,0
16.435915,16.542936,79,42,0
16.542936,16.649956,81,42,0
16.649956,16.756977,83,55,0
16.756977,16.863997,85,48,0
16.863997,16.971018,86,48,0
16.971018,17.076193,88,62,0
17.076193,17.181368,90,50,0
17.181368,17.286541,91,51,0
17.286541,17.391716,92,67,0
17.391716,17.496891,95,59,0
17.496891,17.614235,93,53,0
17.614235,17.717749,86,77,0
17.717749,17.819405,98,73,0
17.819405,17.921513,97,63,0
17.921513,18.02374,95,70,0
18.02374,18.126638,93,61,0
18.126638,18.230392,91,59,0
18.230392,18.334305,90,71,0
18.334305,18.436996,88,58,0
18.436996,18.538654,86,58,0
18.538654,18.640789,85,70,0
18.640789,18.743351,86,57,0
18.743351,18.846523,83,57,0
18.846523,18.952738,81,70,0
18.952738,19.055544,91,63,0
19.055544,19.15835,90,56,0
19.15835,19.261158,88,65,0
19.261158,19.364586,86,52,0
19.364586,19.470142,85,52,0
19.470142,19.574713,83,65,0
19.574713,19.679342,81,55,0
19.679342,19.784517,79,55,0
19.784517,19.889822,78,63,0
19.889822,19.99561,79,56,0
19.99561,20.109297,76,56,0
20.109297,20.215511,74,71,0
20.215511,20.31856,78,56,0
20.31856,20.421951,81,57,0
20.421951,20.525827,83,63,0
20.525827,20.629957,81,54,0
20.629957,20.734526,78,54,0
