start_time,end_time,note_value,velocity,instrument_program_number
0.0,0.0765755,76,54,0
0.0765755,0.153151,82,46,0
0.153151,0.2297265,85,40,0
0.2297265,0.3588255,76,56,0
0.7532,0.83066535,74,51,0
0.83066535,0.90813065,81,43,0
0.90813065,0.985596,86,40,0
0.985596,1.1141417,74,53,0
1.5103295,1.588096,74,51,0
1.588096,1.6658624,80,43,0
1.6658624,1.743629,83,40,0
1.743629,1.872728,74,50,0
2.2682805,2.346047,72,49,0
2.346047,2.4238136,79,40,0
2.4238136,2.50158,84,38,0
2.50158,2.6301258,72,51,0
3.023947,3.102072,72,51,0
3.102072,3.180197,79,40,0
3.180197,3.258322,81,37,0
3.258322,3.387421,72,49,0
3.814188,4.1089706,87,64,0
3.7754683,4.1089706,75,54,0
3.788375,4.1089706,79,58,0
3.8012815,4.1089706,84,62,0
4.6985354,4.7766056,62,54,0
4.7766056,4.854676,66,46,0
4.854676,4.932746,74,40,0
4.932746,5.0579443,62,50,0
5.4976506,5.7550955,58,40,0
5.4976506,5.7550955,62,40,0
5.4976506,5.7550955,67,40,0
6.2699842,6.3455243,86,54,0
6.3455243,6.4210644,94,46,0
6.4210644,6.496605,98,40,0
6.496605,6.7826185,86,50,0
6.7826185,6.858159,74,54,0
6.858159,6.933699,82,46,0
6.933699,7.009239,86,40,0
7.009239,7.259636,74,59,0
7.507775,7.634133,72,50,0
7.634133,7.6973124,70,49,0
7.6973124,7.7604914,72,49,0
7.7604914,8.016748,70,58,0
8.263763,8.392486,69,49,0
8.456846,8.521208,69,42,0
8.521208,9.019753,72,50,0
9.019753,9.296685,70,46,0
9.296685,9.372226,79,54,0
9.372226,9.447765,86,46,0
9.447765,9.523306,91,40,0
9.523306,9.801367,79,50,0
9.801367,9.876907,67,54,0
9.876907,9.952447,74,46,0
9.952447,10.0279875,79,40,0
10.0279875,10.278384,67,59,0
10.526523,10.77924,63,50,0
10.77924,11.035497,62,58,0
11.035497,11.282512,70,54,0
11.282512,11.408015,69,49,0
11.411234,11.4755945,69,42,0
11.454141,11.518502,70,42,0
11.539956,12.038502,69,50,0
12.038502,12.311303,67,46,0
12.311303,12.386844,86,54,0
12.386844,12.462383,94,46,0
12.462383,12.537924,98,40,0
12.537924,12.814702,86,50,0
12.814702,12.890243,74,54,0
12.890243,12.965782,82,46,0
12.965782,13.041323,86,40,0
13.041323,13.291719,74,59,0
13.539858,13.666217,72,50,0
13.666217,13.729396,70,49,0
13.729396,13.792575,72,49,0
13.792575,14.048832,70,58,0
14.295847,14.424569,69,49,0
14.48893,14.553291,69,42,0
14.553291,15.051837,72,50,0
15.051837,15.324638,70,46,0
15.324638,15.400179,79,54,0
15.400179,15.475719,86,46,0
15.475719,15.551259,91,40,0
15.551259,15.825507,79,50,0
15.825507,15.901048,67,54,0
15.901048,15.976587,74,46,0
15.976587,16.052128,79,40,0
16.052128,16.302525,67,59,0
16.550663,16.80338,63,50,0
16.80338,17.059637,62,58,0
17.059637,17.306652,70,54,0
17.306652,17.432156,69,49,0
17.435373,17.499735,69,42,0
17.478281,17.542643,70,42,0
17.564096,18.062643,69,50,0
18.062643,18.340988,67,46,0
18.340988,18.416527,77,54,0
18.416527,18.492067,82,46,0
18.492067,18.567608,89,40,0
18.567608,18.844387,77,50,0
18.844387,18.919926,65,54,0
18.919926,18.995466,74,46,0
18.995466,19.071007,77,40,0
19.071007,19.321404,65,59,0
19.569542,19.6959,63,50,0
19.822258,19.900715,63,58,0
19.900715,19.97917,65,48,0
19.97917,20.057627,63,48,0
20.057627,20.304642,62,55,0
20.304642,20.441042,60,50,0
20.509243,20.577444,60,45,0
20.577444,21.075989,63,50,0
21.075989,21.332247,62,46,0
21.332247,21.407787,74,54,0
21.407787,21.483326,79,46,0
21.483326,21.558867,86,40,0
21.558867,21.836927,74,50,0
21.836927,21.912468,62,54,0
21.912468,21.988008,67,46,0
21.988008,22.063549,74,40,0
22.063549,22.313944,62,59,0
22.562084,22.688442,60,50,0
22.8148,22.893257,60,58,0
22.893257,22.971712,62,48,0
22.971712,23.050169,60,48,0
23.050169,23.297184,58,55,0
23.297184,23.433584,57,50,0
23.479052,23.54725,57,45,0
23.569984,24.068531,60,50,0
24.068531,24.342703,58,46,0
24.342703,24.417503,67,54,0
24.417503,24.492304,75,46,0
24.492304,24.567102,79,40,0
24.567102,24.810827,67,57,0
25.063543,25.137241,68,59,0
25.137241,25.210938,75,50,0
25.210938,25.284636,80,44,0
25.284636,25.52836,68,50,0
25.778757,25.851648,66,64,0
25.851648,25.92454,72,55,0
25.92454,25.99743,78,48,0
25.99743,26.235735,66,68,0
26.483873,26.555286,67,67,0
26.555286,26.626701,74,57,0
26.626701,26.698114,79,50,0
26.698114,26.929972,67,57,0
27.176094,27.247072,63,73,0
27.247072,27.318048,67,63,0
27.318048,27.389027,75,55,0
27.389027,27.619991,63,78,0
27.865108,27.937943,60,80,0
27.937943,28.010775,67,69,0
28.010775,28.083609,72,59,0
28.083609,28.334005,60,85,0
28.61235,28.68846,62,85,0
28.68846,28.764568,67,74,0
28.764568,28.840677,62,64,0
28.840677,28.968294,61,86,0
29.100744,29.239916,62,93,0
29.37909,29.524918,67,96,0
29.670748,29.811342,79,103,0
29.670748,29.811342,70,87,0
29.670748,29.811342,67,87,0
30.233124,30.341124,86,54,0
30.449123,30.562855,74,50,0
30.927862,31.03704,79,54,0
31.14622,31.26126,67,50,0
31.63971,31.75997,74,54,0
31.88023,32.02377,62,50,0
32.746773,33.001896,67,28,0
32.746773,33.001896,71,34,0
33.001896,33.292904,67,28,0
33.001896,33.292904,71,34,0
32.501053,33.292904,74,54,0
33.544815,33.806618,67,31,0
33.544815,33.806618,71,38,0
33.806618,34.10192,67,31,0
33.806618,34.10192,71,38,0
33.292904,34.10192,76,59,0
34.3507,34.612503,66,28,0
34.3507,34.612503,69,33,0
34.612503,34.90351,66,28,0
34.612503,34.90351,69,33,0
34.10192,34.90351,76,64,0
34.90351,35.027386,74,54,0
35.15126,35.22708,74,70,0
35.22708,35.302902,81,49,0
35.302902,35.378723,86,49,0
35.378723,35.66973,74,63,0
35.91748,36.172604,64,28,0
35.91748,36.172604,67,34,0
36.172604,36.455383,64,28,0
36.172604,36.455383,67,34,0
35.66973,36.455383,74,54,0
36.455383,36.963505,72,59,0
36.963505,37.228783,74,45,0
36.707294,37.228783,64,31,0
36.707294,37.228783,67,38,0
37.47756,37.73936,63,28,0
37.47756,37.73936,66,33,0
37.73936,38.03037,63,28,0
37.73936,38.03037,66,33,0
