start_time,end_time,note_value,velocity,instrument_program_number
1.957217,2.0685837,67,38,0
1.957217,2.0685837,63,32,0
2.105706,2.2170727,67,38,0
2.105706,2.2170727,63,32,0
2.402135,2.51309,63,36,0
2.402135,2.51309,67,43,0
2.550075,2.66103,63,36,0
2.550075,2.66103,67,44,0
2.8454096,2.9559557,67,49,0
2.8454096,2.9559557,63,41,0
2.9928043,3.1033504,67,49,0
2.9928043,3.1033504,63,42,0
3.2926497,3.4069877,67,53,0
3.2926497,3.4069877,63,44,0
3.4451003,3.5594382,67,53,0
3.4451003,3.5594382,63,44,0
3.7449458,3.8554916,67,53,0
3.7449458,3.8554916,63,44,0
3.8923404,4.0028863,67,52,0
3.8923404,4.0028863,63,43,0
4.1871295,4.2976756,67,46,0
4.1871295,4.2976756,63,39,0
4.334524,4.4450703,67,46,0
4.334524,4.4450703,63,38,0
4.6293135,4.7398596,63,40,0
4.6293135,4.7398596,67,47,0
4.776708,4.887254,63,39,0
4.776708,4.887254,67,46,0
5.0748305,5.1878757,63,34,0
5.0748305,5.1878757,67,41,0
5.225558,5.338603,63,34,0
5.225558,5.338603,67,41,0
5.525327,5.6371093,65,37,0
5.525327,5.6371093,70,44,0
5.67437,5.7861514,65,38,0
5.67437,5.7861514,70,45,0
5.9708066,6.0813527,65,44,0
5.9708066,6.0813527,68,51,0
6.1182013,6.2287474,65,45,0
6.1182013,6.2287474,68,53,0
6.41245,6.5225897,68,59,0
6.41245,6.5225897,65,49,0
6.5593033,6.6694436,68,59,0
6.5593033,6.6694436,65,49,0
6.8609676,6.9770756,67,51,0
6.8609676,6.9770756,63,42,0
7.0157785,7.1318865,67,50,0
7.0157785,7.1318865,63,42,0
7.318529,7.429484,67,53,0
7.318529,7.429484,63,44,0
7.466469,7.577424,67,52,0
7.466469,7.577424,63,43,0
7.763451,7.875233,63,37,0
7.763451,7.875233,66,37,0
7.763451,7.875233,72,44,0
7.9124937,8.024276,63,36,0
7.9124937,8.024276,66,36,0
7.9124937,8.024276,72,44,0
8.2134075,8.3273115,62,33,0
8.2134075,8.3273115,65,40,0
8.365279,8.479183,62,33,0
8.365279,8.479183,65,39,0
8.679502,8.808601,62,31,0
8.679502,8.808601,68,31,0
8.679502,8.808601,70,37,0
8.851634,8.990279,62,31,0
8.851634,8.990279,68,31,0
8.851634,8.990279,70,37,0
9.190708,9.306369,63,36,0
9.190708,9.306369,67,36,0
9.190708,9.306369,75,43,0
9.344922,9.460583,63,36,0
9.344922,9.460583,67,36,0
9.344922,9.460583,75,43,0
9.651008,9.764912,75,50,0
