start_time,end_time,note_value,velocity,instrument_program_number
5.322581,6.0201616,77,64,73
6.290323,6.7137103,77,64,73
11.612904,11.930445,77,64,73
11.975807,12.081654,77,64,73
12.096775,12.338711,82,64,73
12.338711,12.580646,84,64,73
12.580646,12.822581,81,64,73
12.822581,12.980847,82,64,73
13.004033,13.064517,86,64,73
13.064517,13.306453,84,64,73
13.306453,13.5181465,82,64,73
13.548388,14.51613,87,64,73
14.51613,14.727823,86,64,73
14.879033,14.98488,86,64,73
15.000001,15.241937,84,64,73
15.241937,15.483872,87,64,73
15.483872,15.725807,84,64,73
15.725807,15.937501,81,64,73
15.967743,16.330647,82,64,73
16.330647,16.39113,84,64,73
16.39113,16.44355,86,64,73
16.451614,17.298388,84,64,73
17.419355,17.736897,77,64,73
17.782259,17.888105,77,64,73
17.903227,18.145163,82,64,73
18.145163,18.387098,84,64,73
18.387098,18.629034,81,64,73
18.629034,18.7873,82,64,73
18.810486,18.87097,86,64,73
18.87097,19.112904,84,64,73
19.112904,19.324598,82,64,73
19.35484,20.322582,87,64,73
20.322582,20.534275,86,64,73
20.685486,20.791332,86,64,73
20.806454,21.04839,84,64,73
21.04839,21.290323,87,64,73
21.290323,21.532259,84,64,73
21.532259,21.743954,79,64,73
21.774195,22.137098,81,64,73
22.137098,22.197582,82,64,73
22.197582,22.250002,84,64,73
22.258066,23.10484,82,64,73
25.645163,26.129034,82,64,73
26.129034,26.340727,77,64,73
28.54839,29.03226,82,64,73
29.03226,29.243954,77,64,73
30.000002,30.483873,82,64,73
30.483873,30.695566,77,64,73
42.09678,42.414318,77,64,73
42.45968,42.56553,77,64,73
42.580647,42.822582,82,64,73
42.822582,43.064518,84,64,73
43.064518,43.306454,81,64,73
43.306454,43.46472,82,64,73
43.487907,43.54839,86,64,73
43.54839,43.790325,84,64,73
43.790325,44.002018,82,64,73
44.03226,45.000004,87,64,73
45.000004,45.211697,86,64,73
45.362907,45.468754,86,64,73
45.483875,45.72581,84,64,73
45.72581,45.967747,87,64,73
45.967747,46.20968,84,64,73
46.20968,46.421375,79,64,73
46.451614,46.814518,81,64,73
46.814518,46.875004,82,64,73
46.875004,46.92742,84,64,73
46.935486,47.358875,82,64,73
48.3871,48.54839,87,64,73
48.54839,48.709682,86,64,73
48.709682,48.85081,84,64,73
48.87097,48.941536,82,64,73
49.03226,49.102825,81,64,73
49.19355,49.264114,79,64,73
49.354843,49.425407,77,64,73
49.516132,49.586697,79,64,73
49.67742,49.747986,81,64,73
49.838715,50.2621,82,64,73
51.290325,51.45162,87,64,73
51.45162,51.612907,86,64,73
51.612907,51.754036,84,64,73
51.774197,51.84476,82,64,73
51.935486,52.00605,81,64,73
52.09678,52.167343,79,64,73
52.258068,52.328632,77,64,73
52.419357,52.48992,79,64,73
52.58065,52.651215,81,64,73
52.74194,52.90323,82,64,73
53.104843,53.15726,86,64,73
53.22581,53.439518,82,64,73
60.000004,60.967747,77,64,73
60.967747,61.391132,86,64,73
61.45162,61.93549,84,64,73
61.93549,62.419357,82,64,73
62.419357,62.842747,81,64,73
62.90323,63.145164,81,64,73
63.145164,63.3871,79,64,73
63.3871,63.629036,78,64,73
63.629036,63.84073,79,64,73
63.87097,64.23387,82,64,73
64.23387,64.33972,86,64,73
64.35484,64.838715,77,64,73
64.838715,65.2621,76,64,73
70.645164,71.34274,72,64,73
71.61291,72.88307,72,64,73
73.06452,73.54839,74,64,73
73.54839,74.032265,76,64,73
74.032265,74.45565,77,64,73
74.516136,75.48388,74,64,73
75.48388,75.907265,70,64,73
75.96775,76.17944,69,64,73
76.451614,76.663315,81,64,73
76.935486,77.14719,77,64,73
77.41936,78.68952,76,64,73
78.87097,79.082664,77,64,73
79.35484,79.566536,81,64,73
79.838715,80.05041,77,64,73
80.322586,81.59275,76,64,73
81.7742,82.197586,77,64,73
83.225815,83.70969,75,64,73
83.70969,84.13307,69,64,73
84.67742,85.16129,77,64,73
85.16129,85.58469,74,64,73
86.129036,86.61291,77,64,73
86.61291,87.03629,74,64,73
87.58065,88.004036,77,64,73
88.225815,88.29638,82,64,73
88.3871,88.457664,81,64,73
88.54839,88.61896,79,64,73
88.70969,88.78025,77,64,73
88.87097,88.941536,75,64,73
89.032265,89.19356,74,64,73
89.19356,89.35484,75,64,73
89.35484,89.49597,77,64,73
89.516136,89.5867,70,64,73
89.67742,89.74799,74,64,73
89.838715,89.90928,75,64,73
90.00001,90.07057,77,64,73
90.16129,90.23186,79,64,73
90.322586,90.39315,80,64,73
90.48388,90.645164,78,64,73
90.645164,90.78629,79,64,73
90.80646,90.87702,79,64,73
90.96775,91.129036,81,64,73
91.129036,91.270164,82,64,73
91.29033,91.36089,82,64,73
91.45162,91.61291,78,64,73
91.61291,91.754036,79,64,73
91.7742,91.844765,79,64,73
91.93549,92.09678,74,64,73
92.09678,92.23791,75,64,73
92.25807,92.328636,75,64,73
92.41936,92.58065,71,64,73
92.58065,92.72178,72,64,73
92.74194,92.81251,72,64,73
92.90323,92.97379,79,64,73
93.06452,93.135086,75,64,73
93.225815,93.29638,72,64,73
93.3871,93.87097,70,64,73
93.87097,94.294365,69,64,73
105.24194,105.48388,76,64,73
105.48388,105.725815,77,64,73
105.725815,105.96775,79,64,73
105.96775,106.20969,77,64,73
106.20969,106.42138,75,64,73
106.45162,106.66533,74,64,73
109.838715,110.322586,75,64,73
110.322586,110.74597,72,64,73
110.80646,110.913315,70,64,73
111.04839,111.15525,74,64,73
111.29033,111.504036,70,64,73
116.61291,117.09678,74,64,73
117.09678,117.30848,70,64,73
121.45162,121.66533,72,64,73
121.93549,122.1492,80,64,73
122.419365,122.90324,79,64,73
122.90324,123.11493,77,64,73
123.62904,123.73589,80,64,73
123.87098,124.35485,79,64,73
124.35485,124.56654,77,64,73
125.96775,126.038315,84,64,73
126.12904,126.19961,82,64,73
126.29033,126.36089,80,64,73
126.45162,126.52219,79,64,73
126.612915,126.68348,77,64,73
126.7742,128.22581,75,64,73
128.22581,128.43953,74,64,73
134.2742,134.51614,82,64,73
134.51614,134.75807,81,64,73
134.75807,135.00002,80,64,73
