start_time,end_time,note_value,velocity,instrument_program_number
0.6818175,0.88257486,74,64,73
1.5909075,1.7916648,73,64,73
2.4999976,2.700755,74,64,73
3.4090874,3.609845,74,64,73
4.3181777,4.5189347,74,64,73
5.2272673,5.428025,79,64,73
6.1363573,6.337115,76,64,73
7.0454473,7.246205,77,64,73
7.9545374,8.352264,81,64,73
8.863627,9.261354,81,64,73
9.772717,10.1704445,81,64,73
10.6818075,11.079535,81,64,73
11.590898,12.045443,74,64,73
12.045443,12.499988,73,64,73
12.499988,12.897715,76,64,73
12.954533,13.35226,76,64,73
13.409078,13.63635,74,64,73
13.63635,13.835214,73,64,73
13.863623,17.386347,74,64,73
17.499983,18.295437,73,64,73
18.409073,19.005663,74,64,73
19.09089,19.289753,77,64,73
19.318163,19.545435,77,64,73
19.545435,19.744299,76,64,73
19.772707,19.971571,74,64,73
19.99998,20.198843,73,64,73
20.227253,21.136343,73,64,73
21.136343,21.53407,74,64,73
27.954517,28.409063,76,64,73
28.409063,28.863607,81,64,73
28.863607,29.261333,73,64,73
29.318153,29.71588,74,64,73
31.590878,32.042583,82,64,73
32.04542,32.497128,82,64,73
32.499966,32.9261,82,64,73
32.954514,34.772694,82,64,73
34.772694,35.170418,79,64,73
40.681778,41.136322,84,64,73
41.136322,41.590866,80,64,73
41.590866,41.988594,77,64,73
42.499958,42.954502,82,64,73
42.954502,43.409046,79,64,73
43.409046,43.806774,75,64,73
49.318134,51.335175,81,64,73
51.363586,51.412827,81,64,73
51.477222,51.526463,79,64,73
51.59086,51.6401,77,64,73
51.704494,51.753735,79,64,73
51.81813,51.86737,76,64,73
51.931767,51.98101,77,64,73
52.045403,52.094646,74,64,73
52.15904,52.208282,76,64,73
52.272675,52.32192,77,64,73
52.38631,52.435555,79,64,73
52.499947,52.54919,81,64,73
52.613583,52.662827,83,64,73
52.72722,52.776463,85,64,73
52.840855,52.8901,86,64,73
52.95449,53.15525,85,64,73
53.40904,54.20449,81,64,73
54.318127,54.971535,81,64,73
54.999947,55.049187,81,64,73
55.113583,55.162823,79,64,73
55.22722,55.27646,77,64,73
55.340855,55.390095,79,64,73
55.45449,55.50373,76,64,73
55.568127,55.617367,77,64,73
55.681763,55.731007,74,64,73
55.7954,55.844643,76,64,73
55.909035,55.95828,77,64,73
56.02267,56.071915,79,64,73
56.136307,56.18555,81,64,73
56.249943,56.299187,83,64,73
56.36358,56.412823,85,64,73
56.477215,56.52646,86,64,73
56.59085,56.98858,85,64,73
57.0454,57.343693,88,64,73
57.386307,57.485737,88,64,73
57.499943,57.89767,81,64,73
58.40903,59.516987,77,64,73
59.545395,59.644825,81,64,73
59.65903,59.758465,79,64,73
59.772667,59.8721,77,64,73
59.886303,59.985737,76,64,73
59.99994,60.099373,74,64,73
60.113575,60.21301,72,64,73
60.22721,60.32759,70,64,73
60.454487,60.553917,86,64,73
60.568123,60.667553,84,64,73
60.68176,60.78119,82,64,73
60.795395,60.894825,81,64,73
60.90903,61.00846,79,64,73
61.022667,61.122097,77,64,73
61.136303,61.236683,76,64,73
61.363575,61.463005,79,64,73
61.47721,61.57664,77,64,73
61.590847,61.69028,76,64,73
61.704483,61.803917,74,64,73
61.81812,61.917553,72,64,73
61.931755,62.03119,70,64,73
62.04539,62.24615,69,64,73
68.40902,68.860725,79,64,73
68.86357,69.2897,79,64,73
69.318115,70.42606,87,64,73
70.454475,70.554855,86,64,73
70.68175,70.78213,84,64,73
70.90902,71.0094,82,64,73
71.13629,72.7272,81,64,73
72.954475,74.14765,81,64,73
74.31811,74.54538,79,64,73
74.54538,74.74424,78,64,73
74.77265,74.97341,79,64,73
75.68174,75.8825,74,64,73
76.590836,76.79159,72,64,73
77.49992,77.70068,72,64,73
78.40901,78.60977,72,64,73
85.79537,85.8948,72,64,73
85.909004,86.00844,74,64,73
86.022644,86.12207,76,64,73
86.13628,86.23571,77,64,73
86.249916,86.34934,79,64,73
86.36355,86.46298,81,64,73
86.47719,86.576614,82,64,73
86.59082,86.6912,84,64,73
86.81809,86.91847,77,64,73
87.045364,87.10219,79,64,73
87.10219,87.159004,77,64,73
87.159004,87.21582,79,64,73
87.21582,87.27264,77,64,73
87.27264,87.38628,76,64,73
87.38628,87.48571,77,64,73
87.499916,87.60029,82,64,73
87.72719,87.82756,82,64,73
87.95446,88.06809,82,64,73
88.06809,88.18173,84,64,73
88.18173,88.295364,86,64,73
88.295364,88.3948,82,64,73
88.409004,88.509384,79,64,73
88.63628,88.73666,79,64,73
88.86355,88.97718,79,64,73
88.97718,89.09082,76,64,73
89.09082,89.20445,79,64,73
89.20445,89.30389,82,64,73
89.31809,89.41847,81,64,73
89.545364,89.645744,81,64,73
89.77264,89.88628,81,64,73
89.88628,89.99991,82,64,73
89.99991,90.11355,84,64,73
90.11355,90.212975,81,64,73
90.22718,90.32756,77,64,73
90.45445,90.55483,77,64,73
90.681725,90.795364,72,64,73
90.795364,90.909,77,64,73
90.909,91.02264,81,64,73
