start_time,end_time,note_value,velocity,instrument_program_number
9.6,9.7325,81,64,73
9.9,10.0325,82,64,73
10.2,10.4625,84,64,73
10.5,10.575,86,64,73
10.575,10.65,84,64,73
10.65,10.725,83,64,73
10.725,10.79,84,64,73
10.8,10.9325,86,64,73
11.1,11.2325,82,64,73
11.4,11.5325,81,64,73
11.7,11.8325,81,64,73
12.0,12.1325,82,64,73
12.3,12.4325,82,64,73
12.6,12.75,86,64,73
12.75,12.9,84,64,73
12.9,13.05,82,64,73
13.05,13.18125,84,64,73
13.2,13.35,86,64,73
13.35,13.5,84,64,73
13.5,13.65,82,64,73
13.65,13.78125,81,64,73
13.8,13.9325,79,64,73
14.1,14.2325,79,64,73
14.4,14.5325,81,64,73
14.7,14.8325,82,64,73
15.0,15.2625,84,64,73
15.3,15.375,86,64,73
15.375,15.45,84,64,73
15.45,15.525,83,64,73
15.525,15.59,84,64,73
15.6,15.7325,86,64,73
15.9,16.0325,82,64,73
16.2,16.3325,81,64,73
16.5,16.6325,81,64,73
16.8,16.9325,82,64,73
17.1,17.2325,82,64,73
17.4,17.55,84,64,73
17.55,17.7,89,64,73
17.7,17.85,84,64,73
17.85,17.98125,81,64,73
18.0,18.15,84,64,73
18.15,18.3,82,64,73
18.3,18.45,81,64,73
18.45,18.58125,79,64,73
18.6,18.8625,77,64,73
19.2,19.3325,84,64,73
19.8,19.9325,84,64,73
20.4,20.5325,84,64,73
21.0,21.1325,84,64,73
21.6,21.7325,81,64,73
22.2,22.3325,79,64,73
22.8,22.875,77,64,73
22.875,22.95,76,64,73
22.95,23.025,77,64,73
23.025,23.1,76,64,73
23.1,23.25,77,64,73
23.25,23.38125,79,64,73
23.4,23.6625,81,64,73
24.0,24.1325,84,64,73
24.6,24.7325,84,64,73
25.2,25.3325,84,64,73
25.8,25.9325,84,64,73
26.4,26.5325,81,64,73
27.0,27.1325,79,64,73
27.6,27.675,77,64,73
27.675,27.75,76,64,73
27.75,27.825,77,64,73
27.825,27.9,76,64,73
27.9,28.05,77,64,73
28.05,28.18125,79,64,73
28.2,28.4625,81,64,73
28.8,28.9325,77,64,73
29.1,29.2325,77,64,73
29.4,29.475,81,64,73
29.475,29.55,79,64,73
29.55,29.625,81,64,73
29.625,29.7,79,64,73
29.7,29.8325,77,64,73
30.0,30.075,81,64,73
30.075,30.15,79,64,73
30.15,30.225,81,64,73
30.225,30.3,79,64,73
30.3,30.4325,77,64,73
30.6,30.9,82,64,73
30.9,31.0325,81,64,73
31.2,31.3325,77,64,73
31.5,31.6325,77,64,73
31.8,31.875,81,64,73
31.875,31.95,79,64,73
31.95,32.025,81,64,73
32.025,32.1,79,64,73
32.1,32.2325,77,64,73
32.4,32.475,81,64,73
32.475,32.55,79,64,73
32.55,32.625,81,64,73
32.625,32.7,79,64,73
32.7,32.8325,77,64,73
33.0,33.3,82,64,73
33.3,33.4325,81,64,73
33.6,33.7325,77,64,73
33.9,34.0325,77,64,73
34.2,35.1,86,64,73
35.1,35.3625,84,64,73
35.4,35.7,83,64,73
35.7,35.9625,79,64,73
36.0,36.1325,84,64,73
36.3,36.4325,82,64,73
36.6,36.7325,81,64,73
36.9,37.05,81,64,73
37.05,37.18125,84,64,73
37.2,37.35,84,64,73
37.35,37.48125,82,64,73
37.5,37.63125,81,64,73
37.65,37.78125,79,64,73
37.8,38.0625,77,64,73
39.3,39.45,79,64,73
