start_time,end_time,note_value,velocity,instrument_program_number
0.0009363292,0.45033085,58,41,0
0.449438,0.5208665,57,29,0
0.5208665,0.592295,58,31,0
0.592295,0.6637235,61,33,0
0.6637235,0.7773597,65,37,0
1.1182685,1.189697,57,29,0
1.189697,1.2611254,58,31,0
1.2611254,1.332554,61,32,0
1.332554,1.445336,65,37,0
2.685938,2.779688,58,100,0
3.248438,4.373438,94,92,0
3.248438,4.373438,82,78,0
3.248438,4.373438,90,92,0
4.373438,4.654688,87,61,0
4.373438,4.654688,84,61,0
4.373438,4.654688,75,51,0
4.654688,4.748438,89,68,0
4.654688,4.748438,77,57,0
4.654688,4.748438,84,68,0
4.748438,4.9525194,84,71,0
4.748438,4.9525194,78,60,0
4.748438,4.9525194,90,71,0
4.9525194,5.156601,89,68,0
4.9525194,5.156601,77,57,0
4.9525194,5.156601,85,68,0
5.3606825,5.4287095,57,27,0
5.4287095,5.496737,58,29,0
5.496737,5.564764,61,30,0
5.564764,5.666805,65,35,0
5.972927,6.040954,57,27,0
6.040954,6.108981,58,29,0
6.108981,6.1770086,61,30,0
6.1770086,6.271348,65,35,0
7.3090825,7.396039,56,100,0
7.8308215,8.874299,80,76,0
7.8308215,8.874299,89,90,0
7.8308215,8.874299,92,90,0
8.874299,9.135169,87,60,0
8.874299,9.135169,75,51,0
8.874299,9.135169,84,60,0
9.135169,9.225803,77,55,0
9.135169,9.225803,89,65,0
9.135169,9.225803,84,65,0
9.225803,9.419352,78,59,0
9.225803,9.419352,90,70,0
9.225803,9.419352,84,70,0
9.419352,9.593265,89,67,0
9.419352,9.593265,85,67,0
9.419352,9.593265,77,56,0
9.941091,10.288917,69,81,0
9.941091,10.288917,77,81,0
10.46283,10.841379,65,81,0
10.46283,10.841379,57,81,0
14.404974,14.47394,57,27,0
14.47394,14.542905,58,29,0
14.542905,14.611871,61,30,0
14.611871,14.715319,65,34,0
15.025663,15.094629,57,29,0
15.094629,15.163594,58,30,0
15.163594,15.23256,61,31,0
15.23256,15.336008,65,36,0
16.47394,16.56769,58,100,0
17.03644,17.88019,82,78,0
17.03644,17.88019,94,92,0
17.03644,17.88019,90,92,0
17.88019,17.97394,75,49,0
17.88019,17.97394,84,58,0
17.88019,17.97394,87,58,0
17.97394,18.16144,87,58,0
17.97394,18.16144,75,49,0
17.97394,18.16144,84,58,0
18.16144,18.44269,87,61,0
18.16144,18.44269,84,61,0
18.16144,18.44269,75,51,0
18.44269,18.53644,77,57,0
18.44269,18.53644,84,68,0
18.44269,18.53644,89,68,0
18.53644,18.74052,78,60,0
18.53644,18.74052,90,71,0
18.53644,18.74052,84,71,0
18.74052,18.944601,77,57,0
18.74052,18.944601,89,68,0
18.74052,18.944601,85,68,0
19.148684,19.216711,57,29,0
19.216711,19.284739,58,30,0
19.284739,19.352764,61,32,0
19.352764,19.454805,65,37,0
19.760927,19.828955,57,29,0
19.828955,19.896982,58,30,0
19.896982,19.96501,61,32,0
19.96501,20.05935,65,37,0
21.03244,21.116005,48,100,0
21.533833,22.53662,96,90,0
21.533833,22.53662,92,90,0
21.533833,22.53662,84,64,0
22.53662,22.787315,91,60,0
22.53662,22.787315,79,43,0
22.53662,22.787315,88,60,0
22.787315,22.877949,92,65,0
22.787315,22.877949,88,65,0
22.787315,22.877949,80,46,0
22.877949,23.071499,94,70,0
22.877949,23.071499,82,50,0
22.877949,23.071499,88,70,0
23.071499,23.24541,89,67,0
23.071499,23.24541,92,67,0
23.071499,23.24541,80,47,0
23.593237,23.955774,77,81,0
23.593237,23.955774,80,81,0
23.593237,23.955774,72,68,0
23.593237,23.955774,68,68,0
24.137045,24.55958,65,81,0
24.137045,24.55958,68,81,0
24.137045,24.55958,56,68,0
24.137045,24.55958,60,68,0
27.731375,28.688831,101,97,0
28.688831,28.777327,99,68,0
28.777327,28.865822,97,62,0
28.865822,28.954317,92,65,0
28.954317,29.042812,89,59,0
29.042812,29.131308,87,62,0
29.131308,29.219805,85,57,0
29.219805,29.3083,80,58,0
29.3083,29.396795,77,53,0
29.396795,29.48529,75,55,0
29.48529,29.573786,73,51,0
29.573786,29.750776,68,52,0
30.10476,30.193604,72,55,0
30.193604,30.282803,73,52,0
30.282803,30.372444,75,50,0
30.372444,30.462442,77,47,0
30.462442,30.552896,78,45,0
30.54761,30.638422,80,42,0
30.643742,30.752832,81,40,0
31.25666,31.346931,81,50,0
31.346931,31.436842,80,49,0
31.436842,31.526304,79,47,0
31.526304,31.615414,78,46,0
31.615414,31.704084,77,44,0
31.704084,31.79238,76,42,0
31.79238,31.899906,75,41,0
32.402172,33.274353,101,97,0
33.274353,33.361057,99,68,0
33.361057,33.44776,97,60,0
33.44776,33.534466,92,65,0
33.534466,33.621174,89,58,0
33.621174,33.70788,87,62,0
33.70788,33.794582,85,57,0
33.794582,33.88129,80,58,0
33.88129,33.967995,77,53,0
33.967995,34.0547,75,55,0
34.0547,34.141403,73,49,0
34.141403,34.314316,68,52,0
34.660137,34.748413,72,42,0
34.748413,34.83698,73,41,0
34.83698,34.92585,75,41,0
34.92585,35.01503,77,40,0
35.01503,35.104523,78,39,0
35.099297,35.189095,80,38,0
35.19435,35.284172,81,37,0
35.733273,35.821507,81,42,0
35.821507,35.909744,80,41,0
35.909744,35.99798,79,40,0
35.99798,36.086212,78,39,0
36.086212,36.17445,77,37,0
36.17445,36.262684,76,36,0
36.262684,36.356705,75,35,0
36.86897,37.7992,77,59,0
37.7992,38.153194,75,53,0
38.153194,38.270718,73,52,0
36.86897,38.2814,71,38,0
38.2814,38.97638,73,54,0
38.2814,38.97638,71,38,0
38.97638,39.62287,70,56,0
38.97638,40.045406,78,56,0
40.045406,40.25526,77,52,0
40.264385,40.479546,77,51,0
40.479546,40.69698,75,50,0
40.69698,40.94646,73,49,0
39.62287,40.94646,71,50,0
40.94646,41.590088,82,56,0
40.94646,41.590088,73,44,0
40.94646,41.590088,70,44,0
41.590088,42.079777,82,62,0
